Time,org_x,org_y,org_z,xvec_x,xvec_y,xvec_z,zvec_x,zvec_y,zvec_z
0.000000,-0.140767,0.459556,0.627464,-0.130414,0.411533,0.597171,-0.138162,0.411200,0.656360
0.010000,-0.140768,0.459564,0.627449,-0.130418,0.411555,0.597153,-0.138168,0.411207,0.656347
0.020000,-0.140782,0.459574,0.627431,-0.130431,0.411562,0.597137,-0.138167,0.411231,0.656331
0.030000,-0.140799,0.459587,0.627416,-0.130441,0.411580,0.597121,-0.138183,0.411254,0.656317
0.040000,-0.140821,0.459616,0.627402,-0.130468,0.411607,0.597110,-0.138187,0.411281,0.656302
0.050000,-0.140845,0.459654,0.627376,-0.130487,0.411644,0.597088,-0.138199,0.411344,0.656282
0.060000,-0.140877,0.459686,0.627351,-0.130511,0.411677,0.597062,-0.138224,0.411368,0.656267
0.070000,-0.140920,0.459731,0.627320,-0.130529,0.411718,0.597035,-0.138231,0.411421,0.656245
0.080000,-0.140954,0.459752,0.627297,-0.130565,0.411740,0.597011,-0.138234,0.411446,0.656211
0.090000,-0.140972,0.459792,0.627265,-0.130577,0.411764,0.596985,-0.138250,0.411484,0.656163
0.100000,-0.141000,0.459812,0.627221,-0.130593,0.411821,0.596940,-0.138253,0.411524,0.656130
0.110000,-0.141028,0.459835,0.627185,-0.130599,0.411857,0.596910,-0.138252,0.411556,0.656111
0.120000,-0.141031,0.459886,0.627176,-0.130618,0.411878,0.596899,-0.138248,0.411596,0.656090
0.130000,-0.141049,0.459923,0.627142,-0.130624,0.411912,0.596881,-0.138246,0.411628,0.656071
0.140000,-0.141066,0.459962,0.627126,-0.130630,0.411946,0.596868,-0.138247,0.411662,0.656060
0.150000,-0.141072,0.459991,0.627118,-0.130640,0.411984,0.596858,-0.138248,0.411704,0.656049
0.160000,-0.141091,0.460040,0.627118,-0.130638,0.412017,0.596842,-0.138254,0.411760,0.656034
0.170000,-0.141103,0.460061,0.627093,-0.130650,0.412041,0.596832,-0.138254,0.411778,0.656029
0.180000,-0.141112,0.460092,0.627082,-0.130658,0.412061,0.596824,-0.138262,0.411809,0.656012
0.190000,-0.141122,0.460104,0.627071,-0.130665,0.412071,0.596818,-0.138278,0.411820,0.655994
0.200000,-0.141128,0.460111,0.627058,-0.130680,0.412068,0.596808,-0.138266,0.411840,0.655999
0.210000,-0.141133,0.460101,0.627037,-0.130682,0.412063,0.596797,-0.138281,0.411832,0.655996
0.220000,-0.141138,0.460110,0.627028,-0.130712,0.412061,0.596792,-0.138288,0.411843,0.655985
0.230000,-0.141150,0.460108,0.627009,-0.130719,0.412057,0.596786,-0.138315,0.411837,0.655968
0.240000,-0.141190,0.460124,0.626995,-0.130741,0.412054,0.596778,-0.138333,0.411832,0.655958
0.250000,-0.141211,0.460122,0.626997,-0.130761,0.412055,0.596769,-0.138351,0.411846,0.655964
0.260000,-0.141238,0.460141,0.626995,-0.130789,0.412064,0.596771,-0.138377,0.411853,0.655953
0.270000,-0.141264,0.460164,0.626987,-0.130809,0.412070,0.596769,-0.138397,0.411852,0.655953
0.280000,-0.141291,0.460127,0.627003,-0.130828,0.412076,0.596772,-0.138431,0.411864,0.655962
0.290000,-0.141308,0.460176,0.627005,-0.130851,0.412087,0.596775,-0.138448,0.411868,0.655974
0.300000,-0.141329,0.460178,0.627010,-0.130875,0.412091,0.596790,-0.138472,0.411871,0.655981
0.310000,-0.141345,0.460188,0.627013,-0.130891,0.412080,0.596800,-0.138498,0.411873,0.655984
0.320000,-0.141370,0.460168,0.627031,-0.130908,0.412084,0.596809,-0.138514,0.411881,0.655999
0.330000,-0.141388,0.460178,0.627037,-0.130938,0.412089,0.596815,-0.138542,0.411887,0.656008
0.340000,-0.141415,0.460191,0.627049,-0.130959,0.412093,0.596827,-0.138563,0.411891,0.656013
0.350000,-0.141436,0.460202,0.627060,-0.130985,0.412113,0.596837,-0.138585,0.411898,0.656024
0.360000,-0.141470,0.460227,0.627083,-0.131014,0.412126,0.596855,-0.138615,0.411915,0.656048
0.370000,-0.141508,0.460243,0.627098,-0.131036,0.412147,0.596869,-0.138644,0.411917,0.656065
0.380000,-0.141549,0.460279,0.627133,-0.131067,0.412166,0.596886,-0.138664,0.411948,0.656079
0.390000,-0.141583,0.460292,0.627148,-0.131100,0.412187,0.596896,-0.138703,0.411971,0.656093
0.400000,-0.141621,0.460311,0.627166,-0.131151,0.412243,0.596913,-0.138726,0.411983,0.656109
0.410000,-0.141656,0.460335,0.627172,-0.131174,0.412253,0.596931,-0.138757,0.412006,0.656124
0.420000,-0.141696,0.460361,0.627192,-0.131203,0.412324,0.596937,-0.138786,0.412037,0.656139
0.430000,-0.141730,0.460393,0.627213,-0.131244,0.412344,0.596974,-0.138817,0.412057,0.656163
0.440000,-0.141780,0.460423,0.627245,-0.131266,0.412377,0.596994,-0.138838,0.412086,0.656182
0.450000,-0.141807,0.460443,0.627267,-0.131280,0.412400,0.597025,-0.138867,0.412103,0.656209
0.460000,-0.141835,0.460468,0.627299,-0.131294,0.412386,0.597072,-0.138880,0.412119,0.656231
0.470000,-0.141850,0.460484,0.627326,-0.131300,0.412410,0.597103,-0.138902,0.412130,0.656265
0.480000,-0.141856,0.460471,0.627368,-0.131307,0.412411,0.597130,-0.138904,0.412131,0.656285
0.490000,-0.141871,0.460470,0.627409,-0.131299,0.412420,0.597188,-0.138917,0.412119,0.656316
0.500000,-0.141876,0.460465,0.627445,-0.131309,0.412411,0.597222,-0.138923,0.412105,0.656351
0.510000,-0.141874,0.460424,0.627494,-0.131298,0.412405,0.597257,-0.138929,0.412086,0.656385
