Time,org_x,org_y,org_z,xvec_x,xvec_y,xvec_z,zvec_x,zvec_y,zvec_z
0.000000,-0.139534,0.459706,0.623963,-0.129492,0.411463,0.593922,-0.136466,0.411587,0.653181
0.010000,-0.139547,0.459700,0.624033,-0.129499,0.411468,0.593989,-0.136474,0.411578,0.653251
0.020000,-0.139553,0.459693,0.624093,-0.129508,0.411465,0.594054,-0.136491,0.411575,0.653312
0.030000,-0.139554,0.459701,0.624151,-0.129520,0.411455,0.594114,-0.136504,0.411560,0.653360
0.040000,-0.139566,0.459691,0.624215,-0.129520,0.411453,0.594163,-0.136516,0.411538,0.653415
0.050000,-0.139569,0.459662,0.624269,-0.129528,0.411458,0.594206,-0.136531,0.411515,0.653455
0.060000,-0.139578,0.459679,0.624294,-0.129535,0.411458,0.594239,-0.136543,0.411510,0.653495
0.070000,-0.139585,0.459664,0.624339,-0.129545,0.411446,0.594262,-0.136551,0.411499,0.653521
0.080000,-0.139593,0.459664,0.624354,-0.129568,0.411457,0.594284,-0.136561,0.411489,0.653541
0.090000,-0.139613,0.459650,0.624357,-0.129582,0.411432,0.594286,-0.136568,0.411480,0.653551
0.100000,-0.139626,0.459636,0.624359,-0.129595,0.411436,0.594299,-0.136571,0.411476,0.653555
0.110000,-0.139637,0.459650,0.624366,-0.129616,0.411436,0.594299,-0.136575,0.411492,0.653554
0.120000,-0.139687,0.459640,0.624357,-0.129637,0.411444,0.594299,-0.136595,0.411493,0.653555
0.130000,-0.139705,0.459643,0.624364,-0.129648,0.411450,0.594306,-0.136603,0.411502,0.653565
0.140000,-0.139724,0.459656,0.624380,-0.129674,0.411466,0.594312,-0.136614,0.411513,0.653565
0.150000,-0.139746,0.459672,0.624391,-0.129684,0.411489,0.594320,-0.136631,0.411526,0.653575
0.160000,-0.139766,0.459685,0.624403,-0.129700,0.411501,0.594339,-0.136648,0.411543,0.653590
0.170000,-0.139782,0.459703,0.624412,-0.129721,0.411523,0.594349,-0.136664,0.411563,0.653601
0.180000,-0.139805,0.459725,0.624420,-0.129739,0.411534,0.594358,-0.136689,0.411581,0.653602
0.190000,-0.139826,0.459731,0.624434,-0.129756,0.411547,0.594366,-0.136712,0.411589,0.653610
0.200000,-0.139847,0.459746,0.624436,-0.129780,0.411558,0.594368,-0.136736,0.411584,0.653614
0.210000,-0.139870,0.459741,0.624443,-0.129803,0.411566,0.594367,-0.136757,0.411603,0.653607
0.220000,-0.139891,0.459756,0.624442,-0.129831,0.411571,0.594369,-0.136785,0.411603,0.653612
0.230000,-0.139927,0.459750,0.624441,-0.129850,0.411576,0.594363,-0.136819,0.411610,0.653608
0.240000,-0.139952,0.459753,0.624433,-0.129879,0.411575,0.594360,-0.136847,0.411611,0.653601
0.250000,-0.139977,0.459746,0.624425,-0.129897,0.411574,0.594355,-0.136870,0.411619,0.653599
0.260000,-0.139996,0.459744,0.624412,-0.129922,0.411568,0.594335,-0.136895,0.411608,0.653582
0.270000,-0.140017,0.459730,0.624389,-0.129946,0.411549,0.594317,-0.136906,0.411604,0.653565
0.280000,-0.140026,0.459730,0.624366,-0.129959,0.411540,0.594292,-0.136923,0.411595,0.653546
0.290000,-0.140041,0.459717,0.624335,-0.129973,0.411521,0.594272,-0.136942,0.411605,0.653523
0.300000,-0.140047,0.459707,0.624300,-0.129990,0.411509,0.594234,-0.136955,0.411589,0.653489
0.310000,-0.140061,0.459698,0.624262,-0.130005,0.411494,0.594199,-0.136950,0.411592,0.653455
0.320000,-0.140061,0.459693,0.624180,-0.130018,0.411480,0.594156,-0.136969,0.411610,0.653408
0.330000,-0.140067,0.459693,0.624127,-0.130029,0.411469,0.594108,-0.136958,0.411614,0.653355
0.340000,-0.140074,0.459693,0.624070,-0.130039,0.411472,0.594059,-0.136952,0.411630,0.653314
0.350000,-0.140079,0.459700,0.624009,-0.130037,0.411481,0.594010,-0.136948,0.411636,0.653258
0.360000,-0.140080,0.459715,0.623956,-0.130055,0.411470,0.593968,-0.136941,0.411647,0.653208
0.370000,-0.140087,0.459723,0.623919,-0.130059,0.411484,0.593924,-0.136940,0.411662,0.653180
0.380000,-0.140091,0.459729,0.623886,-0.130068,0.411501,0.593898,-0.136934,0.411684,0.653148
0.390000,-0.140091,0.459746,0.623869,-0.130065,0.411510,0.593872,-0.136930,0.411692,0.653128
0.400000,-0.140094,0.459737,0.623823,-0.130062,0.411525,0.593852,-0.136925,0.411701,0.653103
0.410000,-0.140070,0.459760,0.623797,-0.130052,0.411513,0.593831,-0.136908,0.411710,0.653080
0.420000,-0.140079,0.459758,0.623775,-0.130028,0.411514,0.593818,-0.136900,0.411722,0.653061
0.430000,-0.140050,0.459771,0.623757,-0.130017,0.411516,0.593797,-0.136876,0.411725,0.653047
0.440000,-0.140031,0.459785,0.623731,-0.129998,0.411513,0.593794,-0.136856,0.411747,0.653028
0.450000,-0.140017,0.459781,0.623725,-0.129974,0.411505,0.593785,-0.136839,0.411752,0.653020
0.460000,-0.139988,0.459785,0.623715,-0.129945,0.411515,0.593774,-0.136816,0.411746,0.653026
0.470000,-0.139973,0.459778,0.623705,-0.129924,0.411520,0.593766,-0.136801,0.411754,0.653018
0.480000,-0.139954,0.459789,0.623710,-0.129896,0.411520,0.593767,-0.136774,0.411756,0.653013
0.490000,-0.139928,0.459783,0.623711,-0.129872,0.411517,0.593778,-0.136749,0.411751,0.653027
0.500000,-0.139899,0.459777,0.623729,-0.129841,0.411517,0.593787,-0.136717,0.411734,0.653038
0.510000,-0.139867,0.459774,0.623740,-0.129806,0.411520,0.593802,-0.136687,0.411735,0.653057
0.520000,-0.139826,0.459749,0.623775,-0.129772,0.411500,0.593817,-0.136647,0.411704,0.653078
0.530000,-0.139780,0.459736,0.623797,-0.129740,0.411477,0.593844,-0.136622,0.411679,0.653102
0.540000,-0.139745,0.459705,0.623835,-0.129709,0.411445,0.593880,-0.136595,0.411652,0.653133
0.550000,-0.139704,0.459687,0.623872,-0.129671,0.411434,0.593909,-0.136566,0.411617,0.653167
0.560000,-0.139668,0.459659,0.623929,-0.129628,0.411418,0.593941,-0.136545,0.411596,0.653207
0.570000,-0.139637,0.459647,0.623969,-0.129603,0.411396,0.593980,-0.136521,0.411560,0.653248
0.580000,-0.139612,0.459626,0.624015,-0.129584,0.411361,0.594027,-0.136508,0.411535,0.653286
0.590000,-0.139565,0.459623,0.624071,-0.129559,0.411354,0.594063,-0.136507,0.411511,0.653322
0.600000,-0.139542,0.459601,0.624112,-0.129540,0.411341,0.594104,-0.136497,0.411482,0.653368
0.610000,-0.139535,0.459577,0.624164,-0.129526,0.411321,0.594153,-0.136500,0.411468,0.653410
0.620000,-0.139527,0.459565,0.624211,-0.129522,0.411316,0.594187,-0.136508,0.411444,0.653450
0.630000,-0.139519,0.459566,0.624244,-0.129511,0.411319,0.594222,-0.136514,0.411426,0.653481
0.640000,-0.139524,0.459558,0.624294,-0.129503,0.411332,0.594248,-0.136525,0.411424,0.653513
0.650000,-0.139526,0.459559,0.624307,-0.129509,0.411317,0.594276,-0.136535,0.411407,0.653540
0.660000,-0.139530,0.459563,0.624332,-0.129513,0.411323,0.594300,-0.136538,0.411401,0.653557
0.670000,-0.139534,0.459570,0.624338,-0.129513,0.411326,0.594299,-0.136547,0.411395,0.653564
0.680000,-0.139541,0.459573,0.624340,-0.129518,0.411323,0.594298,-0.136556,0.411395,0.653562
0.690000,-0.139541,0.459570,0.624339,-0.129533,0.411331,0.594295,-0.136559,0.411397,0.653556
0.700000,-0.139556,0.459568,0.624328,-0.129539,0.411328,0.594284,-0.136559,0.411406,0.653545
0.710000,-0.139558,0.459555,0.624298,-0.129551,0.411310,0.594266,-0.136570,0.411412,0.653519
0.720000,-0.139563,0.459545,0.624280,-0.129567,0.411308,0.594250,-0.136570,0.411408,0.653509
