Time,org_x,org_y,org_z,xvec_x,xvec_y,xvec_z,zvec_x,zvec_y,zvec_z
0.000000,-0.152176,0.467111,0.628214,-0.137396,0.420024,0.598361,-0.146468,0.419046,0.657209
0.010000,-0.152174,0.467116,0.628223,-0.137401,0.420026,0.598369,-0.146464,0.419051,0.657214
0.020000,-0.152176,0.467111,0.628248,-0.137401,0.420030,0.598391,-0.146465,0.419043,0.657223
0.030000,-0.152170,0.467116,0.628270,-0.137396,0.420036,0.598406,-0.146461,0.419049,0.657246
0.040000,-0.152164,0.467114,0.628298,-0.137390,0.420050,0.598438,-0.146460,0.419047,0.657266
0.050000,-0.152159,0.467118,0.628329,-0.137367,0.420036,0.598462,-0.146451,0.419040,0.657289
0.060000,-0.152147,0.467138,0.628372,-0.137368,0.420035,0.598489,-0.146448,0.419033,0.657305
0.070000,-0.152144,0.467120,0.628400,-0.137348,0.420033,0.598512,-0.146432,0.419035,0.657329
0.080000,-0.152120,0.467109,0.628424,-0.137350,0.420021,0.598538,-0.146434,0.419020,0.657342
0.090000,-0.152114,0.467094,0.628442,-0.137329,0.420014,0.598550,-0.146434,0.418983,0.657371
0.100000,-0.152102,0.467083,0.628461,-0.137325,0.419996,0.598566,-0.146430,0.418983,0.657381
0.110000,-0.152096,0.467069,0.628475,-0.137329,0.419971,0.598595,-0.146436,0.418954,0.657400
0.120000,-0.152097,0.467054,0.628485,-0.137331,0.419966,0.598599,-0.146452,0.418943,0.657420
0.130000,-0.152095,0.467042,0.628497,-0.137344,0.419950,0.598616,-0.146465,0.418921,0.657427
0.140000,-0.152106,0.467037,0.628499,-0.137356,0.419937,0.598622,-0.146470,0.418926,0.657429
0.150000,-0.152128,0.467043,0.628510,-0.137366,0.419955,0.598629,-0.146494,0.418917,0.657433
0.160000,-0.152143,0.467039,0.628508,-0.137390,0.419957,0.598631,-0.146503,0.418927,0.657436
0.170000,-0.152166,0.467054,0.628506,-0.137409,0.419963,0.598627,-0.146525,0.418928,0.657434
0.180000,-0.152192,0.467068,0.628513,-0.137432,0.419966,0.598629,-0.146547,0.418945,0.657431
0.190000,-0.152226,0.467079,0.628524,-0.137461,0.419976,0.598628,-0.146567,0.418946,0.657439
0.200000,-0.152264,0.467074,0.628544,-0.137484,0.419993,0.598638,-0.146600,0.418941,0.657447
0.210000,-0.152300,0.467078,0.628550,-0.137513,0.420005,0.598641,-0.146623,0.418946,0.657453
0.220000,-0.152332,0.467082,0.628554,-0.137544,0.420011,0.598644,-0.146657,0.418966,0.657450
0.230000,-0.152361,0.467099,0.628565,-0.137566,0.420031,0.598653,-0.146685,0.418977,0.657455
0.240000,-0.152392,0.467114,0.628568,-0.137590,0.420050,0.598659,-0.146713,0.419008,0.657463
0.250000,-0.152430,0.467131,0.628572,-0.137619,0.420062,0.598674,-0.146742,0.419034,0.657486
0.260000,-0.152457,0.467138,0.628588,-0.137635,0.420087,0.598688,-0.146764,0.419057,0.657514
0.270000,-0.152498,0.467143,0.628608,-0.137660,0.420103,0.598706,-0.146811,0.419045,0.657544
