Time,org_x,org_y,org_z,xvec_x,xvec_y,xvec_z,zvec_x,zvec_y,zvec_z
0.000000,0.608924,-0.025595,0.267733,0.583102,-0.007169,0.221664,0.631515,-0.041512,0.220294
0.010000,0.608972,-0.025601,0.267699,0.583131,-0.007215,0.221633,0.631500,-0.041847,0.220058
0.020000,0.609002,-0.025662,0.267625,0.583162,-0.007251,0.221545,0.631523,-0.041840,0.220038
0.030000,0.609013,-0.025655,0.267595,0.583187,-0.007315,0.221496,0.631503,-0.041924,0.219964
0.040000,0.609003,-0.025688,0.267554,0.583175,-0.007352,0.221461,0.631550,-0.041596,0.220149
0.050000,0.608978,-0.025714,0.267502,0.583142,-0.007372,0.221382,0.631512,-0.041767,0.220042
0.060000,0.608930,-0.025733,0.267449,0.583094,-0.007404,0.221326,0.631502,-0.041622,0.220116
0.070000,0.608898,-0.025738,0.267394,0.583077,-0.007442,0.221279,0.631457,-0.041617,0.220109
0.080000,0.608825,-0.025742,0.267352,0.583032,-0.007467,0.221200,0.631406,-0.041822,0.219913
0.090000,0.608802,-0.025753,0.267330,0.583039,-0.007465,0.221163,0.631308,-0.042140,0.219682
0.100000,0.608775,-0.025744,0.267275,0.583021,-0.007470,0.221122,0.631338,-0.041780,0.219880
0.110000,0.608750,-0.025740,0.267230,0.583009,-0.007461,0.221063,0.631257,-0.042108,0.219632
0.120000,0.608744,-0.025709,0.267171,0.582990,-0.007451,0.221019,0.631277,-0.041912,0.219709
0.130000,0.608712,-0.025644,0.267112,0.582945,-0.007442,0.220945,0.631208,-0.041919,0.219640
0.140000,0.608674,-0.025614,0.267050,0.582889,-0.007395,0.220904,0.631253,-0.041495,0.219815
0.150000,0.608641,-0.025559,0.267017,0.582799,-0.007338,0.220887,0.631136,-0.041824,0.219529
0.160000,0.608600,-0.025524,0.266973,0.582736,-0.007300,0.220843,0.631109,-0.041477,0.219649
0.170000,0.608551,-0.025477,0.266927,0.582670,-0.007288,0.220799,0.631017,-0.041704,0.219430
0.180000,0.608480,-0.025423,0.266875,0.582595,-0.007240,0.220768,0.630914,-0.041861,0.219260
0.190000,0.608428,-0.025385,0.266863,0.582519,-0.007252,0.220753,0.630842,-0.041718,0.219292
0.200000,0.608337,-0.025331,0.266804,0.582450,-0.007243,0.220717,0.630736,-0.041998,0.219043
0.210000,0.608264,-0.025352,0.266782,0.582385,-0.007234,0.220707,0.630700,-0.041709,0.219223
0.220000,0.608204,-0.025346,0.266776,0.582298,-0.007304,0.220633,0.630575,-0.042000,0.219010
0.230000,0.608164,-0.025383,0.266741,0.582238,-0.007318,0.220620,0.630496,-0.041896,0.219064
0.240000,0.608074,-0.025411,0.266727,0.582127,-0.007314,0.220595,0.630381,-0.041952,0.219028
0.250000,0.608001,-0.025491,0.266712,0.582031,-0.007366,0.220615,0.630300,-0.041993,0.219043
0.260000,0.607919,-0.025589,0.266718,0.581922,-0.007424,0.220598,0.630159,-0.042360,0.218881
0.270000,0.607805,-0.025715,0.266732,0.581824,-0.007561,0.220627,0.630057,-0.042430,0.218886
0.280000,0.607706,-0.025811,0.266718,0.581708,-0.007638,0.220635,0.629941,-0.042479,0.218926
0.290000,0.607579,-0.026027,0.266680,0.581576,-0.007743,0.220628,0.629800,-0.042535,0.218976
0.300000,0.607454,-0.026179,0.266682,0.581453,-0.007936,0.220616,0.629677,-0.042506,0.219144
0.310000,0.607321,-0.026324,0.266676,0.581292,-0.008123,0.220595,0.629472,-0.042914,0.218972
0.320000,0.607195,-0.026533,0.266671,0.581143,-0.008371,0.220564,0.629346,-0.042885,0.219196
0.330000,0.607014,-0.026705,0.266683,0.580948,-0.008630,0.220552,0.629197,-0.042875,0.219342
0.340000,0.606859,-0.027059,0.266627,0.580827,-0.008865,0.220553,0.629014,-0.043083,0.219390
0.350000,0.606722,-0.027343,0.266604,0.580721,-0.009114,0.220547,0.628838,-0.043645,0.219207
0.360000,0.606562,-0.027594,0.266603,0.580585,-0.009330,0.220537,0.628646,-0.044133,0.219039
0.370000,0.606412,-0.027881,0.266556,0.580455,-0.009626,0.220461,0.628458,-0.044680,0.218859
0.380000,0.606300,-0.028185,0.266522,0.580369,-0.009870,0.220439,0.628305,-0.044880,0.218853
0.390000,0.606182,-0.028398,0.266464,0.580270,-0.010104,0.220415,0.628156,-0.045163,0.218792
0.400000,0.606106,-0.028671,0.266391,0.580161,-0.010297,0.220367,0.627995,-0.045637,0.218598
0.410000,0.606032,-0.028977,0.266286,0.580083,-0.010482,0.220275,0.627877,-0.045889,0.218506
0.420000,0.605996,-0.029199,0.266161,0.580037,-0.010676,0.220192,0.627817,-0.046066,0.218412
0.430000,0.605953,-0.029383,0.266036,0.580000,-0.010839,0.220088,0.627730,-0.046264,0.218256
0.440000,0.605937,-0.029512,0.265912,0.579963,-0.010970,0.219991,0.627682,-0.046321,0.218220
0.450000,0.605919,-0.029660,0.265765,0.579937,-0.011086,0.219838,0.627659,-0.046350,0.218116
0.460000,0.605907,-0.029765,0.265600,0.579865,-0.011307,0.219629,0.627566,-0.046680,0.217783
0.470000,0.605926,-0.029960,0.265377,0.579787,-0.011390,0.219490,0.627548,-0.046714,0.217668
0.480000,0.605922,-0.030039,0.265179,0.579766,-0.011498,0.219321,0.627499,-0.047101,0.217298
0.490000,0.605903,-0.030133,0.264976,0.579742,-0.011622,0.219103,0.627419,-0.047440,0.216925
0.500000,0.605889,-0.030187,0.264770,0.579701,-0.011643,0.218924,0.627390,-0.047442,0.216766
0.510000,0.605849,-0.030243,0.264576,0.579675,-0.011741,0.218724,0.627377,-0.047239,0.216727
0.520000,0.605845,-0.030334,0.264351,0.579642,-0.011754,0.218547,0.627348,-0.047046,0.216668
0.530000,0.605810,-0.030410,0.264101,0.579592,-0.011830,0.218347,0.627319,-0.047075,0.216481
0.540000,0.605772,-0.030468,0.263861,0.579535,-0.011800,0.218086,0.627269,-0.047229,0.216180
