Time,org_x,org_y,org_z,xvec_x,xvec_y,xvec_z,zvec_x,zvec_y,zvec_z
0.000000,0.055330,0.065521,0.552740,0.079074,0.016483,0.538169,0.033640,0.016569,0.577261
0.010000,0.055329,0.065485,0.552737,0.079073,0.016491,0.538179,0.033642,0.016526,0.577248
0.020000,0.055325,0.065497,0.552742,0.079059,0.016551,0.538169,0.033645,0.016530,0.577250
0.030000,0.055311,0.065476,0.552741,0.079043,0.016484,0.538163,0.033633,0.016527,0.577252
0.040000,0.055318,0.065481,0.552743,0.079082,0.016477,0.538172,0.033645,0.016521,0.577253
0.050000,0.055336,0.065470,0.552745,0.079073,0.016454,0.538160,0.033646,0.016531,0.577253
0.060000,0.055340,0.065470,0.552731,0.079087,0.016457,0.538153,0.033657,0.016500,0.577249
0.070000,0.055363,0.065441,0.552708,0.079123,0.016474,0.538140,0.033677,0.016515,0.577237
0.080000,0.055384,0.065417,0.552681,0.079128,0.016458,0.538115,0.033715,0.016532,0.577237
0.090000,0.055412,0.065426,0.552668,0.079168,0.016485,0.538104,0.033751,0.016509,0.577226
0.100000,0.055445,0.065409,0.552650,0.079176,0.016443,0.538082,0.033791,0.016515,0.577207
0.110000,0.055472,0.065415,0.552645,0.079205,0.016445,0.538058,0.033829,0.016512,0.577207
0.120000,0.055497,0.065418,0.552620,0.079238,0.016448,0.538031,0.033848,0.016498,0.577194
0.130000,0.055517,0.065406,0.552609,0.079265,0.016435,0.538009,0.033884,0.016499,0.577176
0.140000,0.055530,0.065399,0.552594,0.079271,0.016424,0.537983,0.033909,0.016486,0.577157
0.150000,0.055554,0.065390,0.552572,0.079291,0.016379,0.537964,0.033952,0.016482,0.577133
0.160000,0.055574,0.065367,0.552555,0.079308,0.016371,0.537942,0.033972,0.016468,0.577128
0.170000,0.055605,0.065376,0.552545,0.079321,0.016357,0.537927,0.033998,0.016457,0.577104
0.180000,0.055624,0.065367,0.552531,0.079370,0.016378,0.537907,0.034039,0.016482,0.577112
0.190000,0.055679,0.065338,0.552531,0.079415,0.016397,0.537885,0.034096,0.016451,0.577075
