Time,org_x,org_y,org_z,xvec_x,xvec_y,xvec_z,zvec_x,zvec_y,zvec_z
0.000000,-0.468410,0.525155,0.710130,-0.451816,0.482661,0.679387,-0.448660,0.476946,0.738245
0.010000,-0.468348,0.525118,0.710148,-0.451752,0.482647,0.679412,-0.448622,0.476905,0.738275
0.020000,-0.468286,0.525090,0.710191,-0.451713,0.482615,0.679439,-0.448574,0.476872,0.738299
0.030000,-0.468225,0.525054,0.710227,-0.451681,0.482557,0.679458,-0.448526,0.476825,0.738320
0.040000,-0.468166,0.525028,0.710265,-0.451621,0.482537,0.679489,-0.448470,0.476786,0.738359
0.050000,-0.468084,0.525003,0.710313,-0.451592,0.482490,0.679538,-0.448418,0.476730,0.738394
0.060000,-0.468029,0.524975,0.710353,-0.451493,0.482504,0.679560,-0.448376,0.476685,0.738415
0.070000,-0.467980,0.524908,0.710400,-0.451477,0.482445,0.679602,-0.448322,0.476650,0.738453
0.080000,-0.467915,0.524888,0.710448,-0.451418,0.482433,0.679635,-0.448279,0.476615,0.738489
0.090000,-0.467848,0.524841,0.710492,-0.451346,0.482417,0.679667,-0.448234,0.476550,0.738533
0.100000,-0.467800,0.524814,0.710539,-0.451301,0.482384,0.679701,-0.448187,0.476518,0.738569
0.110000,-0.467739,0.524779,0.710588,-0.451239,0.482367,0.679740,-0.448154,0.476474,0.738613
0.120000,-0.467690,0.524725,0.710640,-0.451181,0.482352,0.679783,-0.448106,0.476436,0.738652
0.130000,-0.467631,0.524715,0.710685,-0.451137,0.482333,0.679826,-0.448056,0.476424,0.738689
0.140000,-0.467579,0.524682,0.710740,-0.451085,0.482320,0.679873,-0.448007,0.476392,0.738744
0.150000,-0.467524,0.524657,0.710795,-0.451040,0.482292,0.679918,-0.447966,0.476360,0.738788
0.160000,-0.467475,0.524639,0.710843,-0.451010,0.482259,0.679962,-0.447926,0.476333,0.738833
0.170000,-0.467434,0.524611,0.710890,-0.450960,0.482254,0.680011,-0.447899,0.476298,0.738882
0.180000,-0.467380,0.524609,0.710940,-0.450921,0.482244,0.680065,-0.447858,0.476284,0.738935
0.190000,-0.467341,0.524591,0.710992,-0.450885,0.482226,0.680099,-0.447831,0.476258,0.738975
0.200000,-0.467310,0.524573,0.711042,-0.450824,0.482241,0.680148,-0.447796,0.476242,0.739019
0.210000,-0.467280,0.524573,0.711079,-0.450794,0.482235,0.680183,-0.447753,0.476226,0.739072
0.220000,-0.467252,0.524551,0.711128,-0.450791,0.482198,0.680221,-0.447734,0.476213,0.739105
0.230000,-0.467223,0.524555,0.711172,-0.450754,0.482217,0.680261,-0.447687,0.476229,0.739163
0.240000,-0.467202,0.524544,0.711213,-0.450725,0.482215,0.680299,-0.447654,0.476227,0.739209
0.250000,-0.467173,0.524545,0.711260,-0.450711,0.482217,0.680326,-0.447654,0.476217,0.739244
0.260000,-0.467162,0.524538,0.711305,-0.450712,0.482208,0.680368,-0.447634,0.476219,0.739291
0.270000,-0.467150,0.524549,0.711341,-0.450691,0.482230,0.680396,-0.447619,0.476202,0.739311
0.280000,-0.467125,0.524549,0.711386,-0.450677,0.482230,0.680437,-0.447605,0.476209,0.739354
0.290000,-0.467122,0.524544,0.711424,-0.450661,0.482240,0.680473,-0.447594,0.476199,0.739392
0.300000,-0.467110,0.524548,0.711464,-0.450656,0.482231,0.680511,-0.447598,0.476196,0.739413
0.310000,-0.467106,0.524549,0.711503,-0.450618,0.482264,0.680554,-0.447593,0.476179,0.739458
0.320000,-0.467111,0.524540,0.711542,-0.450627,0.482260,0.680580,-0.447587,0.476181,0.739494
0.330000,-0.467105,0.524541,0.711583,-0.450623,0.482267,0.680612,-0.447603,0.476162,0.739532
0.340000,-0.467111,0.524547,0.711625,-0.450662,0.482243,0.680661,-0.447606,0.476158,0.739563
0.350000,-0.467119,0.524549,0.711658,-0.450664,0.482247,0.680692,-0.447631,0.476143,0.739595
0.360000,-0.467131,0.524556,0.711699,-0.450693,0.482238,0.680733,-0.447639,0.476150,0.739636
0.370000,-0.467142,0.524560,0.711741,-0.450692,0.482242,0.680758,-0.447663,0.476142,0.739661
0.380000,-0.467168,0.524560,0.711767,-0.450700,0.482258,0.680791,-0.447684,0.476140,0.739695
0.390000,-0.467197,0.524555,0.711800,-0.450709,0.482269,0.680826,-0.447716,0.476146,0.739725
0.400000,-0.467219,0.524566,0.711833,-0.450726,0.482284,0.680846,-0.447731,0.476158,0.739751
0.410000,-0.467242,0.524580,0.711859,-0.450757,0.482289,0.680868,-0.447758,0.476163,0.739786
0.420000,-0.467272,0.524588,0.711895,-0.450801,0.482290,0.680889,-0.447807,0.476169,0.739801
