Time,org_x,org_y,org_z,xvec_x,xvec_y,xvec_z,zvec_x,zvec_y,zvec_z
0.000000,0.420623,-0.034404,0.492982,0.391550,-0.023484,0.445271,0.444456,-0.047463,0.444781
0.010000,0.420663,-0.034318,0.493004,0.391605,-0.023349,0.445355,0.444517,-0.047358,0.444804
0.020000,0.420730,-0.034215,0.493010,0.391685,-0.023285,0.445364,0.444584,-0.047269,0.444844
0.030000,0.420796,-0.034143,0.493034,0.391748,-0.023203,0.445381,0.444659,-0.047169,0.444863
0.040000,0.420864,-0.034053,0.493057,0.391838,-0.023121,0.445394,0.444723,-0.047108,0.444881
0.050000,0.420922,-0.033978,0.493070,0.391888,-0.023059,0.445405,0.444794,-0.047065,0.444874
0.060000,0.420989,-0.033925,0.493085,0.391955,-0.023003,0.445414,0.444862,-0.046983,0.444892
0.070000,0.421034,-0.033879,0.493086,0.391998,-0.022949,0.445423,0.444929,-0.046899,0.444903
0.080000,0.421076,-0.033817,0.493092,0.392050,-0.022910,0.445429,0.444988,-0.046844,0.444910
0.090000,0.421120,-0.033799,0.493088,0.392094,-0.022902,0.445381,0.445034,-0.046768,0.444921
0.100000,0.421149,-0.033778,0.493090,0.392157,-0.022883,0.445357,0.445077,-0.046785,0.444914
0.110000,0.421188,-0.033745,0.493086,0.392198,-0.022811,0.445409,0.445111,-0.046742,0.444909
0.120000,0.421228,-0.033743,0.493087,0.392224,-0.022804,0.445397,0.445152,-0.046742,0.444906
0.130000,0.421243,-0.033745,0.493084,0.392262,-0.022861,0.445346,0.445164,-0.046769,0.444902
0.140000,0.421253,-0.033751,0.493092,0.392272,-0.022857,0.445344,0.445184,-0.046746,0.444910
0.150000,0.421265,-0.033734,0.493097,0.392275,-0.022876,0.445345,0.445191,-0.046772,0.444902
0.160000,0.421244,-0.033765,0.493086,0.392267,-0.022886,0.445342,0.445168,-0.046798,0.444910
0.170000,0.421222,-0.033781,0.493088,0.392238,-0.022894,0.445387,0.445160,-0.046802,0.444905
