Time,org_x,org_y,org_z,xvec_x,xvec_y,xvec_z,zvec_x,zvec_y,zvec_z
0.000000,-0.352018,0.447132,0.632085,-0.335827,0.401757,0.601244,-0.335030,0.401752,0.660444
0.010000,-0.352023,0.447147,0.632054,-0.335832,0.401784,0.601221,-0.335014,0.401772,0.660409
0.020000,-0.352041,0.447156,0.632025,-0.335837,0.401775,0.601197,-0.335029,0.401780,0.660392
0.030000,-0.352041,0.447155,0.632004,-0.335831,0.401802,0.601189,-0.335034,0.401806,0.660381
0.040000,-0.352054,0.447172,0.631995,-0.335853,0.401800,0.601179,-0.335046,0.401810,0.660383
0.050000,-0.352068,0.447166,0.631998,-0.335843,0.401793,0.601190,-0.335045,0.401812,0.660383
0.060000,-0.352062,0.447166,0.632011,-0.335830,0.401810,0.601192,-0.335047,0.401822,0.660389
0.070000,-0.352073,0.447162,0.632025,-0.335830,0.401798,0.601216,-0.335053,0.401806,0.660406
0.080000,-0.352061,0.447141,0.632042,-0.335827,0.401794,0.601228,-0.335053,0.401810,0.660429
0.090000,-0.352036,0.447168,0.632067,-0.335795,0.401797,0.601250,-0.335051,0.401808,0.660448
0.100000,-0.352034,0.447148,0.632069,-0.335749,0.401827,0.601301,-0.335037,0.401807,0.660453
0.110000,-0.352023,0.447154,0.632086,-0.335775,0.401778,0.601275,-0.335037,0.401787,0.660468
0.120000,-0.352015,0.447141,0.632090,-0.335757,0.401787,0.601288,-0.335027,0.401767,0.660481
0.130000,-0.351992,0.447130,0.632102,-0.335760,0.401769,0.601302,-0.335015,0.401769,0.660493
0.140000,-0.351980,0.447135,0.632116,-0.335722,0.401786,0.601341,-0.335009,0.401762,0.660501
0.150000,-0.351983,0.447125,0.632121,-0.335702,0.401803,0.601352,-0.335001,0.401760,0.660511
0.160000,-0.351961,0.447138,0.632141,-0.335699,0.401815,0.601370,-0.335006,0.401754,0.660519
0.170000,-0.351977,0.447141,0.632136,-0.335706,0.401804,0.601364,-0.334988,0.401786,0.660530
0.180000,-0.351965,0.447144,0.632156,-0.335694,0.401821,0.601374,-0.334976,0.401791,0.660534
0.190000,-0.351952,0.447158,0.632166,-0.335677,0.401842,0.601401,-0.334966,0.401794,0.660550
0.200000,-0.351950,0.447148,0.632183,-0.335675,0.401843,0.601404,-0.334959,0.401768,0.660554
0.210000,-0.351944,0.447149,0.632202,-0.335652,0.401859,0.601430,-0.334955,0.401774,0.660584
0.220000,-0.351925,0.447152,0.632227,-0.335646,0.401843,0.601441,-0.334938,0.401767,0.660598
0.230000,-0.351910,0.447149,0.632254,-0.335628,0.401833,0.601474,-0.334932,0.401754,0.660626
0.240000,-0.351877,0.447152,0.632283,-0.335638,0.401803,0.601506,-0.334910,0.401741,0.660645
0.250000,-0.351830,0.447150,0.632321,-0.335617,0.401781,0.601538,-0.334902,0.401724,0.660667
0.260000,-0.351806,0.447141,0.632351,-0.335579,0.401790,0.601569,-0.334896,0.401699,0.660710
0.270000,-0.351774,0.447141,0.632379,-0.335579,0.401754,0.601584,-0.334867,0.401704,0.660730
0.280000,-0.351751,0.447136,0.632407,-0.335547,0.401755,0.601624,-0.334843,0.401681,0.660772
0.290000,-0.351741,0.447120,0.632429,-0.335514,0.401738,0.601650,-0.334839,0.401667,0.660790
0.300000,-0.351697,0.447131,0.632450,-0.335468,0.401751,0.601676,-0.334824,0.401646,0.660811
0.310000,-0.351684,0.447110,0.632471,-0.335478,0.401703,0.601691,-0.334795,0.401636,0.660838
0.320000,-0.351664,0.447103,0.632474,-0.335443,0.401712,0.601704,-0.334773,0.401619,0.660858
0.330000,-0.351654,0.447090,0.632490,-0.335439,0.401693,0.601723,-0.334764,0.401602,0.660867
0.340000,-0.351623,0.447089,0.632498,-0.335430,0.401685,0.601729,-0.334759,0.401603,0.660874
0.350000,-0.351617,0.447075,0.632508,-0.335433,0.401665,0.601728,-0.334741,0.401586,0.660869
0.360000,-0.351599,0.447075,0.632509,-0.335432,0.401654,0.601727,-0.334740,0.401576,0.660870
0.370000,-0.351608,0.447069,0.632494,-0.335431,0.401660,0.601723,-0.334743,0.401567,0.660872
0.380000,-0.351618,0.447064,0.632503,-0.335435,0.401649,0.601727,-0.334739,0.401564,0.660870
0.390000,-0.351609,0.447068,0.632501,-0.335457,0.401637,0.601718,-0.334741,0.401569,0.660856
0.400000,-0.351625,0.447068,0.632496,-0.335451,0.401675,0.601710,-0.334746,0.401573,0.660853
0.410000,-0.351650,0.447081,0.632485,-0.335463,0.401687,0.601708,-0.334761,0.401572,0.660840
0.420000,-0.351681,0.447094,0.632480,-0.335487,0.401711,0.601692,-0.334786,0.401595,0.660833
0.430000,-0.351719,0.447107,0.632473,-0.335538,0.401716,0.601675,-0.334815,0.401608,0.660825
0.440000,-0.351750,0.447118,0.632461,-0.335553,0.401739,0.601662,-0.334855,0.401655,0.660818
0.450000,-0.351802,0.447111,0.632448,-0.335595,0.401761,0.601656,-0.334874,0.401677,0.660805
0.460000,-0.351830,0.447147,0.632433,-0.335626,0.401780,0.601644,-0.334911,0.401700,0.660793
0.470000,-0.351881,0.447157,0.632419,-0.335661,0.401805,0.601626,-0.334942,0.401716,0.660780
0.480000,-0.351946,0.447164,0.632390,-0.335704,0.401815,0.601604,-0.334976,0.401759,0.660753
0.490000,-0.352004,0.447181,0.632365,-0.335724,0.401859,0.601580,-0.335009,0.401769,0.660721
0.500000,-0.352040,0.447202,0.632329,-0.335755,0.401896,0.601557,-0.335028,0.401831,0.660704
0.510000,-0.352104,0.447239,0.632303,-0.335795,0.401928,0.601523,-0.335053,0.401887,0.660669
0.520000,-0.352157,0.447271,0.632268,-0.335877,0.401994,0.601475,-0.335092,0.401949,0.660632
0.530000,-0.352197,0.447309,0.632234,-0.335915,0.402032,0.601433,-0.335109,0.401993,0.660596
0.540000,-0.352241,0.447347,0.632221,-0.335962,0.402073,0.601403,-0.335121,0.402031,0.660566
