Time,org_x,org_y,org_z,xvec_x,xvec_y,xvec_z,zvec_x,zvec_y,zvec_z
0.000000,-0.240402,0.451242,0.591961,-0.229933,0.408987,0.557475,-0.225440,0.401808,0.616610
0.010000,-0.240401,0.451243,0.591938,-0.229939,0.408983,0.557456,-0.225445,0.401791,0.616596
0.020000,-0.240405,0.451230,0.591914,-0.229946,0.408962,0.557442,-0.225451,0.401794,0.616578
0.030000,-0.240406,0.451221,0.591893,-0.229937,0.408962,0.557408,-0.225448,0.401786,0.616559
0.040000,-0.240403,0.451222,0.591863,-0.229939,0.408960,0.557388,-0.225448,0.401798,0.616542
0.050000,-0.240405,0.451221,0.591842,-0.229941,0.408946,0.557363,-0.225451,0.401793,0.616522
0.060000,-0.240401,0.451216,0.591821,-0.229946,0.408952,0.557347,-0.225451,0.401794,0.616503
0.070000,-0.240409,0.451221,0.591805,-0.229948,0.408951,0.557334,-0.225449,0.401791,0.616490
0.080000,-0.240403,0.451221,0.591795,-0.229950,0.408937,0.557323,-0.225447,0.401792,0.616476
0.090000,-0.240400,0.451221,0.591779,-0.229955,0.408945,0.557316,-0.225448,0.401789,0.616468
0.100000,-0.240405,0.451217,0.591775,-0.229957,0.408943,0.557307,-0.225460,0.401815,0.616468
0.110000,-0.240410,0.451215,0.591773,-0.229956,0.408956,0.557305,-0.225457,0.401798,0.616469
0.120000,-0.240406,0.451222,0.591784,-0.229965,0.408945,0.557314,-0.225455,0.401792,0.616472
0.130000,-0.240411,0.451217,0.591791,-0.229968,0.408945,0.557321,-0.225456,0.401792,0.616481
0.140000,-0.240415,0.451218,0.591816,-0.229969,0.408939,0.557331,-0.225467,0.401807,0.616493
0.150000,-0.240419,0.451219,0.591827,-0.229968,0.408944,0.557349,-0.225464,0.401796,0.616506
0.160000,-0.240434,0.451222,0.591852,-0.229975,0.408950,0.557367,-0.225477,0.401788,0.616522
0.170000,-0.240438,0.451227,0.591869,-0.229976,0.408968,0.557384,-0.225486,0.401794,0.616543
0.180000,-0.240448,0.451247,0.591892,-0.229985,0.408963,0.557413,-0.225497,0.401798,0.616558
0.190000,-0.240465,0.451242,0.591917,-0.230004,0.408974,0.557441,-0.225511,0.401796,0.616584
0.200000,-0.240483,0.451239,0.591942,-0.230011,0.408981,0.557456,-0.225522,0.401798,0.616601
0.210000,-0.240493,0.451246,0.591953,-0.230018,0.408986,0.557471,-0.225540,0.401820,0.616611
