Time,org_x,org_y,org_z,xvec_x,xvec_y,xvec_z,zvec_x,zvec_y,zvec_z
0.000000,0.578799,-0.013688,0.153631,0.540734,-0.003216,0.115203,0.596943,-0.004496,0.098920
0.010000,0.578813,-0.013684,0.153622,0.540741,-0.003198,0.115203,0.596953,-0.004483,0.098923
0.020000,0.578809,-0.013690,0.153617,0.540749,-0.003206,0.115204,0.596979,-0.004463,0.098941
0.030000,0.578817,-0.013670,0.153630,0.540763,-0.003170,0.115202,0.597000,-0.004460,0.098931
0.040000,0.578821,-0.013653,0.153636,0.540782,-0.003160,0.115217,0.597005,-0.004457,0.098940
0.050000,0.578828,-0.013649,0.153652,0.540779,-0.003131,0.115232,0.597007,-0.004427,0.098964
0.060000,0.578839,-0.013641,0.153656,0.540788,-0.003123,0.115235,0.597027,-0.004417,0.098968
0.070000,0.578842,-0.013650,0.153656,0.540783,-0.003125,0.115254,0.597025,-0.004394,0.098995
0.080000,0.578846,-0.013617,0.153695,0.540766,-0.003073,0.115295,0.597029,-0.004401,0.099000
0.090000,0.578842,-0.013626,0.153695,0.540765,-0.003067,0.115313,0.597034,-0.004391,0.099008
0.100000,0.578839,-0.013607,0.153711,0.540781,-0.003122,0.115282,0.597026,-0.004388,0.099021
0.110000,0.578852,-0.013614,0.153708,0.540773,-0.003053,0.115322,0.597024,-0.004350,0.099037
0.120000,0.578852,-0.013596,0.153729,0.540766,-0.003077,0.115328,0.597031,-0.004358,0.099037
0.130000,0.578859,-0.013599,0.153722,0.540775,-0.003073,0.115328,0.597048,-0.004379,0.099036
0.140000,0.578870,-0.013607,0.153728,0.540811,-0.003097,0.115309,0.597040,-0.004380,0.099042
0.150000,0.578882,-0.013612,0.153724,0.540817,-0.003074,0.115318,0.597051,-0.004382,0.099035
0.160000,0.578879,-0.013614,0.153730,0.540816,-0.003126,0.115314,0.597052,-0.004384,0.099058
0.170000,0.578885,-0.013629,0.153738,0.540814,-0.003099,0.115340,0.597065,-0.004410,0.099060
0.180000,0.578883,-0.013625,0.153750,0.540845,-0.003105,0.115326,0.597077,-0.004420,0.099047
0.190000,0.578881,-0.013637,0.153745,0.540839,-0.003146,0.115319,0.597066,-0.004407,0.099068
0.200000,0.578891,-0.013648,0.153756,0.540815,-0.003101,0.115350,0.597082,-0.004422,0.099067
0.210000,0.578886,-0.013652,0.153742,0.540838,-0.003165,0.115320,0.597082,-0.004433,0.099074
0.220000,0.578880,-0.013655,0.153765,0.540838,-0.003175,0.115325,0.597079,-0.004448,0.099085
0.230000,0.578881,-0.013669,0.153772,0.540847,-0.003140,0.115341,0.597075,-0.004446,0.099095
0.240000,0.578869,-0.013664,0.153783,0.540844,-0.003168,0.115351,0.597074,-0.004470,0.099107
0.250000,0.578872,-0.013682,0.153782,0.540814,-0.003146,0.115385,0.597083,-0.004508,0.099116
0.260000,0.578872,-0.013717,0.153798,0.540835,-0.003237,0.115367,0.597080,-0.004488,0.099136
0.270000,0.578884,-0.013727,0.153813,0.540816,-0.003182,0.115412,0.597078,-0.004515,0.099150
0.280000,0.578884,-0.013733,0.153827,0.540828,-0.003176,0.115429,0.597072,-0.004514,0.099160
0.290000,0.578899,-0.013742,0.153828,0.540820,-0.003230,0.115427,0.597085,-0.004527,0.099155
0.300000,0.578905,-0.013746,0.153825,0.540854,-0.003242,0.115408,0.597087,-0.004538,0.099163
0.310000,0.578921,-0.013742,0.153835,0.540873,-0.003221,0.115417,0.597099,-0.004532,0.099161
0.320000,0.578926,-0.013722,0.153837,0.540883,-0.003243,0.115413,0.597108,-0.004508,0.099170
0.330000,0.578936,-0.013712,0.153841,0.540896,-0.003229,0.115412,0.597125,-0.004518,0.099160
