Time,org_x,org_y,org_z,xvec_x,xvec_y,xvec_z,zvec_x,zvec_y,zvec_z
0.000000,0.070146,0.013295,0.652162,0.107196,-0.031363,0.641473,0.051788,-0.040714,0.662463
0.010000,0.070136,0.013259,0.652171,0.107168,-0.031406,0.641468,0.051764,-0.040717,0.662469
0.020000,0.070116,0.013243,0.652173,0.107157,-0.031418,0.641476,0.051752,-0.040750,0.662451
0.030000,0.070090,0.013219,0.652192,0.107138,-0.031442,0.641493,0.051725,-0.040752,0.662461
0.040000,0.070088,0.013242,0.652210,0.107137,-0.031444,0.641499,0.051723,-0.040766,0.662463
0.050000,0.070062,0.013222,0.652237,0.107103,-0.031454,0.641536,0.051683,-0.040783,0.662482
0.060000,0.070059,0.013240,0.652250,0.107087,-0.031446,0.641560,0.051669,-0.040775,0.662494
0.070000,0.070035,0.013221,0.652277,0.107088,-0.031444,0.641595,0.051645,-0.040769,0.662521
0.080000,0.070019,0.013232,0.652315,0.107065,-0.031445,0.641612,0.051640,-0.040766,0.662519
0.090000,0.070006,0.013221,0.652322,0.107061,-0.031435,0.641626,0.051613,-0.040781,0.662537
0.100000,0.069988,0.013207,0.652352,0.107030,-0.031448,0.641654,0.051602,-0.040774,0.662545
0.110000,0.069962,0.013194,0.652364,0.107012,-0.031441,0.641669,0.051583,-0.040820,0.662549
0.120000,0.069945,0.013161,0.652398,0.107006,-0.031472,0.641707,0.051565,-0.040828,0.662578
0.130000,0.069921,0.013118,0.652404,0.106991,-0.031481,0.641733,0.051535,-0.040839,0.662588
0.140000,0.069916,0.013127,0.652424,0.106976,-0.031496,0.641768,0.051534,-0.040871,0.662595
0.150000,0.069912,0.013115,0.652438,0.106986,-0.031500,0.641779,0.051523,-0.040857,0.662606
0.160000,0.069913,0.013120,0.652440,0.106991,-0.031470,0.641782,0.051525,-0.040839,0.662603
0.170000,0.069916,0.013158,0.652460,0.106993,-0.031452,0.641794,0.051527,-0.040823,0.662615
0.180000,0.069940,0.013187,0.652495,0.107000,-0.031438,0.641823,0.051530,-0.040795,0.662628
0.190000,0.069945,0.013219,0.652512,0.107014,-0.031364,0.641857,0.051542,-0.040737,0.662651
0.200000,0.069955,0.013265,0.652551,0.107015,-0.031343,0.641911,0.051549,-0.040684,0.662697
0.210000,0.069966,0.013313,0.652586,0.107037,-0.031291,0.641935,0.051554,-0.040662,0.662732
0.220000,0.069972,0.013336,0.652627,0.107014,-0.031270,0.641985,0.051550,-0.040602,0.662770
0.230000,0.069968,0.013359,0.652650,0.107028,-0.031226,0.642010,0.051566,-0.040596,0.662816
0.240000,0.069964,0.013407,0.652681,0.107029,-0.031212,0.642060,0.051572,-0.040560,0.662855
0.250000,0.069957,0.013421,0.652716,0.107038,-0.031143,0.642113,0.051578,-0.040545,0.662884
0.260000,0.069952,0.013428,0.652738,0.107038,-0.031131,0.642144,0.051571,-0.040511,0.662913
0.270000,0.069951,0.013436,0.652759,0.107043,-0.031117,0.642151,0.051595,-0.040511,0.662935
0.280000,0.069950,0.013449,0.652769,0.107053,-0.031095,0.642165,0.051605,-0.040498,0.662950
0.290000,0.069964,0.013462,0.652770,0.107067,-0.031092,0.642173,0.051637,-0.040513,0.662958
0.300000,0.069965,0.013495,0.652783,0.107090,-0.031061,0.642196,0.051636,-0.040469,0.662971
0.310000,0.069998,0.013512,0.652793,0.107117,-0.031036,0.642207,0.051681,-0.040473,0.662988
0.320000,0.070005,0.013532,0.652808,0.107137,-0.031013,0.642201,0.051696,-0.040430,0.663001
0.330000,0.070051,0.013583,0.652819,0.107185,-0.030968,0.642221,0.051739,-0.040392,0.663014
0.340000,0.070078,0.013620,0.652834,0.107227,-0.030881,0.642251,0.051790,-0.040359,0.663045
0.350000,0.070120,0.013679,0.652855,0.107267,-0.030856,0.642272,0.051823,-0.040289,0.663065
0.360000,0.070153,0.013731,0.652869,0.107293,-0.030810,0.642299,0.051867,-0.040283,0.663086
0.370000,0.070183,0.013747,0.652876,0.107321,-0.030788,0.642312,0.051894,-0.040244,0.663117
0.380000,0.070215,0.013774,0.652877,0.107348,-0.030767,0.642303,0.051947,-0.040229,0.663128
0.390000,0.070239,0.013808,0.652873,0.107386,-0.030702,0.642317,0.051975,-0.040172,0.663134
0.400000,0.070254,0.013832,0.652864,0.107412,-0.030697,0.642314,0.052018,-0.040170,0.663135
