Time,org_x,org_y,org_z,xvec_x,xvec_y,xvec_z,zvec_x,zvec_y,zvec_z
0.000000,-0.294950,0.429609,0.545583,-0.283177,0.386091,0.509437,-0.279296,0.380580,0.568449
0.010000,-0.294964,0.429616,0.545594,-0.283188,0.386105,0.509438,-0.279312,0.380575,0.568449
0.020000,-0.294979,0.429614,0.545595,-0.283193,0.386112,0.509447,-0.279327,0.380612,0.568447
0.030000,-0.294984,0.429618,0.545600,-0.283210,0.386117,0.509443,-0.279321,0.380584,0.568454
0.040000,-0.294982,0.429619,0.545606,-0.283211,0.386107,0.509450,-0.279333,0.380617,0.568452
0.050000,-0.295014,0.429617,0.545610,-0.283212,0.386110,0.509452,-0.279334,0.380610,0.568460
0.060000,-0.294990,0.429623,0.545618,-0.283218,0.386106,0.509454,-0.279324,0.380576,0.568464
0.070000,-0.294991,0.429617,0.545624,-0.283211,0.386123,0.509468,-0.279332,0.380617,0.568469
0.080000,-0.294989,0.429617,0.545624,-0.283201,0.386110,0.509467,-0.279329,0.380614,0.568474
0.090000,-0.294981,0.429619,0.545629,-0.283202,0.386102,0.509483,-0.279321,0.380618,0.568484
0.100000,-0.294979,0.429626,0.545627,-0.283193,0.386111,0.509480,-0.279305,0.380589,0.568490
0.110000,-0.294971,0.429615,0.545627,-0.283184,0.386103,0.509485,-0.279297,0.380587,0.568489
0.120000,-0.294960,0.429607,0.545628,-0.283175,0.386087,0.509488,-0.279294,0.380627,0.568501
0.130000,-0.294937,0.429605,0.545639,-0.283167,0.386080,0.509497,-0.279251,0.380617,0.568536
0.140000,-0.294920,0.429604,0.545651,-0.283154,0.386084,0.509505,-0.279240,0.380619,0.568551
0.150000,-0.294911,0.429602,0.545675,-0.283139,0.386087,0.509522,-0.279233,0.380605,0.568564
0.160000,-0.294902,0.429608,0.545706,-0.283118,0.386104,0.509553,-0.279221,0.380597,0.568590
0.170000,-0.294892,0.429598,0.545732,-0.283103,0.386125,0.509575,-0.279216,0.380587,0.568628
0.180000,-0.294888,0.429609,0.545765,-0.283108,0.386118,0.509603,-0.279215,0.380589,0.568652
0.190000,-0.294888,0.429609,0.545788,-0.283105,0.386120,0.509629,-0.279224,0.380589,0.568666
0.200000,-0.294895,0.429617,0.545809,-0.283095,0.386142,0.509637,-0.279224,0.380594,0.568684
0.210000,-0.294898,0.429620,0.545826,-0.283097,0.386130,0.509660,-0.279228,0.380597,0.568707
0.220000,-0.294915,0.429622,0.545844,-0.283094,0.386134,0.509682,-0.279246,0.380601,0.568726
0.230000,-0.294924,0.429615,0.545859,-0.283103,0.386125,0.509700,-0.279258,0.380623,0.568769
0.240000,-0.294942,0.429635,0.545870,-0.283115,0.386130,0.509713,-0.279280,0.380608,0.568774
0.250000,-0.294969,0.429639,0.545875,-0.283125,0.386134,0.509738,-0.279295,0.380633,0.568791
0.260000,-0.294998,0.429640,0.545873,-0.283154,0.386142,0.509735,-0.279320,0.380639,0.568796
0.270000,-0.295038,0.429656,0.545877,-0.283178,0.386153,0.509736,-0.279363,0.380642,0.568802
0.280000,-0.295097,0.429653,0.545854,-0.283243,0.386163,0.509748,-0.279393,0.380690,0.568787
0.290000,-0.295135,0.429669,0.545840,-0.283285,0.386193,0.509736,-0.279458,0.380727,0.568783
0.300000,-0.295184,0.429693,0.545823,-0.283321,0.386227,0.509708,-0.279500,0.380737,0.568760
0.310000,-0.295229,0.429714,0.545811,-0.283377,0.386236,0.509688,-0.279534,0.380764,0.568748
0.320000,-0.295272,0.429733,0.545794,-0.283431,0.386258,0.509671,-0.279574,0.380802,0.568725
0.330000,-0.295314,0.429760,0.545779,-0.283496,0.386279,0.509646,-0.279599,0.380818,0.568700
0.340000,-0.295364,0.429773,0.545774,-0.283539,0.386300,0.509630,-0.279657,0.380825,0.568661
