Time,org_x,org_y,org_z,xvec_x,xvec_y,xvec_z,zvec_x,zvec_y,zvec_z
0.000000,-0.290561,0.423145,0.549297,-0.281428,0.378825,0.512991,-0.280564,0.372553,0.572022
0.010000,-0.290530,0.423107,0.549345,-0.281405,0.378756,0.513059,-0.280520,0.372554,0.572156
0.020000,-0.290490,0.423067,0.549397,-0.281358,0.378741,0.513113,-0.280500,0.372528,0.572198
0.030000,-0.290448,0.423057,0.549432,-0.281322,0.378737,0.513155,-0.280475,0.372506,0.572237
0.040000,-0.290410,0.423039,0.549484,-0.281287,0.378728,0.513209,-0.280445,0.372492,0.572261
0.050000,-0.290375,0.423031,0.549503,-0.281258,0.378723,0.513243,-0.280424,0.372476,0.572290
0.060000,-0.290360,0.423011,0.549533,-0.281233,0.378719,0.513265,-0.280406,0.372455,0.572298
0.070000,-0.290320,0.423007,0.549539,-0.281219,0.378704,0.513282,-0.280374,0.372423,0.572326
0.080000,-0.290306,0.422991,0.549554,-0.281196,0.378690,0.513290,-0.280356,0.372418,0.572341
0.090000,-0.290284,0.422988,0.549558,-0.281177,0.378692,0.513306,-0.280336,0.372401,0.572346
0.100000,-0.290264,0.422977,0.549571,-0.281172,0.378685,0.513301,-0.280306,0.372396,0.572356
0.110000,-0.290236,0.422962,0.549579,-0.281152,0.378667,0.513324,-0.280299,0.372383,0.572359
0.120000,-0.290219,0.422953,0.549601,-0.281142,0.378674,0.513322,-0.280282,0.372366,0.572378
0.130000,-0.290202,0.422944,0.549626,-0.281141,0.378667,0.513338,-0.280271,0.372344,0.572390
0.140000,-0.290194,0.422932,0.549639,-0.281116,0.378665,0.513368,-0.280268,0.372341,0.572393
0.150000,-0.290185,0.422920,0.549663,-0.281120,0.378676,0.513385,-0.280264,0.372322,0.572417
0.160000,-0.290188,0.422927,0.549679,-0.281123,0.378658,0.513402,-0.280250,0.372340,0.572435
0.170000,-0.290208,0.422921,0.549713,-0.281125,0.378696,0.513409,-0.280254,0.372330,0.572453
0.180000,-0.290223,0.422938,0.549729,-0.281130,0.378706,0.513443,-0.280265,0.372334,0.572463
0.190000,-0.290244,0.422944,0.549753,-0.281145,0.378716,0.513455,-0.280281,0.372356,0.572478
0.200000,-0.290266,0.422954,0.549768,-0.281160,0.378726,0.513476,-0.280304,0.372354,0.572486
0.210000,-0.290295,0.422967,0.549772,-0.281182,0.378741,0.513489,-0.280323,0.372364,0.572500
0.220000,-0.290328,0.422975,0.549773,-0.281204,0.378747,0.513489,-0.280345,0.372388,0.572502
0.230000,-0.290349,0.422987,0.549773,-0.281224,0.378767,0.513493,-0.280402,0.372391,0.572519
0.240000,-0.290401,0.423001,0.549761,-0.281250,0.378790,0.513472,-0.280421,0.372395,0.572514
0.250000,-0.290437,0.423028,0.549741,-0.281283,0.378811,0.513471,-0.280465,0.372430,0.572493
0.260000,-0.290470,0.423052,0.549719,-0.281309,0.378841,0.513443,-0.280493,0.372459,0.572466
0.270000,-0.290530,0.423070,0.549685,-0.281352,0.378841,0.513401,-0.280522,0.372481,0.572439
0.280000,-0.290569,0.423095,0.549654,-0.281404,0.378838,0.513353,-0.280542,0.372505,0.572415
0.290000,-0.290604,0.423121,0.549618,-0.281431,0.378853,0.513317,-0.280567,0.372519,0.572370
0.300000,-0.290640,0.423144,0.549585,-0.281468,0.378872,0.513279,-0.280568,0.372578,0.572327
0.310000,-0.290665,0.423175,0.549565,-0.281498,0.378896,0.513256,-0.280600,0.372567,0.572323
0.320000,-0.290684,0.423191,0.549551,-0.281525,0.378903,0.513232,-0.280619,0.372589,0.572304
0.330000,-0.290707,0.423208,0.549547,-0.281533,0.378945,0.513223,-0.280611,0.372625,0.572274
0.340000,-0.290730,0.423229,0.549544,-0.281558,0.378970,0.513219,-0.280620,0.372649,0.572259
0.350000,-0.290750,0.423257,0.549555,-0.281572,0.378998,0.513209,-0.280637,0.372660,0.572255
0.360000,-0.290776,0.423274,0.549556,-0.281583,0.379068,0.513192,-0.280645,0.372689,0.572260
0.370000,-0.290799,0.423296,0.549564,-0.281598,0.379060,0.513213,-0.280657,0.372699,0.572258
0.380000,-0.290827,0.423309,0.549575,-0.281603,0.379114,0.513201,-0.280680,0.372718,0.572266
0.390000,-0.290844,0.423327,0.549574,-0.281611,0.379148,0.513217,-0.280691,0.372750,0.572272
0.400000,-0.290863,0.423346,0.549586,-0.281618,0.379167,0.513228,-0.280715,0.372751,0.572282
