Time,org_x,org_y,org_z,xvec_x,xvec_y,xvec_z,zvec_x,zvec_y,zvec_z
0.000000,-0.220166,0.484504,0.630929,-0.214068,0.432706,0.605980,-0.211578,0.438236,0.664914
0.010000,-0.220237,0.484533,0.630596,-0.214093,0.432643,0.605726,-0.211134,0.438780,0.664745
0.020000,-0.220281,0.484542,0.630261,-0.214115,0.432733,0.605418,-0.211197,0.438837,0.664466
0.030000,-0.220285,0.484573,0.629952,-0.214097,0.432706,0.605174,-0.211245,0.438868,0.664199
0.040000,-0.220293,0.484605,0.629657,-0.214074,0.432699,0.604934,-0.211260,0.438913,0.663932
0.050000,-0.220260,0.484609,0.629390,-0.214028,0.432688,0.604691,-0.211282,0.438929,0.663679
0.060000,-0.220217,0.484592,0.629121,-0.213988,0.432639,0.604481,-0.211265,0.438955,0.663468
0.070000,-0.220149,0.484578,0.628898,-0.213920,0.432603,0.604258,-0.211210,0.438968,0.663239
0.080000,-0.220056,0.484537,0.628684,-0.213822,0.432551,0.604053,-0.211157,0.438954,0.663069
0.090000,-0.219937,0.484470,0.628505,-0.213708,0.432471,0.603870,-0.211084,0.438888,0.662923
0.100000,-0.219808,0.484390,0.628372,-0.213600,0.432372,0.603753,-0.210995,0.438805,0.662809
0.110000,-0.219679,0.484291,0.628256,-0.213472,0.432278,0.603662,-0.211921,0.437901,0.662373
0.120000,-0.219539,0.484182,0.628167,-0.213326,0.432163,0.603582,-0.211795,0.437801,0.662291
0.130000,-0.219393,0.484060,0.628110,-0.213156,0.432022,0.603514,-0.211192,0.437945,0.662440
0.140000,-0.219220,0.483893,0.628063,-0.212988,0.431878,0.603471,-0.211048,0.437761,0.662409
0.150000,-0.219034,0.483708,0.628035,-0.212793,0.431703,0.603450,-0.210876,0.437564,0.662392
0.160000,-0.218806,0.483539,0.628016,-0.212596,0.431512,0.603460,-0.210694,0.437401,0.662387
0.170000,-0.218551,0.483310,0.628032,-0.212378,0.431302,0.603461,-0.210520,0.437159,0.662405
0.180000,-0.218300,0.483053,0.628051,-0.212159,0.431034,0.603500,-0.210289,0.436928,0.662417
0.190000,-0.218033,0.482799,0.628089,-0.211909,0.430783,0.603536,-0.210049,0.436659,0.662443
0.200000,-0.217752,0.482533,0.628146,-0.211672,0.430483,0.603595,-0.209787,0.436397,0.662491
0.210000,-0.217453,0.482273,0.628256,-0.211432,0.430217,0.603657,-0.210037,0.435835,0.662366
0.220000,-0.217192,0.482005,0.628370,-0.211186,0.430002,0.603728,-0.209326,0.435826,0.662653
0.230000,-0.216934,0.481738,0.628471,-0.210960,0.429734,0.603824,-0.209091,0.435559,0.662752
0.240000,-0.216686,0.481500,0.628556,-0.210750,0.429481,0.603928,-0.208888,0.435305,0.662829
0.250000,-0.216474,0.481300,0.628633,-0.210565,0.429296,0.603997,-0.208732,0.435064,0.662917
0.260000,-0.216280,0.481106,0.628733,-0.210404,0.429121,0.604090,-0.208571,0.434878,0.663000
