Time,org_x,org_y,org_z,xvec_x,xvec_y,xvec_z,zvec_x,zvec_y,zvec_z
0.000000,-0.230298,0.494159,0.640475,-0.221690,0.443209,0.614313,-0.223156,0.447291,0.673389
0.010000,-0.230221,0.494100,0.640521,-0.221611,0.443131,0.614369,-0.222881,0.447638,0.673284
0.020000,-0.230135,0.494048,0.640574,-0.221536,0.443088,0.614428,-0.222801,0.447589,0.673347
0.030000,-0.230058,0.493986,0.640666,-0.221459,0.443036,0.614507,-0.222700,0.447576,0.673460
0.040000,-0.229988,0.493940,0.640762,-0.221393,0.442993,0.614596,-0.222604,0.447526,0.673550
0.050000,-0.229893,0.493904,0.640873,-0.221328,0.442952,0.614693,-0.222542,0.447476,0.673653
0.060000,-0.229819,0.493878,0.640981,-0.221256,0.442942,0.614794,-0.222458,0.447428,0.673751
0.070000,-0.229748,0.493853,0.641099,-0.221196,0.442929,0.614905,-0.222401,0.447376,0.673858
0.080000,-0.229676,0.493857,0.641235,-0.221148,0.442942,0.614997,-0.222334,0.447350,0.673962
0.090000,-0.229620,0.493866,0.641366,-0.221113,0.442962,0.615097,-0.222304,0.447352,0.674068
0.100000,-0.229582,0.493886,0.641493,-0.221061,0.442995,0.615204,-0.222253,0.447374,0.674190
0.110000,-0.229544,0.493903,0.641629,-0.221030,0.443037,0.615316,-0.222220,0.447385,0.674292
0.120000,-0.229530,0.493931,0.641768,-0.220995,0.443082,0.615431,-0.222192,0.447405,0.674407
0.130000,-0.229512,0.493943,0.641892,-0.220971,0.443106,0.615553,-0.222162,0.447411,0.674528
0.140000,-0.229491,0.493936,0.642009,-0.220930,0.443149,0.615654,-0.222143,0.447415,0.674639
0.150000,-0.229452,0.493953,0.642147,-0.220912,0.443162,0.615762,-0.222132,0.447385,0.674768
0.160000,-0.229440,0.493942,0.642253,-0.220891,0.443186,0.615857,-0.222313,0.446978,0.675012
0.170000,-0.229419,0.493906,0.642362,-0.220870,0.443178,0.615960,-0.222292,0.446979,0.675113
0.180000,-0.229405,0.493884,0.642471,-0.220855,0.443185,0.616074,-0.222085,0.447340,0.675059
0.190000,-0.229375,0.493882,0.642589,-0.220848,0.443145,0.616184,-0.222258,0.446925,0.675313
0.200000,-0.229360,0.493858,0.642708,-0.220826,0.443117,0.616292,-0.222227,0.446907,0.675434
0.210000,-0.229335,0.493821,0.642817,-0.220799,0.443087,0.616386,-0.222022,0.447258,0.675373
0.220000,-0.229305,0.493795,0.642914,-0.220770,0.443065,0.616481,-0.222219,0.446832,0.675623
0.230000,-0.229288,0.493748,0.642998,-0.220753,0.443018,0.616573,-0.222022,0.447188,0.675548
0.240000,-0.229255,0.493718,0.643090,-0.220738,0.442972,0.616659,-0.222208,0.446742,0.675777
0.250000,-0.229234,0.493699,0.643156,-0.220716,0.442957,0.616711,-0.221972,0.447107,0.675684
0.260000,-0.229211,0.493671,0.643221,-0.220702,0.442875,0.616791,-0.221961,0.447059,0.675730
0.270000,-0.229205,0.493639,0.643266,-0.220688,0.442850,0.616827,-0.221974,0.447035,0.675775
0.280000,-0.229185,0.493611,0.643293,-0.220674,0.442832,0.616847,-0.221964,0.447004,0.675801
0.290000,-0.229152,0.493596,0.643298,-0.220672,0.442815,0.616857,-0.221952,0.446980,0.675804
0.300000,-0.229149,0.493570,0.643299,-0.220667,0.442793,0.616853,-0.221929,0.446975,0.675803
0.310000,-0.229127,0.493557,0.643267,-0.220674,0.442782,0.616827,-0.221904,0.446953,0.675766
0.320000,-0.229131,0.493552,0.643241,-0.220685,0.442778,0.616800,-0.221911,0.446943,0.675745
0.330000,-0.229151,0.493563,0.643195,-0.220719,0.442777,0.616765,-0.221913,0.446969,0.675710
0.340000,-0.229193,0.493581,0.643162,-0.220760,0.442800,0.616729,-0.221941,0.446985,0.675675
0.350000,-0.229259,0.493623,0.643128,-0.220803,0.442873,0.616682,-0.221986,0.447021,0.675642
0.360000,-0.229329,0.493664,0.643089,-0.220849,0.442919,0.616651,-0.222242,0.446683,0.675777
0.370000,-0.229398,0.493710,0.643064,-0.220895,0.442959,0.616634,-0.222084,0.447146,0.675595
0.380000,-0.229479,0.493748,0.643040,-0.220944,0.443003,0.616620,-0.222344,0.446778,0.675743
0.390000,-0.229543,0.493795,0.643020,-0.221005,0.443030,0.616602,-0.222205,0.447228,0.675570
0.400000,-0.229632,0.493839,0.643004,-0.221064,0.443080,0.616580,-0.222268,0.447276,0.675542
0.410000,-0.229685,0.493905,0.642943,-0.221116,0.443115,0.616557,-0.222333,0.447338,0.675518
0.420000,-0.229767,0.493919,0.642925,-0.221170,0.443147,0.616537,-0.222400,0.447366,0.675495
0.430000,-0.229835,0.493964,0.642881,-0.221221,0.443173,0.616509,-0.222466,0.447405,0.675459
0.440000,-0.229908,0.494007,0.642840,-0.221274,0.443202,0.616475,-0.222713,0.447070,0.675569
0.450000,-0.229982,0.494045,0.642796,-0.221334,0.443224,0.616448,-0.222787,0.447102,0.675541
0.460000,-0.230069,0.494080,0.642749,-0.221397,0.443263,0.616406,-0.222853,0.447140,0.675506
0.470000,-0.230144,0.494129,0.642725,-0.221454,0.443284,0.616377,-0.222725,0.447574,0.675327
0.480000,-0.230209,0.494185,0.642671,-0.221508,0.443297,0.616348,-0.222985,0.447228,0.675436
0.490000,-0.230281,0.494217,0.642636,-0.221563,0.443326,0.616320,-0.223044,0.447259,0.675406
0.500000,-0.230353,0.494232,0.642582,-0.221626,0.443369,0.616297,-0.222913,0.447672,0.675227
0.510000,-0.230416,0.494264,0.642545,-0.221693,0.443394,0.616261,-0.223153,0.447312,0.675336
0.520000,-0.230467,0.494290,0.642506,-0.221734,0.443414,0.616231,-0.223007,0.447764,0.675137
0.530000,-0.230516,0.494311,0.642479,-0.221783,0.443446,0.616203,-0.223065,0.447787,0.675112
0.540000,-0.230569,0.494339,0.642452,-0.221834,0.443463,0.616176,-0.223113,0.447811,0.675091
0.550000,-0.230619,0.494357,0.642436,-0.221883,0.443472,0.616161,-0.223170,0.447835,0.675062
0.560000,-0.230669,0.494376,0.642412,-0.221928,0.443496,0.616145,-0.223216,0.447840,0.675052
0.570000,-0.230726,0.494403,0.642398,-0.221980,0.443516,0.616122,-0.223265,0.447873,0.675028
0.580000,-0.230778,0.494412,0.642385,-0.222008,0.443567,0.616091,-0.223307,0.447887,0.675004
0.590000,-0.230823,0.494427,0.642366,-0.222070,0.443545,0.616095,-0.223354,0.447891,0.674999
0.600000,-0.230861,0.494432,0.642363,-0.222107,0.443554,0.616076,-0.223394,0.447898,0.674983
0.610000,-0.230900,0.494437,0.642354,-0.222138,0.443597,0.616046,-0.223419,0.447922,0.674967
0.620000,-0.230935,0.494449,0.642346,-0.222183,0.443597,0.616030,-0.223462,0.447917,0.674952
0.630000,-0.230968,0.494454,0.642325,-0.222216,0.443614,0.616018,-0.223496,0.447925,0.674937
0.640000,-0.231018,0.494456,0.642309,-0.222245,0.443624,0.616003,-0.223531,0.447925,0.674923
0.650000,-0.231039,0.494461,0.642297,-0.222280,0.443620,0.615981,-0.223578,0.447940,0.674891
0.660000,-0.231074,0.494467,0.642276,-0.222309,0.443625,0.615956,-0.223613,0.447948,0.674886
0.670000,-0.231114,0.494481,0.642249,-0.222343,0.443631,0.615940,-0.223652,0.447956,0.674868
0.680000,-0.231150,0.494481,0.642229,-0.222378,0.443641,0.615915,-0.223691,0.447973,0.674849
0.690000,-0.231190,0.494514,0.642206,-0.222419,0.443652,0.615905,-0.223733,0.447980,0.674836
0.700000,-0.231232,0.494538,0.642179,-0.222460,0.443680,0.615882,-0.223763,0.448001,0.674819
0.710000,-0.231278,0.494559,0.642166,-0.222487,0.443693,0.615864,-0.223797,0.448028,0.674804
0.720000,-0.231313,0.494585,0.642155,-0.222519,0.443722,0.615855,-0.223828,0.448039,0.674792
