Time,org_x,org_y,org_z,xvec_x,xvec_y,xvec_z,zvec_x,zvec_y,zvec_z
0.000000,-0.024491,0.077043,0.581614,0.007924,0.029544,0.588510,-0.050583,0.026429,0.576607
0.010000,-0.024498,0.077024,0.581610,0.007896,0.029528,0.588521,-0.050591,0.026423,0.576605
0.020000,-0.024513,0.077037,0.581623,0.007882,0.029525,0.588512,-0.050600,0.026390,0.576602
0.030000,-0.024529,0.077014,0.581623,0.007878,0.029511,0.588520,-0.050622,0.026390,0.576593
0.040000,-0.024546,0.077002,0.581620,0.007860,0.029497,0.588520,-0.050641,0.026388,0.576607
0.050000,-0.024550,0.076984,0.581610,0.007849,0.029475,0.588510,-0.050651,0.026362,0.576578
0.060000,-0.024547,0.076977,0.581609,0.007840,0.029457,0.588504,-0.050646,0.026315,0.576551
0.070000,-0.024575,0.076910,0.581595,0.007848,0.029448,0.588481,-0.050666,0.026336,0.576552
0.080000,-0.024562,0.076908,0.581596,0.007854,0.029437,0.588479,-0.050657,0.026360,0.576559
0.090000,-0.024543,0.076909,0.581591,0.007874,0.029418,0.588478,-0.050627,0.026303,0.576547
0.100000,-0.024508,0.076939,0.581588,0.007891,0.029435,0.588477,-0.050613,0.026299,0.576566
0.110000,-0.024507,0.076919,0.581592,0.007901,0.029407,0.588476,-0.050609,0.026333,0.576562
0.120000,-0.024493,0.076921,0.581590,0.007913,0.029411,0.588476,-0.050598,0.026328,0.576568
0.130000,-0.024483,0.076920,0.581601,0.007910,0.029400,0.588480,-0.050588,0.026308,0.576565
0.140000,-0.024468,0.076916,0.581591,0.007931,0.029402,0.588473,-0.050586,0.026333,0.576567
0.150000,-0.024464,0.076888,0.581588,0.007953,0.029405,0.588461,-0.050564,0.026321,0.576560
0.160000,-0.024445,0.076908,0.581594,0.007949,0.029390,0.588458,-0.050545,0.026296,0.576557
0.170000,-0.024439,0.076914,0.581573,0.008025,0.029466,0.588459,-0.050539,0.026326,0.576553
0.180000,-0.024429,0.076908,0.581561,0.008049,0.029490,0.588446,-0.050526,0.026318,0.576537
0.190000,-0.024415,0.076918,0.581562,0.007982,0.029402,0.588433,-0.050528,0.026328,0.576540
0.200000,-0.024418,0.076913,0.581557,0.008031,0.029473,0.588440,-0.050532,0.026308,0.576528
0.210000,-0.024433,0.076918,0.581551,0.008025,0.029469,0.588451,-0.050531,0.026346,0.576531
0.220000,-0.024435,0.076924,0.581561,0.007948,0.029402,0.588441,-0.050549,0.026343,0.576541
0.230000,-0.024444,0.076940,0.581562,0.008007,0.029481,0.588449,-0.050566,0.026333,0.576528
0.240000,-0.024458,0.076928,0.581559,0.008000,0.029499,0.588457,-0.050567,0.026333,0.576533
0.250000,-0.024457,0.076953,0.581551,0.007941,0.029435,0.588439,-0.050569,0.026341,0.576523
0.260000,-0.024465,0.076947,0.581562,0.007926,0.029420,0.588444,-0.050581,0.026359,0.576526
0.270000,-0.024471,0.076930,0.581556,0.007928,0.029422,0.588437,-0.050576,0.026322,0.576526
0.280000,-0.024471,0.076930,0.581556,0.007918,0.029431,0.588432,-0.050585,0.026322,0.576527
0.290000,-0.024479,0.076948,0.581559,0.007903,0.029433,0.588430,-0.050600,0.026337,0.576526
0.300000,-0.024487,0.076939,0.581563,0.007911,0.029425,0.588439,-0.050595,0.026333,0.576530
0.310000,-0.024483,0.076949,0.581562,0.007901,0.029438,0.588446,-0.050613,0.026334,0.576520
