Time,org_x,org_y,org_z,xvec_x,xvec_y,xvec_z,zvec_x,zvec_y,zvec_z
0.000000,0.008036,0.134642,0.550428,0.039019,0.087284,0.554680,-0.020538,0.084729,0.563683
0.010000,0.008037,0.134646,0.550417,0.039015,0.087296,0.554680,-0.020531,0.084752,0.563694
0.020000,0.008010,0.134642,0.550398,0.039014,0.087308,0.554676,-0.020548,0.084750,0.563684
0.030000,0.007979,0.134691,0.550381,0.038998,0.087326,0.554673,-0.020560,0.084742,0.563666
0.040000,0.007948,0.134707,0.550346,0.038980,0.087362,0.554676,-0.020585,0.084768,0.563656
0.050000,0.007903,0.134776,0.550311,0.038960,0.087400,0.554669,-0.020595,0.084789,0.563631
0.060000,0.007892,0.134812,0.550286,0.038935,0.087422,0.554662,-0.020604,0.084835,0.563613
0.070000,0.007895,0.134880,0.550260,0.038949,0.087489,0.554627,-0.020607,0.084884,0.563576
0.080000,0.007943,0.134927,0.550202,0.038982,0.087544,0.554588,-0.020572,0.084925,0.563547
0.090000,0.007942,0.134962,0.550152,0.039011,0.087557,0.554535,-0.020529,0.084955,0.563515
0.100000,0.008012,0.134981,0.550113,0.039082,0.087561,0.554433,-0.020468,0.084988,0.563488
0.110000,0.008068,0.134980,0.550022,0.039125,0.087569,0.554372,-0.020412,0.084986,0.563461
0.120000,0.008198,0.135061,0.550062,0.039183,0.087598,0.554330,-0.020356,0.085002,0.563433
0.130000,0.008233,0.135026,0.550025,0.039242,0.087551,0.554262,-0.020302,0.085031,0.563381
0.140000,0.008290,0.134998,0.549996,0.039288,0.087603,0.554212,-0.020272,0.085037,0.563373
0.150000,0.008709,0.135538,0.550021,0.039327,0.087589,0.554187,-0.020244,0.085007,0.563351
0.160000,0.008337,0.134959,0.549948,0.039367,0.087583,0.554144,-0.020213,0.084959,0.563339
0.170000,0.008752,0.135460,0.549967,0.039394,0.087552,0.554101,-0.020169,0.084933,0.563299
0.180000,0.008757,0.135439,0.549928,0.039409,0.087530,0.554053,-0.020131,0.084901,0.563288
0.190000,0.008764,0.135404,0.549885,0.039446,0.087496,0.553987,-0.020115,0.084849,0.563241
0.200000,0.008760,0.135387,0.549838,0.039459,0.087493,0.553938,-0.020101,0.084857,0.563189
0.210000,0.008756,0.135346,0.549781,0.039499,0.087489,0.553807,-0.020110,0.084856,0.563122
0.220000,0.008754,0.135335,0.549735,0.039470,0.087463,0.553724,-0.020100,0.084808,0.563071
0.230000,0.008736,0.135315,0.549681,0.039463,0.087446,0.553663,-0.020104,0.084814,0.562998
0.240000,0.008710,0.135359,0.549626,0.039462,0.087455,0.553604,-0.020110,0.084799,0.562935
0.250000,0.008661,0.135337,0.549542,0.039444,0.087445,0.553528,-0.020115,0.084789,0.562873
0.260000,0.008649,0.135292,0.549479,0.039446,0.087461,0.553452,-0.020108,0.084787,0.562808
0.270000,0.008629,0.135273,0.549423,0.039412,0.087391,0.553359,-0.020122,0.084754,0.562758
0.280000,0.008613,0.135201,0.549355,0.039430,0.087385,0.553284,-0.020124,0.084696,0.562701
0.290000,0.008591,0.135136,0.549304,0.039447,0.087354,0.553199,-0.020115,0.084620,0.562635
0.300000,0.008576,0.135083,0.549238,0.039430,0.087317,0.553131,-0.020134,0.084568,0.562559
0.310000,0.008565,0.135004,0.549144,0.039439,0.087288,0.553062,-0.020131,0.084525,0.562488
0.320000,0.008561,0.134945,0.549062,0.039448,0.087258,0.552988,-0.020131,0.084404,0.562378
