Time,org_x,org_y,org_z,xvec_x,xvec_y,xvec_z,zvec_x,zvec_y,zvec_z
0.000000,-0.346639,0.494856,0.609394,-0.339982,0.452794,0.572986,-0.340492,0.439515,0.631457
0.010000,-0.346653,0.494927,0.609370,-0.340026,0.452835,0.572976,-0.340497,0.439578,0.631433
0.020000,-0.346679,0.494986,0.609345,-0.339948,0.452942,0.572951,-0.340495,0.439648,0.631423
0.030000,-0.346698,0.495044,0.609321,-0.339945,0.453000,0.572940,-0.340507,0.439733,0.631403
0.040000,-0.346728,0.495083,0.609307,-0.340036,0.452992,0.572934,-0.340501,0.439772,0.631385
0.050000,-0.346729,0.495134,0.609284,-0.340058,0.452999,0.572909,-0.340507,0.439828,0.631371
0.060000,-0.346755,0.495185,0.609274,-0.340039,0.453077,0.572907,-0.340481,0.439900,0.631372
0.070000,-0.346764,0.495278,0.609277,-0.340039,0.453135,0.572907,-0.340462,0.439990,0.631373
0.080000,-0.346796,0.495379,0.609282,-0.340068,0.453214,0.572901,-0.340450,0.440093,0.631370
0.090000,-0.346835,0.495506,0.609283,-0.340032,0.453364,0.572926,-0.340425,0.440226,0.631385
0.100000,-0.346873,0.495618,0.609306,-0.340042,0.453439,0.572927,-0.340446,0.440337,0.631389
0.110000,-0.346894,0.495698,0.609317,-0.340012,0.453553,0.572967,-0.340447,0.440418,0.631411
0.120000,-0.346913,0.495739,0.609321,-0.340037,0.453568,0.572983,-0.340452,0.440462,0.631425
0.130000,-0.346943,0.495784,0.609340,-0.340021,0.453602,0.573002,-0.340463,0.440508,0.631442
0.140000,-0.346955,0.495807,0.609354,-0.340008,0.453634,0.573015,-0.340472,0.440516,0.631445
0.150000,-0.346970,0.495839,0.609355,-0.340005,0.453668,0.573035,-0.340470,0.440571,0.631477
0.160000,-0.346973,0.495893,0.609372,-0.340004,0.453719,0.573047,-0.340473,0.440610,0.631485
0.170000,-0.346999,0.495951,0.609396,-0.340005,0.453767,0.573070,-0.340477,0.440661,0.631499
0.180000,-0.347022,0.496002,0.609412,-0.340014,0.453811,0.573092,-0.340486,0.440715,0.631531
0.190000,-0.347043,0.496035,0.609429,-0.340030,0.453849,0.573106,-0.340502,0.440745,0.631532
0.200000,-0.347050,0.496035,0.609425,-0.340021,0.453862,0.573111,-0.340503,0.440762,0.631554
0.210000,-0.347040,0.496024,0.609419,-0.340003,0.453835,0.573112,-0.340515,0.440733,0.631553
0.220000,-0.347024,0.495996,0.609413,-0.340019,0.453780,0.573106,-0.340520,0.440709,0.631544
0.230000,-0.347022,0.495937,0.609396,-0.340012,0.453745,0.573085,-0.340512,0.440687,0.631547
0.240000,-0.346990,0.495937,0.609383,-0.339995,0.453735,0.573080,-0.340517,0.440652,0.631527
0.250000,-0.346987,0.495922,0.609365,-0.340000,0.453713,0.573077,-0.340514,0.440648,0.631503
0.260000,-0.346989,0.495891,0.609348,-0.340009,0.453696,0.573054,-0.340499,0.440635,0.631498
0.270000,-0.346977,0.495889,0.609325,-0.340022,0.453665,0.573038,-0.340511,0.440600,0.631480
0.280000,-0.346956,0.495840,0.609306,-0.340017,0.453618,0.573007,-0.340500,0.440567,0.631454
0.290000,-0.346924,0.495786,0.609277,-0.340008,0.453577,0.572981,-0.340490,0.440522,0.631440
0.300000,-0.346898,0.495715,0.609257,-0.340015,0.453502,0.572935,-0.340488,0.440448,0.631406
0.310000,-0.346868,0.495640,0.609224,-0.340009,0.453427,0.572912,-0.340480,0.440372,0.631372
0.320000,-0.346842,0.495592,0.609198,-0.340032,0.453365,0.572888,-0.340454,0.440328,0.631365
0.330000,-0.346816,0.495545,0.609176,-0.340011,0.453332,0.572861,-0.340441,0.440290,0.631330
0.340000,-0.346788,0.495512,0.609153,-0.339994,0.453302,0.572843,-0.340415,0.440258,0.631325
0.350000,-0.346764,0.495478,0.609130,-0.339994,0.453262,0.572830,-0.340399,0.440217,0.631308
0.360000,-0.346731,0.495429,0.609107,-0.339879,0.453261,0.572819,-0.340391,0.440166,0.631292
0.370000,-0.346694,0.495367,0.609097,-0.339876,0.453206,0.572800,-0.340370,0.440128,0.631270
0.380000,-0.346665,0.495311,0.609078,-0.339869,0.453134,0.572776,-0.340359,0.440077,0.631261
0.390000,-0.346629,0.495260,0.609054,-0.339849,0.453083,0.572757,-0.340343,0.440013,0.631242
0.400000,-0.346603,0.495243,0.609035,-0.339819,0.453063,0.572739,-0.340320,0.440007,0.631225
0.410000,-0.346570,0.495251,0.609009,-0.339809,0.453062,0.572717,-0.340298,0.440013,0.631212
0.420000,-0.346557,0.495274,0.608992,-0.339781,0.453083,0.572715,-0.340278,0.440031,0.631199
0.430000,-0.346551,0.495287,0.608967,-0.339807,0.453064,0.572687,-0.340261,0.440040,0.631173
