Time,org_x,org_y,org_z,xvec_x,xvec_y,xvec_z,zvec_x,zvec_y,zvec_z
0.000000,-0.150597,0.520518,0.745385,-0.137782,0.474057,0.713837,-0.143932,0.471833,0.773087
0.010000,-0.150572,0.520491,0.745395,-0.137766,0.474035,0.713849,-0.143896,0.471834,0.773114
0.020000,-0.150550,0.520479,0.745402,-0.137736,0.474016,0.713848,-0.143887,0.471807,0.773117
0.030000,-0.150526,0.520465,0.745416,-0.137710,0.474015,0.713854,-0.143871,0.471792,0.773127
0.040000,-0.150500,0.520455,0.745431,-0.137693,0.474009,0.713867,-0.143858,0.471789,0.773141
0.050000,-0.150489,0.520445,0.745445,-0.137674,0.474003,0.713881,-0.143843,0.471774,0.773154
0.060000,-0.150468,0.520443,0.745463,-0.137654,0.474012,0.713899,-0.143834,0.471771,0.773172
0.070000,-0.150466,0.520459,0.745489,-0.137641,0.474030,0.713915,-0.143816,0.471793,0.773196
0.080000,-0.150460,0.520475,0.745510,-0.137626,0.474046,0.713937,-0.143819,0.471807,0.773212
0.090000,-0.150469,0.520509,0.745532,-0.137643,0.474047,0.713983,-0.143820,0.471824,0.773236
0.100000,-0.150471,0.520534,0.745561,-0.137609,0.474087,0.714005,-0.143815,0.471860,0.773255
0.110000,-0.150485,0.520559,0.745583,-0.137608,0.474111,0.714014,-0.143823,0.471884,0.773270
0.120000,-0.150496,0.520664,0.745525,-0.137598,0.474130,0.714032,-0.143831,0.471912,0.773307
0.130000,-0.150501,0.520679,0.745517,-0.137620,0.474136,0.714055,-0.143835,0.471933,0.773317
0.140000,-0.150513,0.520682,0.745528,-0.137620,0.474136,0.714059,-0.143836,0.471947,0.773318
0.150000,-0.150517,0.520689,0.745535,-0.137616,0.474149,0.714069,-0.143842,0.471953,0.773326
0.160000,-0.150527,0.520693,0.745543,-0.137628,0.474155,0.714077,-0.143855,0.471948,0.773336
0.170000,-0.150539,0.520709,0.745550,-0.137633,0.474173,0.714089,-0.143858,0.471963,0.773342
0.180000,-0.150552,0.520720,0.745571,-0.137631,0.474205,0.714086,-0.143871,0.471963,0.773349
0.190000,-0.150571,0.520741,0.745571,-0.137657,0.474216,0.714099,-0.143870,0.472002,0.773359
0.200000,-0.150594,0.520769,0.745580,-0.137673,0.474239,0.714101,-0.143904,0.472003,0.773354
0.210000,-0.150620,0.520804,0.745585,-0.137692,0.474272,0.714102,-0.143913,0.472032,0.773354
0.220000,-0.150649,0.520811,0.745579,-0.137733,0.474262,0.714105,-0.143927,0.472059,0.773351
0.230000,-0.150673,0.520838,0.745575,-0.137744,0.474308,0.714096,-0.143959,0.472070,0.773342
0.240000,-0.150704,0.520850,0.745564,-0.137765,0.474331,0.714081,-0.143995,0.472079,0.773342
0.250000,-0.150740,0.520855,0.745559,-0.137815,0.474299,0.714093,-0.144016,0.472084,0.773327
0.260000,-0.150774,0.520868,0.745544,-0.137843,0.474342,0.714065,-0.144055,0.472086,0.773309
0.270000,-0.150812,0.520883,0.745534,-0.137883,0.474360,0.714060,-0.144085,0.472094,0.773293
0.280000,-0.150872,0.520895,0.745523,-0.137942,0.474350,0.714062,-0.144120,0.472116,0.773285
0.290000,-0.150923,0.520921,0.745495,-0.137958,0.474396,0.714018,-0.144171,0.472154,0.773259
0.300000,-0.150971,0.520955,0.745471,-0.138006,0.474422,0.714002,-0.144213,0.472186,0.773241
0.310000,-0.151019,0.520985,0.745450,-0.138059,0.474435,0.713982,-0.144263,0.472210,0.773216
0.320000,-0.151072,0.521012,0.745425,-0.138100,0.474459,0.713958,-0.144300,0.472248,0.773184
0.330000,-0.151114,0.521028,0.745400,-0.138150,0.474476,0.713934,-0.144339,0.472263,0.773148
0.340000,-0.151141,0.521047,0.745364,-0.138195,0.474483,0.713898,-0.144374,0.472279,0.773118
0.350000,-0.151182,0.521066,0.745330,-0.138228,0.474516,0.713870,-0.144408,0.472303,0.773091
0.360000,-0.151215,0.521073,0.745312,-0.138279,0.474535,0.713834,-0.144434,0.472324,0.773070
0.370000,-0.151256,0.521099,0.745295,-0.138319,0.474551,0.713811,-0.144453,0.472328,0.773024
0.380000,-0.151288,0.521116,0.745281,-0.138353,0.474575,0.713791,-0.144482,0.472359,0.773010
0.390000,-0.151318,0.521141,0.745265,-0.138397,0.474602,0.713781,-0.144519,0.472371,0.772998
0.400000,-0.151350,0.521187,0.745247,-0.138430,0.474658,0.713760,-0.144554,0.472413,0.772993
0.410000,-0.151389,0.521216,0.745229,-0.138470,0.474673,0.713758,-0.144566,0.472455,0.772995
0.420000,-0.151421,0.521242,0.745227,-0.138487,0.474710,0.713756,-0.144584,0.472490,0.772990
0.430000,-0.151455,0.521263,0.745239,-0.138504,0.474753,0.713748,-0.144616,0.472496,0.772994
0.440000,-0.151482,0.521265,0.745264,-0.138543,0.474757,0.713770,-0.144624,0.472515,0.773012
0.450000,-0.151505,0.521279,0.745283,-0.138558,0.474762,0.713795,-0.144642,0.472535,0.773043
0.460000,-0.151519,0.521282,0.745306,-0.138567,0.474773,0.713813,-0.144652,0.472535,0.773064
0.470000,-0.151535,0.521275,0.745334,-0.138610,0.474789,0.713850,-0.144677,0.472534,0.773083
0.480000,-0.151541,0.521280,0.745350,-0.138607,0.474795,0.713866,-0.144683,0.472559,0.773105
0.490000,-0.151550,0.521291,0.745367,-0.138610,0.474812,0.713877,-0.144684,0.472557,0.773119
0.500000,-0.151560,0.521313,0.745377,-0.138608,0.474823,0.713896,-0.144682,0.472576,0.773132
0.510000,-0.151568,0.521329,0.745395,-0.138618,0.474853,0.713918,-0.144686,0.472616,0.773151
0.520000,-0.151589,0.521354,0.745413,-0.138619,0.474869,0.713924,-0.144700,0.472619,0.773159
0.530000,-0.151605,0.521390,0.745426,-0.138619,0.474909,0.713933,-0.144696,0.472658,0.773174
0.540000,-0.151621,0.521407,0.745430,-0.138628,0.474925,0.713938,-0.144708,0.472672,0.773182
0.550000,-0.151635,0.521424,0.745438,-0.138636,0.474964,0.713943,-0.144706,0.472697,0.773192
0.560000,-0.151645,0.521450,0.745436,-0.138654,0.474966,0.713945,-0.144707,0.472709,0.773193
0.570000,-0.151661,0.521449,0.745446,-0.138656,0.474972,0.713945,-0.144700,0.472723,0.773191
0.580000,-0.151668,0.521470,0.745450,-0.138675,0.474986,0.713951,-0.144712,0.472723,0.773194
0.590000,-0.151685,0.521477,0.745457,-0.138693,0.474994,0.713955,-0.144702,0.472749,0.773198
0.600000,-0.151696,0.521501,0.745459,-0.138697,0.475023,0.713959,-0.144716,0.472749,0.773200
0.610000,-0.151715,0.521518,0.745472,-0.138708,0.475047,0.713949,-0.144725,0.472768,0.773208
0.620000,-0.151747,0.521547,0.745482,-0.138732,0.475072,0.713971,-0.144736,0.472824,0.773215
0.630000,-0.151781,0.521574,0.745491,-0.138782,0.475092,0.714005,-0.144749,0.472884,0.773239
0.640000,-0.151871,0.521594,0.745569,-0.138805,0.475134,0.714016,-0.144769,0.472921,0.773259
0.650000,-0.151920,0.521627,0.745603,-0.138828,0.475164,0.714046,-0.144785,0.472955,0.773277
