Time,org_x,org_y,org_z,xvec_x,xvec_y,xvec_z,zvec_x,zvec_y,zvec_z
0.000000,-0.428678,0.542629,0.473584,-0.409017,0.498715,0.446407,-0.411491,0.499147,0.505696
0.010000,-0.428705,0.542639,0.473561,-0.409051,0.498723,0.446378,-0.411501,0.499169,0.505668
0.020000,-0.428724,0.542662,0.473533,-0.409086,0.498754,0.446337,-0.411533,0.499166,0.505639
0.030000,-0.428736,0.542662,0.473503,-0.409108,0.498733,0.446317,-0.411533,0.499196,0.505622
0.040000,-0.428755,0.542667,0.473469,-0.409149,0.498753,0.446272,-0.411542,0.499199,0.505586
0.050000,-0.428792,0.542689,0.473452,-0.409176,0.498790,0.446241,-0.411561,0.499212,0.505574
0.060000,-0.428822,0.542696,0.473433,-0.409206,0.498795,0.446228,-0.411570,0.499238,0.505551
0.070000,-0.428857,0.542726,0.473422,-0.409242,0.498832,0.446201,-0.411602,0.499248,0.505540
0.080000,-0.428911,0.542737,0.473398,-0.409286,0.498839,0.446191,-0.411633,0.499273,0.505521
0.090000,-0.428954,0.542750,0.473367,-0.409322,0.498862,0.446165,-0.411664,0.499308,0.505492
0.100000,-0.428985,0.542753,0.473324,-0.409366,0.498856,0.446132,-0.411697,0.499312,0.505462
0.110000,-0.429002,0.542742,0.473285,-0.409390,0.498848,0.446090,-0.411721,0.499318,0.505410
0.120000,-0.429007,0.542741,0.473243,-0.409423,0.498834,0.446058,-0.411743,0.499310,0.505387
0.130000,-0.429028,0.542740,0.473215,-0.409451,0.498817,0.446022,-0.411762,0.499297,0.505354
0.140000,-0.429051,0.542726,0.473182,-0.409476,0.498828,0.445988,-0.411778,0.499300,0.505323
0.150000,-0.429077,0.542728,0.473151,-0.409497,0.498821,0.445953,-0.411795,0.499314,0.505308
0.160000,-0.429109,0.542732,0.473124,-0.409529,0.498829,0.445925,-0.411809,0.499327,0.505276
0.170000,-0.429143,0.542740,0.473090,-0.409572,0.498833,0.445882,-0.411838,0.499330,0.505241
0.180000,-0.429166,0.542746,0.473042,-0.409596,0.498841,0.445848,-0.411845,0.499334,0.505188
0.190000,-0.429178,0.542751,0.473014,-0.409625,0.498838,0.445814,-0.411868,0.499353,0.505155
0.200000,-0.429211,0.542738,0.472968,-0.409649,0.498841,0.445780,-0.411883,0.499358,0.505120
0.210000,-0.429220,0.542762,0.472914,-0.409679,0.498830,0.445723,-0.411894,0.499335,0.505072
0.220000,-0.429237,0.542723,0.472885,-0.409702,0.498830,0.445689,-0.411903,0.499345,0.505037
0.230000,-0.429240,0.542756,0.472832,-0.409716,0.498808,0.445639,-0.411909,0.499337,0.504988
0.240000,-0.429243,0.542754,0.472787,-0.409736,0.498808,0.445588,-0.411858,0.499344,0.504925
0.250000,-0.429234,0.542771,0.472730,-0.409737,0.498828,0.445536,-0.411855,0.499357,0.504880
0.260000,-0.429262,0.542774,0.472667,-0.409758,0.498833,0.445486,-0.411864,0.499363,0.504820
0.270000,-0.429274,0.542772,0.472608,-0.409767,0.498835,0.445432,-0.411890,0.499359,0.504723
0.280000,-0.429278,0.542768,0.472550,-0.409779,0.498832,0.445380,-0.411898,0.499391,0.504668
0.290000,-0.429283,0.542768,0.472491,-0.409779,0.498831,0.445328,-0.411896,0.499381,0.504612
0.300000,-0.429273,0.542743,0.472429,-0.409774,0.498804,0.445281,-0.411887,0.499364,0.504554
0.310000,-0.429251,0.542733,0.472377,-0.409781,0.498762,0.445237,-0.411873,0.499321,0.504500
0.320000,-0.429239,0.542698,0.472306,-0.409761,0.498734,0.445182,-0.411881,0.499324,0.504454
0.330000,-0.429217,0.542682,0.472236,-0.409737,0.498726,0.445101,-0.411869,0.499313,0.504402
0.340000,-0.429208,0.542658,0.472161,-0.409732,0.498709,0.445038,-0.411849,0.499314,0.504327
0.350000,-0.429216,0.542647,0.472089,-0.409749,0.498666,0.444959,-0.411853,0.499288,0.504240
