Time,org_x,org_y,org_z,xvec_x,xvec_y,xvec_z,zvec_x,zvec_y,zvec_z
0.000000,-0.407831,0.534609,0.487076,-0.391612,0.492103,0.455401,-0.390792,0.487753,0.514648
0.010000,-0.407822,0.534616,0.486805,-0.391623,0.492059,0.455213,-0.390780,0.487787,0.514464
0.020000,-0.407823,0.534579,0.486533,-0.391604,0.492031,0.454982,-0.390770,0.487808,0.514249
0.030000,-0.407792,0.534557,0.486259,-0.391609,0.491944,0.454794,-0.390725,0.487812,0.514042
0.040000,-0.407757,0.534510,0.486003,-0.391608,0.491837,0.454622,-0.390694,0.487783,0.513849
0.050000,-0.407718,0.534440,0.485768,-0.391604,0.491726,0.454454,-0.390666,0.487764,0.513681
0.060000,-0.407681,0.534393,0.485550,-0.391600,0.491646,0.454276,-0.390632,0.487744,0.513508
0.070000,-0.407659,0.534378,0.485359,-0.391621,0.491568,0.454092,-0.390600,0.487763,0.513365
0.080000,-0.407643,0.534362,0.485144,-0.391650,0.491467,0.453898,-0.390575,0.487775,0.513175
0.090000,-0.407618,0.534326,0.484935,-0.391667,0.491384,0.453696,-0.390564,0.487762,0.513018
0.100000,-0.407569,0.534255,0.484712,-0.391675,0.491271,0.453522,-0.390521,0.487763,0.512853
0.110000,-0.407509,0.534200,0.484500,-0.391675,0.491156,0.453361,-0.390498,0.487707,0.512695
0.120000,-0.407456,0.534115,0.484301,-0.391655,0.491040,0.453198,-0.390484,0.487621,0.512523
0.130000,-0.407431,0.534074,0.484134,-0.391645,0.490966,0.453056,-0.390461,0.487578,0.512369
0.140000,-0.407442,0.534032,0.483963,-0.391631,0.490927,0.452902,-0.390466,0.487589,0.512217
0.150000,-0.407449,0.534028,0.483801,-0.391650,0.490913,0.452761,-0.390472,0.487609,0.512101
0.160000,-0.407486,0.534003,0.483628,-0.391644,0.490893,0.452638,-0.390469,0.487645,0.511985
0.170000,-0.407502,0.533952,0.483465,-0.391650,0.490852,0.452498,-0.390470,0.487620,0.511813
0.180000,-0.407481,0.533914,0.483328,-0.391663,0.490759,0.452376,-0.390465,0.487564,0.511709
0.190000,-0.407446,0.533851,0.483204,-0.391667,0.490668,0.452273,-0.390457,0.487506,0.511607
0.200000,-0.407428,0.533809,0.483097,-0.391677,0.490579,0.452183,-0.390481,0.487449,0.511494
0.210000,-0.407409,0.533799,0.482990,-0.391688,0.490533,0.452096,-0.390482,0.487425,0.511405
0.220000,-0.407439,0.533821,0.482889,-0.391717,0.490532,0.452015,-0.390514,0.487464,0.511324
0.230000,-0.407499,0.533848,0.482784,-0.391767,0.490559,0.451917,-0.390548,0.487547,0.511240
0.240000,-0.407551,0.533883,0.482690,-0.391804,0.490587,0.451829,-0.390583,0.487608,0.511170
0.250000,-0.407597,0.533890,0.482596,-0.391846,0.490581,0.451755,-0.390600,0.487639,0.511090
0.260000,-0.407607,0.533904,0.482498,-0.391892,0.490547,0.451672,-0.390636,0.487611,0.511013
0.270000,-0.407614,0.533885,0.482417,-0.391928,0.490524,0.451584,-0.390664,0.487594,0.510959
0.280000,-0.407620,0.533888,0.482338,-0.391969,0.490487,0.451509,-0.390692,0.487597,0.510877
0.290000,-0.407668,0.533884,0.482253,-0.392006,0.490480,0.451452,-0.390717,0.487621,0.510828
0.300000,-0.407743,0.533905,0.482166,-0.392067,0.490500,0.451371,-0.390760,0.487663,0.510749
0.310000,-0.407816,0.533963,0.482066,-0.392111,0.490566,0.451290,-0.390819,0.487752,0.510703
0.320000,-0.407910,0.533991,0.481973,-0.392169,0.490597,0.451231,-0.390868,0.487810,0.510623
0.330000,-0.407990,0.534005,0.481867,-0.392234,0.490598,0.451158,-0.390907,0.487846,0.510555
