Time,org_x,org_y,org_z,xvec_x,xvec_y,xvec_z,zvec_x,zvec_y,zvec_z
0.000000,-0.371468,0.515747,0.494544,-0.359956,0.472256,0.461521,-0.363220,0.465359,0.520527
0.010000,-0.371261,0.515621,0.494477,-0.359778,0.472118,0.461445,-0.363001,0.465245,0.520477
0.020000,-0.371066,0.515513,0.494423,-0.359648,0.471990,0.461378,-0.362834,0.465112,0.520397
0.030000,-0.370892,0.515393,0.494364,-0.359514,0.471877,0.461321,-0.362699,0.464998,0.520350
0.040000,-0.370736,0.515271,0.494323,-0.359349,0.471778,0.461245,-0.362585,0.464858,0.520304
0.050000,-0.370591,0.515123,0.494283,-0.359242,0.471647,0.461200,-0.362467,0.464695,0.520249
0.060000,-0.370384,0.514964,0.494270,-0.359138,0.471493,0.461170,-0.362360,0.464484,0.520223
0.070000,-0.370211,0.514781,0.494274,-0.359037,0.471304,0.461127,-0.362268,0.464258,0.520202
0.080000,-0.370011,0.514616,0.494256,-0.358952,0.471109,0.461097,-0.362183,0.464068,0.520184
0.090000,-0.369843,0.514445,0.494247,-0.358887,0.470946,0.461077,-0.362130,0.463859,0.520149
0.100000,-0.369766,0.514300,0.494256,-0.358835,0.470807,0.461062,-0.362075,0.463680,0.520164
0.110000,-0.369730,0.514151,0.494267,-0.358798,0.470687,0.461063,-0.362055,0.463539,0.520161
0.120000,-0.369666,0.514015,0.494299,-0.358769,0.470464,0.461071,-0.362042,0.463382,0.520172
0.130000,-0.369583,0.513824,0.494322,-0.358756,0.470259,0.461076,-0.362055,0.463172,0.520174
0.140000,-0.369486,0.513622,0.494352,-0.358751,0.470010,0.461094,-0.362073,0.462931,0.520166
0.150000,-0.369400,0.513421,0.494380,-0.358776,0.469780,0.461134,-0.362093,0.462703,0.520193
0.160000,-0.369341,0.513322,0.494423,-0.358792,0.469652,0.461156,-0.362151,0.462537,0.520183
0.170000,-0.369389,0.513288,0.494474,-0.358823,0.469617,0.461191,-0.362170,0.462533,0.520242
0.180000,-0.369496,0.513302,0.494515,-0.358885,0.469645,0.461232,-0.362244,0.462548,0.520285
0.190000,-0.369619,0.513315,0.494573,-0.358952,0.469669,0.461277,-0.362323,0.462559,0.520332
0.200000,-0.369698,0.513259,0.494631,-0.359040,0.469608,0.461322,-0.362431,0.462506,0.520381
0.210000,-0.369744,0.513166,0.494702,-0.359142,0.469495,0.461387,-0.362544,0.462384,0.520450
0.220000,-0.369745,0.513028,0.494790,-0.359212,0.469359,0.461447,-0.362643,0.462235,0.520509
0.230000,-0.369800,0.512889,0.494908,-0.359294,0.469276,0.461511,-0.362776,0.462092,0.520594
0.240000,-0.369890,0.512865,0.495005,-0.359393,0.469269,0.461601,-0.362880,0.462065,0.520664
0.250000,-0.370066,0.512919,0.495107,-0.359498,0.469329,0.461698,-0.362999,0.462137,0.520764
0.260000,-0.370272,0.513005,0.495179,-0.359639,0.469462,0.461798,-0.363152,0.462235,0.520841
0.270000,-0.370475,0.513100,0.495243,-0.359804,0.469567,0.461889,-0.363317,0.462315,0.520911
0.280000,-0.370676,0.513137,0.495311,-0.359958,0.469657,0.461953,-0.363484,0.462368,0.520973
0.290000,-0.370808,0.513173,0.495358,-0.360127,0.469683,0.462014,-0.363672,0.462353,0.521025
0.300000,-0.370942,0.513163,0.495433,-0.360288,0.469681,0.462085,-0.363858,0.462331,0.521087
0.310000,-0.371098,0.513165,0.495501,-0.360461,0.469678,0.462159,-0.364065,0.462343,0.521145
0.320000,-0.371260,0.513243,0.495559,-0.360603,0.469743,0.462230,-0.364230,0.462389,0.521202
0.330000,-0.371450,0.513351,0.495620,-0.360754,0.469871,0.462294,-0.364392,0.462513,0.521260
0.340000,-0.371665,0.513501,0.495663,-0.360910,0.469979,0.462367,-0.364528,0.462657,0.521310
0.350000,-0.371867,0.513641,0.495698,-0.361057,0.470107,0.462427,-0.364666,0.462766,0.521355
0.360000,-0.372016,0.513755,0.495751,-0.361183,0.470207,0.462463,-0.364788,0.462866,0.521396
0.370000,-0.372132,0.513866,0.495799,-0.361298,0.470319,0.462506,-0.364896,0.462976,0.521414
0.380000,-0.372278,0.513945,0.495860,-0.361399,0.470406,0.462540,-0.364985,0.463080,0.521461
0.390000,-0.372384,0.514054,0.495906,-0.361473,0.470507,0.462569,-0.365051,0.463191,0.521507
0.400000,-0.372513,0.514183,0.495944,-0.361553,0.470678,0.462600,-0.365109,0.463330,0.521527
0.410000,-0.372648,0.514341,0.495977,-0.361631,0.470846,0.462625,-0.365157,0.463481,0.521552
0.420000,-0.372773,0.514454,0.496032,-0.361690,0.470979,0.462652,-0.365199,0.463590,0.521580
0.430000,-0.372837,0.514498,0.496099,-0.361728,0.471042,0.462697,-0.365239,0.463634,0.521648
0.440000,-0.372840,0.514487,0.496171,-0.361753,0.471025,0.462743,-0.365244,0.463606,0.521702
0.450000,-0.372799,0.514423,0.496252,-0.361754,0.470976,0.462798,-0.365249,0.463523,0.521746
0.460000,-0.372743,0.514363,0.496348,-0.361733,0.470932,0.462850,-0.365236,0.463446,0.521794
0.470000,-0.372702,0.514322,0.496456,-0.361700,0.470928,0.462925,-0.365243,0.463355,0.521857
0.480000,-0.372668,0.514305,0.496564,-0.361656,0.470937,0.463001,-0.365213,0.463340,0.521942
0.490000,-0.372645,0.514295,0.496669,-0.361610,0.470943,0.463074,-0.365164,0.463309,0.522009
0.500000,-0.372588,0.514228,0.496766,-0.361563,0.470894,0.463150,-0.365134,0.463211,0.522068
0.510000,-0.372489,0.514068,0.496835,-0.361496,0.470765,0.463202,-0.365061,0.463088,0.522127
0.520000,-0.372368,0.513884,0.496877,-0.361418,0.470587,0.463233,-0.365006,0.462847,0.522146
0.530000,-0.372206,0.513702,0.496901,-0.361346,0.470399,0.463252,-0.364935,0.462660,0.522173
0.540000,-0.372043,0.513512,0.496935,-0.361253,0.470240,0.463260,-0.364868,0.462467,0.522189
0.550000,-0.371907,0.513390,0.496969,-0.361164,0.470134,0.463274,-0.364795,0.462358,0.522208
0.560000,-0.371812,0.513325,0.496991,-0.361079,0.470076,0.463290,-0.364709,0.462287,0.522223
0.570000,-0.371731,0.513271,0.497011,-0.360993,0.470036,0.463314,-0.364618,0.462244,0.522252
0.580000,-0.371635,0.513198,0.497027,-0.360893,0.469970,0.463312,-0.364526,0.462182,0.522282
0.590000,-0.371479,0.513104,0.497023,-0.360808,0.469836,0.463317,-0.364420,0.462063,0.522284
0.600000,-0.371333,0.512971,0.497022,-0.360716,0.469684,0.463310,-0.364336,0.461921,0.522273
0.610000,-0.371187,0.512845,0.497019,-0.360623,0.469558,0.463314,-0.364229,0.461785,0.522288
0.620000,-0.371060,0.512778,0.497019,-0.360524,0.469416,0.463329,-0.364153,0.461704,0.522281
0.630000,-0.370997,0.512743,0.497034,-0.360449,0.469384,0.463345,-0.364086,0.461645,0.522299
0.640000,-0.370956,0.512723,0.497047,-0.360386,0.469375,0.463366,-0.364036,0.461628,0.522323
0.650000,-0.370917,0.512688,0.497067,-0.360324,0.469349,0.463388,-0.363985,0.461606,0.522359
0.660000,-0.370860,0.512595,0.497075,-0.360284,0.469269,0.463411,-0.363949,0.461525,0.522350
0.670000,-0.370778,0.512502,0.497087,-0.360234,0.469147,0.463421,-0.363930,0.461414,0.522378
0.680000,-0.370695,0.512426,0.497109,-0.360191,0.469038,0.463450,-0.363896,0.461295,0.522395
0.690000,-0.370603,0.512374,0.497144,-0.360161,0.468978,0.463468,-0.363884,0.461207,0.522410
0.700000,-0.370581,0.512336,0.497170,-0.360143,0.468940,0.463491,-0.363887,0.461166,0.522425
0.710000,-0.370592,0.512324,0.497206,-0.360134,0.468918,0.463522,-0.363874,0.461153,0.522471
0.720000,-0.370597,0.512280,0.497245,-0.360125,0.468894,0.463552,-0.363896,0.461108,0.522507
0.730000,-0.370575,0.512230,0.497285,-0.360126,0.468837,0.463588,-0.363910,0.461043,0.522539
0.740000,-0.370553,0.512136,0.497326,-0.360132,0.468747,0.463619,-0.363925,0.460925,0.522579
0.750000,-0.370517,0.512047,0.497376,-0.360141,0.468636,0.463655,-0.363958,0.460817,0.522601
0.760000,-0.370471,0.512011,0.497413,-0.360141,0.468582,0.463693,-0.363987,0.460744,0.522634
0.770000,-0.370488,0.512012,0.497466,-0.360167,0.468580,0.463736,-0.364019,0.460764,0.522680
0.780000,-0.370593,0.512077,0.497509,-0.360178,0.468662,0.463777,-0.364048,0.460838,0.522726
0.790000,-0.370679,0.512167,0.497548,-0.360195,0.468773,0.463819,-0.364096,0.460929,0.522769
0.800000,-0.370793,0.512238,0.497590,-0.360225,0.468889,0.463890,-0.364141,0.461046,0.522832
0.810000,-0.370881,0.512312,0.497645,-0.360243,0.469017,0.463910,-0.364192,0.461107,0.522868
0.820000,-0.370915,0.512391,0.497704,-0.360256,0.469101,0.463960,-0.364215,0.461193,0.522909
0.830000,-0.370964,0.512475,0.497785,-0.360278,0.469214,0.464014,-0.364262,0.461287,0.522957
0.840000,-0.371039,0.512599,0.497815,-0.360293,0.469367,0.464071,-0.364266,0.461435,0.523021
0.850000,-0.371127,0.512806,0.497882,-0.360303,0.469606,0.464144,-0.364231,0.461710,0.523124
0.860000,-0.371261,0.513083,0.497949,-0.360349,0.469957,0.464209,-0.364232,0.462006,0.523173
0.870000,-0.371431,0.513396,0.498019,-0.360369,0.470314,0.464285,-0.364240,0.462342,0.523225
0.880000,-0.371592,0.513723,0.498108,-0.360390,0.470685,0.464343,-0.364261,0.462690,0.523280
0.890000,-0.371730,0.513970,0.498185,-0.360403,0.470951,0.464412,-0.364283,0.462943,0.523326
0.900000,-0.371820,0.514179,0.498266,-0.360419,0.471178,0.464471,-0.364278,0.463151,0.523379
0.910000,-0.371870,0.514343,0.498349,-0.360421,0.471350,0.464536,-0.364309,0.463298,0.523426
0.920000,-0.371928,0.514509,0.498412,-0.360427,0.471534,0.464582,-0.364324,0.463436,0.523475
0.930000,-0.371984,0.514712,0.498474,-0.360435,0.471742,0.464630,-0.364316,0.463666,0.523524
