Time,org_x,org_y,org_z,xvec_x,xvec_y,xvec_z,zvec_x,zvec_y,zvec_z
0.000000,-0.386902,0.521663,0.611678,-0.372548,0.480843,0.576452,-0.370059,0.469613,0.634952
0.010000,-0.386909,0.521664,0.611665,-0.372549,0.480859,0.576447,-0.370043,0.469636,0.634953
0.020000,-0.386910,0.521672,0.611660,-0.372566,0.480850,0.576438,-0.370048,0.469647,0.634942
0.030000,-0.386928,0.521678,0.611662,-0.372549,0.480886,0.576446,-0.370053,0.469646,0.634939
0.040000,-0.386946,0.521668,0.611657,-0.372600,0.480852,0.576427,-0.370055,0.469655,0.634933
0.050000,-0.386942,0.521678,0.611654,-0.372604,0.480856,0.576431,-0.370058,0.469645,0.634934
0.060000,-0.386947,0.521677,0.611660,-0.372596,0.480874,0.576431,-0.370071,0.469655,0.634937
0.070000,-0.386948,0.521676,0.611670,-0.372615,0.480864,0.576437,-0.370072,0.469659,0.634940
0.080000,-0.386948,0.521682,0.611685,-0.372596,0.480879,0.576448,-0.370076,0.469656,0.634954
0.090000,-0.386982,0.521667,0.611700,-0.372608,0.480882,0.576460,-0.370083,0.469649,0.634970
0.100000,-0.386984,0.521668,0.611716,-0.372614,0.480871,0.576478,-0.370098,0.469652,0.634981
0.110000,-0.386996,0.521669,0.611735,-0.372613,0.480896,0.576501,-0.370110,0.469648,0.634999
0.120000,-0.387005,0.521667,0.611756,-0.372639,0.480864,0.576516,-0.370134,0.469635,0.635016
0.130000,-0.387014,0.521680,0.611767,-0.372639,0.480882,0.576538,-0.370147,0.469634,0.635034
0.140000,-0.387018,0.521690,0.611792,-0.372653,0.480870,0.576559,-0.370156,0.469639,0.635049
0.150000,-0.387024,0.521686,0.611813,-0.372652,0.480883,0.576581,-0.370157,0.469651,0.635068
0.160000,-0.387030,0.521697,0.611830,-0.372648,0.480906,0.576599,-0.370162,0.469650,0.635079
0.170000,-0.387029,0.521697,0.611855,-0.372667,0.480895,0.576615,-0.370171,0.469666,0.635102
0.180000,-0.387033,0.521704,0.611859,-0.372663,0.480902,0.576620,-0.370178,0.469656,0.635110
0.190000,-0.387036,0.521716,0.611875,-0.372650,0.480917,0.576630,-0.370169,0.469665,0.635117
0.200000,-0.387030,0.521699,0.611871,-0.372707,0.480819,0.576644,-0.370160,0.469662,0.635121
