Time,org_x,org_y,org_z,xvec_x,xvec_y,xvec_z,zvec_x,zvec_y,zvec_z
0.000000,-0.383009,0.519298,0.606086,-0.369063,0.477585,0.571694,-0.367439,0.467258,0.630375
0.010000,-0.382963,0.519260,0.606085,-0.369045,0.477552,0.571650,-0.367396,0.467228,0.630372
0.020000,-0.382911,0.519208,0.606082,-0.368907,0.477614,0.571669,-0.367355,0.467179,0.630362
0.030000,-0.382838,0.519167,0.606081,-0.368865,0.477533,0.571664,-0.367303,0.467124,0.630350
0.040000,-0.382766,0.519117,0.606086,-0.368800,0.477497,0.571617,-0.367245,0.467079,0.630352
0.050000,-0.382702,0.519087,0.606102,-0.368827,0.477401,0.571640,-0.367158,0.467032,0.630376
0.060000,-0.382580,0.519082,0.606128,-0.368676,0.477457,0.571670,-0.367058,0.466986,0.630390
0.070000,-0.382492,0.519051,0.606155,-0.368611,0.477414,0.571693,-0.366990,0.466939,0.630415
0.080000,-0.382406,0.519002,0.606187,-0.368547,0.477370,0.571716,-0.366929,0.466886,0.630428
0.090000,-0.382311,0.518939,0.606220,-0.368480,0.477315,0.571749,-0.366856,0.466827,0.630461
0.100000,-0.382202,0.518902,0.606278,-0.368516,0.477160,0.571798,-0.366787,0.466762,0.630501
0.110000,-0.382074,0.518881,0.606345,-0.368410,0.477095,0.571834,-0.366694,0.466682,0.630541
0.120000,-0.381993,0.518831,0.606405,-0.368422,0.476977,0.571897,-0.366622,0.466616,0.630604
0.130000,-0.381906,0.518781,0.606456,-0.368367,0.476889,0.571946,-0.366555,0.466558,0.630652
0.140000,-0.381809,0.518762,0.606493,-0.368296,0.476856,0.572000,-0.366486,0.466518,0.630696
0.150000,-0.381747,0.518718,0.606535,-0.368264,0.476798,0.572063,-0.366415,0.466481,0.630749
0.160000,-0.381637,0.518685,0.606571,-0.368203,0.476756,0.572097,-0.366349,0.466445,0.630776
0.170000,-0.381574,0.518662,0.606614,-0.368111,0.476731,0.572149,-0.366282,0.466406,0.630820
0.180000,-0.381507,0.518634,0.606641,-0.368051,0.476709,0.572181,-0.366224,0.466367,0.630840
0.190000,-0.381442,0.518618,0.606674,-0.367894,0.476776,0.572206,-0.366186,0.466342,0.630891
0.200000,-0.381392,0.518606,0.606686,-0.367836,0.476758,0.572227,-0.366128,0.466308,0.630906
0.210000,-0.381349,0.518618,0.606697,-0.367779,0.476778,0.572250,-0.366081,0.466333,0.630919
0.220000,-0.381319,0.518630,0.606698,-0.367735,0.476803,0.572254,-0.366008,0.466388,0.630911
0.230000,-0.381295,0.518651,0.606691,-0.367689,0.476828,0.572237,-0.365960,0.466416,0.630914
0.240000,-0.381269,0.518676,0.606692,-0.367637,0.476862,0.572227,-0.365924,0.466438,0.630903
0.250000,-0.381252,0.518664,0.606666,-0.367589,0.476885,0.572213,-0.365891,0.466457,0.630903
0.260000,-0.381228,0.518675,0.606639,-0.367587,0.476882,0.572192,-0.365854,0.466451,0.630870
0.270000,-0.381200,0.518673,0.606619,-0.367539,0.476883,0.572168,-0.365805,0.466469,0.630845
0.280000,-0.381185,0.518662,0.606578,-0.367546,0.476856,0.572138,-0.365779,0.466478,0.630820
0.290000,-0.381175,0.518682,0.606537,-0.367519,0.476877,0.572109,-0.365760,0.466490,0.630794
0.300000,-0.381175,0.518699,0.606500,-0.367524,0.476891,0.572084,-0.365723,0.466535,0.630765
0.310000,-0.381173,0.518731,0.606453,-0.367508,0.476922,0.572046,-0.365729,0.466565,0.630729
0.320000,-0.381170,0.518756,0.606383,-0.367528,0.476919,0.571992,-0.365706,0.466607,0.630687
0.330000,-0.381171,0.518765,0.606314,-0.367554,0.476890,0.571901,-0.365689,0.466634,0.630637
0.340000,-0.381140,0.518769,0.606219,-0.367547,0.476879,0.571843,-0.365663,0.466652,0.630577
0.350000,-0.381118,0.518727,0.606146,-0.367524,0.476852,0.571782,-0.365634,0.466640,0.630527
0.360000,-0.381091,0.518690,0.606072,-0.367510,0.476810,0.571735,-0.365636,0.466595,0.630465
0.370000,-0.381053,0.518657,0.606001,-0.367499,0.476761,0.571676,-0.365640,0.466540,0.630384
0.380000,-0.381012,0.518649,0.605935,-0.367488,0.476733,0.571612,-0.365600,0.466527,0.630321
0.390000,-0.380992,0.518632,0.605872,-0.367490,0.476699,0.571553,-0.365593,0.466515,0.630270
0.400000,-0.380974,0.518635,0.605806,-0.367428,0.476765,0.571487,-0.365585,0.466510,0.630209
0.410000,-0.380962,0.518641,0.605746,-0.367454,0.476725,0.571430,-0.365573,0.466504,0.630149
0.420000,-0.380944,0.518628,0.605681,-0.367437,0.476711,0.571383,-0.365585,0.466480,0.630096
0.430000,-0.380919,0.518593,0.605617,-0.367441,0.476658,0.571324,-0.365570,0.466459,0.630043
0.440000,-0.380889,0.518554,0.605564,-0.367413,0.476618,0.571286,-0.365555,0.466414,0.629997
0.450000,-0.380867,0.518502,0.605522,-0.367429,0.476538,0.571236,-0.365550,0.466356,0.629953
0.460000,-0.380836,0.518461,0.605482,-0.367411,0.476505,0.571189,-0.365542,0.466309,0.629920
0.470000,-0.380808,0.518432,0.605453,-0.367437,0.476430,0.571150,-0.365537,0.466278,0.629884
0.480000,-0.380806,0.518421,0.605432,-0.367318,0.476465,0.571108,-0.365530,0.466264,0.629869
0.490000,-0.380779,0.518402,0.605409,-0.367319,0.476438,0.571093,-0.365535,0.466218,0.629844
0.500000,-0.380760,0.518354,0.605404,-0.367296,0.476393,0.571086,-0.365530,0.466193,0.629848
0.510000,-0.380718,0.518281,0.605384,-0.367274,0.476317,0.571076,-0.365511,0.466107,0.629839
0.520000,-0.380664,0.518191,0.605401,-0.367281,0.476159,0.571077,-0.365505,0.465997,0.629839
0.530000,-0.380608,0.518102,0.605412,-0.367271,0.476039,0.571078,-0.365495,0.465901,0.629839
0.540000,-0.380565,0.518025,0.605442,-0.367279,0.475906,0.571099,-0.365474,0.465827,0.629861
