Time,org_x,org_y,org_z,xvec_x,xvec_y,xvec_z,zvec_x,zvec_y,zvec_z
0.000000,-0.392049,0.528469,0.504299,-0.358490,0.496011,0.472739,-0.369036,0.484848,0.529812
0.010000,-0.392042,0.528475,0.504297,-0.358474,0.495998,0.472738,-0.369042,0.484852,0.529837
0.020000,-0.392051,0.528457,0.504279,-0.358464,0.496005,0.472726,-0.369044,0.484836,0.529829
0.030000,-0.392036,0.528464,0.504278,-0.358454,0.495992,0.472733,-0.369037,0.484822,0.529822
0.040000,-0.392034,0.528460,0.504240,-0.358447,0.495994,0.472706,-0.369021,0.484844,0.529796
0.050000,-0.392011,0.528463,0.504242,-0.358433,0.496000,0.472701,-0.369021,0.484833,0.529791
0.060000,-0.391993,0.528467,0.504239,-0.358436,0.495990,0.472695,-0.369007,0.484830,0.529784
0.070000,-0.391994,0.528462,0.504230,-0.358428,0.495986,0.472689,-0.368995,0.484808,0.529763
0.080000,-0.391993,0.528466,0.504224,-0.358426,0.495982,0.472682,-0.368981,0.484820,0.529759
0.090000,-0.391977,0.528463,0.504233,-0.358415,0.495977,0.472685,-0.368977,0.484792,0.529751
0.100000,-0.391965,0.528463,0.504238,-0.358418,0.495981,0.472676,-0.368969,0.484785,0.529758
0.110000,-0.391950,0.528465,0.504240,-0.358413,0.495979,0.472686,-0.368959,0.484804,0.529768
0.120000,-0.391949,0.528453,0.504236,-0.358408,0.495968,0.472681,-0.368937,0.484806,0.529776
0.130000,-0.391942,0.528453,0.504259,-0.358401,0.495983,0.472698,-0.368922,0.484822,0.529788
0.140000,-0.391933,0.528435,0.504269,-0.358406,0.495989,0.472704,-0.368930,0.484791,0.529773
0.150000,-0.391925,0.528454,0.504293,-0.358396,0.495973,0.472727,-0.368921,0.484813,0.529815
0.160000,-0.391929,0.528444,0.504293,-0.358393,0.495972,0.472728,-0.368941,0.484772,0.529800
0.170000,-0.391935,0.528448,0.504325,-0.358387,0.495983,0.472750,-0.368925,0.484809,0.529841
0.180000,-0.391944,0.528451,0.504341,-0.358383,0.495984,0.472766,-0.368933,0.484813,0.529849
0.190000,-0.391932,0.528459,0.504353,-0.358376,0.495991,0.472782,-0.368945,0.484807,0.529872
0.200000,-0.391943,0.528439,0.504354,-0.358378,0.495996,0.472792,-0.368955,0.484794,0.529881
0.210000,-0.391927,0.528441,0.504363,-0.358367,0.495985,0.472804,-0.368964,0.484792,0.529894
0.220000,-0.391937,0.528438,0.504358,-0.358373,0.495997,0.472808,-0.368956,0.484795,0.529899
0.230000,-0.391941,0.528446,0.504347,-0.358373,0.495980,0.472811,-0.368965,0.484796,0.529890
0.240000,-0.391926,0.528469,0.504363,-0.358364,0.495984,0.472809,-0.368961,0.484810,0.529888
0.250000,-0.391936,0.528452,0.504345,-0.358371,0.495961,0.472807,-0.368949,0.484822,0.529871
0.260000,-0.391926,0.528448,0.504338,-0.358375,0.495971,0.472799,-0.368959,0.484789,0.529880
0.270000,-0.391929,0.528447,0.504340,-0.358361,0.495957,0.472792,-0.368944,0.484805,0.529865
0.280000,-0.391926,0.528453,0.504338,-0.358382,0.495950,0.472779,-0.368935,0.484818,0.529868
0.290000,-0.391933,0.528465,0.504345,-0.358387,0.495974,0.472789,-0.368964,0.484791,0.529877
0.300000,-0.391956,0.528475,0.504358,-0.358400,0.495992,0.472789,-0.368964,0.484809,0.529892
0.310000,-0.391964,0.528474,0.504368,-0.358405,0.496000,0.472797,-0.368971,0.484837,0.529915
0.320000,-0.391969,0.528475,0.504387,-0.358421,0.496018,0.472822,-0.368978,0.484864,0.529927
0.330000,-0.391973,0.528481,0.504410,-0.358425,0.496031,0.472834,-0.368976,0.484842,0.529936
0.340000,-0.391999,0.528476,0.504406,-0.358417,0.496031,0.472847,-0.368979,0.484833,0.529944
0.350000,-0.391987,0.528474,0.504425,-0.358418,0.496036,0.472876,-0.368987,0.484845,0.529956
0.360000,-0.391975,0.528495,0.504440,-0.358410,0.496039,0.472879,-0.368999,0.484843,0.529971
0.370000,-0.391982,0.528486,0.504443,-0.358410,0.496035,0.472892,-0.368997,0.484846,0.529973
0.380000,-0.391958,0.528499,0.504444,-0.358407,0.496028,0.472904,-0.369000,0.484847,0.529982
0.390000,-0.391974,0.528470,0.504436,-0.358395,0.496017,0.472901,-0.369005,0.484844,0.529984
0.400000,-0.391968,0.528468,0.504440,-0.358391,0.496004,0.472911,-0.369012,0.484826,0.529988
0.410000,-0.391961,0.528481,0.504459,-0.358390,0.495994,0.472922,-0.369022,0.484831,0.529995
0.420000,-0.391967,0.528477,0.504454,-0.358390,0.495981,0.472920,-0.369030,0.484821,0.530003
0.430000,-0.391973,0.528461,0.504465,-0.358382,0.495987,0.472936,-0.369022,0.484826,0.530015
0.440000,-0.391973,0.528445,0.504442,-0.358385,0.495988,0.472931,-0.369025,0.484810,0.530005
0.450000,-0.391967,0.528446,0.504450,-0.358380,0.495986,0.472937,-0.369018,0.484825,0.530009
0.460000,-0.391951,0.528449,0.504453,-0.358373,0.495985,0.472931,-0.369018,0.484810,0.530008
0.470000,-0.391944,0.528442,0.504452,-0.358355,0.495966,0.472942,-0.369017,0.484778,0.530015
0.480000,-0.391921,0.528458,0.504458,-0.358344,0.495965,0.472934,-0.368987,0.484802,0.530011
0.490000,-0.391917,0.528442,0.504461,-0.358324,0.495971,0.472934,-0.368998,0.484775,0.530025
0.500000,-0.391899,0.528433,0.504462,-0.358314,0.495968,0.472947,-0.368978,0.484779,0.530033
0.510000,-0.391882,0.528436,0.504482,-0.358296,0.495944,0.472971,-0.368968,0.484753,0.530042
0.520000,-0.391843,0.528452,0.504522,-0.358275,0.495940,0.472994,-0.368957,0.484759,0.530068
0.530000,-0.391814,0.528433,0.504545,-0.358243,0.495942,0.473034,-0.368935,0.484731,0.530104
0.540000,-0.391779,0.528440,0.504577,-0.358203,0.495931,0.473065,-0.368921,0.484714,0.530112
0.550000,-0.391749,0.528426,0.504583,-0.358172,0.495922,0.473095,-0.368921,0.484700,0.530126
0.560000,-0.391716,0.528394,0.504606,-0.358139,0.495911,0.473102,-0.368890,0.484688,0.530149
0.570000,-0.391682,0.528429,0.504606,-0.358100,0.495905,0.473112,-0.368862,0.484712,0.530161
0.580000,-0.391672,0.528385,0.504615,-0.358069,0.495887,0.473111,-0.368853,0.484707,0.530168
0.590000,-0.391649,0.528372,0.504613,-0.358032,0.495886,0.473140,-0.368843,0.484681,0.530183
0.600000,-0.391610,0.528367,0.504617,-0.357992,0.495882,0.473153,-0.368813,0.484658,0.530192
0.610000,-0.391566,0.528350,0.504625,-0.357956,0.495875,0.473152,-0.368802,0.484666,0.530202
0.620000,-0.391546,0.528346,0.504626,-0.357938,0.495866,0.473163,-0.368780,0.484656,0.530195
0.630000,-0.391497,0.528358,0.504636,-0.357908,0.495870,0.473171,-0.368764,0.484650,0.530195
0.640000,-0.391491,0.528365,0.504635,-0.357899,0.495843,0.473185,-0.368750,0.484649,0.530209
0.650000,-0.391472,0.528345,0.504637,-0.357869,0.495848,0.473184,-0.368743,0.484629,0.530209
0.660000,-0.391448,0.528344,0.504629,-0.357853,0.495839,0.473188,-0.368723,0.484626,0.530207
0.670000,-0.391436,0.528349,0.504625,-0.357828,0.495829,0.473199,-0.368705,0.484628,0.530218
0.680000,-0.391418,0.528334,0.504630,-0.357813,0.495814,0.473207,-0.368700,0.484597,0.530213
0.690000,-0.391389,0.528338,0.504644,-0.357791,0.495823,0.473201,-0.368680,0.484601,0.530221
0.700000,-0.391391,0.528350,0.504644,-0.357785,0.495807,0.473206,-0.368709,0.484611,0.530207
0.710000,-0.391380,0.528311,0.504620,-0.357770,0.495816,0.473213,-0.368697,0.484603,0.530214
0.720000,-0.391374,0.528311,0.504617,-0.357764,0.495810,0.473213,-0.368688,0.484601,0.530207
0.730000,-0.391366,0.528311,0.504628,-0.357753,0.495808,0.473227,-0.368688,0.484601,0.530220
0.740000,-0.391381,0.528326,0.504620,-0.357750,0.495808,0.473237,-0.368689,0.484593,0.530229
0.750000,-0.391378,0.528325,0.504629,-0.357742,0.495792,0.473226,-0.368705,0.484581,0.530221
0.760000,-0.391380,0.528320,0.504619,-0.357734,0.495794,0.473237,-0.368712,0.484570,0.530210
0.770000,-0.391373,0.528325,0.504606,-0.357743,0.495793,0.473229,-0.368726,0.484584,0.530215
0.780000,-0.391380,0.528330,0.504610,-0.357738,0.495790,0.473206,-0.368710,0.484582,0.530225
0.790000,-0.391392,0.528324,0.504595,-0.357752,0.495795,0.473201,-0.368711,0.484595,0.530214
0.800000,-0.391407,0.528330,0.504566,-0.357759,0.495787,0.473180,-0.368726,0.484602,0.530193
0.810000,-0.391416,0.528338,0.504539,-0.357778,0.495800,0.473166,-0.368745,0.484611,0.530174
0.820000,-0.391421,0.528373,0.504508,-0.357783,0.495811,0.473149,-0.368765,0.484631,0.530164
0.830000,-0.391428,0.528369,0.504488,-0.357792,0.495813,0.473131,-0.368761,0.484629,0.530149
0.840000,-0.391433,0.528372,0.504464,-0.357804,0.495800,0.473114,-0.368783,0.484592,0.530109
0.850000,-0.391439,0.528365,0.504438,-0.357814,0.495795,0.473090,-0.368769,0.484633,0.530118
0.860000,-0.391434,0.528392,0.504412,-0.357827,0.495803,0.473073,-0.368791,0.484606,0.530090
0.870000,-0.391472,0.528387,0.504419,-0.357841,0.495801,0.473053,-0.368798,0.484650,0.530102
0.880000,-0.391447,0.528419,0.504411,-0.357842,0.495831,0.473067,-0.368811,0.484674,0.530093
0.890000,-0.391492,0.528401,0.504411,-0.357853,0.495830,0.473057,-0.368823,0.484680,0.530093
0.900000,-0.391493,0.528412,0.504409,-0.357870,0.495835,0.473060,-0.368826,0.484706,0.530099
0.910000,-0.391503,0.528398,0.504396,-0.357885,0.495836,0.473049,-0.368832,0.484663,0.530077
0.920000,-0.391485,0.528422,0.504375,-0.357881,0.495844,0.473037,-0.368853,0.484680,0.530061
0.930000,-0.391508,0.528424,0.504376,-0.357889,0.495845,0.473032,-0.368862,0.484692,0.530056
0.940000,-0.391514,0.528439,0.504361,-0.357911,0.495843,0.473012,-0.368873,0.484708,0.530043
0.950000,-0.391527,0.528477,0.504334,-0.357928,0.495851,0.472997,-0.368895,0.484709,0.530033
0.960000,-0.391553,0.528481,0.504307,-0.357946,0.495851,0.472981,-0.368914,0.484744,0.530010
0.970000,-0.391569,0.528485,0.504279,-0.357960,0.495849,0.472958,-0.368937,0.484740,0.529998
0.980000,-0.391607,0.528482,0.504266,-0.357998,0.495850,0.472937,-0.368954,0.484740,0.529977
0.990000,-0.391673,0.528452,0.504264,-0.358041,0.495860,0.472913,-0.368976,0.484746,0.529953
1.000000,-0.391701,0.528444,0.504239,-0.358066,0.495835,0.472899,-0.369000,0.484763,0.529948
1.010000,-0.391725,0.528460,0.504198,-0.358097,0.495845,0.472868,-0.369025,0.484763,0.529927
1.020000,-0.391789,0.528451,0.504188,-0.358142,0.495860,0.472861,-0.369065,0.484760,0.529903
1.030000,-0.391811,0.528474,0.504182,-0.358170,0.495876,0.472840,-0.369099,0.484788,0.529901
1.040000,-0.391858,0.528453,0.504153,-0.358203,0.495885,0.472825,-0.369113,0.484801,0.529872
1.050000,-0.391856,0.528512,0.504136,-0.358226,0.495886,0.472804,-0.369122,0.484804,0.529863
1.060000,-0.391871,0.528528,0.504112,-0.358258,0.495897,0.472795,-0.369145,0.484835,0.529847
