Time,org_x,org_y,org_z,xvec_x,xvec_y,xvec_z,zvec_x,zvec_y,zvec_z
0.000000,-0.394320,0.522903,0.507388,-0.359712,0.490022,0.477440,-0.372705,0.479273,0.534061
0.010000,-0.394295,0.522905,0.507376,-0.359690,0.489985,0.477458,-0.372692,0.479265,0.534054
0.020000,-0.394264,0.522904,0.507374,-0.359660,0.489965,0.477451,-0.372646,0.479277,0.534086
0.030000,-0.394247,0.522898,0.507372,-0.359598,0.490003,0.477445,-0.372620,0.479287,0.534081
0.040000,-0.394210,0.522904,0.507374,-0.359608,0.489941,0.477443,-0.372608,0.479279,0.534075
0.050000,-0.394185,0.522883,0.507358,-0.359552,0.489961,0.477436,-0.372575,0.479271,0.534076
0.060000,-0.394173,0.522872,0.507339,-0.359533,0.489945,0.477425,-0.372560,0.479236,0.534076
0.070000,-0.394148,0.522870,0.507334,-0.359526,0.489904,0.477433,-0.372546,0.479240,0.534072
0.080000,-0.394134,0.522862,0.507339,-0.359522,0.489893,0.477421,-0.372530,0.479229,0.534068
0.090000,-0.394129,0.522840,0.507317,-0.359495,0.489908,0.477393,-0.372512,0.479220,0.534044
0.100000,-0.394119,0.522841,0.507311,-0.359466,0.489918,0.477363,-0.372497,0.479229,0.534054
0.110000,-0.394101,0.522847,0.507303,-0.359463,0.489887,0.477368,-0.372510,0.479204,0.533998
0.120000,-0.394088,0.522830,0.507291,-0.359444,0.489910,0.477343,-0.372465,0.479218,0.534031
0.130000,-0.394083,0.522834,0.507287,-0.359432,0.489908,0.477335,-0.372445,0.479220,0.534019
0.140000,-0.394057,0.522830,0.507287,-0.359424,0.489894,0.477331,-0.372433,0.479186,0.533996
0.150000,-0.394042,0.522817,0.507284,-0.359406,0.489888,0.477326,-0.372406,0.479216,0.534012
0.160000,-0.394018,0.522819,0.507285,-0.359386,0.489897,0.477323,-0.372395,0.479185,0.533990
0.170000,-0.394007,0.522818,0.507279,-0.359371,0.489887,0.477323,-0.372364,0.479203,0.533994
0.180000,-0.393981,0.522820,0.507283,-0.359357,0.489886,0.477326,-0.372355,0.479182,0.533994
0.190000,-0.393955,0.522824,0.507295,-0.359327,0.489886,0.477332,-0.372331,0.479182,0.534016
0.200000,-0.393927,0.522815,0.507300,-0.359308,0.489882,0.477346,-0.372304,0.479177,0.534009
0.210000,-0.393911,0.522807,0.507315,-0.359282,0.489867,0.477350,-0.372295,0.479151,0.534006
0.220000,-0.393878,0.522806,0.507301,-0.359250,0.489858,0.477355,-0.372258,0.479161,0.534016
0.230000,-0.393867,0.522795,0.507294,-0.359222,0.489863,0.477357,-0.372252,0.479149,0.534021
0.240000,-0.393843,0.522789,0.507288,-0.359201,0.489846,0.477349,-0.372232,0.479143,0.534017
0.250000,-0.393803,0.522794,0.507288,-0.359175,0.489833,0.477347,-0.372212,0.479140,0.534016
0.260000,-0.393774,0.522787,0.507286,-0.359146,0.489827,0.477350,-0.372181,0.479134,0.534020
0.270000,-0.393752,0.522772,0.507285,-0.359119,0.489826,0.477343,-0.372111,0.479130,0.533994
0.280000,-0.393721,0.522776,0.507282,-0.359098,0.489807,0.477360,-0.372128,0.479117,0.534009
0.290000,-0.393695,0.522768,0.507285,-0.359071,0.489800,0.477350,-0.372050,0.479115,0.533999
0.300000,-0.393650,0.522748,0.507295,-0.359044,0.489791,0.477359,-0.372030,0.479109,0.534000
0.310000,-0.393638,0.522733,0.507297,-0.359023,0.489775,0.477361,-0.372015,0.479090,0.534011
0.320000,-0.393615,0.522718,0.507310,-0.358996,0.489770,0.477367,-0.371979,0.479088,0.534006
0.330000,-0.393579,0.522720,0.507322,-0.358978,0.489755,0.477381,-0.371961,0.479074,0.534014
0.340000,-0.393550,0.522716,0.507333,-0.358971,0.489719,0.477404,-0.371937,0.479059,0.534016
0.350000,-0.393545,0.522704,0.507335,-0.358938,0.489744,0.477406,-0.371923,0.479044,0.534033
0.360000,-0.393514,0.522681,0.507355,-0.358919,0.489728,0.477412,-0.371922,0.479013,0.534054
0.370000,-0.393491,0.522684,0.507362,-0.358904,0.489703,0.477434,-0.371907,0.479010,0.534061
0.380000,-0.393488,0.522683,0.507374,-0.358889,0.489683,0.477462,-0.371904,0.478997,0.534079
0.390000,-0.393468,0.522690,0.507389,-0.358869,0.489694,0.477477,-0.371898,0.478989,0.534088
0.400000,-0.393465,0.522684,0.507402,-0.358866,0.489680,0.477499,-0.371872,0.479003,0.534111
0.410000,-0.393455,0.522677,0.507421,-0.358857,0.489670,0.477517,-0.371888,0.479003,0.534140
0.420000,-0.393460,0.522675,0.507437,-0.358842,0.489680,0.477546,-0.371876,0.478990,0.534134
0.430000,-0.393452,0.522664,0.507451,-0.358838,0.489678,0.477559,-0.371896,0.478968,0.534139
0.440000,-0.393438,0.522653,0.507456,-0.358830,0.489668,0.477577,-0.371868,0.478989,0.534161
0.450000,-0.393441,0.522652,0.507477,-0.358829,0.489672,0.477590,-0.371897,0.478969,0.534160
0.460000,-0.393448,0.522645,0.507475,-0.358825,0.489668,0.477601,-0.371872,0.478988,0.534173
0.470000,-0.393451,0.522664,0.507483,-0.358829,0.489666,0.477605,-0.371877,0.478986,0.534180
0.480000,-0.393447,0.522654,0.507485,-0.358828,0.489678,0.477609,-0.371874,0.478995,0.534186
0.490000,-0.393456,0.522647,0.507489,-0.358826,0.489684,0.477620,-0.371891,0.478987,0.534188
0.500000,-0.393442,0.522652,0.507496,-0.358815,0.489669,0.477621,-0.371898,0.478952,0.534208
0.510000,-0.393442,0.522648,0.507501,-0.358817,0.489661,0.477623,-0.371876,0.478981,0.534204
0.520000,-0.393431,0.522654,0.507514,-0.358809,0.489667,0.477640,-0.371891,0.478947,0.534209
0.530000,-0.393441,0.522651,0.507533,-0.358810,0.489670,0.477640,-0.371866,0.478977,0.534224
0.540000,-0.393440,0.522650,0.507553,-0.358811,0.489679,0.477665,-0.371888,0.478944,0.534247
