Time,org_x,org_y,org_z,xvec_x,xvec_y,xvec_z,zvec_x,zvec_y,zvec_z
0.000000,-0.223810,0.499456,0.629004,-0.196201,0.459529,0.598254,-0.211435,0.451139,0.654780
0.010000,-0.223831,0.499465,0.628981,-0.196232,0.459529,0.598220,-0.211446,0.451153,0.654762
0.020000,-0.223848,0.499482,0.628954,-0.196241,0.459533,0.598192,-0.211474,0.451163,0.654761
0.030000,-0.223860,0.499491,0.628937,-0.196253,0.459543,0.598172,-0.211484,0.451173,0.654743
0.040000,-0.223870,0.499499,0.628911,-0.196276,0.459545,0.598151,-0.211484,0.451179,0.654725
0.050000,-0.223879,0.499520,0.628895,-0.196290,0.459554,0.598129,-0.211502,0.451175,0.654701
0.060000,-0.223891,0.499531,0.628878,-0.196304,0.459556,0.598118,-0.211482,0.451203,0.654665
0.070000,-0.223902,0.499539,0.628873,-0.196316,0.459556,0.598105,-0.211512,0.451201,0.654684
0.080000,-0.223919,0.499550,0.628867,-0.196335,0.459569,0.598101,-0.211525,0.451209,0.654669
0.090000,-0.223930,0.499556,0.628868,-0.196344,0.459581,0.598099,-0.211534,0.451205,0.654669
0.100000,-0.223946,0.499553,0.628881,-0.196352,0.459577,0.598103,-0.211541,0.451215,0.654672
0.110000,-0.223956,0.499537,0.628889,-0.196362,0.459591,0.598117,-0.211556,0.451221,0.654672
0.120000,-0.223970,0.499558,0.628888,-0.196369,0.459584,0.598117,-0.211565,0.451207,0.654678
0.130000,-0.223977,0.499551,0.628882,-0.196374,0.459590,0.598111,-0.211577,0.451207,0.654680
0.140000,-0.223986,0.499556,0.628875,-0.196379,0.459594,0.598105,-0.211583,0.451219,0.654674
0.150000,-0.223992,0.499566,0.628859,-0.196388,0.459596,0.598102,-0.211592,0.451235,0.654658
0.160000,-0.224012,0.499574,0.628835,-0.196390,0.459592,0.598089,-0.211599,0.451246,0.654649
0.170000,-0.224006,0.499579,0.628818,-0.196386,0.459609,0.598075,-0.211597,0.451250,0.654633
0.180000,-0.224011,0.499584,0.628798,-0.196389,0.459602,0.598062,-0.211596,0.451265,0.654628
0.190000,-0.224008,0.499572,0.628778,-0.196387,0.459595,0.598043,-0.211600,0.451269,0.654604
0.200000,-0.224009,0.499592,0.628762,-0.196385,0.459592,0.598023,-0.211593,0.451282,0.654586
0.210000,-0.223991,0.499591,0.628735,-0.196387,0.459594,0.598008,-0.211583,0.451283,0.654570
0.220000,-0.223989,0.499582,0.628720,-0.196388,0.459584,0.597986,-0.211556,0.451287,0.654539
0.230000,-0.223988,0.499592,0.628710,-0.196375,0.459591,0.597975,-0.211546,0.451300,0.654527
0.240000,-0.223973,0.499594,0.628688,-0.196385,0.459584,0.597965,-0.211541,0.451302,0.654518
0.250000,-0.223964,0.499589,0.628691,-0.196379,0.459575,0.597948,-0.211524,0.451294,0.654509
0.260000,-0.223961,0.499581,0.628689,-0.196371,0.459569,0.597949,-0.211518,0.451294,0.654505
0.270000,-0.223951,0.499581,0.628688,-0.196369,0.459573,0.597942,-0.211507,0.451274,0.654511
0.280000,-0.223953,0.499573,0.628699,-0.196367,0.459569,0.597947,-0.211503,0.451273,0.654513
0.290000,-0.223947,0.499580,0.628702,-0.196362,0.459568,0.597952,-0.211499,0.451272,0.654516
0.300000,-0.223953,0.499574,0.628714,-0.196373,0.459581,0.597957,-0.211496,0.451261,0.654524
0.310000,-0.223952,0.499572,0.628724,-0.196364,0.459580,0.597975,-0.211497,0.451270,0.654541
0.320000,-0.223955,0.499572,0.628737,-0.196365,0.459570,0.597993,-0.211500,0.451266,0.654541
0.330000,-0.223953,0.499562,0.628748,-0.196356,0.459577,0.597999,-0.211501,0.451267,0.654557
0.340000,-0.223948,0.499567,0.628764,-0.196352,0.459573,0.598013,-0.211499,0.451267,0.654567
0.350000,-0.223944,0.499563,0.628773,-0.196347,0.459583,0.598027,-0.211525,0.451254,0.654600
0.360000,-0.223954,0.499567,0.628776,-0.196344,0.459577,0.598032,-0.211507,0.451258,0.654581
0.370000,-0.223948,0.499566,0.628776,-0.196346,0.459569,0.598040,-0.211506,0.451267,0.654585
0.380000,-0.223938,0.499559,0.628776,-0.196333,0.459574,0.598039,-0.211505,0.451273,0.654587
0.390000,-0.223938,0.499571,0.628772,-0.196336,0.459577,0.598034,-0.211506,0.451272,0.654586
0.400000,-0.223941,0.499578,0.628757,-0.196328,0.459579,0.598038,-0.211504,0.451294,0.654578
0.410000,-0.223935,0.499590,0.628743,-0.196334,0.459572,0.598031,-0.211496,0.451299,0.654575
0.420000,-0.223943,0.499580,0.628731,-0.196321,0.459569,0.598018,-0.211495,0.451303,0.654557
0.430000,-0.223928,0.499568,0.628720,-0.196319,0.459566,0.598002,-0.211480,0.451289,0.654560
0.440000,-0.223920,0.499576,0.628707,-0.196315,0.459555,0.597999,-0.211472,0.451287,0.654550
0.450000,-0.223911,0.499575,0.628713,-0.196311,0.459569,0.597988,-0.211461,0.451280,0.654554
0.460000,-0.223915,0.499565,0.628719,-0.196308,0.459567,0.597994,-0.211455,0.451290,0.654547
