Time,org_x,org_y,org_z,xvec_x,xvec_y,xvec_z,zvec_x,zvec_y,zvec_z
0.000000,0.046418,0.056482,0.603131,0.086726,0.013776,0.602776,0.029529,0.003114,0.613238
0.010000,0.046432,0.056514,0.603126,0.086729,0.013770,0.602772,0.029531,0.003112,0.613228
0.020000,0.046424,0.056481,0.603121,0.086730,0.013765,0.602757,0.029533,0.003119,0.613212
0.030000,0.046431,0.056486,0.603109,0.086732,0.013762,0.602739,0.029543,0.003118,0.613208
0.040000,0.046441,0.056482,0.603093,0.086744,0.013760,0.602727,0.029544,0.003110,0.613197
0.050000,0.046457,0.056478,0.603087,0.086753,0.013744,0.602722,0.029570,0.003111,0.613185
0.060000,0.046494,0.056499,0.603082,0.086774,0.013779,0.602704,0.029589,0.003120,0.613173
0.070000,0.046513,0.056507,0.603073,0.086807,0.013764,0.602691,0.029616,0.003119,0.613173
0.080000,0.046535,0.056518,0.603068,0.086823,0.013771,0.602683,0.029640,0.003113,0.613162
0.090000,0.046546,0.056495,0.603062,0.086832,0.013761,0.602669,0.029657,0.003119,0.613166
0.100000,0.046559,0.056490,0.603055,0.086836,0.013758,0.602657,0.029661,0.003118,0.613143
0.110000,0.046534,0.056486,0.603049,0.086834,0.013753,0.602662,0.029641,0.003103,0.613145
0.120000,0.046524,0.056469,0.603042,0.086811,0.013747,0.602657,0.029633,0.003087,0.613124
0.130000,0.046494,0.056449,0.603037,0.086789,0.013714,0.602651,0.029611,0.003044,0.613097
0.140000,0.046477,0.056446,0.603034,0.086786,0.013714,0.602650,0.029586,0.003034,0.613087
0.150000,0.046469,0.056428,0.603029,0.086765,0.013691,0.602657,0.029582,0.003031,0.613088
0.160000,0.046464,0.056407,0.603013,0.086775,0.013684,0.602635,0.029581,0.003009,0.613053
0.170000,0.046470,0.056385,0.603001,0.086778,0.013681,0.602613,0.029580,0.002994,0.613038
0.180000,0.046480,0.056366,0.602981,0.086790,0.013658,0.602593,0.029591,0.002981,0.613007
0.190000,0.046491,0.056344,0.602966,0.086800,0.013656,0.602575,0.029605,0.002995,0.612994
0.200000,0.046497,0.056337,0.602949,0.086801,0.013651,0.602551,0.029617,0.002950,0.612988
0.210000,0.046500,0.056326,0.602950,0.086811,0.013632,0.602546,0.029611,0.002948,0.612972
0.220000,0.046519,0.056338,0.602935,0.086814,0.013644,0.602533,0.029622,0.002940,0.612969
0.230000,0.046519,0.056322,0.602929,0.086817,0.013615,0.602522,0.029640,0.002934,0.612950
0.240000,0.046519,0.056324,0.602924,0.086814,0.013615,0.602524,0.029616,0.002960,0.612945
0.250000,0.046532,0.056336,0.602920,0.086825,0.013619,0.602521,0.029626,0.002923,0.612932
0.260000,0.046529,0.056328,0.602918,0.086828,0.013643,0.602518,0.029641,0.002910,0.612906
0.270000,0.046540,0.056331,0.602908,0.086831,0.013631,0.602502,0.029636,0.002907,0.612906
0.280000,0.046549,0.056319,0.602908,0.086842,0.013637,0.602500,0.029641,0.002893,0.612890
0.290000,0.046549,0.056304,0.602906,0.086851,0.013611,0.602489,0.029644,0.002911,0.612893
0.300000,0.046548,0.056296,0.602903,0.086844,0.013611,0.602482,0.029640,0.002902,0.612881
0.310000,0.046546,0.056300,0.602897,0.086847,0.013604,0.602467,0.029633,0.002876,0.612867
0.320000,0.046526,0.056287,0.602894,0.086831,0.013584,0.602475,0.029636,0.002848,0.612866
0.330000,0.046511,0.056262,0.602897,0.086817,0.013570,0.602474,0.029619,0.002857,0.612859
0.340000,0.046499,0.056281,0.602908,0.086807,0.013586,0.602500,0.029591,0.002850,0.612858
0.350000,0.046484,0.056266,0.602915,0.086793,0.013548,0.602519,0.029572,0.002871,0.612873
0.360000,0.046476,0.056277,0.602926,0.086779,0.013553,0.602520,0.029557,0.002843,0.612855
0.370000,0.046464,0.056258,0.602925,0.086773,0.013557,0.602520,0.029562,0.002844,0.612857
0.380000,0.046454,0.056244,0.602916,0.086762,0.013555,0.602500,0.029547,0.002842,0.612833
0.390000,0.046452,0.056257,0.602905,0.086756,0.013564,0.602496,0.029545,0.002862,0.612828
0.400000,0.046447,0.056245,0.602903,0.086756,0.013547,0.602487,0.029535,0.002835,0.612814
0.410000,0.046456,0.056247,0.602905,0.086754,0.013535,0.602487,0.029527,0.002846,0.612802
0.420000,0.046459,0.056219,0.602895,0.086754,0.013530,0.602474,0.029542,0.002830,0.612800
0.430000,0.046461,0.056201,0.602886,0.086759,0.013507,0.602466,0.029531,0.002819,0.612788
0.440000,0.046460,0.056188,0.602883,0.086746,0.013484,0.602450,0.029526,0.002780,0.612766
0.450000,0.046465,0.056160,0.602878,0.086749,0.013465,0.602448,0.029526,0.002764,0.612747
0.460000,0.046475,0.056159,0.602869,0.086758,0.013433,0.602439,0.029521,0.002736,0.612746
0.470000,0.046487,0.056139,0.602857,0.086757,0.013444,0.602428,0.029528,0.002744,0.612730
0.480000,0.046505,0.056154,0.602854,0.086770,0.013427,0.602408,0.029548,0.002742,0.612719
0.490000,0.046509,0.056154,0.602841,0.086774,0.013438,0.602383,0.029548,0.002765,0.612706
0.500000,0.046514,0.056177,0.602835,0.086777,0.013440,0.602369,0.029556,0.002784,0.612687
0.510000,0.046512,0.056170,0.602818,0.086773,0.013463,0.602356,0.029511,0.002872,0.612642
0.520000,0.046500,0.056164,0.602803,0.086759,0.013455,0.602333,0.029515,0.002867,0.612621
0.530000,0.046486,0.056155,0.602794,0.086747,0.013436,0.602321,0.029498,0.002860,0.612596
0.540000,0.046475,0.056142,0.602776,0.086739,0.013429,0.602296,0.029477,0.002847,0.612569
0.550000,0.046458,0.056117,0.602760,0.086723,0.013421,0.602277,0.029464,0.002804,0.612548
0.560000,0.046446,0.056108,0.602750,0.086706,0.013402,0.602256,0.029467,0.002712,0.612543
0.570000,0.046429,0.056086,0.602743,0.086686,0.013393,0.602257,0.029422,0.002792,0.612519
0.580000,0.046413,0.056081,0.602738,0.086679,0.013376,0.602246,0.029410,0.002786,0.612511
0.590000,0.046402,0.056048,0.602726,0.086664,0.013353,0.602232,0.029394,0.002763,0.612496
0.600000,0.046394,0.056032,0.602717,0.086676,0.013352,0.602219,0.029401,0.002731,0.612488
0.610000,0.046401,0.056028,0.602706,0.086678,0.013356,0.602209,0.029417,0.002619,0.612478
0.620000,0.046406,0.056025,0.602690,0.086670,0.013344,0.602184,0.029405,0.002729,0.612442
0.630000,0.046400,0.056027,0.602676,0.086668,0.013328,0.602160,0.029406,0.002718,0.612430
0.640000,0.046400,0.056021,0.602662,0.086661,0.013337,0.602157,0.029399,0.002711,0.612414
0.650000,0.046397,0.056040,0.602656,0.086668,0.013364,0.602153,0.029395,0.002746,0.612406
