Time,org_x,org_y,org_z,xvec_x,xvec_y,xvec_z,zvec_x,zvec_y,zvec_z
0.000000,0.199733,0.486464,0.295536,0.217388,0.441472,0.263206,0.199400,0.445479,0.322282
0.010000,0.199714,0.486470,0.295495,0.217353,0.441474,0.263171,0.199384,0.445501,0.322248
0.020000,0.199692,0.486489,0.295457,0.217343,0.441491,0.263136,0.199383,0.445523,0.322223
0.030000,0.199680,0.486493,0.295415,0.217298,0.441473,0.263091,0.199376,0.445532,0.322185
0.040000,0.199670,0.486497,0.295385,0.217281,0.441476,0.263052,0.199387,0.445541,0.322123
0.050000,0.199669,0.486499,0.295356,0.217271,0.441468,0.263024,0.199386,0.445545,0.322097
0.060000,0.199666,0.486513,0.295324,0.217274,0.441476,0.263004,0.199393,0.445557,0.322077
0.070000,0.199671,0.486511,0.295308,0.217271,0.441450,0.262979,0.199408,0.445552,0.322060
0.080000,0.199688,0.486502,0.295300,0.217286,0.441460,0.262974,0.199424,0.445545,0.322048
0.090000,0.199710,0.486488,0.295284,0.217308,0.441437,0.262963,0.199442,0.445537,0.322041
0.100000,0.199739,0.486473,0.295281,0.217321,0.441408,0.262952,0.199465,0.445524,0.322035
0.110000,0.199782,0.486446,0.295268,0.217369,0.441388,0.262951,0.199500,0.445500,0.322020
0.120000,0.199822,0.486428,0.295254,0.217406,0.441377,0.262946,0.199532,0.445480,0.322015
0.130000,0.199871,0.486411,0.295246,0.217454,0.441330,0.262938,0.199577,0.445451,0.321995
0.140000,0.199926,0.486383,0.295232,0.217502,0.441302,0.262919,0.199620,0.445442,0.321993
0.150000,0.199973,0.486360,0.295227,0.217560,0.441235,0.262912,0.199659,0.445417,0.321978
0.160000,0.200033,0.486325,0.295223,0.217592,0.441203,0.262895,0.199706,0.445372,0.321963
0.170000,0.200081,0.486305,0.295209,0.217628,0.441186,0.262882,0.199740,0.445363,0.321953
0.180000,0.200114,0.486284,0.295199,0.217742,0.441230,0.262866,0.199792,0.445318,0.321947
0.190000,0.200158,0.486262,0.295179,0.217768,0.441201,0.262850,0.199823,0.445318,0.321932
0.200000,0.200199,0.486252,0.295171,0.217801,0.441187,0.262832,0.199855,0.445296,0.321919
0.210000,0.200225,0.486238,0.295154,0.217809,0.441170,0.262819,0.199896,0.445278,0.321909
0.220000,0.200254,0.486234,0.295140,0.217844,0.441165,0.262809,0.199915,0.445265,0.321892
0.230000,0.200266,0.486224,0.295123,0.217847,0.441147,0.262790,0.199928,0.445263,0.321882
0.240000,0.200281,0.486224,0.295116,0.217863,0.441148,0.262787,0.199944,0.445266,0.321873
