Time,org_x,org_y,org_z,xvec_x,xvec_y,xvec_z,zvec_x,zvec_y,zvec_z
0.000000,0.196264,0.488124,0.295668,0.216266,0.445043,0.263365,0.196329,0.446877,0.322068
0.010000,0.196232,0.488153,0.295661,0.216573,0.445746,0.262864,0.196304,0.446903,0.322062
0.020000,0.196193,0.488179,0.295662,0.216550,0.445765,0.262865,0.196276,0.446920,0.322052
0.030000,0.196169,0.488197,0.295660,0.214860,0.443719,0.263197,0.196247,0.446949,0.322046
0.040000,0.196154,0.488242,0.295639,0.214838,0.443706,0.263190,0.196239,0.446963,0.322038
0.050000,0.196134,0.488252,0.295631,0.214821,0.443712,0.263177,0.196234,0.446972,0.322027
0.060000,0.196136,0.488258,0.295621,0.214819,0.443728,0.263170,0.196235,0.446994,0.322013
0.070000,0.196135,0.488264,0.295605,0.214823,0.443717,0.263151,0.196231,0.447003,0.322020
0.080000,0.196144,0.488254,0.295593,0.214834,0.443729,0.263143,0.196250,0.446989,0.322000
0.090000,0.196155,0.488246,0.295589,0.216149,0.445097,0.263305,0.196270,0.446977,0.321997
0.100000,0.196181,0.488225,0.295583,0.216186,0.445098,0.263295,0.196286,0.446968,0.321987
0.110000,0.196193,0.488222,0.295579,0.214848,0.443688,0.263125,0.196303,0.446960,0.321988
0.120000,0.196215,0.488213,0.295584,0.214861,0.443682,0.263132,0.196319,0.446956,0.321996
0.130000,0.196235,0.488209,0.295588,0.216232,0.445077,0.263301,0.196338,0.446959,0.322001
0.140000,0.196257,0.488199,0.295590,0.216253,0.445070,0.263299,0.196359,0.446951,0.322006
0.150000,0.196285,0.488191,0.295592,0.214978,0.443699,0.263145,0.196378,0.446940,0.322011
0.160000,0.196309,0.488166,0.295600,0.216300,0.445052,0.263315,0.196409,0.446918,0.322023
0.170000,0.196357,0.488171,0.295612,0.215023,0.443686,0.263157,0.196437,0.446918,0.322013
0.180000,0.196382,0.488156,0.295622,0.215036,0.443666,0.263170,0.196456,0.446903,0.322036
0.190000,0.196408,0.488127,0.295639,0.215070,0.443672,0.263185,0.196470,0.446894,0.322046
0.200000,0.196429,0.488134,0.295640,0.215086,0.443651,0.263192,0.196503,0.446861,0.322050
0.210000,0.196466,0.488080,0.295671,0.215107,0.443638,0.263199,0.196535,0.446833,0.322053
0.220000,0.196481,0.488074,0.295686,0.215115,0.443613,0.263209,0.196553,0.446832,0.322069
0.230000,0.196502,0.488062,0.295693,0.215161,0.443625,0.263226,0.196575,0.446808,0.322076
0.240000,0.196528,0.488029,0.295710,0.215172,0.443599,0.263230,0.196593,0.446793,0.322087
0.250000,0.196546,0.488019,0.295728,0.215175,0.443584,0.263237,0.196610,0.446779,0.322098
0.260000,0.196559,0.487999,0.295740,0.215190,0.443589,0.263248,0.196626,0.446762,0.322106
0.270000,0.196573,0.487993,0.295761,0.215196,0.443573,0.263264,0.196634,0.446757,0.322126
0.280000,0.196576,0.487983,0.295778,0.215207,0.443560,0.263277,0.196635,0.446746,0.322141
0.290000,0.196588,0.487970,0.295807,0.215217,0.443569,0.263301,0.196646,0.446731,0.322163
0.300000,0.196593,0.487977,0.295831,0.215223,0.443564,0.263327,0.196644,0.446721,0.322177
0.310000,0.196597,0.487972,0.295851,0.215243,0.443579,0.263356,0.196646,0.446715,0.322202
0.320000,0.196596,0.487964,0.295874,0.215189,0.443506,0.263375,0.196645,0.446715,0.322230
0.330000,0.196596,0.487961,0.295886,0.215241,0.443551,0.263392,0.196645,0.446696,0.322230
0.340000,0.196604,0.487959,0.295897,0.215253,0.443571,0.263401,0.196645,0.446680,0.322246
0.350000,0.196605,0.487953,0.295894,0.215203,0.443478,0.263410,0.196653,0.446687,0.322252
0.360000,0.196614,0.487940,0.295893,0.215226,0.443482,0.263411,0.196658,0.446678,0.322249
0.370000,0.196625,0.487930,0.295881,0.215277,0.443525,0.263397,0.196674,0.446672,0.322238
0.380000,0.196645,0.487908,0.295869,0.215281,0.443495,0.263378,0.196689,0.446658,0.322231
0.390000,0.196668,0.487884,0.295848,0.215299,0.443465,0.263363,0.196710,0.446644,0.322214
0.400000,0.196691,0.487867,0.295827,0.215298,0.443444,0.263343,0.196736,0.446615,0.322191
0.410000,0.196719,0.487867,0.295812,0.215303,0.443434,0.263315,0.196764,0.446613,0.322179
0.420000,0.196740,0.487849,0.295784,0.215317,0.443415,0.263299,0.196788,0.446588,0.322141
0.430000,0.196765,0.487834,0.295763,0.215349,0.443380,0.263261,0.196827,0.446579,0.322111
0.440000,0.196787,0.487833,0.295745,0.215350,0.443379,0.263227,0.196880,0.446573,0.322078
0.450000,0.196807,0.487826,0.295721,0.215361,0.443357,0.263196,0.196911,0.446570,0.322056
0.460000,0.196827,0.487817,0.295693,0.216726,0.444757,0.263292,0.196959,0.446552,0.322013
0.470000,0.196844,0.487816,0.295667,0.215485,0.443440,0.263109,0.196986,0.446554,0.321982
0.480000,0.196863,0.487803,0.295640,0.215488,0.443434,0.263069,0.197005,0.446544,0.321959
0.490000,0.196875,0.487796,0.295616,0.215509,0.443421,0.263047,0.197028,0.446541,0.321933
0.500000,0.196899,0.487810,0.295588,0.215498,0.443391,0.263021,0.197041,0.446533,0.321920
0.510000,0.196909,0.487798,0.295569,0.215522,0.443404,0.263013,0.197048,0.446531,0.321900
0.520000,0.196923,0.487789,0.295549,0.216806,0.444717,0.263138,0.197064,0.446531,0.321885
0.530000,0.196929,0.487790,0.295530,0.216817,0.444719,0.263128,0.197062,0.446537,0.321870
0.540000,0.196949,0.487795,0.295494,0.215550,0.443380,0.262953,0.197067,0.446539,0.321859
0.550000,0.196959,0.487801,0.295471,0.216833,0.444713,0.263096,0.197071,0.446554,0.321833
0.560000,0.196946,0.487828,0.295441,0.215572,0.443386,0.262920,0.197078,0.446562,0.321826
0.570000,0.196971,0.487827,0.295413,0.216847,0.444715,0.263061,0.197087,0.446567,0.321802
0.580000,0.196970,0.487832,0.295390,0.215576,0.443366,0.262887,0.197082,0.446572,0.321784
0.590000,0.196976,0.487819,0.295368,0.215576,0.443356,0.262865,0.197090,0.446582,0.321766
0.600000,0.196992,0.487811,0.295347,0.215581,0.443347,0.262853,0.197096,0.446574,0.321752
0.610000,0.196997,0.487799,0.295318,0.215590,0.443335,0.262839,0.197101,0.446563,0.321745
0.620000,0.197004,0.487785,0.295308,0.215576,0.443312,0.262814,0.197096,0.446552,0.321732
0.630000,0.197006,0.487771,0.295297,0.215583,0.443294,0.262807,0.197098,0.446543,0.321715
0.640000,0.197012,0.487753,0.295284,0.215570,0.443268,0.262799,0.197102,0.446529,0.321716
0.650000,0.197009,0.487750,0.295285,0.215556,0.443258,0.262788,0.197097,0.446532,0.321710
0.660000,0.196997,0.487740,0.295281,0.215547,0.443241,0.262795,0.197095,0.446514,0.321709
0.670000,0.196988,0.487736,0.295281,0.215561,0.443251,0.262796,0.197074,0.446515,0.321713
0.680000,0.196973,0.487742,0.295284,0.215529,0.443247,0.262796,0.196910,0.446593,0.321627
0.690000,0.196955,0.487751,0.295288,0.215508,0.443252,0.262805,0.197037,0.446535,0.321716
0.700000,0.196923,0.487764,0.295302,0.215497,0.443271,0.262812,0.196865,0.446614,0.321635
0.710000,0.196893,0.487782,0.295295,0.215481,0.443294,0.262814,0.196828,0.446609,0.321634
0.720000,0.196863,0.487801,0.295290,0.215451,0.443303,0.262815,0.196796,0.446640,0.321634
0.730000,0.196818,0.487826,0.295270,0.215391,0.443338,0.262813,0.196922,0.446607,0.321711
0.740000,0.196761,0.487874,0.295274,0.215277,0.443327,0.262814,0.196894,0.446636,0.321716
0.750000,0.196721,0.487905,0.295281,0.215319,0.443400,0.262819,0.196843,0.446678,0.321723
0.760000,0.196677,0.487931,0.295281,0.215214,0.443394,0.262820,0.196813,0.446708,0.321721
0.770000,0.196642,0.487969,0.295297,0.215196,0.443423,0.262832,0.196788,0.446741,0.321727
0.780000,0.196604,0.488008,0.295306,0.215168,0.443470,0.262836,0.196746,0.446765,0.321735
0.790000,0.196557,0.488044,0.295321,0.216792,0.445618,0.262524,0.196733,0.446800,0.321742
0.800000,0.196518,0.488071,0.295339,0.216768,0.445640,0.262541,0.196706,0.446806,0.321752
0.810000,0.196485,0.488101,0.295352,0.216406,0.444953,0.263056,0.196694,0.446827,0.321768
0.820000,0.196466,0.488117,0.295377,0.216372,0.444983,0.263066,0.196673,0.446832,0.321781
0.830000,0.196427,0.488119,0.295395,0.216360,0.444996,0.263090,0.196649,0.446863,0.321814
0.840000,0.196407,0.488123,0.295428,0.216344,0.445003,0.263112,0.196643,0.446858,0.321850
0.850000,0.196394,0.488114,0.295464,0.216320,0.445007,0.263147,0.196615,0.446843,0.321884
0.860000,0.196371,0.488113,0.295505,0.216294,0.444990,0.263196,0.196598,0.446845,0.321910
0.870000,0.196354,0.488108,0.295544,0.216280,0.444987,0.263231,0.196571,0.446818,0.321949
0.880000,0.196334,0.488085,0.295588,0.216269,0.444983,0.263273,0.196555,0.446812,0.321980
0.890000,0.196297,0.488073,0.295620,0.216251,0.444974,0.263312,0.196521,0.446831,0.322041
0.900000,0.196283,0.488070,0.295661,0.216234,0.444972,0.263341,0.196503,0.446819,0.322067
0.910000,0.196268,0.488061,0.295703,0.216196,0.444969,0.263381,0.196455,0.446838,0.322114
0.920000,0.196243,0.488067,0.295731,0.216537,0.445669,0.262908,0.196445,0.446811,0.322128
0.930000,0.196203,0.488070,0.295759,0.216527,0.445665,0.262933,0.196412,0.446833,0.322157
0.940000,0.196190,0.488075,0.295789,0.214791,0.443520,0.263307,0.196392,0.446846,0.322181
0.950000,0.196153,0.488082,0.295795,0.214773,0.443527,0.263322,0.196370,0.446853,0.322203
0.960000,0.196145,0.488086,0.295823,0.214768,0.443544,0.263342,0.196347,0.446854,0.322216
0.970000,0.196129,0.488092,0.295829,0.214767,0.443558,0.263350,0.196339,0.446858,0.322235
0.980000,0.196111,0.488096,0.295823,0.216461,0.445666,0.263005,0.196326,0.446854,0.322231
0.990000,0.196109,0.488096,0.295837,0.214742,0.443556,0.263363,0.196328,0.446873,0.322234
1.000000,0.196103,0.488102,0.295840,0.216438,0.445686,0.262999,0.196321,0.446866,0.322238
1.010000,0.196089,0.488109,0.295825,0.216431,0.445684,0.263002,0.196321,0.446880,0.322235
1.020000,0.196083,0.488115,0.295824,0.216427,0.445696,0.262997,0.196328,0.446878,0.322229
1.030000,0.196075,0.488121,0.295835,0.216056,0.444990,0.263514,0.196329,0.446897,0.322238
1.040000,0.196071,0.488136,0.295833,0.216062,0.445003,0.263523,0.196326,0.446896,0.322236
1.050000,0.196067,0.488147,0.295848,0.216422,0.445724,0.263008,0.196332,0.446905,0.322242
1.060000,0.196065,0.488152,0.295854,0.216064,0.445028,0.263535,0.196331,0.446912,0.322249
1.070000,0.196072,0.488162,0.295874,0.216421,0.445759,0.263019,0.196336,0.446919,0.322253
1.080000,0.196067,0.488178,0.295877,0.216429,0.445754,0.263033,0.196331,0.446922,0.322263
1.090000,0.196067,0.488173,0.295869,0.216074,0.445059,0.263554,0.196340,0.446932,0.322258
1.100000,0.196073,0.488179,0.295867,0.216450,0.445766,0.263037,0.196346,0.446935,0.322263
1.110000,0.196081,0.488178,0.295866,0.216441,0.445768,0.263044,0.196347,0.446941,0.322264
1.120000,0.196091,0.488169,0.295881,0.216457,0.445754,0.263046,0.196356,0.446926,0.322269
1.130000,0.196098,0.488167,0.295862,0.216471,0.445754,0.263043,0.196362,0.446934,0.322268
1.140000,0.196116,0.488151,0.295862,0.216483,0.445732,0.263041,0.196369,0.446925,0.322261
1.150000,0.196133,0.488141,0.295854,0.216489,0.445734,0.263029,0.196382,0.446914,0.322256
1.160000,0.196146,0.488136,0.295843,0.216495,0.445717,0.263018,0.196395,0.446907,0.322240
1.170000,0.196157,0.488124,0.295835,0.216506,0.445706,0.263006,0.196405,0.446890,0.322237
1.180000,0.196176,0.488107,0.295815,0.216517,0.445692,0.262985,0.196426,0.446875,0.322211
1.190000,0.196187,0.488094,0.295797,0.214809,0.443570,0.263323,0.196427,0.446864,0.322198
1.200000,0.196199,0.488098,0.295777,0.214797,0.443545,0.263297,0.196437,0.446834,0.322164
1.210000,0.196195,0.488089,0.295738,0.216517,0.445662,0.262929,0.196429,0.446862,0.322162
1.220000,0.196201,0.488087,0.295707,0.214788,0.443518,0.263257,0.196440,0.446832,0.322138
1.230000,0.196193,0.488083,0.295689,0.216513,0.445649,0.262890,0.196426,0.446849,0.322119
1.240000,0.196201,0.488085,0.295663,0.216507,0.445650,0.262870,0.196425,0.446858,0.322101
1.250000,0.196200,0.488087,0.295638,0.216151,0.444966,0.263346,0.196417,0.446858,0.322082
1.260000,0.196183,0.488090,0.295609,0.216168,0.444961,0.263324,0.196400,0.446864,0.322056
1.270000,0.196166,0.488096,0.295590,0.216124,0.444961,0.263309,0.196384,0.446870,0.322040
