Time,org_x,org_y,org_z,xvec_x,xvec_y,xvec_z,zvec_x,zvec_y,zvec_z
0.000000,0.183054,0.498683,0.312291,0.207383,0.457758,0.280302,0.182330,0.456196,0.336628
0.010000,0.183019,0.498720,0.312221,0.207347,0.457785,0.280252,0.182308,0.456233,0.336580
0.020000,0.182969,0.498775,0.312158,0.207308,0.457798,0.280208,0.182297,0.456270,0.336541
0.030000,0.182919,0.498808,0.312088,0.207283,0.457845,0.280167,0.182283,0.456310,0.336496
0.040000,0.182899,0.498839,0.312041,0.207277,0.457871,0.280121,0.182268,0.456368,0.336456
0.050000,0.182855,0.498849,0.312001,0.207264,0.457932,0.280075,0.182262,0.456399,0.336423
0.060000,0.182850,0.498889,0.311970,0.207239,0.457916,0.280050,0.182246,0.456433,0.336388
0.070000,0.182816,0.498918,0.311915,0.207243,0.457957,0.280012,0.182240,0.456452,0.336354
0.080000,0.182831,0.498943,0.311888,0.207172,0.457958,0.279992,0.182222,0.456487,0.336332
0.090000,0.182819,0.498931,0.311846,0.207236,0.457992,0.279947,0.182240,0.456483,0.336298
0.100000,0.182830,0.498934,0.311813,0.207234,0.457970,0.279921,0.182236,0.456518,0.336275
0.110000,0.182842,0.498931,0.311788,0.207227,0.457964,0.279886,0.182253,0.456506,0.336249
0.120000,0.182869,0.498937,0.311760,0.207230,0.457947,0.279862,0.182261,0.456494,0.336226
0.130000,0.182896,0.498922,0.311727,0.207229,0.457933,0.279834,0.182269,0.456489,0.336200
0.140000,0.182893,0.498894,0.311683,0.207231,0.457912,0.279809,0.182281,0.456482,0.336182
0.150000,0.182902,0.498882,0.311654,0.207249,0.457873,0.279781,0.182282,0.456477,0.336161
0.160000,0.182907,0.498868,0.311632,0.207245,0.457857,0.279759,0.182287,0.456458,0.336137
0.170000,0.182915,0.498867,0.311604,0.207236,0.457873,0.279730,0.182286,0.456484,0.336104
0.180000,0.182918,0.498857,0.311573,0.207250,0.457857,0.279700,0.182294,0.456472,0.336080
0.190000,0.182918,0.498865,0.311541,0.207253,0.457846,0.279678,0.182295,0.456502,0.336057
0.200000,0.182923,0.498864,0.311498,0.207235,0.457867,0.279638,0.182300,0.456494,0.336028
0.210000,0.182919,0.498869,0.311464,0.207226,0.457856,0.279605,0.182297,0.456514,0.335996
0.220000,0.182916,0.498886,0.311417,0.207218,0.457858,0.279567,0.182298,0.456541,0.335964
0.230000,0.182929,0.498913,0.311379,0.207210,0.457862,0.279542,0.182304,0.456531,0.335920
0.240000,0.182922,0.498921,0.311335,0.207211,0.457876,0.279500,0.182298,0.456568,0.335891
0.250000,0.182938,0.498936,0.311295,0.207207,0.457870,0.279461,0.182323,0.456563,0.335852
0.260000,0.182946,0.498948,0.311250,0.207210,0.457885,0.279423,0.182326,0.456600,0.335820
0.270000,0.182946,0.498967,0.311212,0.207206,0.457881,0.279396,0.182345,0.456622,0.335777
0.280000,0.182953,0.498980,0.311164,0.207206,0.457879,0.279353,0.182365,0.456652,0.335755
0.290000,0.182965,0.498979,0.311127,0.207202,0.457871,0.279312,0.182390,0.456632,0.335707
0.300000,0.182969,0.498990,0.311095,0.207206,0.457879,0.279276,0.182398,0.456667,0.335689
0.310000,0.182987,0.499000,0.311067,0.207221,0.457885,0.279245,0.182410,0.456682,0.335657
0.320000,0.183000,0.499023,0.311034,0.207222,0.457877,0.279219,0.182440,0.456679,0.335637
0.330000,0.183017,0.499019,0.310998,0.207233,0.457865,0.279194,0.182451,0.456693,0.335607
0.340000,0.183032,0.499025,0.310970,0.207235,0.457858,0.279169,0.182482,0.456674,0.335580
0.350000,0.183048,0.499026,0.310940,0.207249,0.457850,0.279139,0.182500,0.456682,0.335554
0.360000,0.183088,0.499054,0.310917,0.207261,0.457845,0.279112,0.182518,0.456699,0.335530
0.370000,0.183105,0.499049,0.310880,0.207274,0.457835,0.279090,0.182537,0.456712,0.335513
0.380000,0.183133,0.499042,0.310854,0.207294,0.457832,0.279059,0.182561,0.456712,0.335489
0.390000,0.183158,0.499042,0.310821,0.207305,0.457831,0.279033,0.182589,0.456709,0.335465
