Time,org_x,org_y,org_z,xvec_x,xvec_y,xvec_z,zvec_x,zvec_y,zvec_z
0.000000,0.210290,0.083895,0.340260,0.242450,0.035560,0.339413,0.180658,0.045365,0.335561
0.010000,0.210335,0.083880,0.340252,0.242491,0.035551,0.339401,0.180695,0.045359,0.335574
0.020000,0.210368,0.083848,0.340253,0.242508,0.035523,0.339381,0.180722,0.045337,0.335576
0.030000,0.210394,0.083837,0.340233,0.242540,0.035525,0.339370,0.180757,0.045369,0.335567
0.040000,0.210423,0.083859,0.340225,0.242565,0.035517,0.339356,0.180769,0.045334,0.335557
0.050000,0.210433,0.083850,0.340225,0.242586,0.035513,0.339345,0.180802,0.045341,0.335557
0.060000,0.210455,0.083832,0.340209,0.242603,0.035515,0.339336,0.180815,0.045342,0.335564
0.070000,0.210462,0.083826,0.340199,0.242618,0.035511,0.339333,0.180830,0.045341,0.335567
0.080000,0.210475,0.083825,0.340207,0.242632,0.035486,0.339326,0.180840,0.045326,0.335566
0.090000,0.210490,0.083820,0.340203,0.242643,0.035497,0.339326,0.180858,0.045337,0.335577
0.100000,0.210500,0.083808,0.340204,0.242651,0.035491,0.339331,0.180885,0.045317,0.335570
0.110000,0.210490,0.083802,0.340200,0.242675,0.035492,0.339337,0.180881,0.045327,0.335572
0.120000,0.210501,0.083791,0.340194,0.242664,0.035494,0.339319,0.180877,0.045316,0.335565
0.130000,0.210498,0.083796,0.340187,0.242667,0.035498,0.339308,0.180874,0.045312,0.335567
0.140000,0.210504,0.083831,0.340177,0.242654,0.035492,0.339303,0.180870,0.045333,0.335549
0.150000,0.210490,0.083812,0.340174,0.242654,0.035497,0.339289,0.180871,0.045332,0.335553
0.160000,0.210496,0.083835,0.340155,0.242658,0.035517,0.339283,0.180854,0.045359,0.335546
0.170000,0.210491,0.083852,0.340152,0.242650,0.035511,0.339267,0.180856,0.045339,0.335528
0.180000,0.210484,0.083853,0.340134,0.242678,0.035557,0.339249,0.180860,0.045353,0.335517
0.190000,0.210485,0.083836,0.340127,0.242680,0.035578,0.339254,0.180873,0.045359,0.335514
0.200000,0.210493,0.083859,0.340123,0.242701,0.035577,0.339236,0.180864,0.045342,0.335504
0.210000,0.210489,0.083847,0.340122,0.242686,0.035580,0.339231,0.180875,0.045348,0.335512
0.220000,0.210489,0.083935,0.340086,0.242691,0.035568,0.339216,0.180882,0.045375,0.335511
