Time,org_x,org_y,org_z,xvec_x,xvec_y,xvec_z,zvec_x,zvec_y,zvec_z
0.000000,0.726294,0.033089,0.218917,0.710910,0.038871,0.164227,0.763367,0.021806,0.190966
0.010000,0.726339,0.033075,0.218889,0.710913,0.038857,0.164218,0.763104,0.021055,0.190364
0.020000,0.726356,0.033071,0.218893,0.710911,0.038867,0.164216,0.763067,0.019321,0.189243
0.030000,0.726277,0.033092,0.218912,0.710920,0.038876,0.164225,0.763100,0.021034,0.190385
0.040000,0.726285,0.033074,0.218929,0.710909,0.038870,0.164230,0.763057,0.019338,0.189282
0.050000,0.726287,0.033087,0.218909,0.710914,0.038859,0.164227,0.763058,0.019330,0.189281
0.060000,0.726349,0.033070,0.218912,0.710902,0.038859,0.164242,0.763085,0.021070,0.190431
0.070000,0.726281,0.033079,0.218928,0.710899,0.038826,0.164251,0.763035,0.019300,0.189248
0.080000,0.726351,0.033033,0.218926,0.710905,0.038821,0.164265,0.763046,0.019281,0.189273
0.090000,0.726280,0.033059,0.218936,0.710909,0.038817,0.164276,0.763043,0.019283,0.189271
0.100000,0.726342,0.033034,0.218939,0.710917,0.038790,0.164273,0.763359,0.021715,0.190996
0.110000,0.726337,0.033013,0.218945,0.710916,0.038776,0.164283,0.763107,0.021002,0.190434
0.120000,0.726352,0.033009,0.218941,0.710932,0.038752,0.164292,0.763053,0.019233,0.189307
0.130000,0.726291,0.033014,0.218942,0.710925,0.038733,0.164286,0.763060,0.019282,0.189340
0.140000,0.726301,0.033046,0.218971,0.710940,0.038712,0.164281,0.763071,0.019242,0.189345
0.150000,0.726356,0.032994,0.218942,0.710933,0.038690,0.164281,0.763051,0.019228,0.189334
0.160000,0.726361,0.032988,0.218951,0.710945,0.038681,0.164295,0.763064,0.019209,0.189348
0.170000,0.726360,0.033030,0.218968,0.710933,0.038662,0.164293,0.763073,0.019235,0.189389
0.180000,0.726323,0.033013,0.218976,0.710953,0.038652,0.164308,0.763078,0.019199,0.189373
0.190000,0.726386,0.032998,0.218963,0.710974,0.038603,0.164323,0.763098,0.019194,0.189361
0.200000,0.726404,0.032985,0.218966,0.710996,0.038577,0.164326,0.763093,0.019222,0.189408
0.210000,0.726412,0.033001,0.218959,0.711002,0.038555,0.164311,0.763117,0.019199,0.189422
0.220000,0.726445,0.033004,0.218975,0.711023,0.038520,0.164315,0.763138,0.019128,0.189381
0.230000,0.726457,0.032999,0.218984,0.711022,0.038497,0.164314,0.763154,0.019165,0.189431
0.240000,0.726459,0.032967,0.218952,0.711034,0.038467,0.164317,0.763157,0.019089,0.189372
0.250000,0.726465,0.032989,0.218971,0.711039,0.038415,0.164300,0.763181,0.019092,0.189383
0.260000,0.726473,0.032940,0.218952,0.711028,0.038397,0.164298,0.763164,0.019057,0.189372
0.270000,0.726465,0.032910,0.218938,0.711036,0.038335,0.164290,0.763180,0.019013,0.189348
0.280000,0.726473,0.032898,0.218942,0.711033,0.038289,0.164283,0.763160,0.018988,0.189394
0.290000,0.726486,0.032808,0.218894,0.711025,0.038242,0.164291,0.763159,0.018943,0.189415
0.300000,0.726466,0.032832,0.218945,0.711026,0.038182,0.164289,0.763153,0.018905,0.189427
0.310000,0.726454,0.032800,0.218935,0.711031,0.038122,0.164295,0.763156,0.018832,0.189416
0.320000,0.726414,0.032683,0.218919,0.711007,0.038081,0.164299,0.763117,0.018754,0.189427
0.330000,0.726423,0.032528,0.218970,0.710977,0.038004,0.164293,0.763085,0.018553,0.189361
0.340000,0.726377,0.032611,0.218908,0.710950,0.037957,0.164294,0.763046,0.018520,0.189363
0.350000,0.726390,0.032470,0.218953,0.710937,0.037894,0.164285,0.763027,0.018439,0.189343
0.360000,0.726376,0.032430,0.218940,0.710912,0.037833,0.164284,0.762987,0.018358,0.189312
0.370000,0.726370,0.032387,0.218928,0.710881,0.037787,0.164271,0.762983,0.018343,0.189335
0.380000,0.726375,0.032336,0.218881,0.710876,0.037748,0.164266,0.762964,0.018302,0.189329
0.390000,0.726341,0.032327,0.218923,0.710850,0.037665,0.164262,0.762950,0.018219,0.189291
0.400000,0.726356,0.032257,0.218862,0.710829,0.037602,0.164257,0.762910,0.018168,0.189284
0.410000,0.726341,0.032257,0.218856,0.710796,0.037524,0.164237,0.762920,0.018103,0.189227
0.420000,0.726317,0.032215,0.218827,0.710770,0.037487,0.164229,0.762882,0.018115,0.189261
0.430000,0.726237,0.032061,0.218882,0.710756,0.037458,0.164211,0.762869,0.018047,0.189221
0.440000,0.726248,0.032208,0.218815,0.710731,0.037413,0.164195,0.762848,0.018031,0.189229
0.450000,0.726277,0.032015,0.218827,0.710714,0.037378,0.164189,0.762868,0.017977,0.189203
0.460000,0.726200,0.032007,0.218821,0.710695,0.037335,0.164164,0.762842,0.017968,0.189199
0.470000,0.726189,0.031950,0.218760,0.710670,0.037305,0.164148,0.762811,0.017882,0.189148
0.480000,0.726187,0.031963,0.218806,0.710669,0.037286,0.164156,0.762825,0.017856,0.189154
0.490000,0.726177,0.031961,0.218800,0.710653,0.037260,0.164134,0.762813,0.017898,0.189151
0.500000,0.726229,0.031913,0.218782,0.710639,0.037207,0.164128,0.762797,0.017827,0.189116
0.510000,0.726184,0.031886,0.218727,0.710641,0.037208,0.164118,0.762808,0.017871,0.189147
0.520000,0.726182,0.031874,0.218707,0.710632,0.037187,0.164114,0.762805,0.017790,0.189094
0.530000,0.726111,0.031869,0.218693,0.710625,0.037154,0.164093,0.762764,0.017613,0.188917
0.540000,0.726115,0.031842,0.218667,0.710615,0.037157,0.164078,0.762781,0.017823,0.189090
0.550000,0.726107,0.031843,0.218659,0.710609,0.037135,0.164070,0.762751,0.017588,0.188891
0.560000,0.726108,0.031817,0.218656,0.710597,0.037094,0.164069,0.762740,0.017614,0.188906
0.570000,0.726165,0.031796,0.218635,0.710597,0.037105,0.164063,0.762749,0.017560,0.188875
0.580000,0.726119,0.031897,0.218591,0.710596,0.037097,0.164053,0.762749,0.017568,0.188867
0.590000,0.726110,0.031816,0.218657,0.710595,0.037081,0.164068,0.762740,0.017572,0.188879
0.600000,0.726158,0.031760,0.218630,0.710580,0.037086,0.164068,0.762743,0.017585,0.188912
0.610000,0.726103,0.031802,0.218657,0.710578,0.037065,0.164066,0.762722,0.017576,0.188899
0.620000,0.726099,0.031796,0.218645,0.710566,0.037068,0.164068,0.762730,0.017628,0.188981
0.630000,0.726087,0.031793,0.218656,0.710542,0.037069,0.164079,0.762731,0.017541,0.188893
0.640000,0.726082,0.031797,0.218662,0.710549,0.037058,0.164087,0.762709,0.017591,0.188923
0.650000,0.726064,0.031799,0.218673,0.710541,0.037067,0.164097,0.762705,0.017555,0.188904
0.660000,0.726068,0.031828,0.218694,0.710506,0.037081,0.164104,0.762700,0.017647,0.189025
0.670000,0.726099,0.031783,0.218736,0.710524,0.037069,0.164125,0.762677,0.017568,0.188916
0.680000,0.726098,0.031800,0.218754,0.710514,0.037088,0.164142,0.762696,0.017597,0.188931
0.690000,0.726104,0.031789,0.218755,0.710534,0.037082,0.164150,0.762699,0.017591,0.188942
0.700000,0.726114,0.031799,0.218780,0.710539,0.037071,0.164163,0.762714,0.017602,0.188954
0.710000,0.726079,0.031846,0.218751,0.710521,0.037077,0.164171,0.762739,0.017812,0.189165
0.720000,0.726107,0.031821,0.218811,0.710539,0.037085,0.164185,0.762706,0.017661,0.189080
0.730000,0.726086,0.031915,0.218770,0.710525,0.037103,0.164181,0.762730,0.017833,0.189193
0.740000,0.726084,0.031932,0.218773,0.710531,0.037095,0.164178,0.762701,0.017656,0.189075
0.750000,0.726087,0.031955,0.218787,0.710530,0.037122,0.164183,0.762726,0.017840,0.189209
0.760000,0.726144,0.031978,0.218832,0.710559,0.037117,0.164201,0.762751,0.017880,0.189240
0.770000,0.726179,0.031947,0.218882,0.710566,0.037101,0.164214,0.762750,0.017831,0.189193
0.780000,0.726204,0.032006,0.218879,0.710579,0.037116,0.164223,0.762782,0.017859,0.189215
0.790000,0.726243,0.032065,0.218879,0.710607,0.037141,0.164227,0.762806,0.017880,0.189255
0.800000,0.726286,0.032020,0.218861,0.710625,0.037153,0.164235,0.762827,0.017880,0.189224
0.810000,0.726326,0.032174,0.218819,0.710633,0.037137,0.164240,0.762839,0.017911,0.189244
0.820000,0.726343,0.032195,0.218842,0.710648,0.037152,0.164239,0.762849,0.017946,0.189256
0.830000,0.726349,0.032202,0.218844,0.710667,0.037180,0.164250,0.762895,0.017947,0.189223
0.840000,0.726378,0.032122,0.218907,0.710675,0.037180,0.164257,0.762899,0.018021,0.189307
0.850000,0.726385,0.032239,0.218870,0.710685,0.037183,0.164267,0.762911,0.018059,0.189285
0.860000,0.726396,0.032249,0.218859,0.710695,0.037218,0.164291,0.762930,0.018061,0.189275
0.870000,0.726418,0.032182,0.218922,0.710719,0.037214,0.164291,0.762953,0.018078,0.189271
0.880000,0.726391,0.032401,0.218817,0.710728,0.037225,0.164294,0.762969,0.018037,0.189242
0.890000,0.726451,0.032303,0.218881,0.710740,0.037244,0.164299,0.762990,0.018149,0.189306
0.900000,0.726466,0.032221,0.218932,0.710767,0.037250,0.164313,0.762999,0.018162,0.189306
0.910000,0.726478,0.032331,0.218879,0.710781,0.037270,0.164298,0.763032,0.018164,0.189284
0.920000,0.726473,0.032394,0.218935,0.710789,0.037297,0.164298,0.763050,0.018195,0.189292
0.930000,0.726515,0.032361,0.218876,0.710817,0.037295,0.164307,0.763065,0.018205,0.189274
0.940000,0.726494,0.032489,0.218839,0.710827,0.037313,0.164306,0.763092,0.018231,0.189289
0.950000,0.726553,0.032394,0.218875,0.710852,0.037312,0.164292,0.763120,0.018226,0.189273
0.960000,0.726601,0.032497,0.218900,0.710878,0.037324,0.164287,0.763142,0.018243,0.189270
0.970000,0.726581,0.032413,0.218859,0.710892,0.037330,0.164286,0.763160,0.018264,0.189288
0.980000,0.726586,0.032627,0.218842,0.710913,0.037331,0.164267,0.763168,0.018299,0.189300
0.990000,0.726591,0.032609,0.218831,0.710930,0.037318,0.164258,0.763177,0.018308,0.189293
1.000000,0.726627,0.032504,0.218881,0.710935,0.037320,0.164255,0.763198,0.018248,0.189247
