Time,org_x,org_y,org_z,xvec_x,xvec_y,xvec_z,zvec_x,zvec_y,zvec_z
0.000000,0.741985,0.047674,0.200121,0.724341,0.053062,0.145814,0.779419,0.040082,0.169938
0.010000,0.741983,0.047640,0.200118,0.724322,0.053031,0.145811,0.779393,0.040052,0.169924
0.020000,0.741975,0.047597,0.200133,0.724309,0.053013,0.145811,0.779365,0.040037,0.169931
0.030000,0.741946,0.047580,0.200110,0.724288,0.052974,0.145814,0.779351,0.040005,0.169918
0.040000,0.741848,0.047487,0.200060,0.724278,0.052930,0.145800,0.779327,0.039977,0.169920
0.050000,0.741841,0.047417,0.200023,0.724256,0.052910,0.145795,0.779314,0.039952,0.169918
0.060000,0.741835,0.047393,0.200013,0.724236,0.052903,0.145782,0.779283,0.039933,0.169912
0.070000,0.741785,0.047312,0.199995,0.724232,0.052841,0.145740,0.779277,0.039879,0.169899
0.080000,0.741789,0.047276,0.199995,0.724222,0.052818,0.145736,0.779272,0.039872,0.169881
0.090000,0.741774,0.047276,0.199981,0.724200,0.052816,0.145725,0.779261,0.039821,0.169854
0.100000,0.741750,0.047261,0.199977,0.724186,0.052800,0.145701,0.779224,0.039819,0.169855
0.110000,0.741735,0.047236,0.199946,0.724168,0.052779,0.145697,0.779211,0.039818,0.169843
0.120000,0.741726,0.047231,0.199935,0.724148,0.052783,0.145671,0.779179,0.039801,0.169809
0.130000,0.741685,0.047238,0.199868,0.724133,0.052756,0.145649,0.779172,0.039785,0.169785
0.140000,0.741636,0.047280,0.199886,0.724121,0.052764,0.145627,0.779151,0.039786,0.169770
0.150000,0.741622,0.047301,0.199834,0.724105,0.052760,0.145604,0.779135,0.039784,0.169759
0.160000,0.741615,0.047265,0.199808,0.724107,0.052749,0.145580,0.779118,0.039814,0.169725
0.170000,0.741609,0.047278,0.199788,0.724093,0.052770,0.145553,0.779119,0.039814,0.169700
0.180000,0.741617,0.047271,0.199759,0.724088,0.052785,0.145538,0.779099,0.039813,0.169678
0.190000,0.741612,0.047301,0.199734,0.724084,0.052803,0.145510,0.779121,0.039823,0.169645
0.200000,0.741599,0.047318,0.199712,0.724068,0.052808,0.145483,0.779115,0.039840,0.169614
0.210000,0.741566,0.047343,0.199691,0.724050,0.052819,0.145466,0.779091,0.039845,0.169578
0.220000,0.741564,0.047365,0.199674,0.724033,0.052846,0.145437,0.779070,0.039889,0.169560
0.230000,0.741549,0.047365,0.199647,0.724009,0.052910,0.145408,0.779062,0.039911,0.169513
0.240000,0.741544,0.047384,0.199618,0.723990,0.052926,0.145377,0.779060,0.039894,0.169487
0.250000,0.741550,0.047378,0.199592,0.723971,0.052957,0.145336,0.779032,0.039934,0.169466
