Time,org_x,org_y,org_z,xvec_x,xvec_y,xvec_z,zvec_x,zvec_y,zvec_z
0.000000,0.102971,0.509401,0.327797,0.116629,0.464613,0.293883,0.111475,0.469168,0.354995
0.010000,0.102950,0.509409,0.327796,0.116606,0.464624,0.293875,0.111449,0.469178,0.354995
0.020000,0.102901,0.509417,0.327777,0.116590,0.464631,0.293874,0.111427,0.469201,0.355008
0.030000,0.102865,0.509428,0.327779,0.116559,0.464643,0.293875,0.111401,0.469211,0.355008
0.040000,0.102840,0.509445,0.327789,0.116542,0.464653,0.293879,0.111387,0.469222,0.355016
0.050000,0.102818,0.509444,0.327791,0.116523,0.464657,0.293891,0.111372,0.469229,0.355030
0.060000,0.102797,0.509447,0.327809,0.116504,0.464661,0.293909,0.111349,0.469226,0.355047
0.070000,0.102779,0.509451,0.327827,0.116501,0.464678,0.293929,0.111328,0.469237,0.355066
0.080000,0.102759,0.509466,0.327852,0.116470,0.464672,0.293941,0.111302,0.469245,0.355098
0.090000,0.102741,0.509471,0.327882,0.116461,0.464693,0.293968,0.111293,0.469246,0.355126
0.100000,0.102727,0.509480,0.327902,0.116465,0.464704,0.294006,0.111270,0.469254,0.355156
0.110000,0.102724,0.509471,0.327949,0.116456,0.464712,0.294031,0.111255,0.469252,0.355186
0.120000,0.102683,0.509484,0.327988,0.116452,0.464712,0.294066,0.111236,0.469251,0.355223
0.130000,0.102679,0.509475,0.328031,0.116413,0.464693,0.294116,0.111230,0.469253,0.355259
0.140000,0.102668,0.509471,0.328074,0.116467,0.464740,0.294138,0.111221,0.469220,0.355299
0.150000,0.102664,0.509483,0.328116,0.116449,0.464742,0.294202,0.111214,0.469228,0.355336
0.160000,0.102692,0.509494,0.328167,0.116456,0.464728,0.294244,0.111209,0.469195,0.355378
0.170000,0.102702,0.509479,0.328216,0.116483,0.464735,0.294286,0.111211,0.469181,0.355414
0.180000,0.102726,0.509464,0.328271,0.116502,0.464729,0.294313,0.111220,0.469191,0.355459
0.190000,0.102736,0.509457,0.328310,0.116518,0.464715,0.294364,0.111229,0.469183,0.355517
0.200000,0.102768,0.509430,0.328340,0.116537,0.464693,0.294398,0.111243,0.469164,0.355551
0.210000,0.102791,0.509409,0.328382,0.116578,0.464690,0.294443,0.111261,0.469123,0.355577
0.220000,0.102823,0.509384,0.328420,0.116610,0.464669,0.294477,0.111285,0.469099,0.355610
0.230000,0.102860,0.509370,0.328458,0.116643,0.464658,0.294507,0.111310,0.469063,0.355650
0.240000,0.102901,0.509346,0.328490,0.116676,0.464635,0.294547,0.111331,0.469037,0.355681
0.250000,0.102949,0.509335,0.328523,0.116722,0.464617,0.294585,0.111368,0.469013,0.355712
0.260000,0.102987,0.509320,0.328559,0.116773,0.464595,0.294619,0.111389,0.468991,0.355746
0.270000,0.103023,0.509304,0.328592,0.116802,0.464581,0.294657,0.111416,0.468974,0.355785
0.280000,0.103065,0.509283,0.328631,0.116851,0.464574,0.294687,0.111455,0.468953,0.355825
0.290000,0.103124,0.509256,0.328668,0.116888,0.464554,0.294728,0.111482,0.468920,0.355857
0.300000,0.103155,0.509228,0.328711,0.116931,0.464533,0.294765,0.111515,0.468903,0.355894
0.310000,0.103198,0.509205,0.328750,0.116964,0.464522,0.294800,0.111557,0.468882,0.355928
0.320000,0.103247,0.509187,0.328794,0.117022,0.464499,0.294846,0.111608,0.468837,0.355978
0.330000,0.103299,0.509149,0.328835,0.117074,0.464484,0.294893,0.111657,0.468810,0.356020
0.340000,0.103347,0.509136,0.328889,0.117100,0.464441,0.294938,0.111705,0.468757,0.356062
0.350000,0.103404,0.509111,0.328938,0.117166,0.464441,0.294998,0.111741,0.468740,0.356111
0.360000,0.103453,0.509093,0.328987,0.117166,0.464333,0.295060,0.111783,0.468712,0.356165
0.370000,0.103516,0.509032,0.329046,0.117228,0.464308,0.295121,0.111827,0.468684,0.356211
0.380000,0.103595,0.508984,0.329113,0.117282,0.464260,0.295172,0.111877,0.468645,0.356264
0.390000,0.103671,0.508959,0.329197,0.117338,0.464213,0.295228,0.111920,0.468628,0.356323
0.400000,0.103727,0.508958,0.329297,0.117364,0.464170,0.295292,0.111955,0.468585,0.356389
0.410000,0.103771,0.508935,0.329370,0.117425,0.464156,0.295353,0.111999,0.468555,0.356448
0.420000,0.103842,0.508935,0.329444,0.117476,0.464159,0.295416,0.112038,0.468542,0.356508
0.430000,0.103884,0.508908,0.329512,0.117511,0.464145,0.295470,0.112065,0.468525,0.356575
0.440000,0.103949,0.508890,0.329595,0.117556,0.464121,0.295536,0.112114,0.468515,0.356637
0.450000,0.103987,0.508886,0.329667,0.117549,0.464069,0.295634,0.112150,0.468493,0.356711
0.460000,0.104035,0.508875,0.329727,0.117652,0.464113,0.295688,0.112199,0.468478,0.356772
0.470000,0.104082,0.508855,0.329793,0.117626,0.464037,0.295754,0.112239,0.468464,0.356838
0.480000,0.104133,0.508833,0.329844,0.117626,0.463969,0.295808,0.112291,0.468433,0.356899
0.490000,0.104173,0.508816,0.329906,0.117703,0.463999,0.295863,0.112325,0.468426,0.356975
0.500000,0.104201,0.508786,0.329973,0.117713,0.463970,0.295918,0.112365,0.468408,0.357048
0.510000,0.104238,0.508761,0.330037,0.117737,0.463956,0.295977,0.112386,0.468383,0.357101
0.520000,0.104262,0.508739,0.330103,0.117770,0.463939,0.296039,0.112415,0.468357,0.357165
0.530000,0.104283,0.508733,0.330167,0.117809,0.463946,0.296111,0.112432,0.468351,0.357252
0.540000,0.104309,0.508709,0.330247,0.117832,0.463948,0.296181,0.112444,0.468331,0.357311
0.550000,0.104324,0.508699,0.330308,0.117855,0.463940,0.296242,0.112463,0.468316,0.357377
0.560000,0.104331,0.508683,0.330373,0.117888,0.463961,0.296301,0.112460,0.468295,0.357436
0.570000,0.104343,0.508674,0.330439,0.117903,0.463953,0.296363,0.112465,0.468269,0.357501
0.580000,0.104335,0.508666,0.330503,0.117922,0.463962,0.296437,0.112455,0.468261,0.357567
0.590000,0.104346,0.508655,0.330588,0.117925,0.463964,0.296496,0.112448,0.468223,0.357651
0.600000,0.104355,0.508656,0.330669,0.117937,0.463966,0.296573,0.112447,0.468204,0.357729
0.610000,0.104341,0.508661,0.330779,0.117948,0.463961,0.296662,0.112436,0.468193,0.357802
0.620000,0.104349,0.508660,0.330884,0.117961,0.463984,0.296742,0.112413,0.468171,0.357884
0.630000,0.104352,0.508647,0.330975,0.117977,0.464006,0.296824,0.112385,0.468154,0.357960
0.640000,0.104330,0.508661,0.331059,0.117974,0.464024,0.296890,0.112361,0.468137,0.358027
0.650000,0.104319,0.508654,0.331133,0.117973,0.464043,0.296956,0.112337,0.468137,0.358099
0.660000,0.104279,0.508660,0.331205,0.117964,0.464041,0.297018,0.112326,0.468145,0.358165
0.670000,0.104238,0.508667,0.331294,0.117969,0.464068,0.297087,0.112308,0.468137,0.358224
0.680000,0.104217,0.508666,0.331360,0.117967,0.464106,0.297150,0.112289,0.468137,0.358282
0.690000,0.104207,0.508676,0.331434,0.117969,0.464144,0.297212,0.112251,0.468147,0.358348
0.700000,0.104186,0.508690,0.331502,0.117955,0.464158,0.297261,0.112220,0.468142,0.358397
0.710000,0.104161,0.508709,0.331568,0.117940,0.464174,0.297311,0.112203,0.468141,0.358442
0.720000,0.104135,0.508704,0.331615,0.117931,0.464196,0.297358,0.112183,0.468143,0.358478
0.730000,0.104115,0.508716,0.331667,0.117925,0.464226,0.297397,0.112162,0.468148,0.358521
0.740000,0.104099,0.508725,0.331707,0.117865,0.464190,0.297437,0.112136,0.468151,0.358561
0.750000,0.104076,0.508729,0.331743,0.117852,0.464215,0.297477,0.112110,0.468156,0.358605
0.760000,0.104048,0.508738,0.331802,0.117858,0.464235,0.297517,0.112091,0.468151,0.358635
0.770000,0.104018,0.508736,0.331841,0.117786,0.464183,0.297554,0.112057,0.468163,0.358672
0.780000,0.103995,0.508735,0.331876,0.117823,0.464252,0.297573,0.112042,0.468143,0.358697
0.790000,0.103977,0.508732,0.331914,0.117715,0.464184,0.297623,0.112018,0.468155,0.358734
0.800000,0.103953,0.508738,0.331951,0.117711,0.464197,0.297655,0.111995,0.468131,0.358768
0.810000,0.103936,0.508744,0.331981,0.117687,0.464190,0.297689,0.111971,0.468138,0.358805
0.820000,0.103922,0.508746,0.332019,0.117684,0.464216,0.297721,0.111958,0.468136,0.358833
0.830000,0.103908,0.508748,0.332052,0.117670,0.464222,0.297754,0.111948,0.468137,0.358873
0.840000,0.103888,0.508751,0.332088,0.117654,0.464215,0.297774,0.111924,0.468127,0.358905
0.850000,0.103878,0.508757,0.332117,0.117645,0.464203,0.297820,0.111903,0.468117,0.358960
0.860000,0.103874,0.508753,0.332155,0.117652,0.464221,0.297874,0.111893,0.468109,0.358997
