Time,org_x,org_y,org_z,xvec_x,xvec_y,xvec_z,zvec_x,zvec_y,zvec_z
0.000000,0.126207,0.496824,0.340129,0.135426,0.451083,0.305740,0.126846,0.455312,0.366643
0.010000,0.126217,0.496820,0.340103,0.135425,0.451070,0.305715,0.126855,0.455309,0.366628
0.020000,0.126235,0.496812,0.340077,0.135416,0.451046,0.305692,0.126867,0.455303,0.366605
0.030000,0.126237,0.496799,0.340049,0.135405,0.451017,0.305662,0.126869,0.455296,0.366575
0.040000,0.126254,0.496797,0.340009,0.135418,0.451017,0.305648,0.126886,0.455292,0.366554
0.050000,0.126264,0.496789,0.339972,0.135427,0.451017,0.305615,0.126888,0.455294,0.366527
0.060000,0.126276,0.496778,0.339939,0.135426,0.450996,0.305592,0.126901,0.455298,0.366503
0.070000,0.126284,0.496767,0.339905,0.135458,0.451006,0.305563,0.126907,0.455287,0.366471
0.080000,0.126294,0.496771,0.339864,0.135497,0.450979,0.305530,0.126926,0.455284,0.366425
0.090000,0.126306,0.496769,0.339831,0.135498,0.450966,0.305498,0.126939,0.455297,0.366395
0.100000,0.126317,0.496766,0.339795,0.135503,0.450956,0.305461,0.126952,0.455301,0.366364
0.110000,0.126340,0.496767,0.339742,0.135529,0.450971,0.305440,0.126992,0.455307,0.366311
0.120000,0.126356,0.496762,0.339704,0.135515,0.450923,0.305388,0.127016,0.455303,0.366272
0.130000,0.126380,0.496754,0.339659,0.135526,0.450916,0.305356,0.127046,0.455310,0.366230
0.140000,0.126397,0.496736,0.339612,0.135596,0.450960,0.305314,0.127079,0.455310,0.366193
0.150000,0.126416,0.496730,0.339576,0.135582,0.450922,0.305274,0.127098,0.455334,0.366157
0.160000,0.126443,0.496733,0.339533,0.135594,0.450907,0.305240,0.127130,0.455335,0.366112
0.170000,0.126454,0.496718,0.339483,0.135610,0.450906,0.305194,0.127140,0.455334,0.366052
0.180000,0.126477,0.496722,0.339422,0.135603,0.450877,0.305148,0.127158,0.455336,0.366003
0.190000,0.126490,0.496718,0.339357,0.135658,0.450947,0.305083,0.127183,0.455348,0.365960
0.200000,0.126508,0.496702,0.339299,0.135685,0.450968,0.305034,0.127205,0.455345,0.365897
0.210000,0.126523,0.496705,0.339227,0.135687,0.450946,0.304978,0.127239,0.455332,0.365831
0.220000,0.126537,0.496699,0.339169,0.135692,0.450934,0.304908,0.127261,0.455354,0.365779
0.230000,0.126559,0.496698,0.339090,0.135715,0.450946,0.304861,0.127285,0.455360,0.365713
0.240000,0.126572,0.496703,0.339029,0.135703,0.450924,0.304803,0.127305,0.455391,0.365661
0.250000,0.126589,0.496719,0.338955,0.135707,0.450897,0.304754,0.127321,0.455393,0.365609
0.260000,0.126601,0.496720,0.338898,0.135698,0.450882,0.304679,0.127337,0.455407,0.365556
0.270000,0.126606,0.496738,0.338835,0.135697,0.450874,0.304628,0.127353,0.455424,0.365502
0.280000,0.126616,0.496732,0.338776,0.135698,0.450877,0.304569,0.127358,0.455432,0.365448
0.290000,0.126618,0.496742,0.338711,0.135692,0.450858,0.304516,0.127376,0.455439,0.365395
0.300000,0.126622,0.496735,0.338658,0.135715,0.450892,0.304467,0.127381,0.455460,0.365353
