Time,org_x,org_y,org_z,xvec_x,xvec_y,xvec_z,zvec_x,zvec_y,zvec_z
0.000000,0.112733,0.507859,0.327008,0.124552,0.462159,0.294057,0.118881,0.468010,0.355088
0.010000,0.112731,0.507857,0.327048,0.124553,0.462162,0.294097,0.118866,0.468004,0.355130
0.020000,0.112733,0.507846,0.327088,0.124558,0.462152,0.294127,0.118862,0.467993,0.355162
0.030000,0.112742,0.507842,0.327127,0.124577,0.462170,0.294168,0.118867,0.467977,0.355199
0.040000,0.112761,0.507817,0.327172,0.124587,0.462171,0.294204,0.118879,0.467960,0.355228
0.050000,0.112784,0.507810,0.327225,0.124601,0.462145,0.294248,0.118886,0.467933,0.355270
0.060000,0.112811,0.507791,0.327263,0.124642,0.462150,0.294297,0.118904,0.467908,0.355302
0.070000,0.112841,0.507752,0.327320,0.124680,0.462165,0.294326,0.118910,0.467877,0.355342
0.080000,0.112854,0.507734,0.327365,0.124692,0.462137,0.294363,0.118936,0.467864,0.355381
0.090000,0.112876,0.507706,0.327405,0.124734,0.462145,0.294400,0.118958,0.467804,0.355419
0.100000,0.112899,0.507700,0.327450,0.124764,0.462133,0.294432,0.118973,0.467789,0.355462
0.110000,0.112931,0.507658,0.327477,0.124779,0.462113,0.294467,0.118998,0.467743,0.355481
0.120000,0.112966,0.507638,0.327508,0.124834,0.462094,0.294493,0.119023,0.467704,0.355517
0.130000,0.113010,0.507606,0.327536,0.124854,0.462075,0.294520,0.119050,0.467686,0.355535
0.140000,0.113058,0.507577,0.327545,0.124893,0.462058,0.294534,0.119084,0.467667,0.355548
0.150000,0.113073,0.507563,0.327567,0.124864,0.461944,0.294555,0.119126,0.467645,0.355549
0.160000,0.113122,0.507535,0.327569,0.124947,0.462033,0.294549,0.119144,0.467639,0.355579
0.170000,0.113154,0.507523,0.327572,0.124964,0.461998,0.294543,0.119189,0.467608,0.355558
0.180000,0.113192,0.507500,0.327584,0.125000,0.461991,0.294546,0.119221,0.467598,0.355558
0.190000,0.113217,0.507489,0.327565,0.124960,0.461870,0.294559,0.119244,0.467583,0.355550
0.200000,0.113254,0.507473,0.327559,0.124979,0.461863,0.294551,0.119269,0.467579,0.355542
0.210000,0.113276,0.507456,0.327555,0.124996,0.461848,0.294531,0.119293,0.467572,0.355539
0.220000,0.113301,0.507447,0.327535,0.125015,0.461825,0.294530,0.119318,0.467559,0.355525
0.230000,0.113328,0.507442,0.327517,0.125046,0.461830,0.294510,0.119337,0.467564,0.355519
0.240000,0.113344,0.507427,0.327506,0.125108,0.461918,0.294485,0.119358,0.467545,0.355496
0.250000,0.113381,0.507433,0.327480,0.125165,0.461933,0.294465,0.119391,0.467532,0.355479
0.260000,0.113397,0.507417,0.327472,0.125188,0.461927,0.294458,0.119411,0.467543,0.355470
0.270000,0.113424,0.507418,0.327459,0.125189,0.461908,0.294438,0.119441,0.467536,0.355456
0.280000,0.113451,0.507404,0.327456,0.125225,0.461888,0.294425,0.119474,0.467530,0.355445
0.290000,0.113477,0.507392,0.327433,0.125315,0.461924,0.294408,0.119497,0.467520,0.355434
0.300000,0.113517,0.507367,0.327412,0.125332,0.461892,0.294388,0.119529,0.467498,0.355411
0.310000,0.113552,0.507360,0.327395,0.125359,0.461866,0.294375,0.119568,0.467479,0.355404
0.320000,0.113580,0.507324,0.327386,0.125358,0.461780,0.294389,0.119606,0.467468,0.355396
0.330000,0.113619,0.507310,0.327382,0.125385,0.461759,0.294379,0.119643,0.467449,0.355390
0.340000,0.113662,0.507295,0.327387,0.125411,0.461729,0.294377,0.119676,0.467427,0.355390
0.350000,0.113707,0.507274,0.327398,0.125418,0.461672,0.294395,0.119723,0.467392,0.355405
0.360000,0.113748,0.507253,0.327417,0.125489,0.461704,0.294397,0.119758,0.467382,0.355421
0.370000,0.113804,0.507246,0.327433,0.125506,0.461662,0.294417,0.119798,0.467361,0.355435
0.380000,0.113839,0.507222,0.327453,0.125546,0.461628,0.294434,0.119830,0.467336,0.355447
0.390000,0.113890,0.507200,0.327468,0.125610,0.461567,0.294442,0.119879,0.467296,0.355459
0.400000,0.113929,0.507178,0.327495,0.125645,0.461542,0.294453,0.119918,0.467259,0.355471
0.410000,0.113975,0.507145,0.327508,0.125679,0.461498,0.294458,0.119944,0.467230,0.355484
0.420000,0.114031,0.507120,0.327520,0.125698,0.461458,0.294454,0.119978,0.467178,0.355486
0.430000,0.114074,0.507101,0.327522,0.125719,0.461432,0.294464,0.120007,0.467155,0.355491
0.440000,0.114114,0.507065,0.327540,0.125722,0.461398,0.294472,0.120039,0.467120,0.355506
0.450000,0.114133,0.507047,0.327550,0.125751,0.461399,0.294485,0.120060,0.467096,0.355506
0.460000,0.114146,0.507019,0.327569,0.125757,0.461367,0.294496,0.120074,0.467072,0.355524
0.470000,0.114164,0.507015,0.327581,0.125766,0.461356,0.294507,0.120086,0.467058,0.355545
0.480000,0.114169,0.507001,0.327591,0.125770,0.461353,0.294526,0.120094,0.467048,0.355551
0.490000,0.114167,0.506998,0.327602,0.125766,0.461349,0.294536,0.120081,0.467042,0.355565
0.500000,0.114155,0.506999,0.327607,0.125765,0.461343,0.294548,0.120057,0.467063,0.355576
0.510000,0.114135,0.507015,0.327627,0.125759,0.461365,0.294567,0.120044,0.467062,0.355599
0.520000,0.114111,0.507032,0.327642,0.125738,0.461372,0.294582,0.120014,0.467096,0.355604
0.530000,0.114089,0.507037,0.327662,0.125726,0.461397,0.294607,0.119984,0.467121,0.355634
0.540000,0.114051,0.507055,0.327679,0.125703,0.461421,0.294619,0.119946,0.467127,0.355639
0.550000,0.114003,0.507098,0.327688,0.125682,0.461445,0.294651,0.119917,0.467151,0.355657
0.560000,0.113970,0.507113,0.327714,0.125675,0.461472,0.294665,0.119897,0.467170,0.355687
0.570000,0.113921,0.507113,0.327732,0.125653,0.461496,0.294696,0.119864,0.467188,0.355707
0.580000,0.113867,0.507130,0.327760,0.125610,0.461503,0.294725,0.119831,0.467200,0.355716
0.590000,0.113838,0.507152,0.327793,0.125590,0.461515,0.294748,0.119821,0.467209,0.355749
0.600000,0.113815,0.507162,0.327824,0.125585,0.461555,0.294775,0.119804,0.467227,0.355783
0.610000,0.113797,0.507179,0.327857,0.125573,0.461573,0.294807,0.119784,0.467234,0.355807
0.620000,0.113775,0.507192,0.327900,0.125571,0.461600,0.294847,0.119776,0.467246,0.355837
0.630000,0.113767,0.507198,0.327940,0.125558,0.461602,0.294874,0.119764,0.467251,0.355872
0.640000,0.113765,0.507200,0.327975,0.125568,0.461623,0.294917,0.119760,0.467261,0.355917
0.650000,0.113769,0.507197,0.328016,0.125577,0.461633,0.294978,0.119766,0.467259,0.355945
0.660000,0.113790,0.507184,0.328064,0.125589,0.461636,0.295010,0.119776,0.467244,0.355986
0.670000,0.113810,0.507190,0.328119,0.125608,0.461633,0.295052,0.119787,0.467238,0.356024
0.680000,0.113834,0.507186,0.328165,0.125627,0.461613,0.295086,0.119802,0.467217,0.356072
0.690000,0.113862,0.507162,0.328211,0.125626,0.461581,0.295139,0.119812,0.467182,0.356119
0.700000,0.113895,0.507124,0.328274,0.125572,0.461500,0.295193,0.119833,0.467157,0.356175
0.710000,0.113938,0.507085,0.328319,0.125526,0.461391,0.295235,0.119857,0.467124,0.356216
0.720000,0.113990,0.507074,0.328371,0.125565,0.461385,0.295281,0.119906,0.467095,0.356266
0.730000,0.114082,0.507092,0.328430,0.125683,0.461419,0.295317,0.119961,0.467053,0.356306
0.740000,0.114135,0.507065,0.328481,0.125711,0.461388,0.295349,0.119996,0.467007,0.356335
0.750000,0.114180,0.507039,0.328521,0.125746,0.461358,0.295383,0.120041,0.466955,0.356364
0.760000,0.114215,0.507010,0.328556,0.125777,0.461327,0.295409,0.120071,0.466926,0.356392
0.770000,0.114260,0.506982,0.328589,0.125844,0.461331,0.295449,0.120109,0.466911,0.356417
0.780000,0.114303,0.506955,0.328622,0.125877,0.461301,0.295478,0.120146,0.466905,0.356456
0.790000,0.114347,0.506932,0.328650,0.125906,0.461262,0.295500,0.120176,0.466888,0.356489
0.800000,0.114386,0.506915,0.328677,0.125915,0.461233,0.295553,0.120210,0.466875,0.356512
0.810000,0.114417,0.506899,0.328711,0.125946,0.461229,0.295572,0.120240,0.466866,0.356535
0.820000,0.114462,0.506898,0.328743,0.126002,0.461228,0.295596,0.120268,0.466856,0.356556
0.830000,0.114474,0.506877,0.328763,0.126026,0.461214,0.295609,0.120293,0.466839,0.356575
0.840000,0.114504,0.506871,0.328779,0.126049,0.461202,0.295628,0.120314,0.466829,0.356592
0.850000,0.114541,0.506863,0.328792,0.126087,0.461201,0.295644,0.120337,0.466821,0.356611
0.860000,0.114561,0.506851,0.328807,0.126105,0.461182,0.295654,0.120360,0.466813,0.356627
0.870000,0.114586,0.506844,0.328809,0.126120,0.461169,0.295661,0.120379,0.466809,0.356633
0.880000,0.114606,0.506829,0.328813,0.126134,0.461139,0.295658,0.120391,0.466786,0.356633
0.890000,0.114622,0.506825,0.328810,0.126162,0.461157,0.295657,0.120409,0.466789,0.356627
0.900000,0.114633,0.506817,0.328795,0.126169,0.461133,0.295648,0.120430,0.466784,0.356622
0.910000,0.114646,0.506806,0.328777,0.126209,0.461159,0.295617,0.120439,0.466787,0.356604
0.920000,0.114660,0.506799,0.328754,0.126217,0.461148,0.295605,0.120451,0.466780,0.356581
0.930000,0.114668,0.506790,0.328729,0.126220,0.461139,0.295579,0.120460,0.466769,0.356561
0.940000,0.114685,0.506787,0.328689,0.126222,0.461130,0.295543,0.120471,0.466768,0.356526
0.950000,0.114686,0.506785,0.328651,0.126235,0.461105,0.295507,0.120472,0.466751,0.356480
0.960000,0.114692,0.506778,0.328608,0.126230,0.461106,0.295470,0.120473,0.466744,0.356441
0.970000,0.114703,0.506778,0.328560,0.126256,0.461151,0.295417,0.120472,0.466745,0.356394
0.980000,0.114695,0.506769,0.328510,0.126276,0.461171,0.295359,0.120470,0.466741,0.356352
0.990000,0.114689,0.506781,0.328462,0.126270,0.461163,0.295317,0.120467,0.466756,0.356305
1.000000,0.114680,0.506791,0.328405,0.126255,0.461171,0.295269,0.120463,0.466768,0.356257
1.010000,0.114668,0.506804,0.328345,0.126239,0.461180,0.295225,0.120459,0.466773,0.356198
1.020000,0.114653,0.506818,0.328283,0.126206,0.461164,0.295165,0.120455,0.466785,0.356138
1.030000,0.114635,0.506832,0.328223,0.126186,0.461167,0.295115,0.120445,0.466791,0.356083
1.040000,0.114623,0.506837,0.328157,0.126157,0.461144,0.295018,0.120443,0.466815,0.356018
1.050000,0.114593,0.506830,0.328053,0.126127,0.461146,0.294971,0.120439,0.466820,0.355958
1.060000,0.114590,0.506836,0.327999,0.126121,0.461154,0.294916,0.120436,0.466856,0.355915
1.070000,0.114565,0.506863,0.327945,0.126109,0.461168,0.294866,0.120427,0.466862,0.355871
1.080000,0.114558,0.506867,0.327907,0.126104,0.461204,0.294828,0.120421,0.466876,0.355835
1.090000,0.114551,0.506885,0.327870,0.126099,0.461225,0.294783,0.120412,0.466898,0.355802
1.100000,0.114541,0.506898,0.327832,0.126083,0.461242,0.294751,0.120405,0.466907,0.355772
1.110000,0.114537,0.506916,0.327779,0.126049,0.461223,0.294713,0.120404,0.466895,0.355728
1.120000,0.114536,0.506907,0.327745,0.126055,0.461226,0.294667,0.120397,0.466900,0.355700
1.130000,0.114527,0.506901,0.327711,0.126052,0.461218,0.294628,0.120386,0.466883,0.355659
1.140000,0.114527,0.506886,0.327673,0.126025,0.461201,0.294585,0.120376,0.466879,0.355631
1.150000,0.114525,0.506860,0.327629,0.126011,0.461179,0.294545,0.120371,0.466862,0.355598
1.160000,0.114517,0.506844,0.327592,0.126014,0.461165,0.294513,0.120372,0.466846,0.355564
1.170000,0.114513,0.506825,0.327565,0.125989,0.461142,0.294484,0.120353,0.466824,0.355536
1.180000,0.114519,0.506811,0.327536,0.125979,0.461116,0.294449,0.120346,0.466811,0.355506
1.190000,0.114518,0.506798,0.327512,0.125969,0.461102,0.294427,0.120339,0.466800,0.355490
1.200000,0.114520,0.506772,0.327493,0.125962,0.461086,0.294385,0.120333,0.466775,0.355465
1.210000,0.114526,0.506772,0.327462,0.125943,0.461070,0.294362,0.120329,0.466751,0.355436
1.220000,0.114535,0.506755,0.327438,0.125931,0.461024,0.294320,0.120332,0.466735,0.355408
1.230000,0.114535,0.506743,0.327407,0.125909,0.461010,0.294277,0.120330,0.466717,0.355365
1.240000,0.114542,0.506719,0.327360,0.125896,0.460995,0.294237,0.120323,0.466695,0.355334
1.250000,0.114551,0.506709,0.327330,0.125886,0.460970,0.294199,0.120326,0.466687,0.355298
1.260000,0.114547,0.506701,0.327297,0.125864,0.460948,0.294151,0.120328,0.466682,0.355257
1.270000,0.114550,0.506695,0.327251,0.125867,0.460961,0.294120,0.120330,0.466680,0.355211
1.280000,0.114548,0.506699,0.327207,0.125904,0.461019,0.294063,0.120336,0.466692,0.355166
1.290000,0.114547,0.506719,0.327143,0.125858,0.460972,0.294025,0.120341,0.466706,0.355124
1.300000,0.114548,0.506718,0.327093,0.125892,0.461027,0.293969,0.120341,0.466703,0.355061
1.310000,0.114556,0.506733,0.327036,0.125910,0.461048,0.293921,0.120355,0.466704,0.355001
1.320000,0.114570,0.506742,0.326979,0.125900,0.461058,0.293868,0.120373,0.466730,0.354950
1.330000,0.114581,0.506758,0.326922,0.125923,0.461068,0.293818,0.120393,0.466735,0.354897
1.340000,0.114595,0.506770,0.326863,0.125934,0.461079,0.293762,0.120408,0.466747,0.354838
1.350000,0.114613,0.506771,0.326800,0.125918,0.461060,0.293705,0.120427,0.466759,0.354768
1.360000,0.114635,0.506777,0.326739,0.125934,0.461052,0.293650,0.120454,0.466732,0.354675
1.370000,0.114664,0.506794,0.326672,0.125950,0.461034,0.293598,0.120480,0.466722,0.354595
1.380000,0.114684,0.506790,0.326589,0.126023,0.461089,0.293527,0.120506,0.466730,0.354541
1.390000,0.114707,0.506779,0.326530,0.126029,0.461070,0.293463,0.120528,0.466727,0.354482
1.400000,0.114741,0.506766,0.326467,0.126051,0.461043,0.293395,0.120559,0.466699,0.354421
1.410000,0.114784,0.506742,0.326412,0.126046,0.461011,0.293345,0.120587,0.466710,0.354362
1.420000,0.114815,0.506722,0.326364,0.126102,0.461070,0.293273,0.120618,0.466686,0.354314
1.430000,0.114843,0.506705,0.326327,0.126113,0.461041,0.293234,0.120644,0.466669,0.354276
1.440000,0.114885,0.506706,0.326291,0.126134,0.461020,0.293211,0.120671,0.466651,0.354242
