Time,org_x,org_y,org_z,xvec_x,xvec_y,xvec_z,zvec_x,zvec_y,zvec_z
0.000000,0.182961,0.039955,0.326018,0.223634,-0.002009,0.329284,0.161936,-0.004250,0.330703
0.010000,0.182937,0.039955,0.326023,0.223638,-0.002013,0.329304,0.161916,-0.004288,0.330704
0.020000,0.182914,0.039946,0.326032,0.224759,-0.000108,0.329426,0.161900,-0.004299,0.330700
0.030000,0.182897,0.039927,0.326040,0.224709,-0.000171,0.329436,0.161879,-0.004315,0.330698
0.040000,0.182859,0.039890,0.326050,0.224691,-0.000173,0.329442,0.161847,-0.004348,0.330698
0.050000,0.182853,0.039894,0.326064,0.224648,-0.000227,0.329432,0.161820,-0.004374,0.330677
0.060000,0.182810,0.039861,0.326045,0.224630,-0.000226,0.329437,0.161774,-0.004425,0.330665
0.070000,0.182776,0.039828,0.326042,0.224579,-0.000264,0.329440,0.161747,-0.004444,0.330666
0.080000,0.182755,0.039833,0.326043,0.224560,-0.000279,0.329439,0.161708,-0.004475,0.330648
0.090000,0.182735,0.039817,0.326055,0.224527,-0.000314,0.329455,0.161681,-0.004477,0.330648
0.100000,0.182686,0.039759,0.326057,0.224517,-0.000304,0.329458,0.161665,-0.004505,0.330652
0.110000,0.182696,0.039764,0.326076,0.224510,-0.000320,0.329472,0.161651,-0.004507,0.330656
0.120000,0.182680,0.039748,0.326071,0.224507,-0.000348,0.329481,0.161649,-0.004536,0.330684
0.130000,0.182670,0.039705,0.326087,0.224487,-0.000377,0.329488,0.161641,-0.004541,0.330682
0.140000,0.182664,0.039690,0.326098,0.224479,-0.000414,0.329484,0.161639,-0.004564,0.330683
0.150000,0.182669,0.039677,0.326098,0.224472,-0.000428,0.329487,0.161627,-0.004576,0.330680
0.160000,0.182669,0.039681,0.326100,0.224485,-0.000396,0.329494,0.161632,-0.004586,0.330684
0.170000,0.182657,0.039671,0.326100,0.224468,-0.000417,0.329509,0.161611,-0.004624,0.330673
0.180000,0.182656,0.039665,0.326105,0.224485,-0.000406,0.329514,0.161613,-0.004595,0.330702
0.190000,0.182662,0.039654,0.326109,0.224478,-0.000428,0.329509,0.161615,-0.004609,0.330682
0.200000,0.182671,0.039663,0.326111,0.224494,-0.000402,0.329522,0.161608,-0.004595,0.330691
