Time,org_x,org_y,org_z,xvec_x,xvec_y,xvec_z,zvec_x,zvec_y,zvec_z
0.000000,0.805047,0.060816,0.167708,0.778375,0.057902,0.115983,0.838073,0.053700,0.130578
0.010000,0.805052,0.060882,0.167675,0.778376,0.057922,0.115942,0.838058,0.053754,0.130544
0.020000,0.805038,0.060929,0.167642,0.778367,0.057961,0.115902,0.838061,0.053777,0.130484
0.030000,0.805038,0.061001,0.167623,0.778375,0.058007,0.115866,0.838043,0.053849,0.130460
0.040000,0.805039,0.061040,0.167591,0.778367,0.058070,0.115853,0.838041,0.053908,0.130423
0.050000,0.805043,0.061111,0.167569,0.778346,0.058088,0.115803,0.838032,0.053986,0.130396
0.060000,0.805019,0.061170,0.167521,0.778344,0.058155,0.115767,0.838032,0.054048,0.130344
0.070000,0.805033,0.061177,0.167468,0.778335,0.058224,0.115741,0.838009,0.054148,0.130315
0.080000,0.804999,0.061300,0.167459,0.778326,0.058258,0.115687,0.837997,0.054195,0.130267
0.090000,0.804993,0.061319,0.167403,0.778327,0.058347,0.115665,0.837982,0.054290,0.130250
0.100000,0.805029,0.061333,0.167328,0.778319,0.058403,0.115652,0.837964,0.054330,0.130222
0.110000,0.805019,0.061341,0.167308,0.778287,0.058478,0.115628,0.837956,0.054411,0.130213
0.120000,0.804995,0.061420,0.167305,0.778283,0.058514,0.115621,0.837930,0.054472,0.130214
0.130000,0.804963,0.061494,0.167340,0.778270,0.058564,0.115619,0.837928,0.054532,0.130189
0.140000,0.804939,0.061562,0.167350,0.778247,0.058650,0.115613,0.837905,0.054591,0.130193
0.150000,0.804913,0.061635,0.167389,0.778252,0.058651,0.115626,0.837906,0.054615,0.130176
0.160000,0.804903,0.061636,0.167372,0.778211,0.058722,0.115601,0.837894,0.054654,0.130161
0.170000,0.804885,0.061672,0.167370,0.778202,0.058727,0.115587,0.837873,0.054707,0.130158
0.180000,0.804874,0.061712,0.167373,0.778200,0.058758,0.115594,0.837867,0.054733,0.130158
0.190000,0.804870,0.061710,0.167350,0.778186,0.058793,0.115599,0.837854,0.054763,0.130146
0.200000,0.804827,0.061771,0.167387,0.778168,0.058785,0.115603,0.837839,0.054787,0.130166
0.210000,0.804815,0.061746,0.167382,0.778133,0.058838,0.115612,0.837801,0.054839,0.130199
0.220000,0.804793,0.061738,0.167393,0.778140,0.058787,0.115610,0.837797,0.054790,0.130189
0.230000,0.804762,0.061744,0.167388,0.778114,0.058791,0.115613,0.837775,0.054772,0.130186
0.240000,0.804723,0.061761,0.167416,0.778062,0.058799,0.115604,0.837737,0.054762,0.130187
0.250000,0.804675,0.061738,0.167421,0.778037,0.058778,0.115598,0.837714,0.054754,0.130196
0.260000,0.804632,0.061717,0.167408,0.778010,0.058773,0.115609,0.837662,0.054724,0.130213
0.270000,0.804583,0.061682,0.167434,0.777933,0.058690,0.115590,0.837628,0.054670,0.130219
0.280000,0.804503,0.061634,0.167450,0.777886,0.058640,0.115591,0.837574,0.054636,0.130236
0.290000,0.804465,0.061581,0.167447,0.777839,0.058594,0.115632,0.837521,0.054593,0.130238
0.300000,0.804406,0.061564,0.167460,0.777771,0.058562,0.115639,0.837462,0.054563,0.130268
0.310000,0.804357,0.061481,0.167449,0.777712,0.058524,0.115640,0.837389,0.054556,0.130281
0.320000,0.804247,0.061589,0.167535,0.777664,0.058466,0.115680,0.837347,0.054529,0.130306
0.330000,0.804188,0.061543,0.167553,0.777584,0.058428,0.115697,0.837263,0.054479,0.130297
0.340000,0.804149,0.061492,0.167561,0.777765,0.058326,0.116023,0.837217,0.054429,0.130299
0.350000,0.804090,0.061457,0.167570,0.777485,0.058345,0.115734,0.837172,0.054413,0.130330
0.360000,0.804045,0.061387,0.167550,0.777424,0.058291,0.115740,0.837117,0.054379,0.130346
0.370000,0.803995,0.061339,0.167593,0.777377,0.058226,0.115761,0.837082,0.054343,0.130366
0.380000,0.803948,0.061296,0.167606,0.777323,0.058136,0.115765,0.837031,0.054261,0.130394
0.390000,0.803928,0.061217,0.167587,0.777293,0.058132,0.115800,0.837286,0.054322,0.130551
0.400000,0.803897,0.061214,0.167623,0.777249,0.058091,0.115801,0.836972,0.054173,0.130436
0.410000,0.803843,0.061193,0.167659,0.777227,0.058064,0.115839,0.837230,0.054240,0.130586
0.420000,0.803823,0.061179,0.167684,0.777189,0.058047,0.115857,0.837212,0.054201,0.130616
0.430000,0.803788,0.061154,0.167703,0.777145,0.057953,0.115834,0.837162,0.054225,0.130644
0.440000,0.803763,0.061147,0.167713,0.777118,0.057935,0.115842,0.837136,0.054197,0.130660
0.450000,0.803733,0.061143,0.167721,0.777097,0.057926,0.115869,0.837106,0.054189,0.130666
0.460000,0.803719,0.061096,0.167732,0.777082,0.057893,0.115859,0.837112,0.054155,0.130680
0.470000,0.803707,0.061053,0.167721,0.777079,0.057877,0.115872,0.837076,0.054150,0.130686
0.480000,0.803684,0.061044,0.167731,0.777055,0.057854,0.115882,0.837064,0.054126,0.130706
0.490000,0.803669,0.061026,0.167746,0.777042,0.057843,0.115887,0.836988,0.054117,0.130760
0.500000,0.803648,0.060984,0.167749,0.777023,0.057819,0.115901,0.836982,0.054110,0.130770
0.510000,0.803636,0.060953,0.167769,0.777017,0.057779,0.115889,0.836985,0.054052,0.130772
0.520000,0.803635,0.060934,0.167753,0.777016,0.057774,0.115905,0.836956,0.054086,0.130795
0.530000,0.803637,0.060917,0.167762,0.777014,0.057770,0.115910,0.836665,0.053902,0.130655
0.540000,0.803632,0.060912,0.167766,0.777021,0.057752,0.115904,0.836980,0.054003,0.130773
0.550000,0.803639,0.060916,0.167771,0.777013,0.057764,0.115911,0.836966,0.054019,0.130785
0.560000,0.803631,0.060870,0.167753,0.777014,0.057737,0.115911,0.836649,0.053848,0.130667
0.570000,0.803624,0.060903,0.167784,0.777005,0.057722,0.115917,0.836649,0.053841,0.130674
0.580000,0.805546,0.057906,0.165880,0.776998,0.057695,0.115908,0.836639,0.053851,0.130664
0.590000,0.804305,0.058893,0.165775,0.777001,0.057662,0.115896,0.836921,0.053918,0.130761
0.600000,0.804309,0.058858,0.165760,0.776994,0.057625,0.115860,0.836929,0.053904,0.130735
0.610000,0.804264,0.058918,0.165799,0.777005,0.057594,0.115846,0.836941,0.053842,0.130700
0.620000,0.804267,0.058921,0.165805,0.777003,0.057591,0.115829,0.836916,0.053863,0.130693
0.630000,0.804242,0.058923,0.165814,0.776994,0.057550,0.115805,0.836932,0.053813,0.130682
0.640000,0.804229,0.058924,0.165837,0.776994,0.057531,0.115788,0.836932,0.053788,0.130677
0.650000,0.804218,0.058910,0.165852,0.776984,0.057516,0.115790,0.836924,0.053763,0.130646
0.660000,0.804180,0.058945,0.165892,0.776976,0.057481,0.115793,0.836898,0.053754,0.130654
0.670000,0.804143,0.058956,0.165903,0.776949,0.057472,0.115796,0.836885,0.053735,0.130646
