Time,org_x,org_y,org_z,xvec_x,xvec_y,xvec_z,zvec_x,zvec_y,zvec_z
0.000000,0.183185,0.066682,0.332184,0.221404,0.022887,0.327789,0.160227,0.023629,0.336514
0.010000,0.183181,0.066647,0.332173,0.221403,0.022854,0.327774,0.160206,0.023610,0.336509
0.020000,0.183181,0.066641,0.332160,0.221381,0.022830,0.327734,0.160204,0.023584,0.336495
0.030000,0.183175,0.066612,0.332159,0.221371,0.022784,0.327715,0.160194,0.023551,0.336474
0.040000,0.183175,0.066596,0.332151,0.221377,0.022752,0.327698,0.160185,0.023492,0.336459
0.050000,0.183145,0.066539,0.332128,0.221353,0.022715,0.327683,0.160139,0.023520,0.336474
0.060000,0.183139,0.066527,0.332121,0.221328,0.022686,0.327664,0.160151,0.023459,0.336443
0.070000,0.183131,0.066501,0.332127,0.221329,0.022669,0.327668,0.160155,0.023431,0.336441
0.080000,0.183132,0.066492,0.332115,0.221311,0.022624,0.327682,0.160145,0.023405,0.336406
0.090000,0.183145,0.066434,0.332115,0.221335,0.022637,0.327670,0.160155,0.023373,0.336414
0.100000,0.183143,0.066443,0.332109,0.221336,0.022613,0.327667,0.160150,0.023341,0.336376
0.110000,0.183127,0.066386,0.332097,0.221344,0.022598,0.327647,0.160158,0.023298,0.336376
0.120000,0.183164,0.066344,0.332092,0.221340,0.022530,0.327629,0.160159,0.023285,0.336364
0.130000,0.183198,0.066341,0.332086,0.221359,0.022518,0.327591,0.160204,0.023265,0.336345
0.140000,0.183225,0.066295,0.332051,0.221395,0.022496,0.327547,0.160239,0.023212,0.336335
0.150000,0.183272,0.066262,0.332058,0.221427,0.022473,0.327518,0.160275,0.023226,0.336327
0.160000,0.183318,0.066269,0.332035,0.221453,0.022439,0.327484,0.160305,0.023169,0.336301
0.170000,0.183343,0.066241,0.332021,0.221484,0.022420,0.327467,0.160349,0.023160,0.336290
0.180000,0.183459,0.066339,0.332037,0.221494,0.022375,0.327442,0.160349,0.023118,0.336280
0.190000,0.183453,0.066305,0.332018,0.221537,0.022403,0.327449,0.160361,0.023121,0.336275
0.200000,0.183478,0.066296,0.332006,0.221546,0.022378,0.327448,0.160377,0.023121,0.336268
0.210000,0.183500,0.066281,0.332003,0.221565,0.022368,0.327426,0.160396,0.023095,0.336255
0.220000,0.183499,0.066248,0.331999,0.221579,0.022361,0.327403,0.160426,0.023083,0.336253
0.230000,0.183534,0.066233,0.331988,0.221602,0.022354,0.327381,0.160441,0.023062,0.336231
0.240000,0.183530,0.066230,0.331971,0.221606,0.022336,0.327366,0.160451,0.023061,0.336226
0.250000,0.183557,0.066232,0.331975,0.221619,0.022359,0.327369,0.160467,0.023031,0.336205
0.260000,0.183560,0.066204,0.331976,0.221615,0.022323,0.327357,0.160482,0.023023,0.336207
0.270000,0.183567,0.066202,0.331974,0.221609,0.022293,0.327355,0.160488,0.023018,0.336197
