Time,org_x,org_y,org_z,xvec_x,xvec_y,xvec_z,zvec_x,zvec_y,zvec_z
0.000000,-0.298374,0.529466,0.684756,-0.273997,0.484263,0.657800,-0.276889,0.486615,0.716231
0.010000,-0.298360,0.529461,0.684776,-0.273983,0.484268,0.657812,-0.276868,0.486620,0.716244
0.020000,-0.298345,0.529473,0.684788,-0.273978,0.484268,0.657819,-0.276878,0.486611,0.716264
0.030000,-0.298341,0.529462,0.684798,-0.273988,0.484241,0.657825,-0.276876,0.486610,0.716261
0.040000,-0.298342,0.529465,0.684808,-0.273979,0.484264,0.657843,-0.276856,0.486619,0.716280
0.050000,-0.298350,0.529465,0.684808,-0.273964,0.484276,0.657848,-0.276873,0.486623,0.716274
0.060000,-0.298353,0.529464,0.684811,-0.273982,0.484270,0.657842,-0.276867,0.486629,0.716282
0.070000,-0.298365,0.529459,0.684809,-0.273975,0.484270,0.657842,-0.276871,0.486626,0.716279
0.080000,-0.298355,0.529485,0.684811,-0.273977,0.484274,0.657846,-0.276882,0.486614,0.716285
0.090000,-0.298364,0.529466,0.684814,-0.273976,0.484283,0.657851,-0.276846,0.486651,0.716284
0.100000,-0.298359,0.529474,0.684814,-0.273978,0.484284,0.657849,-0.276869,0.486619,0.716288
0.110000,-0.298356,0.529472,0.684815,-0.273971,0.484273,0.657850,-0.276860,0.486621,0.716289
0.120000,-0.298341,0.529471,0.684835,-0.273964,0.484288,0.657857,-0.276859,0.486614,0.716302
0.130000,-0.298346,0.529467,0.684841,-0.273974,0.484268,0.657867,-0.276850,0.486616,0.716299
0.140000,-0.298314,0.529462,0.684841,-0.273964,0.484274,0.657875,-0.276852,0.486614,0.716308
0.150000,-0.298323,0.529463,0.684865,-0.273959,0.484278,0.657880,-0.276854,0.486594,0.716318
0.160000,-0.298314,0.529463,0.684878,-0.273953,0.484269,0.657895,-0.276838,0.486601,0.716329
0.170000,-0.298292,0.529451,0.684877,-0.273947,0.484264,0.657901,-0.276825,0.486591,0.716356
0.180000,-0.298294,0.529450,0.684898,-0.273937,0.484255,0.657911,-0.276881,0.486502,0.716371
0.190000,-0.298285,0.529429,0.684913,-0.273943,0.484223,0.657920,-0.276805,0.486588,0.716366
0.200000,-0.298281,0.529441,0.684923,-0.273921,0.484240,0.657935,-0.276820,0.486509,0.716406
0.210000,-0.298266,0.529437,0.684945,-0.273917,0.484235,0.657954,-0.276808,0.486479,0.716419
0.220000,-0.298246,0.529438,0.684973,-0.273942,0.484227,0.657977,-0.276810,0.486502,0.716455
0.230000,-0.298247,0.529442,0.685021,-0.273904,0.484240,0.658008,-0.276806,0.486458,0.716471
0.240000,-0.298243,0.529444,0.685053,-0.273905,0.484244,0.658031,-0.276806,0.486493,0.716503
0.250000,-0.298255,0.529448,0.685102,-0.273919,0.484235,0.658054,-0.276813,0.486442,0.716535
0.260000,-0.298243,0.529449,0.685139,-0.273922,0.484245,0.658092,-0.276781,0.486466,0.716572
0.270000,-0.298226,0.529455,0.685176,-0.273923,0.484234,0.658129,-0.276812,0.486423,0.716587
0.280000,-0.298227,0.529421,0.685208,-0.273909,0.484246,0.658149,-0.276731,0.486483,0.716635
0.290000,-0.298213,0.529407,0.685228,-0.273951,0.484152,0.658192,-0.276735,0.486456,0.716651
0.300000,-0.298206,0.529412,0.685243,-0.273964,0.484143,0.658195,-0.276733,0.486445,0.716662
