Time,org_x,org_y,org_z,xvec_x,xvec_y,xvec_z,zvec_x,zvec_y,zvec_z
0.000000,0.573791,0.067988,0.390651,0.543345,0.088449,0.345005,0.597136,0.066713,0.340504
0.010000,0.573797,0.068007,0.390658,0.543335,0.088420,0.344998,0.597123,0.066709,0.340491
0.020000,0.573793,0.067994,0.390668,0.543340,0.088440,0.345010,0.597122,0.066719,0.340509
0.030000,0.573795,0.068019,0.390675,0.543326,0.088455,0.345025,0.597112,0.066745,0.340514
0.040000,0.573803,0.068044,0.390685,0.543327,0.088472,0.345040,0.597116,0.066733,0.340506
0.050000,0.573812,0.068061,0.390690,0.543325,0.088537,0.345058,0.597118,0.066801,0.340532
0.060000,0.573816,0.068096,0.390702,0.543330,0.088535,0.345056,0.597125,0.066781,0.340521
0.070000,0.573822,0.068122,0.390706,0.543336,0.088599,0.345075,0.597136,0.066828,0.340525
0.080000,0.573827,0.068169,0.390715,0.543345,0.088622,0.345087,0.597134,0.066886,0.340543
0.090000,0.573822,0.068206,0.390722,0.543343,0.088664,0.345097,0.597128,0.066919,0.340554
0.100000,0.573831,0.068244,0.390739,0.543324,0.088744,0.345142,0.597129,0.066944,0.340551
0.110000,0.573813,0.068294,0.390754,0.543329,0.088756,0.345132,0.597127,0.067013,0.340568
0.120000,0.573804,0.068358,0.390772,0.543311,0.088840,0.345176,0.597126,0.067049,0.340580
0.130000,0.573810,0.068401,0.390782,0.543322,0.088893,0.345193,0.597120,0.067130,0.340594
0.140000,0.573818,0.068459,0.390797,0.543327,0.088955,0.345214,0.597126,0.067203,0.340617
0.150000,0.573823,0.068562,0.390801,0.543312,0.089050,0.345213,0.597121,0.067255,0.340608
0.160000,0.573808,0.068670,0.390779,0.543314,0.089117,0.345219,0.597119,0.067309,0.340604
0.170000,0.573792,0.068692,0.390810,0.543300,0.089168,0.345223,0.597104,0.067403,0.340620
0.180000,0.573738,0.068832,0.390819,0.543272,0.089213,0.345233,0.597073,0.067455,0.340616
0.190000,0.573711,0.068900,0.390826,0.543247,0.089263,0.345231,0.597059,0.067498,0.340603
0.200000,0.573681,0.068953,0.390826,0.543213,0.089331,0.345228,0.597028,0.067588,0.340613
0.210000,0.573671,0.069017,0.390828,0.543198,0.089383,0.345226,0.597020,0.067612,0.340584
0.220000,0.573664,0.069050,0.390811,0.543192,0.089421,0.345209,0.597014,0.067701,0.340591
0.230000,0.573650,0.069080,0.390792,0.543175,0.089434,0.345200,0.596973,0.067763,0.340571
0.240000,0.573627,0.069122,0.390771,0.543165,0.089456,0.345174,0.596947,0.067789,0.340539
0.250000,0.573620,0.069149,0.390751,0.543142,0.089464,0.345152,0.596945,0.067801,0.340521
0.260000,0.573607,0.069143,0.390721,0.543109,0.089535,0.345108,0.596925,0.067863,0.340507
0.270000,0.573579,0.069190,0.390698,0.543092,0.089545,0.345089,0.596914,0.067855,0.340484
0.280000,0.573573,0.069193,0.390651,0.543076,0.089524,0.345057,0.596894,0.067850,0.340445
0.290000,0.573563,0.069135,0.390596,0.543063,0.089540,0.345036,0.596875,0.067847,0.340421
0.300000,0.573548,0.069170,0.390568,0.543026,0.089520,0.345005,0.596852,0.067850,0.340396
0.310000,0.573506,0.069157,0.390550,0.542997,0.089491,0.344967,0.596805,0.067897,0.340390
0.320000,0.573480,0.069142,0.390519,0.542958,0.089482,0.344947,0.596784,0.067850,0.340352
0.330000,0.573463,0.069099,0.390500,0.542940,0.089430,0.344901,0.596748,0.067816,0.340321
0.340000,0.573434,0.069084,0.390473,0.542907,0.089397,0.344879,0.596711,0.067822,0.340315
0.350000,0.573407,0.069032,0.390451,0.542887,0.089353,0.344866,0.596685,0.067648,0.340194
0.360000,0.573380,0.069012,0.390445,0.542847,0.089304,0.344844,0.596656,0.067648,0.340206
0.370000,0.573351,0.068971,0.390431,0.542807,0.089284,0.344848,0.596619,0.067607,0.340202
0.380000,0.573322,0.068934,0.390418,0.542776,0.089237,0.344834,0.596592,0.067576,0.340168
0.390000,0.573291,0.068915,0.390418,0.542755,0.089161,0.344826,0.596557,0.067551,0.340173
0.400000,0.573268,0.068881,0.390409,0.542723,0.089121,0.344819,0.596518,0.067515,0.340126
0.410000,0.573255,0.068853,0.390409,0.542699,0.089089,0.344799,0.596505,0.067481,0.340162
0.420000,0.573237,0.068827,0.390397,0.542691,0.089060,0.344794,0.596450,0.067341,0.340073
0.430000,0.573238,0.068789,0.390395,0.542680,0.089029,0.344799,0.596440,0.067293,0.340061
0.440000,0.573240,0.068762,0.390410,0.542682,0.089009,0.344802,0.596479,0.067429,0.340171
0.450000,0.573244,0.068730,0.390418,0.542687,0.088981,0.344820,0.596431,0.067272,0.340087
0.460000,0.573236,0.068662,0.390448,0.542692,0.088972,0.344832,0.596438,0.067249,0.340099
0.470000,0.573251,0.068637,0.390463,0.542705,0.088964,0.344847,0.596452,0.067219,0.340115
0.480000,0.573266,0.068682,0.390459,0.542721,0.088928,0.344853,0.596525,0.067346,0.340225
0.490000,0.573286,0.068612,0.390489,0.542732,0.088939,0.344867,0.596548,0.067296,0.340238
0.500000,0.573325,0.068581,0.390513,0.542759,0.088916,0.344878,0.596565,0.067294,0.340268
0.510000,0.573335,0.068559,0.390529,0.542786,0.088922,0.344905,0.596623,0.067233,0.340263
0.520000,0.573372,0.068530,0.390552,0.542806,0.088946,0.344950,0.596647,0.067211,0.340298
0.530000,0.573372,0.068542,0.390582,0.542846,0.088897,0.344953,0.596684,0.067224,0.340350
0.540000,0.573411,0.068518,0.390616,0.542858,0.088959,0.345024,0.596702,0.067203,0.340377
0.550000,0.573422,0.068526,0.390661,0.542902,0.088955,0.345070,0.596734,0.067224,0.340434
0.560000,0.573433,0.068507,0.390692,0.542930,0.088974,0.345113,0.596741,0.067208,0.340469
0.570000,0.573454,0.068505,0.390734,0.542977,0.088965,0.345159,0.596785,0.067304,0.340585
0.580000,0.573473,0.068509,0.390785,0.543006,0.088977,0.345201,0.596820,0.067309,0.340628
0.590000,0.573507,0.068497,0.390837,0.543031,0.088983,0.345241,0.596829,0.067334,0.340691
0.600000,0.573495,0.068567,0.390946,0.543047,0.089006,0.345280,0.596864,0.067325,0.340719
0.610000,0.573512,0.068558,0.390974,0.543060,0.088991,0.345322,0.596900,0.067286,0.340748
0.620000,0.573502,0.068580,0.391037,0.543074,0.088998,0.345362,0.596910,0.067284,0.340783
0.630000,0.573500,0.068583,0.391063,0.543085,0.089011,0.345376,0.596917,0.067318,0.340840
0.640000,0.573472,0.068618,0.391100,0.543074,0.089003,0.345415,0.596920,0.067321,0.340862
0.650000,0.573475,0.068618,0.391132,0.543071,0.089014,0.345438,0.596916,0.067333,0.340895
0.660000,0.573489,0.068629,0.391156,0.543095,0.089020,0.345466,0.596922,0.067359,0.340915
0.670000,0.573485,0.068652,0.391177,0.543102,0.089030,0.345475,0.596941,0.067327,0.340919
0.680000,0.573512,0.068670,0.391188,0.543115,0.089044,0.345503,0.596940,0.067349,0.340930
0.690000,0.573551,0.068681,0.391207,0.543129,0.089072,0.345518,0.596953,0.067354,0.340952
0.700000,0.573555,0.068725,0.391210,0.543133,0.089085,0.345534,0.596959,0.067392,0.340943
0.710000,0.573570,0.068753,0.391219,0.543142,0.089124,0.345545,0.596967,0.067443,0.340968
0.720000,0.573581,0.068775,0.391227,0.543130,0.089147,0.345546,0.596986,0.067503,0.340982
0.730000,0.573589,0.068825,0.391227,0.543144,0.089165,0.345547,0.596985,0.067520,0.340968
0.740000,0.573593,0.068859,0.391224,0.543151,0.089206,0.345542,0.596992,0.067531,0.340947
0.750000,0.573603,0.068896,0.391223,0.543173,0.089235,0.345534,0.597016,0.067575,0.340946
0.760000,0.573626,0.068910,0.391224,0.543206,0.089253,0.345532,0.597043,0.067582,0.340932
0.770000,0.573654,0.068910,0.391222,0.543224,0.089273,0.345517,0.597061,0.067590,0.340945
0.780000,0.573674,0.068916,0.391212,0.543264,0.089302,0.345521,0.597095,0.067615,0.340944
0.790000,0.573692,0.068943,0.391214,0.543302,0.089330,0.345526,0.597118,0.067625,0.340943
0.800000,0.573705,0.068983,0.391219,0.543332,0.089334,0.345527,0.597140,0.067664,0.340969
0.810000,0.573731,0.068989,0.391227,0.543351,0.089354,0.345537,0.597167,0.067648,0.340961
0.820000,0.573725,0.068982,0.391251,0.543370,0.089360,0.345534,0.597190,0.067659,0.340974
0.830000,0.573747,0.068975,0.391258,0.543410,0.089377,0.345553,0.597206,0.067659,0.340957
0.840000,0.573772,0.069001,0.391256,0.543417,0.089405,0.345558,0.597222,0.067692,0.340973
0.850000,0.573760,0.069015,0.391271,0.543434,0.089402,0.345582,0.597225,0.067702,0.341012
0.860000,0.573775,0.069006,0.391265,0.543437,0.089411,0.345583,0.597235,0.067679,0.340997
0.870000,0.573745,0.069025,0.391289,0.543412,0.089423,0.345585,0.597226,0.067699,0.341006
0.880000,0.573720,0.068971,0.391305,0.543401,0.089405,0.345609,0.597217,0.067695,0.341026
0.890000,0.573704,0.068954,0.391304,0.543387,0.089397,0.345594,0.597205,0.067699,0.341048
0.900000,0.573699,0.068934,0.391319,0.543412,0.089402,0.345625,0.597208,0.067655,0.341042
0.910000,0.573696,0.068907,0.391325,0.543404,0.089380,0.345629,0.597206,0.067614,0.341058
0.920000,0.573692,0.068893,0.391339,0.543411,0.089355,0.345648,0.597204,0.067640,0.341095
0.930000,0.573691,0.068863,0.391350,0.543396,0.089322,0.345663,0.597196,0.067614,0.341114
0.940000,0.573669,0.068847,0.391370,0.543381,0.089313,0.345662,0.597180,0.067596,0.341124
0.950000,0.573658,0.068811,0.391388,0.543376,0.089272,0.345687,0.597171,0.067556,0.341125
0.960000,0.573645,0.068797,0.391405,0.543361,0.089241,0.345703,0.597176,0.067536,0.341171
0.970000,0.573647,0.068761,0.391423,0.543346,0.089205,0.345724,0.597167,0.067520,0.341202
0.980000,0.573645,0.068743,0.391441,0.543353,0.089161,0.345744,0.597173,0.067532,0.341255
0.990000,0.573667,0.068695,0.391464,0.543367,0.089140,0.345751,0.597195,0.067478,0.341265
1.000000,0.573666,0.068667,0.391474,0.543389,0.089094,0.345780,0.597202,0.067434,0.341292
1.010000,0.573675,0.068629,0.391497,0.543394,0.089070,0.345781,0.597202,0.067387,0.341281
1.020000,0.573668,0.068611,0.391513,0.543386,0.089027,0.345793,0.597210,0.067363,0.341326
1.030000,0.573665,0.068586,0.391522,0.543388,0.088985,0.345810,0.597200,0.067328,0.341335
1.040000,0.573651,0.068551,0.391544,0.543393,0.088911,0.345825,0.597198,0.067335,0.341373
1.050000,0.573653,0.068527,0.391558,0.543390,0.088878,0.345839,0.597199,0.067298,0.341391
1.060000,0.573659,0.068497,0.391564,0.543402,0.088848,0.345846,0.597209,0.067259,0.341399
1.070000,0.573683,0.068454,0.391575,0.543417,0.088791,0.345861,0.597218,0.067189,0.341390
1.080000,0.573684,0.068446,0.391601,0.543422,0.088794,0.345860,0.597220,0.067193,0.341433
1.090000,0.573711,0.068416,0.391606,0.543436,0.088725,0.345881,0.597232,0.067126,0.341423
