Time,org_x,org_y,org_z,xvec_x,xvec_y,xvec_z,zvec_x,zvec_y,zvec_z
0,-0.305336,0.50564,0.603763,-0.281119,0.460426,0.576666,-0.29241,0.458759,0.634194
0.01,-0.305328,0.505662,0.603856,-0.281073,0.46047,0.576748,-0.29236,0.458816,0.634267
0.02,-0.30531,0.50569,0.603956,-0.28104,0.460496,0.576824,-0.292352,0.458816,0.634344
0.03,-0.305307,0.50569,0.604064,-0.280985,0.460524,0.576904,-0.292286,0.458836,0.634431
0.04,-0.305289,0.50569,0.604154,-0.280932,0.460574,0.576976,-0.292266,0.458851,0.634498
0.05,-0.305254,0.505704,0.604242,-0.280879,0.460598,0.577056,-0.292215,0.458869,0.634578
0.06,-0.305226,0.505713,0.604329,-0.280828,0.460614,0.577128,-0.29221,0.458859,0.63465
0.07,-0.305203,0.505728,0.604411,-0.280776,0.46064,0.577203,-0.292155,0.458897,0.634727
0.08,-0.305193,0.505729,0.60449,-0.280733,0.460665,0.577273,-0.292122,0.458923,0.634791
0.09,-0.305177,0.505734,0.604575,-0.280701,0.460696,0.577346,-0.292034,0.459009,0.634873
0.1,-0.305174,0.505747,0.60464,-0.280668,0.460712,0.577413,-0.292064,0.458983,0.634942
0.11,-0.305174,0.505753,0.604703,-0.280644,0.460739,0.577482,-0.292053,0.459001,0.634999
0.12,-0.305178,0.505752,0.604771,-0.280613,0.46076,0.577541,-0.292048,0.458988,0.635049
0.13,-0.305178,0.505754,0.604829,-0.280633,0.460767,0.577624,-0.292052,0.459003,0.635099
0.14,-0.305197,0.505731,0.604883,-0.280585,0.460783,0.577654,-0.29202,0.459014,0.635147
0.15,-0.305186,0.50573,0.60494,-0.280591,0.46077,0.577733,-0.292071,0.458951,0.635193
0.16,-0.305185,0.505717,0.605001,-0.280586,0.460777,0.577792,-0.292047,0.458962,0.635242
0.17,-0.305184,0.505696,0.605054,-0.280562,0.460764,0.577838,-0.29203,0.458961,0.635301
0.18,-0.305171,0.505698,0.605116,-0.280539,0.460759,0.577893,-0.292045,0.458911,0.635325
0.19,-0.30517,0.505675,0.60517,-0.280541,0.46073,0.577957,-0.292027,0.458905,0.635367
0.2,-0.305145,0.505677,0.605224,-0.280497,0.460765,0.577987,-0.292036,0.458893,0.635404
0.21,-0.305134,0.505672,0.605277,-0.280503,0.460729,0.578055,-0.292036,0.458865,0.635449
0.22,-0.305104,0.505672,0.605338,-0.280484,0.460727,0.578107,-0.292008,0.458866,0.635503
0.23,-0.305089,0.505673,0.605397,-0.280463,0.460747,0.578152,-0.291972,0.458876,0.635556
0.24,-0.305075,0.50569,0.605458,-0.280443,0.460752,0.578205,-0.291968,0.458858,0.635611
0.25,-0.305059,0.505681,0.60552,-0.280415,0.460767,0.578253,-0.291942,0.458891,0.635658
0.26,-0.305039,0.505695,0.60557,-0.280392,0.460778,0.578301,-0.291954,0.458867,0.635705
0.27,-0.305026,0.505686,0.605618,-0.280375,0.460776,0.578342,-0.291952,0.458859,0.635738
0.28,-0.305005,0.505693,0.605671,-0.280356,0.460791,0.57839,-0.291968,0.458798,0.635832
