Time,org_x,org_y,org_z,xvec_x,xvec_y,xvec_z,zvec_x,zvec_y,zvec_z
0,-0.334953,0.512534,0.58839,-0.307519,0.468244,0.562983,-0.319225,0.467744,0.620363
0.01,-0.334947,0.512541,0.588393,-0.307519,0.46824,0.562984,-0.319227,0.467744,0.620353
0.02,-0.33496,0.512527,0.588386,-0.307533,0.46821,0.562999,-0.319213,0.467746,0.620362
0.03,-0.334935,0.512534,0.588395,-0.307511,0.468243,0.56298,-0.319222,0.467738,0.620357
0.04,-0.334935,0.512516,0.588405,-0.30752,0.468212,0.563005,-0.3192,0.467741,0.620367
0.05,-0.334925,0.512532,0.588413,-0.307495,0.468236,0.562995,-0.319185,0.467744,0.620376
0.06,-0.334909,0.512499,0.588434,-0.307476,0.468251,0.562996,-0.319162,0.467752,0.620382
0.07,-0.334885,0.512532,0.588435,-0.30746,0.468244,0.563013,-0.319155,0.467748,0.620386
0.08,-0.334887,0.51249,0.588449,-0.307454,0.468216,0.563038,-0.319136,0.467703,0.620403
0.09,-0.334856,0.512495,0.588456,-0.307432,0.468217,0.563045,-0.319116,0.467702,0.620403
0.1,-0.334832,0.512487,0.588459,-0.307392,0.46824,0.563022,-0.319102,0.467679,0.620405
0.11,-0.334804,0.512475,0.58846,-0.307388,0.468186,0.563047,-0.318971,0.467713,0.620397
0.12,-0.334785,0.512459,0.588456,-0.307343,0.468219,0.563024,-0.319057,0.467639,0.620402
0.13,-0.334756,0.512456,0.588451,-0.307342,0.468159,0.56304,-0.319011,0.467604,0.62041
0.14,-0.334747,0.51243,0.588446,-0.307282,0.468152,0.563013,-0.318899,0.467691,0.62038
0.15,-0.334704,0.51243,0.588422,-0.307267,0.46813,0.563004,-0.318884,0.467672,0.620375
0.16,-0.334681,0.512413,0.58841,-0.307256,0.468137,0.562985,-0.318856,0.467659,0.620365
0.17,-0.334663,0.512406,0.588398,-0.307208,0.46813,0.562947,-0.318861,0.467636,0.620353
0.18,-0.334649,0.512387,0.588378,-0.307194,0.468114,0.562932,-0.318853,0.46761,0.620329
0.19,-0.334635,0.512393,0.588349,-0.307189,0.468096,0.562909,-0.318833,0.467612,0.620314
0.2,-0.334622,0.51238,0.588332,-0.307177,0.468087,0.562888,-0.318822,0.467616,0.620301
0.21,-0.334628,0.512379,0.588316,-0.307186,0.468081,0.562875,-0.318836,0.467591,0.620276
0.22,-0.334626,0.512394,0.588313,-0.307181,0.468103,0.562861,-0.318813,0.467606,0.620269
0.23,-0.334634,0.512394,0.588318,-0.307186,0.468112,0.562862,-0.318828,0.46762,0.620274
0.24,-0.334635,0.512407,0.588319,-0.30718,0.468112,0.562863,-0.318827,0.467607,0.620274
0.25,-0.334637,0.512412,0.588322,-0.307188,0.468129,0.562859,-0.318828,0.467626,0.620257
0.26,-0.334648,0.512418,0.588309,-0.307192,0.468138,0.562853,-0.318835,0.467629,0.620267
0.27,-0.334648,0.512432,0.588304,-0.307204,0.468141,0.562838,-0.318839,0.467622,0.620247
0.28,-0.334658,0.51243,0.58829,-0.307203,0.468146,0.562824,-0.318857,0.467628,0.620229
0.29,-0.334654,0.512432,0.588268,-0.307213,0.46815,0.562811,-0.318868,0.467642,0.620217
0.3,-0.334677,0.512443,0.588246,-0.307224,0.468162,0.562796,-0.31889,0.467642,0.620196
0.31,-0.33467,0.512476,0.588229,-0.30724,0.46817,0.56277,-0.318895,0.46765,0.620181
0.32,-0.33468,0.512491,0.588199,-0.307251,0.468165,0.562752,-0.318922,0.467643,0.620164
0.33,-0.334695,0.512494,0.58817,-0.307273,0.468171,0.562724,-0.31893,0.467658,0.620136
0.34,-0.334714,0.512499,0.588134,-0.307292,0.46817,0.562682,-0.318949,0.467666,0.620106
0.35,-0.334743,0.512505,0.588087,-0.307323,0.468161,0.562644,-0.318972,0.467705,0.620062
0.36,-0.334775,0.512496,0.588049,-0.307354,0.468161,0.5626,-0.318994,0.467728,0.620029
0.37,-0.334785,0.512512,0.588013,-0.307387,0.468147,0.562561,-0.319011,0.467739,0.619998
0.38,-0.334819,0.512503,0.587978,-0.30742,0.468157,0.562523,-0.31902,0.467753,0.619966
0.39,-0.33485,0.512499,0.58794,-0.307448,0.468151,0.562491,-0.319038,0.467757,0.619934
0.4,-0.334872,0.512503,0.587919,-0.307484,0.468145,0.562459,-0.319087,0.467725,0.619905
0.41,-0.334893,0.512502,0.587889,-0.307518,0.46814,0.562427,-0.319105,0.467744,0.619878
0.42,-0.334923,0.512512,0.587852,-0.307544,0.468144,0.562388,-0.319121,0.467751,0.619857
0.43,-0.334956,0.51251,0.587829,-0.307574,0.468149,0.56236,-0.319128,0.467759,0.619831
0.44,-0.334974,0.512526,0.587808,-0.307607,0.468155,0.562335,-0.319168,0.467754,0.619804
0.45,-0.335005,0.512539,0.587798,-0.307637,0.46817,0.562321,-0.319169,0.467782,0.619802
0.46,-0.335036,0.512544,0.587779,-0.307674,0.468201,0.562302,-0.319223,0.467773,0.619786
0.47,-0.335068,0.512572,0.587775,-0.307702,0.468215,0.562294,-0.319245,0.467784,0.619783
0.48,-0.335114,0.512562,0.587757,-0.307763,0.46824,0.562297,-0.319268,0.467814,0.619766
0.49,-0.335128,0.512592,0.587742,-0.307758,0.468256,0.562265,-0.319227,0.467953,0.619725
0.5,-0.335162,0.512608,0.587721,-0.307777,0.468265,0.562247,-0.319313,0.467854,0.61973
0.51,-0.335187,0.51262,0.5877,-0.307842,0.468281,0.562246,-0.319257,0.467994,0.619693
0.52,-0.335211,0.51264,0.587688,-0.30784,0.468287,0.562211,-0.319276,0.468006,0.619672
0.53,-0.335247,0.51263,0.587669,-0.307864,0.468303,0.562199,-0.319283,0.468048,0.619667
0.54,-0.335277,0.51265,0.58766,-0.307925,0.468293,0.562199,-0.319323,0.468026,0.61965
0.55,-0.335304,0.512648,0.587654,-0.30795,0.468301,0.562189,-0.319357,0.468029,0.619645
0.56,-0.335328,0.512652,0.58764,-0.307971,0.468315,0.562167,-0.319377,0.468035,0.619633
