Time,org_x,org_y,org_z,xvec_x,xvec_y,xvec_z,zvec_x,zvec_y,zvec_z
0.000000,-0.334953,0.512534,0.588390,-0.307519,0.468244,0.562983,-0.319224,0.467744,0.620363
0.010000,-0.334948,0.512541,0.588392,-0.307519,0.468240,0.562984,-0.319227,0.467744,0.620353
0.020000,-0.334960,0.512526,0.588386,-0.307533,0.468210,0.562999,-0.319213,0.467745,0.620362
0.030000,-0.334935,0.512534,0.588395,-0.307511,0.468243,0.562980,-0.319222,0.467739,0.620357
0.040000,-0.334936,0.512516,0.588405,-0.307520,0.468213,0.563005,-0.319200,0.467740,0.620367
0.050000,-0.334925,0.512532,0.588413,-0.307495,0.468236,0.562995,-0.319184,0.467744,0.620376
0.060000,-0.334909,0.512499,0.588434,-0.307476,0.468251,0.562996,-0.319161,0.467753,0.620382
0.070000,-0.334885,0.512532,0.588435,-0.307460,0.468244,0.563013,-0.319155,0.467748,0.620385
0.080000,-0.334887,0.512490,0.588449,-0.307454,0.468216,0.563038,-0.319137,0.467703,0.620403
0.090000,-0.334856,0.512495,0.588456,-0.307432,0.468217,0.563045,-0.319116,0.467702,0.620403
0.100000,-0.334832,0.512487,0.588459,-0.307392,0.468240,0.563022,-0.319102,0.467679,0.620405
0.110000,-0.334804,0.512475,0.588460,-0.307388,0.468186,0.563047,-0.318971,0.467713,0.620397
0.120000,-0.334786,0.512459,0.588456,-0.307343,0.468218,0.563024,-0.319057,0.467639,0.620402
0.130000,-0.334756,0.512456,0.588451,-0.307342,0.468159,0.563040,-0.319011,0.467603,0.620410
0.140000,-0.334748,0.512430,0.588446,-0.307282,0.468153,0.563013,-0.318899,0.467692,0.620380
0.150000,-0.334704,0.512430,0.588422,-0.307267,0.468131,0.563004,-0.318884,0.467672,0.620375
0.160000,-0.334682,0.512413,0.588410,-0.307256,0.468137,0.562985,-0.318857,0.467658,0.620365
0.170000,-0.334663,0.512406,0.588398,-0.307208,0.468130,0.562947,-0.318861,0.467636,0.620352
0.180000,-0.334649,0.512387,0.588378,-0.307194,0.468114,0.562932,-0.318853,0.467610,0.620329
0.190000,-0.334635,0.512393,0.588348,-0.307189,0.468096,0.562909,-0.318834,0.467611,0.620314
0.200000,-0.334622,0.512380,0.588332,-0.307177,0.468087,0.562888,-0.318822,0.467616,0.620301
0.210000,-0.334628,0.512379,0.588316,-0.307186,0.468081,0.562875,-0.318836,0.467591,0.620276
0.220000,-0.334626,0.512393,0.588313,-0.307181,0.468103,0.562861,-0.318814,0.467605,0.620269
0.230000,-0.334634,0.512394,0.588318,-0.307186,0.468112,0.562862,-0.318828,0.467620,0.620274
0.240000,-0.334635,0.512407,0.588319,-0.307180,0.468112,0.562863,-0.318827,0.467607,0.620274
0.250000,-0.334637,0.512411,0.588322,-0.307188,0.468129,0.562858,-0.318828,0.467626,0.620257
0.260000,-0.334648,0.512418,0.588309,-0.307192,0.468138,0.562853,-0.318835,0.467629,0.620267
0.270000,-0.334648,0.512432,0.588303,-0.307204,0.468141,0.562838,-0.318839,0.467621,0.620247
0.280000,-0.334658,0.512430,0.588290,-0.307203,0.468146,0.562824,-0.318857,0.467628,0.620229
0.290000,-0.334654,0.512432,0.588268,-0.307213,0.468150,0.562811,-0.318869,0.467642,0.620217
0.300000,-0.334678,0.512443,0.588246,-0.307224,0.468162,0.562795,-0.318890,0.467642,0.620196
0.310000,-0.334670,0.512476,0.588229,-0.307240,0.468170,0.562771,-0.318895,0.467650,0.620181
0.320000,-0.334681,0.512491,0.588199,-0.307251,0.468165,0.562752,-0.318922,0.467643,0.620164
0.330000,-0.334694,0.512494,0.588170,-0.307273,0.468171,0.562724,-0.318931,0.467658,0.620136
0.340000,-0.334714,0.512499,0.588134,-0.307292,0.468170,0.562682,-0.318949,0.467666,0.620106
0.350000,-0.334743,0.512505,0.588087,-0.307323,0.468161,0.562644,-0.318973,0.467704,0.620062
0.360000,-0.334775,0.512496,0.588049,-0.307354,0.468161,0.562600,-0.318994,0.467728,0.620029
