Time,org_x,org_y,org_z,xvec_x,xvec_y,xvec_z,zvec_x,zvec_y,zvec_z
0.000000,-0.300477,0.500369,0.600246,-0.275062,0.454041,0.576135,-0.292215,0.453756,0.632182
0.010000,-0.300520,0.500382,0.600328,-0.275096,0.454081,0.576211,-0.292267,0.453749,0.632252
0.020000,-0.300573,0.500406,0.600404,-0.275142,0.454110,0.576270,-0.292319,0.453780,0.632313
0.030000,-0.300619,0.500424,0.600484,-0.275189,0.454118,0.576363,-0.292357,0.453810,0.632388
0.040000,-0.300665,0.500431,0.600558,-0.275242,0.454152,0.576452,-0.292390,0.453821,0.632459
0.050000,-0.300705,0.500481,0.600651,-0.275279,0.454186,0.576530,-0.292513,0.453792,0.632561
0.060000,-0.300751,0.500525,0.600732,-0.275312,0.454233,0.576604,-0.292556,0.453814,0.632643
0.070000,-0.300806,0.500570,0.600830,-0.275346,0.454285,0.576688,-0.292604,0.453831,0.632727
0.080000,-0.300846,0.500619,0.600933,-0.275380,0.454332,0.576777,-0.292641,0.453860,0.632823
0.090000,-0.300899,0.500649,0.601024,-0.275414,0.454391,0.576869,-0.292797,0.453828,0.632922
0.100000,-0.300941,0.500688,0.601138,-0.275444,0.454442,0.576958,-0.292818,0.453854,0.633023
0.110000,-0.300970,0.500741,0.601243,-0.275487,0.454490,0.577072,-0.292850,0.453889,0.633121
0.120000,-0.301005,0.500777,0.601356,-0.275519,0.454533,0.577189,-0.292872,0.453921,0.633210
0.130000,-0.301021,0.500831,0.601487,-0.275549,0.454581,0.577296,-0.292898,0.453946,0.633330
0.140000,-0.301027,0.500876,0.601627,-0.275585,0.454625,0.577407,-0.292898,0.454005,0.633442
0.150000,-0.301048,0.500938,0.601754,-0.275625,0.454694,0.577520,-0.292898,0.454061,0.633543
0.160000,-0.301088,0.500978,0.601889,-0.275659,0.454736,0.577621,-0.292923,0.454088,0.633652
0.170000,-0.301123,0.501031,0.602018,-0.275709,0.454803,0.577719,-0.292852,0.454224,0.633802
0.180000,-0.301161,0.501087,0.602128,-0.275746,0.454860,0.577827,-0.292866,0.454253,0.633896
0.190000,-0.301203,0.501145,0.602245,-0.275820,0.454922,0.577933,-0.292893,0.454295,0.633988
0.200000,-0.301384,0.501124,0.602423,-0.275872,0.454986,0.578028,-0.292912,0.454332,0.634115
0.210000,-0.301457,0.501165,0.602552,-0.275922,0.455026,0.578146,-0.292954,0.454384,0.634211
0.220000,-0.301492,0.501234,0.602680,-0.275963,0.455090,0.578246,-0.292993,0.454416,0.634318
0.230000,-0.301552,0.501283,0.602820,-0.276003,0.455148,0.578358,-0.293108,0.454365,0.634426
0.240000,-0.301617,0.501319,0.602939,-0.276047,0.455214,0.578455,-0.293174,0.454384,0.634554
0.250000,-0.301673,0.501372,0.603062,-0.276103,0.455278,0.578554,-0.293259,0.454397,0.634656
0.260000,-0.301760,0.501405,0.603185,-0.276180,0.455336,0.578671,-0.293315,0.454423,0.634759
0.270000,-0.301854,0.501438,0.603295,-0.276241,0.455398,0.578773,-0.293398,0.454477,0.634861
0.280000,-0.301953,0.501476,0.603412,-0.276332,0.455491,0.578881,-0.293502,0.454511,0.634956
0.290000,-0.302067,0.501535,0.603526,-0.276433,0.455566,0.579004,-0.293587,0.454573,0.635065
0.300000,-0.302215,0.501564,0.603632,-0.276555,0.455642,0.579114,-0.293702,0.454611,0.635167
0.310000,-0.302417,0.501577,0.603750,-0.276668,0.455694,0.579221,-0.293883,0.454615,0.635262
0.320000,-0.302554,0.501631,0.603846,-0.276785,0.455758,0.579310,-0.293975,0.454692,0.635356
0.330000,-0.302721,0.501692,0.603956,-0.276891,0.455818,0.579387,-0.294114,0.454743,0.635428
0.340000,-0.302846,0.501747,0.604038,-0.277019,0.455874,0.579473,-0.294230,0.454794,0.635507
0.350000,-0.303000,0.501799,0.604125,-0.277139,0.455931,0.579537,-0.294351,0.454832,0.635571
0.360000,-0.303136,0.501852,0.604206,-0.277249,0.455997,0.579594,-0.294468,0.454918,0.635625
