Time,org_x,org_y,org_z,xvec_x,xvec_y,xvec_z,zvec_x,zvec_y,zvec_z
0.000000,0.075745,0.067620,0.617136,0.104221,0.016900,0.614823,0.044823,0.017995,0.613202
0.010000,0.075734,0.067582,0.617165,0.104231,0.016889,0.614810,0.044596,0.018107,0.613590
0.020000,0.075766,0.067608,0.617133,0.104233,0.016898,0.614809,0.044815,0.018025,0.613190
0.030000,0.075758,0.067580,0.617109,0.104243,0.016876,0.614806,0.044839,0.017995,0.613188
0.040000,0.075766,0.067585,0.617101,0.104238,0.016875,0.614786,0.044830,0.017996,0.613177
0.050000,0.075768,0.067570,0.617107,0.104230,0.016845,0.614782,0.044836,0.017981,0.613174
0.060000,0.075749,0.067520,0.617129,0.104244,0.016853,0.614774,0.044620,0.018043,0.613561
0.070000,0.075762,0.067523,0.617129,0.104308,0.016446,0.614906,0.044615,0.018094,0.613557
0.080000,0.075781,0.067547,0.617093,0.104261,0.016833,0.614774,0.044852,0.017968,0.613166
0.090000,0.075789,0.067537,0.617093,0.104313,0.016436,0.614890,0.044862,0.017950,0.613162
0.100000,0.075797,0.067564,0.617088,0.104320,0.016435,0.614892,0.044861,0.017956,0.613168
0.110000,0.075797,0.067535,0.617092,0.104337,0.016465,0.614882,0.044868,0.017965,0.613163
0.120000,0.075808,0.067549,0.617085,0.104335,0.016437,0.614874,0.044874,0.017953,0.613155
0.130000,0.075818,0.067549,0.617079,0.104276,0.016832,0.614764,0.044867,0.017944,0.613153
0.140000,0.075822,0.067546,0.617081,0.104285,0.016850,0.614760,0.044878,0.017956,0.613156
0.150000,0.075818,0.067554,0.617079,0.104283,0.016848,0.614755,0.044880,0.017964,0.613153
0.160000,0.075827,0.067550,0.617082,0.104288,0.016846,0.614752,0.044892,0.017941,0.613138
0.170000,0.075836,0.067540,0.617074,0.104352,0.016433,0.614872,0.044892,0.017957,0.613157
0.180000,0.075828,0.067520,0.617087,0.104296,0.016819,0.614742,0.044891,0.017948,0.613157
0.190000,0.075841,0.067522,0.617072,0.104300,0.016822,0.614748,0.044901,0.017935,0.613154
0.200000,0.075836,0.067516,0.617079,0.104285,0.016789,0.614750,0.044893,0.017930,0.613159
0.210000,0.075837,0.067499,0.617076,0.104341,0.016390,0.614878,0.044887,0.017912,0.613151
0.220000,0.075824,0.067506,0.617081,0.104266,0.016725,0.614770,0.044879,0.017932,0.613158
0.230000,0.075822,0.067500,0.617092,0.104330,0.016383,0.614890,0.044867,0.017920,0.613148
0.240000,0.075817,0.067504,0.617087,0.104246,0.016710,0.614786,0.044851,0.017907,0.613158
0.250000,0.075794,0.067481,0.617094,0.104296,0.016363,0.614892,0.044843,0.017901,0.613159
0.260000,0.075792,0.067482,0.617091,0.104211,0.016736,0.614767,0.044822,0.017891,0.613154
0.270000,0.075774,0.067474,0.617100,0.104226,0.016758,0.614771,0.044817,0.017904,0.613153
0.280000,0.075728,0.067350,0.617193,0.104274,0.016371,0.614894,0.044565,0.017989,0.613554
0.290000,0.075740,0.067454,0.617138,0.104203,0.016771,0.614779,0.044577,0.017998,0.613554
0.300000,0.075735,0.067451,0.617146,0.104266,0.016373,0.614911,0.044571,0.017981,0.613571
0.310000,0.075721,0.067348,0.617202,0.104183,0.016705,0.614822,0.044564,0.017979,0.613576
0.320000,0.075722,0.067435,0.617164,0.104245,0.016345,0.614938,0.044539,0.017999,0.613586
0.330000,0.075697,0.067319,0.617222,0.104229,0.016329,0.614938,0.044538,0.017979,0.613582
0.340000,0.075706,0.067414,0.617168,0.104225,0.016327,0.614945,0.044525,0.017962,0.613596
0.350000,0.075705,0.067408,0.617173,0.104147,0.016634,0.614847,0.044506,0.017966,0.613586
0.360000,0.075701,0.067313,0.617240,0.104161,0.016635,0.614847,0.044536,0.017946,0.613587
0.370000,0.075702,0.067287,0.617223,0.104224,0.016293,0.614947,0.044543,0.017945,0.613600
0.380000,0.075716,0.067294,0.617249,0.104174,0.016627,0.614849,0.044531,0.017954,0.613612
0.390000,0.075725,0.067298,0.617237,0.104184,0.016649,0.614860,0.044562,0.017956,0.613623
0.400000,0.075720,0.067320,0.617265,0.104252,0.016310,0.614962,0.044561,0.017946,0.613610
0.410000,0.075724,0.067321,0.617244,0.104183,0.016652,0.614859,0.044555,0.017945,0.613613
0.420000,0.075715,0.067323,0.617242,0.104181,0.016665,0.614852,0.044551,0.017972,0.613610
0.430000,0.075717,0.067449,0.617204,0.104173,0.016677,0.614860,0.044536,0.017972,0.613622
0.440000,0.075693,0.067435,0.617186,0.104163,0.016679,0.614860,0.044527,0.017958,0.613614
0.450000,0.075686,0.067454,0.617215,0.104206,0.016351,0.614965,0.044519,0.017948,0.613615
0.460000,0.075649,0.067331,0.617271,0.104180,0.016332,0.614979,0.044473,0.017985,0.613636
0.470000,0.075637,0.067433,0.617213,0.104166,0.016340,0.614994,0.044474,0.017970,0.613638
0.480000,0.075638,0.067442,0.617231,0.104163,0.016330,0.615000,0.044467,0.017921,0.613634
0.490000,0.075609,0.067333,0.617292,0.104139,0.016316,0.615014,0.044438,0.017974,0.613659
0.500000,0.075608,0.067317,0.617308,0.104130,0.016304,0.615022,0.044437,0.017954,0.613662
0.510000,0.075619,0.067337,0.617298,0.104144,0.016289,0.615035,0.044439,0.017938,0.613670
0.520000,0.075614,0.067323,0.617301,0.104153,0.016305,0.615032,0.044449,0.017955,0.613689
0.530000,0.075626,0.067299,0.617313,0.104084,0.016628,0.614927,0.044454,0.017949,0.613690
0.540000,0.075652,0.067425,0.617258,0.104105,0.016634,0.614929,0.044467,0.017953,0.613698
0.550000,0.075650,0.067304,0.617313,0.104120,0.016636,0.614923,0.044493,0.017918,0.613680
0.560000,0.075665,0.067306,0.617310,0.104127,0.016630,0.614925,0.044483,0.017938,0.613686
0.570000,0.075673,0.067304,0.617306,0.104204,0.016291,0.615017,0.044490,0.017969,0.613690
0.580000,0.075687,0.067311,0.617299,0.104210,0.016301,0.615014,0.044524,0.017935,0.613684
0.590000,0.075700,0.067318,0.617303,0.104162,0.016641,0.614910,0.044520,0.017942,0.613675
0.600000,0.075717,0.067312,0.617306,0.104241,0.016303,0.615012,0.044550,0.017947,0.613686
0.610000,0.075730,0.067323,0.617307,0.104255,0.016303,0.615008,0.044557,0.017980,0.613694
0.620000,0.075738,0.067335,0.617303,0.104274,0.016326,0.615013,0.044550,0.018007,0.613687
0.630000,0.075751,0.067334,0.617303,0.104277,0.016317,0.615010,0.044585,0.017960,0.613690
0.640000,0.075750,0.067328,0.617301,0.104284,0.016323,0.615006,0.044582,0.017948,0.613684
0.650000,0.075752,0.067327,0.617298,0.104273,0.016309,0.614999,0.044570,0.017942,0.613669
