Time,org_x,org_y,org_z,xvec_x,xvec_y,xvec_z,zvec_x,zvec_y,zvec_z
0.000000,-0.087252,0.495759,0.540427,-0.066964,0.449136,0.512964,-0.066564,0.452146,0.572148
0.010000,-0.087192,0.495787,0.540752,-0.066881,0.449172,0.513286,-0.066539,0.452173,0.572479
0.020000,-0.087150,0.495811,0.541050,-0.066804,0.449212,0.513586,-0.066532,0.452181,0.572765
0.030000,-0.087140,0.495826,0.541350,-0.066733,0.449253,0.513857,-0.066543,0.452186,0.573050
0.040000,-0.087131,0.495835,0.541625,-0.066688,0.449283,0.514101,-0.066549,0.452186,0.573316
0.050000,-0.087108,0.495848,0.541874,-0.066674,0.449303,0.514365,-0.066565,0.452189,0.573583
0.060000,-0.087096,0.495875,0.542126,-0.066645,0.449346,0.514588,-0.066568,0.452155,0.573819
0.070000,-0.087112,0.495904,0.542362,-0.066641,0.449380,0.514821,-0.066582,0.452187,0.574034
0.080000,-0.087120,0.495923,0.542565,-0.066631,0.449401,0.515029,-0.066615,0.452238,0.574257
0.090000,-0.087156,0.495938,0.542764,-0.066654,0.449445,0.515269,-0.066633,0.452263,0.574459
0.100000,-0.087185,0.495980,0.542954,-0.066655,0.449494,0.515465,-0.066665,0.452316,0.574658
0.110000,-0.087210,0.496013,0.543129,-0.066669,0.449536,0.515646,-0.066684,0.452329,0.574816
0.120000,-0.087220,0.496090,0.543312,-0.066683,0.449579,0.515811,-0.066712,0.452308,0.574962
0.130000,-0.087255,0.496119,0.543460,-0.066696,0.449604,0.515953,-0.066742,0.452343,0.575112
0.140000,-0.087290,0.496134,0.543599,-0.066712,0.449637,0.516082,-0.066784,0.452369,0.575244
0.150000,-0.087317,0.496156,0.543737,-0.066733,0.449664,0.516190,-0.066814,0.452385,0.575357
0.160000,-0.087355,0.496189,0.543867,-0.066757,0.449695,0.516291,-0.066861,0.452399,0.575483
0.170000,-0.087409,0.496220,0.543999,-0.066789,0.449728,0.516389,-0.066895,0.452417,0.575592
0.180000,-0.087444,0.496249,0.544109,-0.066817,0.449771,0.516478,-0.066938,0.452447,0.575693
0.190000,-0.087509,0.496262,0.544222,-0.066854,0.449802,0.516563,-0.066992,0.452454,0.575791
0.200000,-0.087573,0.496279,0.544311,-0.066910,0.449814,0.516660,-0.067061,0.452485,0.575873
0.210000,-0.087635,0.496306,0.544394,-0.066960,0.449859,0.516737,-0.067121,0.452512,0.575947
0.220000,-0.087720,0.496317,0.544480,-0.067013,0.449894,0.516804,-0.067192,0.452519,0.576021
0.230000,-0.087824,0.496333,0.544555,-0.067083,0.449935,0.516861,-0.067269,0.452561,0.576065
0.240000,-0.087917,0.496354,0.544603,-0.067151,0.449976,0.516905,-0.067352,0.452561,0.576110
0.250000,-0.088011,0.496384,0.544660,-0.067226,0.450012,0.516951,-0.067425,0.452591,0.576151
0.260000,-0.088094,0.496418,0.544711,-0.067312,0.450058,0.517001,-0.067507,0.452626,0.576207
0.270000,-0.088178,0.496453,0.544746,-0.067381,0.450107,0.517035,-0.067587,0.452646,0.576237
0.280000,-0.088257,0.496488,0.544784,-0.067466,0.450135,0.517071,-0.067665,0.452670,0.576273
0.290000,-0.088346,0.496491,0.544817,-0.067540,0.450148,0.517099,-0.067744,0.452684,0.576296
0.300000,-0.088431,0.496506,0.544844,-0.067608,0.450187,0.517117,-0.067828,0.452705,0.576318
0.310000,-0.088508,0.496529,0.544864,-0.067699,0.450201,0.517155,-0.067919,0.452720,0.576333
0.320000,-0.088589,0.496555,0.544878,-0.067790,0.450235,0.517180,-0.068002,0.452726,0.576354
0.330000,-0.088678,0.496566,0.544894,-0.067862,0.450259,0.517192,-0.068123,0.452749,0.576367
0.340000,-0.088754,0.496597,0.544895,-0.067943,0.450313,0.517187,-0.068242,0.452785,0.576366
0.350000,-0.088852,0.496640,0.544876,-0.068016,0.450350,0.517166,-0.068350,0.452807,0.576347
0.360000,-0.088960,0.496676,0.544824,-0.068111,0.450386,0.517134,-0.068467,0.452846,0.576311
0.370000,-0.089081,0.496727,0.544752,-0.068211,0.450429,0.517077,-0.068591,0.452928,0.576258
0.380000,-0.089206,0.496768,0.544666,-0.068313,0.450463,0.516999,-0.068714,0.452978,0.576184
0.390000,-0.089340,0.496797,0.544538,-0.068432,0.450539,0.516879,-0.068843,0.453057,0.576078
0.400000,-0.089482,0.496845,0.544402,-0.068537,0.450588,0.516746,-0.068977,0.453121,0.575970
0.410000,-0.089624,0.496899,0.544254,-0.068677,0.450636,0.516592,-0.069106,0.453133,0.575824
0.420000,-0.089771,0.496937,0.544086,-0.068812,0.450680,0.516451,-0.069251,0.453187,0.575678
0.430000,-0.089929,0.496978,0.543919,-0.068961,0.450709,0.516308,-0.069379,0.453228,0.575526
0.440000,-0.090074,0.497033,0.543749,-0.069093,0.450735,0.516155,-0.069513,0.453291,0.575363
0.450000,-0.090244,0.497083,0.543591,-0.069247,0.450753,0.516006,-0.069663,0.453381,0.575191
0.460000,-0.090421,0.497111,0.543413,-0.069391,0.450796,0.515849,-0.069784,0.453442,0.575038
0.470000,-0.090601,0.497154,0.543250,-0.069563,0.450837,0.515707,-0.069913,0.453511,0.574894
0.480000,-0.090760,0.497200,0.543117,-0.069709,0.450890,0.515568,-0.070049,0.453588,0.574755
0.490000,-0.090931,0.497234,0.542978,-0.069860,0.450952,0.515437,-0.070178,0.453636,0.574632
0.500000,-0.091086,0.497287,0.542871,-0.069995,0.450993,0.515336,-0.070314,0.453707,0.574499
0.510000,-0.091231,0.497350,0.542779,-0.070148,0.451051,0.515242,-0.070431,0.453750,0.574409
0.520000,-0.091365,0.497408,0.542703,-0.070293,0.451086,0.515165,-0.070566,0.453797,0.574324
0.530000,-0.091499,0.497475,0.542628,-0.070434,0.451146,0.515101,-0.070693,0.453862,0.574256
0.540000,-0.091608,0.497519,0.542586,-0.070545,0.451175,0.515051,-0.070801,0.453888,0.574201
