Time,org_x,org_y,org_z,xvec_x,xvec_y,xvec_z,zvec_x,zvec_y,zvec_z
0.000000,0.593064,0.088969,0.413366,0.546973,0.084811,0.378423,0.601297,0.087276,0.356929
0.010000,0.593035,0.088925,0.413361,0.546929,0.084796,0.378421,0.601270,0.087237,0.356912
0.020000,0.593022,0.088884,0.413354,0.546913,0.084780,0.378414,0.601247,0.087207,0.356920
0.030000,0.592995,0.088862,0.413347,0.546883,0.084725,0.378410,0.601234,0.087167,0.356895
0.040000,0.592980,0.088821,0.413352,0.546874,0.084702,0.378401,0.601196,0.087138,0.356877
0.050000,0.592973,0.088797,0.413328,0.546862,0.084685,0.378392,0.601185,0.087093,0.356867
0.060000,0.592961,0.088773,0.413338,0.546860,0.084676,0.378384,0.601171,0.087048,0.356860
0.070000,0.592957,0.088747,0.413324,0.546857,0.084641,0.378369,0.601167,0.087017,0.356851
0.080000,0.592946,0.088736,0.413310,0.546849,0.084636,0.378356,0.601158,0.087008,0.356842
0.090000,0.592928,0.088714,0.413305,0.546827,0.084624,0.378353,0.601143,0.086977,0.356827
0.100000,0.592909,0.088702,0.413278,0.546813,0.084586,0.378327,0.601125,0.086947,0.356810
0.110000,0.592894,0.088693,0.413275,0.546796,0.084590,0.378319,0.601114,0.086943,0.356795
0.120000,0.592873,0.088649,0.413237,0.546776,0.084554,0.378284,0.601101,0.086926,0.356777
0.130000,0.592857,0.088635,0.413218,0.546754,0.084554,0.378278,0.601080,0.086898,0.356753
0.140000,0.592836,0.088631,0.413202,0.546738,0.084533,0.378274,0.601060,0.086883,0.356745
0.150000,0.592823,0.088629,0.413195,0.546720,0.084534,0.378266,0.601043,0.086873,0.356737
0.160000,0.592804,0.088608,0.413191,0.546700,0.084513,0.378261,0.601028,0.086861,0.356737
0.170000,0.592774,0.088596,0.413192,0.546672,0.084498,0.378275,0.600993,0.086838,0.356724
0.180000,0.592761,0.088575,0.413196,0.546642,0.084480,0.378278,0.600971,0.086817,0.356729
0.190000,0.592741,0.088558,0.413198,0.546622,0.084460,0.378290,0.600951,0.086801,0.356724
0.200000,0.592730,0.088543,0.413203,0.546599,0.084475,0.378301,0.600933,0.086796,0.356731
0.210000,0.592707,0.088528,0.413210,0.546580,0.084457,0.378308,0.600924,0.086770,0.356733
0.220000,0.592687,0.088514,0.413211,0.546576,0.084452,0.378323,0.600914,0.086763,0.356736
