Time,org_x,org_y,org_z,xvec_x,xvec_y,xvec_z,zvec_x,zvec_y,zvec_z
0.000000,-0.224177,0.365811,0.467415,-0.220656,0.317910,0.436012,-0.219262,0.316963,0.495328
0.010000,-0.224211,0.365835,0.467429,-0.220680,0.317938,0.436037,-0.219310,0.317010,0.495357
0.020000,-0.224259,0.365869,0.467437,-0.220720,0.317954,0.436079,-0.219352,0.317051,0.495386
0.030000,-0.224299,0.365907,0.467444,-0.220729,0.317980,0.436114,-0.219405,0.317091,0.495426
0.040000,-0.224339,0.365958,0.467458,-0.220736,0.318000,0.436153,-0.219459,0.317137,0.495456
0.050000,-0.224377,0.365966,0.467485,-0.220741,0.318027,0.436189,-0.219499,0.317179,0.495493
0.060000,-0.224407,0.365994,0.467500,-0.220760,0.318067,0.436227,-0.219566,0.317216,0.495535
0.070000,-0.224443,0.366014,0.467522,-0.220745,0.318052,0.436289,-0.219611,0.317265,0.495573
0.080000,-0.224465,0.366041,0.467534,-0.220751,0.318060,0.436330,-0.219658,0.317294,0.495627
0.090000,-0.224495,0.366058,0.467558,-0.220742,0.318066,0.436363,-0.219699,0.317332,0.495662
0.100000,-0.224520,0.366092,0.467587,-0.220746,0.318102,0.436410,-0.219750,0.317349,0.495705
0.110000,-0.224540,0.366099,0.467605,-0.220719,0.318096,0.436454,-0.219777,0.317378,0.495747
0.120000,-0.224576,0.366103,0.467617,-0.220714,0.318081,0.436492,-0.219816,0.317394,0.495777
0.130000,-0.224587,0.366108,0.467638,-0.220716,0.318077,0.436525,-0.219852,0.317401,0.495805
0.140000,-0.224572,0.366124,0.467657,-0.220723,0.318061,0.436542,-0.219882,0.317412,0.495829
0.150000,-0.224603,0.366105,0.467663,-0.220727,0.318071,0.436563,-0.219919,0.317397,0.495840
0.160000,-0.224592,0.366106,0.467681,-0.220846,0.317656,0.436347,-0.219940,0.317403,0.495845
0.170000,-0.224615,0.366103,0.467648,-0.220715,0.318059,0.436560,-0.219960,0.317387,0.495843
0.180000,-0.224617,0.366101,0.467636,-0.220723,0.318048,0.436542,-0.219972,0.317392,0.495831
0.190000,-0.224635,0.366091,0.467608,-0.220862,0.317641,0.436298,-0.219992,0.317387,0.495805
0.200000,-0.224642,0.366098,0.467569,-0.220749,0.318036,0.436477,-0.219997,0.317392,0.495767
0.210000,-0.224642,0.366110,0.467511,-0.220752,0.318044,0.436422,-0.219994,0.317391,0.495713
0.220000,-0.224648,0.366100,0.467455,-0.220797,0.318042,0.436348,-0.219991,0.317397,0.495654
0.230000,-0.224662,0.366096,0.467373,-0.220812,0.318052,0.436279,-0.219988,0.317391,0.495579
0.240000,-0.224689,0.366079,0.467288,-0.220819,0.318066,0.436190,-0.219983,0.317395,0.495497
0.250000,-0.224709,0.366056,0.467190,-0.220829,0.318083,0.436083,-0.219979,0.317378,0.495396
0.260000,-0.224735,0.366025,0.467040,-0.220852,0.318085,0.435974,-0.219977,0.317394,0.495282
0.270000,-0.224731,0.366074,0.466921,-0.220896,0.318069,0.435836,-0.219969,0.317416,0.495184
0.280000,-0.224741,0.366079,0.466814,-0.220906,0.318116,0.435705,-0.219961,0.317418,0.495073
0.290000,-0.224752,0.366071,0.466680,-0.220931,0.318134,0.435591,-0.219958,0.317431,0.494939
0.300000,-0.224776,0.366084,0.466549,-0.220992,0.318123,0.435458,-0.219959,0.317438,0.494824
0.310000,-0.224783,0.366105,0.466429,-0.221035,0.318090,0.435332,-0.219936,0.317459,0.494701
0.320000,-0.224793,0.366123,0.466300,-0.221064,0.318118,0.435235,-0.219940,0.317445,0.494579
0.330000,-0.224803,0.366121,0.466198,-0.221080,0.318126,0.435143,-0.219936,0.317464,0.494452
0.340000,-0.224811,0.366110,0.466093,-0.221107,0.318124,0.435052,-0.219932,0.317472,0.494335
0.350000,-0.224840,0.366105,0.465997,-0.221132,0.318137,0.434963,-0.219924,0.317492,0.494233
0.360000,-0.224850,0.366100,0.465898,-0.221158,0.318109,0.434886,-0.219918,0.317522,0.494130
0.370000,-0.224856,0.366109,0.465819,-0.221172,0.318132,0.434815,-0.219914,0.317526,0.494037
0.380000,-0.224854,0.366128,0.465727,-0.221178,0.318151,0.434742,-0.219923,0.317529,0.493971
0.390000,-0.224851,0.366131,0.465647,-0.221202,0.318153,0.434676,-0.219920,0.317544,0.493899
0.400000,-0.224856,0.366130,0.465587,-0.221208,0.318151,0.434604,-0.219930,0.317544,0.493842
0.410000,-0.224874,0.366126,0.465521,-0.221225,0.318164,0.434561,-0.219944,0.317546,0.493787
0.420000,-0.224887,0.366123,0.465463,-0.221239,0.318157,0.434504,-0.219948,0.317559,0.493737
0.430000,-0.224892,0.366119,0.465416,-0.221245,0.318164,0.434467,-0.219956,0.317566,0.493694
0.440000,-0.224916,0.366118,0.465351,-0.221257,0.318157,0.434427,-0.219962,0.317565,0.493646
0.450000,-0.224921,0.366108,0.465315,-0.221268,0.318182,0.434391,-0.219979,0.317563,0.493618
0.460000,-0.224930,0.366124,0.465283,-0.221281,0.318172,0.434360,-0.219989,0.317572,0.493591
0.470000,-0.224951,0.366130,0.465244,-0.221287,0.318176,0.434336,-0.219993,0.317592,0.493577
0.480000,-0.224945,0.366148,0.465213,-0.221295,0.318190,0.434314,-0.220013,0.317598,0.493553
0.490000,-0.224974,0.366169,0.465200,-0.221316,0.318190,0.434296,-0.220035,0.317626,0.493540
0.500000,-0.225001,0.366183,0.465181,-0.221327,0.318209,0.434291,-0.220056,0.317666,0.493532
0.510000,-0.225039,0.366220,0.465167,-0.221337,0.318214,0.434287,-0.220089,0.317683,0.493531
0.520000,-0.225070,0.366241,0.465167,-0.221352,0.318242,0.434292,-0.220122,0.317716,0.493537
0.530000,-0.225108,0.366263,0.465172,-0.221363,0.318263,0.434306,-0.220144,0.317747,0.493538
0.540000,-0.225150,0.366285,0.465186,-0.221387,0.318287,0.434317,-0.220189,0.317783,0.493554
0.550000,-0.225206,0.366306,0.465219,-0.221401,0.318326,0.434334,-0.220230,0.317814,0.493570
0.560000,-0.225258,0.366325,0.465234,-0.221419,0.318356,0.434346,-0.220274,0.317865,0.493581
0.570000,-0.225305,0.366386,0.465244,-0.221445,0.318387,0.434374,-0.220315,0.317883,0.493606
0.580000,-0.225359,0.366398,0.465275,-0.221462,0.318426,0.434404,-0.220361,0.317906,0.493626
0.590000,-0.225412,0.366442,0.465304,-0.221492,0.318459,0.434427,-0.220403,0.317951,0.493654
0.600000,-0.225463,0.366460,0.465334,-0.221525,0.318504,0.434466,-0.220437,0.317978,0.493681
0.610000,-0.225509,0.366527,0.465376,-0.221587,0.318530,0.434511,-0.220482,0.318021,0.493710
0.620000,-0.225572,0.366570,0.465418,-0.221634,0.318564,0.434556,-0.220524,0.318050,0.493742
0.630000,-0.225634,0.366604,0.465450,-0.221671,0.318615,0.434587,-0.220555,0.318093,0.493776
0.640000,-0.225682,0.366634,0.465502,-0.221734,0.318617,0.434640,-0.220623,0.318095,0.493815
