Time,org_x,org_y,org_z,xvec_x,xvec_y,xvec_z,zvec_x,zvec_y,zvec_z
0.000000,-0.207096,0.355722,0.468548,-0.209021,0.308025,0.436187,-0.207444,0.306546,0.495866
0.010000,-0.207074,0.355701,0.468594,-0.209001,0.308003,0.436216,-0.207435,0.306521,0.495900
0.020000,-0.207058,0.355683,0.468624,-0.208996,0.307983,0.436247,-0.207424,0.306500,0.495926
0.030000,-0.207042,0.355643,0.468653,-0.208837,0.308398,0.436488,-0.207419,0.306467,0.495954
0.040000,-0.207027,0.355638,0.468683,-0.208828,0.308376,0.436506,-0.207405,0.306457,0.495981
0.050000,-0.207015,0.355613,0.468711,-0.208815,0.308374,0.436543,-0.207397,0.306438,0.496016
0.060000,-0.207007,0.355604,0.468730,-0.208805,0.308365,0.436563,-0.207401,0.306417,0.496026
0.070000,-0.206990,0.355600,0.468754,-0.208798,0.308353,0.436590,-0.207397,0.306365,0.496060
0.080000,-0.206994,0.355604,0.468780,-0.208787,0.308366,0.436602,-0.207390,0.306406,0.496068
0.090000,-0.206993,0.355602,0.468798,-0.208790,0.308360,0.436625,-0.207391,0.306411,0.496089
0.100000,-0.206996,0.355615,0.468816,-0.208782,0.308379,0.436638,-0.207407,0.306388,0.496120
0.110000,-0.206997,0.355616,0.468840,-0.208781,0.308392,0.436656,-0.207408,0.306397,0.496128
0.120000,-0.207012,0.355630,0.468848,-0.208780,0.308403,0.436668,-0.207395,0.306453,0.496136
0.130000,-0.207018,0.355646,0.468859,-0.208794,0.308405,0.436680,-0.207406,0.306462,0.496151
0.140000,-0.207029,0.355658,0.468872,-0.208790,0.308424,0.436702,-0.207415,0.306474,0.496161
0.150000,-0.207030,0.355706,0.468923,-0.208799,0.308446,0.436705,-0.207416,0.306491,0.496170
0.160000,-0.207032,0.355719,0.468930,-0.208963,0.308059,0.436517,-0.207417,0.306514,0.496182
0.170000,-0.207037,0.355747,0.468949,-0.208822,0.308509,0.436746,-0.207420,0.306535,0.496193
0.180000,-0.207059,0.355753,0.468971,-0.208972,0.308106,0.436546,-0.207419,0.306556,0.496215
0.190000,-0.207074,0.355777,0.468995,-0.208969,0.308125,0.436549,-0.207417,0.306582,0.496238
0.200000,-0.207061,0.355782,0.469003,-0.208981,0.308134,0.436563,-0.207431,0.306575,0.496240
0.210000,-0.207075,0.355793,0.469035,-0.208976,0.308141,0.436583,-0.207421,0.306596,0.496262
0.220000,-0.207064,0.355787,0.469045,-0.208847,0.308554,0.436813,-0.207433,0.306584,0.496278
0.230000,-0.207078,0.355788,0.469066,-0.208983,0.308120,0.436615,-0.207439,0.306552,0.496294
0.240000,-0.207072,0.355767,0.469086,-0.208851,0.308524,0.436842,-0.207457,0.306513,0.496330
0.250000,-0.207072,0.355753,0.469094,-0.208863,0.308505,0.436864,-0.207464,0.306504,0.496348
0.260000,-0.207074,0.355739,0.469118,-0.208858,0.308491,0.436876,-0.207470,0.306474,0.496364
0.270000,-0.207068,0.355718,0.469127,-0.208869,0.308482,0.436895,-0.207477,0.306452,0.496377
0.280000,-0.207069,0.355714,0.469150,-0.208860,0.308480,0.436911,-0.207473,0.306452,0.496396
0.290000,-0.207070,0.355696,0.469164,-0.208874,0.308457,0.436927,-0.207489,0.306429,0.496413
0.300000,-0.207071,0.355682,0.469178,-0.208874,0.308443,0.436938,-0.207504,0.306406,0.496424
0.310000,-0.207077,0.355673,0.469190,-0.208891,0.308426,0.436954,-0.207503,0.306411,0.496444
0.320000,-0.207077,0.355667,0.469201,-0.208905,0.308419,0.436964,-0.207507,0.306391,0.496462
0.330000,-0.207077,0.355673,0.469216,-0.208917,0.308421,0.436973,-0.207520,0.306389,0.496474
0.340000,-0.207100,0.355664,0.469234,-0.208922,0.308426,0.436992,-0.207532,0.306396,0.496483
0.350000,-0.207099,0.355675,0.469240,-0.208937,0.308434,0.436999,-0.207544,0.306404,0.496486
0.360000,-0.207116,0.355687,0.469254,-0.208945,0.308438,0.437009,-0.207552,0.306404,0.496505
0.370000,-0.207126,0.355692,0.469264,-0.208958,0.308442,0.437024,-0.207563,0.306415,0.496510
0.380000,-0.207138,0.355700,0.469283,-0.208965,0.308452,0.437029,-0.207566,0.306421,0.496520
0.390000,-0.207140,0.355713,0.469287,-0.208975,0.308463,0.437024,-0.207570,0.306429,0.496532
0.400000,-0.207154,0.355726,0.469293,-0.208983,0.308477,0.437041,-0.207575,0.306447,0.496540
0.410000,-0.207158,0.355733,0.469307,-0.208974,0.308489,0.437043,-0.207581,0.306454,0.496538
0.420000,-0.207160,0.355751,0.469306,-0.208980,0.308484,0.437050,-0.207570,0.306469,0.496551
0.430000,-0.207151,0.355782,0.469347,-0.208956,0.308520,0.437062,-0.207571,0.306477,0.496553
0.440000,-0.207149,0.355788,0.469354,-0.208953,0.308530,0.437070,-0.207560,0.306479,0.496560
0.450000,-0.207130,0.355786,0.469362,-0.208926,0.308528,0.437074,-0.207547,0.306475,0.496567
0.460000,-0.207106,0.355799,0.469362,-0.208898,0.308536,0.437072,-0.207526,0.306479,0.496565
0.470000,-0.207084,0.355772,0.469359,-0.208875,0.308538,0.437077,-0.207497,0.306462,0.496567
0.480000,-0.207057,0.355766,0.469356,-0.208855,0.308500,0.437079,-0.207482,0.306441,0.496569
0.490000,-0.207017,0.355738,0.469352,-0.208823,0.308490,0.437075,-0.207453,0.306429,0.496571
0.500000,-0.206990,0.355691,0.469328,-0.208806,0.308454,0.437073,-0.207423,0.306401,0.496570
0.510000,-0.206943,0.355655,0.469323,-0.208764,0.308412,0.437073,-0.207391,0.306370,0.496568
0.520000,-0.206893,0.355615,0.469316,-0.208729,0.308371,0.437080,-0.207360,0.306331,0.496564
0.530000,-0.206844,0.355595,0.469318,-0.208693,0.308361,0.437076,-0.207317,0.306300,0.496562
0.540000,-0.206802,0.355567,0.469313,-0.208651,0.308332,0.437071,-0.207782,0.305682,0.496261
0.550000,-0.206770,0.355547,0.469321,-0.208607,0.308297,0.437054,-0.207726,0.305648,0.496261
0.560000,-0.206711,0.355545,0.469325,-0.208579,0.308251,0.437050,-0.207698,0.305610,0.496256
0.570000,-0.206641,0.355487,0.469315,-0.208548,0.308229,0.437050,-0.207657,0.305579,0.496255
0.580000,-0.206607,0.355468,0.469311,-0.208520,0.308188,0.437048,-0.207631,0.305549,0.496248
0.590000,-0.206548,0.355441,0.469330,-0.208493,0.308167,0.437053,-0.207603,0.305517,0.496249
0.600000,-0.206510,0.355418,0.469312,-0.208468,0.308127,0.437050,-0.207574,0.305495,0.496246
