Time,org_x,org_y,org_z,xvec_x,xvec_y,xvec_z,zvec_x,zvec_y,zvec_z
0.000000,-0.215980,0.362518,0.451194,-0.218663,0.312563,0.422528,-0.215182,0.315639,0.482136
0.010000,-0.216028,0.362544,0.451180,-0.218704,0.312595,0.422528,-0.215229,0.315662,0.482141
0.020000,-0.216076,0.362599,0.451174,-0.218741,0.312638,0.422533,-0.215262,0.315733,0.482143
0.030000,-0.216138,0.362678,0.451176,-0.218776,0.312700,0.422549,-0.215295,0.315805,0.482162
0.040000,-0.216198,0.362782,0.451190,-0.218799,0.312769,0.422576,-0.215321,0.315894,0.482192
0.050000,-0.216239,0.362881,0.451223,-0.218828,0.312865,0.422611,-0.215332,0.315982,0.482223
0.060000,-0.216272,0.362972,0.451284,-0.218829,0.312962,0.422662,-0.215341,0.316063,0.482280
0.070000,-0.216299,0.363054,0.451347,-0.218825,0.313024,0.422715,-0.215335,0.316157,0.482352
0.080000,-0.216332,0.363156,0.451441,-0.218804,0.313105,0.422775,-0.215320,0.316244,0.482448
0.090000,-0.216339,0.363203,0.451531,-0.218790,0.313150,0.422841,-0.215317,0.316294,0.482533
0.100000,-0.216333,0.363232,0.451607,-0.218755,0.313185,0.422920,-0.215301,0.316320,0.482622
0.110000,-0.216308,0.363232,0.451681,-0.218719,0.313204,0.422995,-0.215291,0.316340,0.482716
0.120000,-0.216281,0.363207,0.451797,-0.218672,0.313214,0.423079,-0.215274,0.316330,0.482789
0.130000,-0.216249,0.363185,0.451875,-0.218643,0.313197,0.423151,-0.215254,0.316305,0.482862
0.140000,-0.216220,0.363171,0.451936,-0.218601,0.313189,0.423209,-0.215237,0.316291,0.482929
0.150000,-0.216181,0.363147,0.451994,-0.218570,0.313168,0.423269,-0.215219,0.316283,0.482988
0.160000,-0.216168,0.363106,0.452061,-0.218537,0.313171,0.423318,-0.215202,0.316271,0.483043
0.170000,-0.216133,0.363102,0.452137,-0.218512,0.313153,0.423363,-0.215194,0.316262,0.483094
0.180000,-0.216118,0.363106,0.452152,-0.218508,0.313152,0.423393,-0.215185,0.316262,0.483120
0.190000,-0.216115,0.363115,0.452179,-0.218499,0.313160,0.423422,-0.215167,0.316272,0.483143
0.200000,-0.216118,0.363140,0.452191,-0.218503,0.313169,0.423444,-0.215164,0.316311,0.483166
0.210000,-0.216130,0.363163,0.452203,-0.218513,0.313192,0.423457,-0.215172,0.316321,0.483171
0.220000,-0.216149,0.363188,0.452211,-0.218532,0.313223,0.423472,-0.215177,0.316347,0.483190
0.230000,-0.216173,0.363206,0.452222,-0.218559,0.313251,0.423484,-0.215191,0.316374,0.483193
0.240000,-0.216217,0.363249,0.452233,-0.218591,0.313281,0.423490,-0.215214,0.316406,0.483204
0.250000,-0.216277,0.363279,0.452246,-0.218633,0.313316,0.423505,-0.215239,0.316422,0.483218
0.260000,-0.216344,0.363300,0.452241,-0.218683,0.313347,0.423529,-0.215276,0.316440,0.483226
0.270000,-0.216398,0.363317,0.452256,-0.218740,0.313351,0.423559,-0.215311,0.316467,0.483256
0.280000,-0.216471,0.363350,0.452304,-0.218783,0.313365,0.423588,-0.215348,0.316469,0.483272
0.290000,-0.216527,0.363363,0.452336,-0.218832,0.313371,0.423628,-0.215407,0.316476,0.483313
0.300000,-0.216585,0.363355,0.452390,-0.218915,0.313341,0.423671,-0.215461,0.316465,0.483351
0.310000,-0.216655,0.363389,0.452433,-0.218963,0.313357,0.423721,-0.215519,0.316459,0.483396
0.320000,-0.216696,0.363420,0.452515,-0.219003,0.313368,0.423771,-0.215566,0.316480,0.483437
0.330000,-0.216755,0.363435,0.452566,-0.219046,0.313397,0.423814,-0.215618,0.316491,0.483485
0.340000,-0.216823,0.363470,0.452624,-0.219089,0.313417,0.423885,-0.215672,0.316501,0.483527
0.350000,-0.216861,0.363508,0.452688,-0.219120,0.313461,0.423934,-0.215728,0.316538,0.483567
0.360000,-0.216917,0.363559,0.452714,-0.219150,0.313501,0.423973,-0.215782,0.316559,0.483602
0.370000,-0.216969,0.363594,0.452748,-0.219186,0.313536,0.424005,-0.215824,0.316589,0.483637
0.380000,-0.217014,0.363635,0.452770,-0.219239,0.313582,0.424050,-0.215876,0.316631,0.483662
0.390000,-0.217048,0.363665,0.452787,-0.219277,0.313616,0.424074,-0.215931,0.316660,0.483667
0.400000,-0.217086,0.363715,0.452777,-0.219302,0.313632,0.424076,-0.215966,0.316691,0.483678
0.410000,-0.217123,0.363714,0.452777,-0.219319,0.313662,0.424067,-0.215998,0.316723,0.483666
0.420000,-0.217131,0.363735,0.452751,-0.219342,0.313664,0.424054,-0.216025,0.316729,0.483647
0.430000,-0.217140,0.363731,0.452725,-0.219358,0.313658,0.424020,-0.216043,0.316728,0.483627
0.440000,-0.217138,0.363726,0.452675,-0.219391,0.313625,0.423976,-0.216057,0.316718,0.483592
0.450000,-0.217144,0.363694,0.452642,-0.219395,0.313615,0.423922,-0.216062,0.316698,0.483552
0.460000,-0.217123,0.363666,0.452590,-0.219404,0.313593,0.423858,-0.216060,0.316664,0.483514
0.470000,-0.217107,0.363633,0.452549,-0.219422,0.313545,0.423812,-0.216058,0.316636,0.483473
0.480000,-0.217093,0.363596,0.452513,-0.219429,0.313514,0.423769,-0.216050,0.316599,0.483436
0.490000,-0.217088,0.363540,0.452449,-0.219439,0.313488,0.423727,-0.216037,0.316558,0.483400
0.500000,-0.217069,0.363499,0.452418,-0.219438,0.313428,0.423685,-0.216028,0.316524,0.483364
0.510000,-0.217046,0.363468,0.452394,-0.219431,0.313414,0.423651,-0.216022,0.316490,0.483336
0.520000,-0.217030,0.363428,0.452373,-0.219423,0.313364,0.423625,-0.216006,0.316454,0.483312
0.530000,-0.217002,0.363397,0.452357,-0.219421,0.313342,0.423611,-0.215986,0.316422,0.483297
0.540000,-0.216975,0.363369,0.452348,-0.219405,0.313309,0.423600,-0.215974,0.316394,0.483284
0.550000,-0.216944,0.363340,0.452338,-0.219383,0.313278,0.423578,-0.215948,0.316363,0.483282
0.560000,-0.216898,0.363294,0.452329,-0.219362,0.313260,0.423581,-0.215934,0.316328,0.483277
0.570000,-0.216868,0.363269,0.452326,-0.219337,0.313243,0.423577,-0.215905,0.316323,0.483273
0.580000,-0.216837,0.363241,0.452343,-0.219305,0.313224,0.423576,-0.215886,0.316301,0.483282
0.590000,-0.216808,0.363232,0.452356,-0.219289,0.313199,0.423591,-0.215854,0.316289,0.483297
0.600000,-0.216776,0.363223,0.452372,-0.219257,0.313212,0.423599,-0.215829,0.316273,0.483306
0.610000,-0.216741,0.363205,0.452398,-0.219233,0.313213,0.423622,-0.215809,0.316268,0.483326
