Time,org_x,org_y,org_z,xvec_x,xvec_y,xvec_z,zvec_x,zvec_y,zvec_z
0.000000,-0.295114,0.397197,0.650495,-0.276950,0.352929,0.621005,-0.269230,0.356429,0.678938
0.010000,-0.295137,0.397216,0.650466,-0.276973,0.352918,0.620990,-0.269227,0.356456,0.678919
0.020000,-0.295152,0.397213,0.650434,-0.276988,0.352917,0.620960,-0.269247,0.356453,0.678885
0.030000,-0.295170,0.397214,0.650397,-0.276965,0.352930,0.620912,-0.269241,0.356474,0.678850
0.040000,-0.295189,0.397207,0.650341,-0.277018,0.352908,0.620896,-0.269257,0.356467,0.678814
0.050000,-0.295209,0.397207,0.650283,-0.277025,0.352921,0.620842,-0.269238,0.356509,0.678736
0.060000,-0.295267,0.397178,0.650226,-0.277046,0.352944,0.620761,-0.269261,0.356530,0.678684
0.070000,-0.295284,0.397192,0.650176,-0.277089,0.352947,0.620724,-0.269274,0.356532,0.678638
0.080000,-0.295308,0.397183,0.650126,-0.277118,0.352933,0.620691,-0.269300,0.356534,0.678604
0.090000,-0.295345,0.397182,0.650084,-0.277142,0.352951,0.620664,-0.269305,0.356554,0.678568
0.100000,-0.295382,0.397188,0.650051,-0.277174,0.352957,0.620626,-0.269326,0.356573,0.678537
0.110000,-0.295409,0.397190,0.650022,-0.277204,0.352958,0.620613,-0.269367,0.356583,0.678506
0.120000,-0.295440,0.397186,0.650012,-0.277243,0.352945,0.620601,-0.269378,0.356617,0.678501
0.130000,-0.295475,0.397200,0.650005,-0.277301,0.352957,0.620612,-0.269411,0.356616,0.678494
0.140000,-0.295505,0.397206,0.650023,-0.277327,0.352966,0.620617,-0.269420,0.356648,0.678505
0.150000,-0.295536,0.397218,0.650044,-0.277330,0.352997,0.620644,-0.269444,0.356657,0.678527
0.160000,-0.295551,0.397234,0.650092,-0.277347,0.353017,0.620679,-0.269471,0.356646,0.678563
0.170000,-0.295576,0.397245,0.650139,-0.277370,0.353033,0.620718,-0.269497,0.356709,0.678618
0.180000,-0.295597,0.397263,0.650210,-0.277382,0.353053,0.620769,-0.269514,0.356714,0.678671
0.190000,-0.295608,0.397279,0.650278,-0.277400,0.353075,0.620824,-0.269540,0.356656,0.678752
0.200000,-0.295610,0.397290,0.650357,-0.277424,0.353070,0.620882,-0.269552,0.356646,0.678819
