Time,org_x,org_y,org_z,xvec_x,xvec_y,xvec_z,zvec_x,zvec_y,zvec_z
0.000000,-0.293512,0.395926,0.662761,-0.274517,0.353742,0.630656,-0.266665,0.354687,0.688151
0.010000,-0.293489,0.395922,0.662796,-0.274501,0.353733,0.630686,-0.266742,0.354509,0.688221
0.020000,-0.293459,0.395910,0.662839,-0.274483,0.353714,0.630723,-0.267058,0.353890,0.688515
0.030000,-0.293439,0.395907,0.662879,-0.274453,0.353737,0.630756,-0.266695,0.354498,0.688280
0.040000,-0.293404,0.395917,0.662927,-0.274453,0.353724,0.630790,-0.267005,0.353876,0.688590
0.050000,-0.293382,0.395927,0.662980,-0.274413,0.353743,0.630844,-0.266980,0.353863,0.688646
0.060000,-0.293352,0.395927,0.663039,-0.274397,0.353753,0.630877,-0.266566,0.354492,0.688436
0.070000,-0.293333,0.395941,0.663089,-0.274369,0.353780,0.630929,-0.266551,0.354495,0.688480
0.080000,-0.293307,0.395951,0.663150,-0.274342,0.353777,0.630979,-0.266549,0.354483,0.688534
0.090000,-0.293297,0.395958,0.663196,-0.274329,0.353783,0.631009,-0.266528,0.354489,0.688574
0.100000,-0.293272,0.395955,0.663244,-0.274295,0.353794,0.631050,-0.266805,0.353971,0.688909
0.110000,-0.293265,0.395963,0.663286,-0.274268,0.353795,0.631088,-0.266808,0.353955,0.688943
0.120000,-0.293244,0.395963,0.663328,-0.274259,0.353800,0.631130,-0.266429,0.354560,0.688734
0.130000,-0.293223,0.395956,0.663367,-0.274229,0.353803,0.631161,-0.266299,0.354219,0.689270
0.140000,-0.293202,0.395959,0.663399,-0.274220,0.353792,0.631180,-0.266286,0.354207,0.689310
0.150000,-0.293187,0.395964,0.663426,-0.274206,0.353767,0.631207,-0.266292,0.354185,0.689332
0.160000,-0.293174,0.395950,0.663438,-0.274203,0.353751,0.631230,-0.266276,0.354192,0.689352
0.170000,-0.293169,0.395938,0.663458,-0.274167,0.353778,0.631247,-0.266270,0.354177,0.689371
0.180000,-0.293166,0.395932,0.663464,-0.274149,0.353769,0.631258,-0.266265,0.354180,0.689379
0.190000,-0.293156,0.395928,0.663475,-0.274153,0.353759,0.631262,-0.266262,0.354164,0.689384
0.200000,-0.293148,0.395925,0.663470,-0.274149,0.353756,0.631273,-0.266255,0.354167,0.689386
0.210000,-0.293145,0.395920,0.663481,-0.274148,0.353746,0.631255,-0.266250,0.354148,0.689383
0.220000,-0.293137,0.395922,0.663485,-0.274144,0.353744,0.631258,-0.266244,0.354156,0.689386
0.230000,-0.293134,0.395925,0.663484,-0.274137,0.353755,0.631260,-0.266229,0.354148,0.689381
0.240000,-0.293124,0.395920,0.663483,-0.274140,0.353750,0.631258,-0.266225,0.354143,0.689373
0.250000,-0.293110,0.395912,0.663475,-0.274140,0.353732,0.631246,-0.266226,0.354140,0.689369
0.260000,-0.293101,0.395907,0.663469,-0.274136,0.353718,0.631232,-0.266210,0.354126,0.689357
0.270000,-0.293078,0.395892,0.663443,-0.274106,0.353723,0.631222,-0.266201,0.354116,0.689335
0.280000,-0.293072,0.395882,0.663420,-0.274116,0.353704,0.631204,-0.266180,0.354098,0.689317
0.290000,-0.293060,0.395865,0.663400,-0.274116,0.353691,0.631190,-0.266178,0.354082,0.689299
0.300000,-0.293042,0.395852,0.663381,-0.274089,0.353667,0.631175,-0.266161,0.354075,0.689278
0.310000,-0.293016,0.395838,0.663359,-0.274070,0.353659,0.631158,-0.266136,0.354064,0.689267
0.320000,-0.293000,0.395820,0.663332,-0.274047,0.353654,0.631130,-0.266115,0.354050,0.689238
0.330000,-0.292938,0.395834,0.663295,-0.274017,0.353629,0.631103,-0.266096,0.354026,0.689215
0.340000,-0.292907,0.395813,0.663249,-0.274032,0.353558,0.631056,-0.266077,0.354006,0.689176
0.350000,-0.292870,0.395800,0.663205,-0.274019,0.353517,0.631019,-0.266556,0.353650,0.688860
0.360000,-0.292833,0.395782,0.663154,-0.273998,0.353496,0.630984,-0.266535,0.353632,0.688813
0.370000,-0.292810,0.395752,0.663096,-0.273955,0.353484,0.630940,-0.266498,0.353619,0.688773
0.380000,-0.292756,0.395733,0.663037,-0.273926,0.353458,0.630897,-0.266455,0.353606,0.688715
0.390000,-0.292713,0.395714,0.662988,-0.273902,0.353420,0.630849,-0.266417,0.353572,0.688670
0.400000,-0.292661,0.395700,0.662931,-0.273855,0.353399,0.630796,-0.266370,0.353541,0.688609
0.410000,-0.292611,0.395685,0.662871,-0.273821,0.353369,0.630759,-0.266292,0.353533,0.688539
0.420000,-0.292573,0.395650,0.662823,-0.273770,0.353345,0.630696,-0.266235,0.353514,0.688491
0.430000,-0.292508,0.395636,0.662764,-0.273731,0.353297,0.630646,-0.266208,0.353459,0.688428
0.440000,-0.292449,0.395614,0.662713,-0.273727,0.353213,0.630555,-0.266172,0.353439,0.688375
