Time,org_x,org_y,org_z,xvec_x,xvec_y,xvec_z,zvec_x,zvec_y,zvec_z
0.000000,-0.304927,0.383539,0.627033,-0.304401,0.329029,0.607804,-0.296999,0.342858,0.665193
0.010000,-0.305405,0.383700,0.626920,-0.304605,0.329239,0.607766,-0.297289,0.343183,0.665141
0.020000,-0.305851,0.383884,0.626840,-0.304812,0.329405,0.607783,-0.297584,0.343482,0.665144
0.030000,-0.306247,0.384046,0.626813,-0.305022,0.329560,0.607823,-0.297874,0.343772,0.665153
0.040000,-0.306583,0.384243,0.626823,-0.305193,0.329719,0.607903,-0.298144,0.344033,0.665201
0.050000,-0.306954,0.384432,0.626872,-0.305379,0.329883,0.607996,-0.298446,0.344261,0.665289
0.060000,-0.307315,0.384616,0.626952,-0.305550,0.330099,0.608105,-0.298665,0.344473,0.665374
0.070000,-0.307661,0.384786,0.627058,-0.305682,0.330289,0.608235,-0.298883,0.344671,0.665498
0.080000,-0.307959,0.384915,0.627189,-0.305838,0.330414,0.608412,-0.299072,0.344832,0.665656
0.090000,-0.308223,0.385022,0.627426,-0.305982,0.330491,0.608599,-0.299245,0.344979,0.665843
0.100000,-0.308363,0.385125,0.627670,-0.306091,0.330591,0.608832,-0.299392,0.345056,0.666088
0.110000,-0.308464,0.385227,0.627988,-0.306168,0.330651,0.609103,-0.299562,0.345034,0.666395
0.120000,-0.308502,0.385272,0.628355,-0.306227,0.330720,0.609413,-0.299661,0.345026,0.666715
0.130000,-0.308543,0.385262,0.628712,-0.306271,0.330746,0.609745,-0.299820,0.344990,0.667095
0.140000,-0.308613,0.385221,0.629106,-0.306283,0.330780,0.610110,-0.299899,0.344946,0.667483
0.150000,-0.308655,0.385154,0.629550,-0.306309,0.330808,0.610503,-0.299988,0.344903,0.667883
0.160000,-0.308641,0.385178,0.630073,-0.306337,0.330839,0.610893,-0.300097,0.344852,0.668321
0.170000,-0.308596,0.385289,0.630640,-0.306358,0.330854,0.611280,-0.300254,0.344702,0.668754
0.180000,-0.308624,0.385319,0.631103,-0.306391,0.330930,0.611694,-0.300359,0.344644,0.669198
