Time,org_x,org_y,org_z,xvec_x,xvec_y,xvec_z,zvec_x,zvec_y,zvec_z
0.000000,-0.315136,0.392825,0.654209,-0.308250,0.340218,0.631667,-0.308582,0.349739,0.689883
0.010000,-0.315128,0.392832,0.654222,-0.308221,0.340243,0.631687,-0.308581,0.349752,0.689895
0.020000,-0.315132,0.392817,0.654229,-0.308194,0.340273,0.631696,-0.308581,0.349736,0.689898
0.030000,-0.315131,0.392820,0.654237,-0.308205,0.340261,0.631701,-0.308582,0.349747,0.689919
0.040000,-0.315140,0.392815,0.654239,-0.308207,0.340239,0.631698,-0.308585,0.349747,0.689924
0.050000,-0.315136,0.392825,0.654240,-0.308191,0.340239,0.631718,-0.308579,0.349752,0.689924
0.060000,-0.315135,0.392818,0.654238,-0.308212,0.340216,0.631715,-0.308576,0.349737,0.689929
0.070000,-0.315124,0.392816,0.654239,-0.308204,0.340239,0.631716,-0.308573,0.349752,0.689930
0.080000,-0.315122,0.392807,0.654235,-0.308189,0.340215,0.631704,-0.308568,0.349751,0.689927
0.090000,-0.315122,0.392811,0.654231,-0.308199,0.340215,0.631710,-0.308571,0.349747,0.689923
0.100000,-0.315125,0.392806,0.654220,-0.308181,0.340218,0.631710,-0.308578,0.349735,0.689915
0.110000,-0.315114,0.392804,0.654223,-0.308197,0.340235,0.631699,-0.308572,0.349735,0.689906
0.120000,-0.315118,0.392815,0.654219,-0.308200,0.340209,0.631696,-0.308564,0.349747,0.689907
0.130000,-0.315128,0.392810,0.654212,-0.308194,0.340203,0.631692,-0.308567,0.349765,0.689901
0.140000,-0.315114,0.392829,0.654214,-0.308178,0.340236,0.631691,-0.308572,0.349761,0.689908
0.150000,-0.315130,0.392820,0.654216,-0.308198,0.340220,0.631693,-0.308574,0.349768,0.689905
0.160000,-0.315127,0.392820,0.654213,-0.308179,0.340239,0.631694,-0.308568,0.349771,0.689909
0.170000,-0.315120,0.392826,0.654213,-0.308204,0.340204,0.631700,-0.308566,0.349760,0.689906
0.180000,-0.315116,0.392828,0.654221,-0.308185,0.340220,0.631699,-0.308562,0.349760,0.689910
0.190000,-0.315101,0.392814,0.654213,-0.308175,0.340209,0.631706,-0.308559,0.349761,0.689912
0.200000,-0.315102,0.392802,0.654210,-0.308162,0.340223,0.631706,-0.308554,0.349755,0.689912
0.210000,-0.315093,0.392808,0.654210,-0.308166,0.340197,0.631701,-0.308542,0.349762,0.689916
0.220000,-0.315080,0.392807,0.654215,-0.308142,0.340210,0.631702,-0.308541,0.349758,0.689921
0.230000,-0.315080,0.392808,0.654211,-0.308156,0.340198,0.631712,-0.308526,0.349760,0.689928
0.240000,-0.315057,0.392806,0.654215,-0.308140,0.340191,0.631711,-0.308530,0.349760,0.689921
0.250000,-0.315054,0.392801,0.654211,-0.308127,0.340182,0.631712,-0.308523,0.349750,0.689920
0.260000,-0.315048,0.392778,0.654204,-0.308102,0.340176,0.631702,-0.308506,0.349750,0.689915
0.270000,-0.315030,0.392777,0.654204,-0.308098,0.340167,0.631707,-0.308499,0.349722,0.689912
0.280000,-0.315016,0.392787,0.654210,-0.308101,0.340158,0.631712,-0.308493,0.349732,0.689921
0.290000,-0.315025,0.392776,0.654216,-0.308086,0.340185,0.631722,-0.308483,0.349745,0.689943
0.300000,-0.315008,0.392795,0.654238,-0.308091,0.340198,0.631732,-0.308473,0.349749,0.689949
0.310000,-0.315017,0.392800,0.654261,-0.308046,0.340243,0.631749,-0.308469,0.349738,0.689947
0.320000,-0.314996,0.392815,0.654283,-0.308081,0.340210,0.631764,-0.308455,0.349757,0.689974
0.330000,-0.314994,0.392813,0.654300,-0.308055,0.340239,0.631781,-0.308444,0.349764,0.689989
0.340000,-0.314992,0.392815,0.654312,-0.308042,0.340248,0.631791,-0.308440,0.349763,0.690010
0.350000,-0.314982,0.392820,0.654335,-0.308036,0.340253,0.631812,-0.308461,0.349726,0.690026
0.360000,-0.314969,0.392822,0.654350,-0.308064,0.340212,0.631841,-0.308449,0.349725,0.690043
0.370000,-0.314964,0.392811,0.654371,-0.308093,0.340159,0.631852,-0.308429,0.349703,0.690069
0.380000,-0.314963,0.392814,0.654398,-0.308044,0.340203,0.631881,-0.308441,0.349679,0.690078
0.390000,-0.314957,0.392823,0.654420,-0.308056,0.340186,0.631912,-0.308442,0.349676,0.690105
0.400000,-0.314963,0.392820,0.654444,-0.308045,0.340203,0.631913,-0.308455,0.349677,0.690123
0.410000,-0.314968,0.392820,0.654449,-0.308052,0.340203,0.631939,-0.308472,0.349714,0.690129
0.420000,-0.314984,0.392828,0.654457,-0.308039,0.340215,0.631939,-0.308478,0.349724,0.690147
0.430000,-0.314997,0.392830,0.654465,-0.308050,0.340221,0.631942,-0.308497,0.349715,0.690140
0.440000,-0.315008,0.392828,0.654458,-0.308094,0.340219,0.631936,-0.308956,0.349481,0.689926
0.450000,-0.315030,0.392842,0.654469,-0.308070,0.340252,0.631946,-0.308519,0.349737,0.690147
0.460000,-0.315048,0.392849,0.654463,-0.308116,0.340227,0.631947,-0.308971,0.349523,0.689927
0.470000,-0.315065,0.392849,0.654469,-0.308142,0.340235,0.631951,-0.308582,0.349717,0.690169
0.480000,-0.315086,0.392855,0.654457,-0.308123,0.340276,0.631933,-0.308565,0.349767,0.690131
0.490000,-0.315100,0.392864,0.654450,-0.308156,0.340278,0.631926,-0.308610,0.349733,0.690149
0.500000,-0.315112,0.392886,0.654449,-0.308170,0.340279,0.631924,-0.308595,0.349770,0.690124
0.510000,-0.315144,0.392885,0.654436,-0.308188,0.340271,0.631907,-0.308596,0.349800,0.690127
0.520000,-0.315152,0.392894,0.654416,-0.308201,0.340296,0.631896,-0.308618,0.349788,0.690108
0.530000,-0.315173,0.392894,0.654412,-0.308235,0.340280,0.631885,-0.308636,0.349799,0.690099
