Time,org_x,org_y,org_z,xvec_x,xvec_y,xvec_z,zvec_x,zvec_y,zvec_z
0.000000,-0.294711,0.381288,0.645934,-0.291250,0.326457,0.628237,-0.295792,0.341045,0.685350
0.010000,-0.294668,0.381274,0.645865,-0.291214,0.326431,0.628184,-0.295752,0.341060,0.685319
0.020000,-0.294617,0.381259,0.645788,-0.291185,0.326415,0.628150,-0.295731,0.341056,0.685263
0.030000,-0.294588,0.381249,0.645734,-0.291156,0.326390,0.628104,-0.295702,0.341051,0.685220
0.040000,-0.294575,0.381233,0.645682,-0.291156,0.326341,0.628076,-0.295701,0.341043,0.685181
0.050000,-0.294552,0.381224,0.645626,-0.291124,0.326338,0.628043,-0.295687,0.341044,0.685153
0.060000,-0.294535,0.381208,0.645581,-0.291126,0.326291,0.628005,-0.295676,0.341040,0.685112
0.070000,-0.294533,0.381194,0.645541,-0.291136,0.326252,0.627986,-0.295681,0.341031,0.685086
0.080000,-0.294508,0.381200,0.645477,-0.291137,0.326255,0.627963,-0.295681,0.341077,0.685045
0.090000,-0.294516,0.381205,0.645452,-0.291149,0.326232,0.627939,-0.295691,0.341079,0.685020
0.100000,-0.294533,0.381185,0.645411,-0.291168,0.326227,0.627925,-0.295704,0.341096,0.684996
0.110000,-0.294565,0.381195,0.645372,-0.291171,0.326245,0.627915,-0.295735,0.341113,0.684983
0.120000,-0.294590,0.381212,0.645336,-0.291186,0.326249,0.627898,-0.295748,0.341149,0.684967
0.130000,-0.294620,0.381256,0.645315,-0.291192,0.326271,0.627885,-0.295762,0.341201,0.684940
0.140000,-0.294638,0.381306,0.645278,-0.291182,0.326320,0.627864,-0.295792,0.341237,0.684904
0.150000,-0.294673,0.381371,0.645237,-0.291178,0.326377,0.627850,-0.295803,0.341316,0.684898
0.160000,-0.294689,0.381428,0.645194,-0.291161,0.326434,0.627824,-0.295817,0.341439,0.684885
0.170000,-0.294710,0.381473,0.645153,-0.291143,0.326476,0.627798,-0.295825,0.341442,0.684832
0.180000,-0.294704,0.381507,0.645111,-0.291129,0.326535,0.627767,-0.295807,0.341503,0.684803
0.190000,-0.294700,0.381534,0.645053,-0.291108,0.326519,0.627733,-0.295810,0.341525,0.684737
0.200000,-0.294680,0.381548,0.644996,-0.291049,0.326562,0.627673,-0.295795,0.341532,0.684703
0.210000,-0.294647,0.381527,0.644935,-0.291023,0.326537,0.627644,-0.295754,0.341545,0.684665
0.220000,-0.294624,0.381460,0.644855,-0.291016,0.326501,0.627600,-0.295754,0.341507,0.684613
0.230000,-0.294576,0.381424,0.644800,-0.291013,0.326452,0.627560,-0.295724,0.341491,0.684565
0.240000,-0.294545,0.381375,0.644735,-0.291006,0.326389,0.627512,-0.295721,0.341445,0.684499
0.250000,-0.294539,0.381314,0.644670,-0.291043,0.326314,0.627464,-0.295717,0.341405,0.684446
0.260000,-0.294521,0.381275,0.644600,-0.291073,0.326248,0.627412,-0.295730,0.341349,0.684386
0.270000,-0.294538,0.381216,0.644534,-0.291120,0.326201,0.627364,-0.295757,0.341329,0.684321
0.280000,-0.294569,0.381193,0.644479,-0.291170,0.326189,0.627296,-0.295788,0.341317,0.684259
0.290000,-0.294620,0.381211,0.644410,-0.291240,0.326192,0.627230,-0.295836,0.341312,0.684189
0.300000,-0.294679,0.381223,0.644346,-0.291319,0.326198,0.627165,-0.295889,0.341336,0.684120
0.310000,-0.294755,0.381261,0.644273,-0.291408,0.326258,0.627092,-0.295958,0.341351,0.684058
0.320000,-0.294870,0.381266,0.644163,-0.291514,0.326285,0.627006,-0.296044,0.341404,0.683951
0.330000,-0.294975,0.381314,0.644057,-0.291618,0.326301,0.626937,-0.296127,0.341452,0.683869
0.340000,-0.295076,0.381367,0.643958,-0.291721,0.326354,0.626851,-0.296236,0.341528,0.683787
0.350000,-0.295196,0.381451,0.643851,-0.291840,0.326403,0.626784,-0.296336,0.341593,0.683704
0.360000,-0.295338,0.381500,0.643755,-0.291961,0.326449,0.626701,-0.296419,0.341701,0.683622
0.370000,-0.295517,0.381516,0.643638,-0.292078,0.326520,0.626629,-0.296533,0.341788,0.683544
0.380000,-0.295667,0.381577,0.643551,-0.292217,0.326563,0.626559,-0.296645,0.341865,0.683469
0.390000,-0.295824,0.381609,0.643449,-0.292314,0.326615,0.626489,-0.296771,0.341946,0.683395
0.400000,-0.295972,0.381647,0.643333,-0.292415,0.326650,0.626410,-0.296866,0.342035,0.683312
0.410000,-0.296097,0.381694,0.643232,-0.292515,0.326677,0.626333,-0.296965,0.342101,0.683237
0.420000,-0.296208,0.381728,0.643138,-0.292596,0.326686,0.626261,-0.297062,0.342141,0.683148
0.430000,-0.296315,0.381762,0.643033,-0.292715,0.326649,0.626191,-0.297129,0.342226,0.683060
0.440000,-0.296380,0.381780,0.642940,-0.292811,0.326652,0.626117,-0.297200,0.342236,0.682981
0.450000,-0.296500,0.381792,0.642864,-0.292868,0.326654,0.626059,-0.297274,0.342262,0.682905
0.460000,-0.296584,0.381790,0.642785,-0.292918,0.326686,0.625977,-0.297339,0.342285,0.682840
0.470000,-0.296615,0.381860,0.642711,-0.292967,0.326694,0.625923,-0.297369,0.342321,0.682785
0.480000,-0.296667,0.381880,0.642646,-0.293010,0.326708,0.625836,-0.297404,0.342321,0.682706
0.490000,-0.296716,0.381912,0.642564,-0.293023,0.326755,0.625750,-0.297424,0.342335,0.682626
0.500000,-0.296759,0.381950,0.642419,-0.293025,0.326782,0.625647,-0.297430,0.342361,0.682515
0.510000,-0.296752,0.381995,0.642278,-0.293010,0.326818,0.625492,-0.297424,0.342394,0.682377
0.520000,-0.296749,0.382045,0.642137,-0.293001,0.326849,0.625365,-0.297383,0.342439,0.682242
0.530000,-0.296769,0.382069,0.641950,-0.292963,0.326884,0.625232,-0.297324,0.342495,0.682105
0.540000,-0.296745,0.382077,0.641786,-0.292885,0.326946,0.625082,-0.297251,0.342560,0.681953
0.550000,-0.296668,0.382132,0.641614,-0.292784,0.326993,0.624933,-0.297179,0.342617,0.681804
