Time,org_x,org_y,org_z,xvec_x,xvec_y,xvec_z,zvec_x,zvec_y,zvec_z
0.000000,-0.301424,0.383062,0.650334,-0.301761,0.329423,0.627931,-0.299551,0.339546,0.686324
0.010000,-0.301403,0.383056,0.650345,-0.301746,0.329422,0.627934,-0.299540,0.339545,0.686345
0.020000,-0.301388,0.383050,0.650368,-0.301736,0.329416,0.627956,-0.299540,0.339531,0.686362
0.030000,-0.301380,0.383035,0.650382,-0.301731,0.329406,0.627985,-0.299531,0.339532,0.686372
0.040000,-0.301375,0.383039,0.650391,-0.301734,0.329402,0.627991,-0.299525,0.339519,0.686378
0.050000,-0.301362,0.383033,0.650403,-0.301722,0.329403,0.628001,-0.299517,0.339522,0.686396
0.060000,-0.301351,0.383044,0.650413,-0.301718,0.329388,0.628020,-0.299508,0.339504,0.686407
0.070000,-0.301359,0.383031,0.650430,-0.301722,0.329391,0.628025,-0.299500,0.339515,0.686423
0.080000,-0.301348,0.383034,0.650441,-0.301716,0.329389,0.628038,-0.299484,0.339517,0.686450
0.090000,-0.301332,0.383042,0.650468,-0.301706,0.329400,0.628054,-0.299477,0.339513,0.686448
0.100000,-0.301324,0.383045,0.650485,-0.301685,0.329413,0.628077,-0.299467,0.339524,0.686483
0.110000,-0.301334,0.382993,0.650510,-0.301686,0.329410,0.628094,-0.299461,0.339512,0.686501
0.120000,-0.301319,0.382997,0.650542,-0.301675,0.329411,0.628116,-0.299435,0.339527,0.686532
0.130000,-0.301321,0.382975,0.650558,-0.301652,0.329412,0.628150,-0.299438,0.339496,0.686547
0.140000,-0.301299,0.382970,0.650574,-0.301631,0.329413,0.628168,-0.299412,0.339516,0.686571
0.150000,-0.301274,0.382968,0.650607,-0.301621,0.329400,0.628182,-0.299406,0.339493,0.686587
0.160000,-0.301281,0.382954,0.650611,-0.301603,0.329371,0.628214,-0.299403,0.339483,0.686604
0.170000,-0.301242,0.382957,0.650654,-0.301573,0.329376,0.628236,-0.299368,0.339498,0.686634
0.180000,-0.301214,0.382944,0.650674,-0.301551,0.329374,0.628257,-0.299369,0.339473,0.686646
0.190000,-0.301202,0.382936,0.650704,-0.301531,0.329371,0.628280,-0.299333,0.339480,0.686674
0.200000,-0.301188,0.382908,0.650728,-0.301467,0.329412,0.628299,-0.299306,0.339469,0.686694
0.210000,-0.301146,0.382929,0.650739,-0.301424,0.329421,0.628319,-0.299299,0.339458,0.686698
0.220000,-0.301126,0.382911,0.650746,-0.301410,0.329408,0.628310,-0.299269,0.339447,0.686709
0.230000,-0.301091,0.382910,0.650754,-0.301375,0.329391,0.628317,-0.299234,0.339430,0.686709
0.240000,-0.301024,0.382915,0.650757,-0.301342,0.329373,0.628326,-0.299216,0.339408,0.686707
0.250000,-0.300986,0.382899,0.650762,-0.301319,0.329341,0.628336,-0.299168,0.339408,0.686714
0.260000,-0.300949,0.382874,0.650776,-0.301290,0.329312,0.628325,-0.299130,0.339378,0.686717
0.270000,-0.300907,0.382839,0.650774,-0.301262,0.329280,0.628329,-0.299091,0.339336,0.686716
0.280000,-0.300871,0.382804,0.650788,-0.301241,0.329249,0.628333,-0.299059,0.339305,0.686714
0.290000,-0.300823,0.382779,0.650787,-0.301197,0.329207,0.628335,-0.298992,0.339256,0.686723
0.300000,-0.300781,0.382752,0.650796,-0.301157,0.329208,0.628328,-0.298966,0.339205,0.686726
0.310000,-0.300748,0.382719,0.650797,-0.301124,0.329176,0.628312,-0.298927,0.339179,0.686725
0.320000,-0.300687,0.382701,0.650801,-0.301096,0.329158,0.628337,-0.298888,0.339167,0.686720
0.330000,-0.300610,0.382700,0.650817,-0.301056,0.329134,0.628356,-0.298859,0.339152,0.686733
0.340000,-0.300574,0.382670,0.650824,-0.301037,0.329110,0.628367,-0.298821,0.339139,0.686738
0.350000,-0.300547,0.382654,0.650836,-0.301000,0.329104,0.628367,-0.298807,0.339107,0.686733
0.360000,-0.300531,0.382639,0.650836,-0.300985,0.329100,0.628371,-0.298787,0.339082,0.686751
0.370000,-0.300477,0.382620,0.650859,-0.300944,0.329091,0.628400,-0.298760,0.339084,0.686763
0.380000,-0.300462,0.382595,0.650872,-0.300927,0.329093,0.628406,-0.298734,0.339068,0.686780
0.390000,-0.300432,0.382593,0.650894,-0.300905,0.329094,0.628425,-0.298715,0.339041,0.686794
0.400000,-0.300420,0.382581,0.650919,-0.300882,0.329094,0.628437,-0.298683,0.339034,0.686805
0.410000,-0.300389,0.382565,0.650925,-0.300865,0.329083,0.628453,-0.298680,0.339028,0.686826
0.420000,-0.300373,0.382563,0.650947,-0.300852,0.329072,0.628480,-0.298664,0.339008,0.686835
0.430000,-0.300362,0.382545,0.650970,-0.300839,0.329079,0.628478,-0.298643,0.339014,0.686851
