Time,org_x,org_y,org_z,xvec_x,xvec_y,xvec_z,zvec_x,zvec_y,zvec_z
0.000000,-0.333586,0.558977,0.636293,-0.311797,0.518599,0.603582,-0.308173,0.516634,0.662260
0.010000,-0.333581,0.558967,0.636288,-0.311778,0.518599,0.603586,-0.308166,0.516619,0.662260
0.020000,-0.333576,0.558959,0.636290,-0.311776,0.518591,0.603577,-0.308167,0.516613,0.662251
0.030000,-0.333578,0.558960,0.636272,-0.311784,0.518583,0.603576,-0.308170,0.516613,0.662247
0.040000,-0.333581,0.558951,0.636265,-0.311809,0.518564,0.603548,-0.308174,0.516603,0.662230
0.050000,-0.333618,0.558930,0.636239,-0.311818,0.518562,0.603547,-0.308185,0.516617,0.662208
0.060000,-0.333629,0.558931,0.636222,-0.311811,0.518573,0.603530,-0.308187,0.516620,0.662198
0.070000,-0.333644,0.558922,0.636203,-0.311823,0.518580,0.603517,-0.308187,0.516630,0.662193
0.080000,-0.333650,0.558941,0.636185,-0.311833,0.518582,0.603500,-0.308182,0.516638,0.662175
0.090000,-0.333651,0.558939,0.636159,-0.311843,0.518584,0.603479,-0.308180,0.516669,0.662130
0.100000,-0.333659,0.558942,0.636128,-0.311842,0.518586,0.603462,-0.308178,0.516684,0.662110
0.110000,-0.333649,0.558961,0.636087,-0.311855,0.518579,0.603437,-0.308181,0.516682,0.662091
0.120000,-0.333655,0.558962,0.636060,-0.311855,0.518580,0.603414,-0.308168,0.516685,0.662063
0.130000,-0.333648,0.558969,0.636047,-0.311854,0.518579,0.603398,-0.308165,0.516697,0.662048
0.140000,-0.333654,0.558965,0.636029,-0.311862,0.518567,0.603385,-0.308160,0.516685,0.662035
0.150000,-0.333634,0.558962,0.636018,-0.311852,0.518569,0.603370,-0.308159,0.516684,0.662018
0.160000,-0.333635,0.558961,0.636004,-0.311836,0.518570,0.603361,-0.308150,0.516674,0.661992
0.170000,-0.333617,0.558960,0.635987,-0.311847,0.518559,0.603346,-0.308139,0.516681,0.661995
0.180000,-0.333605,0.558959,0.635971,-0.311826,0.518558,0.603329,-0.308126,0.516679,0.661973
0.190000,-0.333595,0.558957,0.635951,-0.311832,0.518551,0.603310,-0.308120,0.516680,0.661955
0.200000,-0.333589,0.558949,0.635932,-0.311811,0.518553,0.603297,-0.308101,0.516677,0.661945
0.210000,-0.333551,0.558964,0.635919,-0.311717,0.518622,0.603272,-0.308096,0.516677,0.661925
0.220000,-0.333537,0.558973,0.635903,-0.311682,0.518625,0.603245,-0.308085,0.516674,0.661909
0.230000,-0.333528,0.558962,0.635890,-0.311663,0.518624,0.603235,-0.308067,0.516679,0.661895
0.240000,-0.333512,0.558965,0.635874,-0.311655,0.518607,0.603218,-0.308052,0.516676,0.661890
