Time,org_x,org_y,org_z,xvec_x,xvec_y,xvec_z,zvec_x,zvec_y,zvec_z
0.000000,-0.330335,0.556491,0.636855,-0.308227,0.515039,0.605596,-0.306910,0.514046,0.664109
0.010000,-0.330317,0.556468,0.636863,-0.308211,0.515036,0.605594,-0.306893,0.514073,0.664109
0.020000,-0.330291,0.556465,0.636870,-0.308172,0.515033,0.605604,-0.306863,0.514042,0.664120
0.030000,-0.330268,0.556453,0.636882,-0.308154,0.515032,0.605612,-0.306857,0.514010,0.664115
0.040000,-0.330249,0.556435,0.636896,-0.308147,0.515017,0.605613,-0.306371,0.514222,0.664371
0.050000,-0.330232,0.556429,0.636909,-0.308147,0.514996,0.605621,-0.306342,0.514197,0.664386
0.060000,-0.330212,0.556415,0.636916,-0.308113,0.515002,0.605631,-0.306331,0.514188,0.664389
0.070000,-0.330194,0.556417,0.636925,-0.308078,0.515011,0.605658,-0.306316,0.514175,0.664395
0.080000,-0.330190,0.556399,0.636936,-0.308085,0.514989,0.605658,-0.306298,0.514158,0.664393
0.090000,-0.330177,0.556392,0.636942,-0.308086,0.514971,0.605669,-0.306297,0.514149,0.664409
0.100000,-0.330170,0.556390,0.636946,-0.308068,0.514977,0.605678,-0.306283,0.514147,0.664415
0.110000,-0.330152,0.556386,0.636960,-0.308051,0.514979,0.605684,-0.306287,0.514141,0.664430
0.120000,-0.330149,0.556371,0.636961,-0.308044,0.514976,0.605689,-0.306293,0.514117,0.664430
0.130000,-0.330143,0.556376,0.636968,-0.308045,0.514961,0.605705,-0.306283,0.514136,0.664446
0.140000,-0.330148,0.556363,0.636974,-0.308041,0.514955,0.605708,-0.306273,0.514149,0.664466
0.150000,-0.330147,0.556363,0.636984,-0.308058,0.514944,0.605719,-0.306288,0.514134,0.664476
0.160000,-0.330146,0.556374,0.636990,-0.308039,0.514946,0.605738,-0.306298,0.514148,0.664493
0.170000,-0.330154,0.556361,0.637001,-0.308046,0.514944,0.605742,-0.306293,0.514139,0.664498
0.180000,-0.330158,0.556371,0.637015,-0.308049,0.514958,0.605759,-0.306312,0.514156,0.664516
0.190000,-0.330172,0.556380,0.637027,-0.308059,0.514956,0.605771,-0.306325,0.514154,0.664538
0.200000,-0.330176,0.556374,0.637051,-0.308063,0.514957,0.605790,-0.306806,0.513932,0.664352
0.210000,-0.330192,0.556389,0.637083,-0.308063,0.514983,0.605814,-0.306807,0.513932,0.664378
0.220000,-0.330187,0.556380,0.637109,-0.308077,0.514971,0.605830,-0.306839,0.513935,0.664397
0.230000,-0.330190,0.556396,0.637137,-0.308090,0.514958,0.605863,-0.306800,0.513942,0.664440
0.240000,-0.330194,0.556386,0.637166,-0.308078,0.514961,0.605890,-0.306796,0.513938,0.664469
0.250000,-0.330193,0.556384,0.637200,-0.308082,0.514962,0.605918,-0.306808,0.513933,0.664493
0.260000,-0.330185,0.556387,0.637226,-0.308076,0.514970,0.605947,-0.306806,0.513927,0.664519
0.270000,-0.330197,0.556380,0.637252,-0.308059,0.514990,0.606004,-0.306371,0.514127,0.664776
0.280000,-0.330195,0.556385,0.637277,-0.308026,0.515025,0.606036,-0.306828,0.513917,0.664573
0.290000,-0.330234,0.556362,0.637322,-0.308041,0.515022,0.606059,-0.306381,0.514139,0.664845
0.300000,-0.330238,0.556357,0.637341,-0.308044,0.515033,0.606077,-0.306397,0.514135,0.664871
0.310000,-0.330252,0.556354,0.637354,-0.308060,0.515024,0.606093,-0.306865,0.513932,0.664667
0.320000,-0.330269,0.556351,0.637365,-0.308061,0.515035,0.606105,-0.306880,0.513930,0.664663
0.330000,-0.330291,0.556358,0.637367,-0.308071,0.515033,0.606108,-0.306453,0.514143,0.664897
0.340000,-0.330291,0.556360,0.637367,-0.308109,0.515015,0.606102,-0.306466,0.514154,0.664905
0.350000,-0.330310,0.556358,0.637360,-0.308112,0.515027,0.606096,-0.306477,0.514147,0.664893
0.360000,-0.330334,0.556360,0.637348,-0.308133,0.515023,0.606087,-0.306497,0.514150,0.664875
0.370000,-0.330350,0.556379,0.637333,-0.308155,0.515020,0.606075,-0.306511,0.514150,0.664870
0.380000,-0.330364,0.556386,0.637314,-0.308182,0.515021,0.606058,-0.306523,0.514162,0.664849
0.390000,-0.330383,0.556391,0.637292,-0.308189,0.515039,0.606039,-0.306987,0.513945,0.664576
0.400000,-0.330402,0.556399,0.637265,-0.308201,0.515044,0.606017,-0.306559,0.514169,0.664773
0.410000,-0.330420,0.556407,0.637237,-0.308201,0.515079,0.605993,-0.307028,0.513962,0.664527
0.420000,-0.330459,0.556390,0.637213,-0.308241,0.515064,0.605964,-0.307023,0.513982,0.664493
0.430000,-0.330449,0.556425,0.637191,-0.308264,0.515069,0.605898,-0.307043,0.514009,0.664462
0.440000,-0.330481,0.556419,0.637170,-0.308287,0.515073,0.605874,-0.307053,0.514014,0.664432
