Time,org_x,org_y,org_z,xvec_x,xvec_y,xvec_z,zvec_x,zvec_y,zvec_z
0.000000,0.490005,0.101705,0.472371,0.450352,0.113489,0.432725,0.504703,0.096537,0.419082
0.010000,0.490009,0.101730,0.472379,0.450346,0.113521,0.432727,0.504697,0.096561,0.419095
0.020000,0.490010,0.101767,0.472383,0.450347,0.113547,0.432745,0.504699,0.096592,0.419101
0.030000,0.490003,0.101795,0.472372,0.450348,0.113588,0.432733,0.504698,0.096605,0.419091
0.040000,0.490003,0.101810,0.472367,0.450346,0.113609,0.432727,0.504700,0.096652,0.419090
0.050000,0.489996,0.101826,0.472357,0.450341,0.113640,0.432713,0.504690,0.096656,0.419071
0.060000,0.490000,0.101842,0.472340,0.450346,0.113637,0.432696,0.504681,0.096695,0.419053
0.070000,0.490004,0.101864,0.472330,0.450349,0.113677,0.432680,0.504684,0.096695,0.419028
0.080000,0.490011,0.101896,0.472298,0.450356,0.113713,0.432655,0.504691,0.096689,0.419013
0.090000,0.490012,0.101891,0.472274,0.450359,0.113697,0.432638,0.504703,0.096725,0.418996
0.100000,0.490009,0.101891,0.472255,0.450320,0.113777,0.432601,0.504688,0.096722,0.418960
0.110000,0.490006,0.101895,0.472233,0.450340,0.113760,0.432588,0.504680,0.096714,0.418927
0.120000,0.489987,0.101889,0.472205,0.450333,0.113754,0.432567,0.504669,0.096730,0.418909
0.130000,0.489987,0.101904,0.472188,0.450285,0.113796,0.432543,0.504650,0.096733,0.418874
0.140000,0.489983,0.101916,0.472156,0.450305,0.113771,0.432520,0.504648,0.096765,0.418852
0.150000,0.489980,0.101898,0.472125,0.450290,0.113793,0.432490,0.504646,0.096742,0.418820
0.160000,0.489986,0.101862,0.472068,0.450305,0.113798,0.432479,0.504642,0.096740,0.418793
0.170000,0.489987,0.101866,0.472043,0.450290,0.113830,0.432449,0.504633,0.096745,0.418762
0.180000,0.489982,0.101868,0.472013,0.450291,0.113819,0.432446,0.504623,0.096745,0.418728
0.190000,0.489979,0.101873,0.472008,0.450257,0.113849,0.432427,0.504602,0.096742,0.418703
0.200000,0.489965,0.101872,0.471969,0.450223,0.113872,0.432413,0.504582,0.096758,0.418680
0.210000,0.489959,0.101898,0.471958,0.450197,0.113872,0.432400,0.504574,0.096785,0.418658
0.220000,0.489943,0.101910,0.471940,0.450201,0.113885,0.432391,0.504556,0.096787,0.418636
0.230000,0.489945,0.101926,0.471916,0.450189,0.113886,0.432373,0.504550,0.096797,0.418616
0.240000,0.489956,0.101934,0.471899,0.450197,0.113908,0.432361,0.504553,0.096837,0.418595
0.250000,0.489962,0.101969,0.471880,0.450200,0.113939,0.432348,0.504560,0.096852,0.418575
0.260000,0.489964,0.101984,0.471857,0.450210,0.113953,0.432350,0.504558,0.096851,0.418550
0.270000,0.489985,0.101990,0.471844,0.450216,0.113967,0.432340,0.504566,0.096856,0.418534
0.280000,0.489994,0.102013,0.471826,0.450242,0.113965,0.432313,0.504573,0.096872,0.418530
0.290000,0.490010,0.102020,0.471824,0.450237,0.114013,0.432312,0.504581,0.096901,0.418504
0.300000,0.490025,0.102052,0.471810,0.450251,0.113999,0.432308,0.504599,0.096915,0.418491
0.310000,0.490043,0.102075,0.471805,0.450276,0.114051,0.432309,0.504600,0.096919,0.418490
0.320000,0.490052,0.102104,0.471804,0.450283,0.114068,0.432297,0.504620,0.096949,0.418485
0.330000,0.490062,0.102112,0.471804,0.450270,0.114095,0.432311,0.504633,0.096997,0.418495
0.340000,0.490070,0.102131,0.471818,0.450291,0.114119,0.432321,0.504633,0.097052,0.418507
0.350000,0.490070,0.102159,0.471830,0.450274,0.114145,0.432339,0.504629,0.097064,0.418513
0.360000,0.490082,0.102169,0.471843,0.450283,0.114180,0.432357,0.504637,0.097104,0.418517
0.370000,0.490103,0.102187,0.471857,0.450307,0.114191,0.432369,0.504662,0.097119,0.418533
0.380000,0.490127,0.102190,0.471869,0.450333,0.114195,0.432388,0.504680,0.097151,0.418543
0.390000,0.490152,0.102208,0.471878,0.450358,0.114204,0.432376,0.504700,0.097158,0.418561
0.400000,0.490164,0.102205,0.471897,0.450367,0.114228,0.432412,0.504703,0.097155,0.418577
0.410000,0.490177,0.102211,0.471911,0.450397,0.114222,0.432409,0.504725,0.097186,0.418589
0.420000,0.490185,0.102220,0.471927,0.450407,0.114204,0.432418,0.504727,0.097188,0.418602
0.430000,0.490191,0.102239,0.471937,0.450404,0.114241,0.432431,0.504732,0.097215,0.418611
0.440000,0.490189,0.102257,0.471949,0.450389,0.114281,0.432452,0.504744,0.097236,0.418629
0.450000,0.490198,0.102278,0.471959,0.450440,0.114258,0.432460,0.504753,0.097277,0.418640
0.460000,0.490213,0.102302,0.471982,0.450429,0.114298,0.432488,0.504762,0.097276,0.418673
0.470000,0.490229,0.102322,0.472015,0.450469,0.114345,0.432539,0.504775,0.097302,0.418685
0.480000,0.490249,0.102353,0.472036,0.450462,0.114388,0.432552,0.504795,0.097317,0.418715
0.490000,0.490271,0.102378,0.472057,0.450514,0.114360,0.432573,0.504819,0.097347,0.418744
0.500000,0.490292,0.102413,0.472088,0.450541,0.114379,0.432602,0.504848,0.097383,0.418766
0.510000,0.490321,0.102435,0.472112,0.450580,0.114388,0.432613,0.504871,0.097394,0.418794
0.520000,0.490336,0.102452,0.472133,0.450578,0.114420,0.432641,0.504893,0.097446,0.418823
0.530000,0.490340,0.102496,0.472168,0.450599,0.114432,0.432656,0.504907,0.097453,0.418844
0.540000,0.490369,0.102574,0.472218,0.450613,0.114458,0.432671,0.504935,0.097496,0.418870
0.550000,0.490380,0.102595,0.472246,0.450639,0.114473,0.432685,0.504965,0.097527,0.418895
0.560000,0.490389,0.102615,0.472263,0.450664,0.114499,0.432712,0.504979,0.097526,0.418918
0.570000,0.490414,0.102628,0.472285,0.450688,0.114530,0.432726,0.505011,0.097578,0.418954
0.580000,0.490428,0.102646,0.472303,0.450723,0.114528,0.432731,0.505017,0.097561,0.418964
0.590000,0.490434,0.102665,0.472316,0.450742,0.114549,0.432740,0.505031,0.097598,0.418988
0.600000,0.490442,0.102681,0.472337,0.450746,0.114564,0.432753,0.505058,0.097639,0.419002
0.610000,0.490462,0.102688,0.472333,0.450752,0.114591,0.432766,0.505069,0.097680,0.419026
0.620000,0.490465,0.102725,0.472342,0.450738,0.114617,0.432785,0.505063,0.097680,0.419019
0.630000,0.490459,0.102752,0.472339,0.450750,0.114631,0.432780,0.505068,0.097726,0.419020
0.640000,0.490476,0.102772,0.472328,0.450758,0.114649,0.432768,0.505066,0.097741,0.419008
0.650000,0.490477,0.102801,0.472315,0.450760,0.114694,0.432759,0.505076,0.097755,0.418994
0.660000,0.490491,0.102817,0.472285,0.450773,0.114702,0.432725,0.505075,0.097756,0.418960
0.670000,0.490486,0.102840,0.472249,0.450769,0.114731,0.432685,0.505069,0.097779,0.418919
0.680000,0.490489,0.102844,0.472208,0.450759,0.114743,0.432653,0.505061,0.097742,0.418872
0.690000,0.490481,0.102829,0.472157,0.450746,0.114763,0.432605,0.505030,0.097772,0.418843
0.700000,0.490462,0.102871,0.472116,0.450732,0.114766,0.432576,0.505012,0.097765,0.418791
0.710000,0.490445,0.102866,0.472079,0.450709,0.114772,0.432540,0.504987,0.097753,0.418748
0.720000,0.490432,0.102873,0.472040,0.450680,0.114777,0.432514,0.504965,0.097757,0.418713
0.730000,0.490411,0.102889,0.472006,0.450660,0.114792,0.432469,0.504952,0.097750,0.418668
0.740000,0.490405,0.102855,0.471967,0.450609,0.114798,0.432439,0.504930,0.097727,0.418633
0.750000,0.490375,0.102792,0.471900,0.450588,0.114795,0.432408,0.504911,0.097718,0.418591
0.760000,0.490353,0.102771,0.471858,0.450565,0.114773,0.432385,0.504883,0.097691,0.418555
0.770000,0.490339,0.102760,0.471822,0.450535,0.114755,0.432350,0.504848,0.097666,0.418515
0.780000,0.490313,0.102743,0.471795,0.450516,0.114752,0.432325,0.504833,0.097670,0.418485
0.790000,0.490286,0.102725,0.471754,0.450497,0.114734,0.432292,0.504806,0.097627,0.418451
0.800000,0.490274,0.102725,0.471714,0.450480,0.114713,0.432262,0.504784,0.097629,0.418397
0.810000,0.490258,0.102709,0.471666,0.450461,0.114710,0.432227,0.504762,0.097621,0.418351
0.820000,0.490250,0.102677,0.471606,0.450448,0.114704,0.432178,0.504736,0.097577,0.418293
0.830000,0.490236,0.102673,0.471541,0.450429,0.114655,0.432114,0.504709,0.097571,0.418246
0.840000,0.490207,0.102682,0.471500,0.450409,0.114640,0.432072,0.504661,0.097547,0.418196
0.850000,0.490191,0.102659,0.471462,0.450393,0.114634,0.432044,0.504673,0.097614,0.418149
0.860000,0.490180,0.102657,0.471421,0.450374,0.114641,0.432010,0.504617,0.097520,0.418098
0.870000,0.490166,0.102654,0.471380,0.450359,0.114613,0.431967,0.504597,0.097492,0.418045
0.880000,0.490154,0.102651,0.471348,0.450342,0.114621,0.431927,0.504580,0.097471,0.418007
0.890000,0.490142,0.102637,0.471321,0.450336,0.114616,0.431897,0.504590,0.097544,0.417977
0.900000,0.490133,0.102624,0.471280,0.450328,0.114617,0.431870,0.504576,0.097540,0.417945
0.910000,0.490118,0.102624,0.471266,0.450323,0.114615,0.431857,0.504567,0.097516,0.417918
0.920000,0.490113,0.102607,0.471248,0.450326,0.114613,0.431832,0.504563,0.097519,0.417894
0.930000,0.490114,0.102606,0.471231,0.450302,0.114602,0.431836,0.504556,0.097505,0.417886
0.940000,0.490097,0.102583,0.471235,0.450303,0.114609,0.431835,0.504539,0.097482,0.417878
0.950000,0.490089,0.102587,0.471238,0.450303,0.114609,0.431838,0.504529,0.097489,0.417892
0.960000,0.490089,0.102586,0.471256,0.450289,0.114610,0.431851,0.504527,0.097507,0.417892
0.970000,0.490087,0.102590,0.471268,0.450289,0.114610,0.431869,0.504525,0.097540,0.417915
0.980000,0.490094,0.102574,0.471286,0.450290,0.114608,0.431883,0.504519,0.097522,0.417934
0.990000,0.490101,0.102619,0.471309,0.450295,0.114627,0.431908,0.504535,0.097538,0.417951
1.000000,0.490106,0.102600,0.471322,0.450302,0.114622,0.431929,0.504554,0.097552,0.417972
1.010000,0.490120,0.102619,0.471350,0.450317,0.114615,0.431949,0.504560,0.097546,0.417991
1.020000,0.490125,0.102614,0.471365,0.450319,0.114628,0.431979,0.504574,0.097548,0.418019
1.030000,0.490127,0.102622,0.471384,0.450328,0.114628,0.431985,0.504566,0.097494,0.418049
1.040000,0.490127,0.102619,0.471406,0.450324,0.114663,0.432007,0.504564,0.097483,0.418065
1.050000,0.490139,0.102629,0.471421,0.450350,0.114637,0.432011,0.504592,0.097510,0.418113
1.060000,0.490146,0.102633,0.471450,0.450370,0.114636,0.432029,0.504612,0.097529,0.418139
1.070000,0.490173,0.102640,0.471484,0.450395,0.114663,0.432063,0.504637,0.097527,0.418173
1.080000,0.490191,0.102654,0.471536,0.450415,0.114666,0.432098,0.504702,0.097545,0.418238
1.090000,0.490228,0.102674,0.471588,0.450450,0.114663,0.432133,0.504723,0.097538,0.418285
1.100000,0.490258,0.102675,0.471657,0.450481,0.114672,0.432183,0.504753,0.097569,0.418332
1.110000,0.490283,0.102678,0.471699,0.450506,0.114737,0.432246,0.504778,0.097574,0.418373
1.120000,0.490300,0.102698,0.471741,0.450526,0.114753,0.432273,0.504815,0.097610,0.418431
1.130000,0.490322,0.102723,0.471796,0.450549,0.114767,0.432308,0.504841,0.097613,0.418466
1.140000,0.490342,0.102715,0.471828,0.450561,0.114796,0.432357,0.504855,0.097645,0.418511
1.150000,0.490368,0.102746,0.471864,0.450583,0.114810,0.432385,0.504885,0.097714,0.418558
1.160000,0.490386,0.102781,0.471905,0.450602,0.114840,0.432429,0.504889,0.097724,0.418590
1.170000,0.490400,0.102821,0.471961,0.450609,0.114886,0.432460,0.504914,0.097768,0.418626
1.180000,0.490400,0.102874,0.471994,0.450648,0.114890,0.432479,0.504923,0.097804,0.418646
1.190000,0.490427,0.102895,0.471998,0.450675,0.114900,0.432490,0.504926,0.097822,0.418661
1.200000,0.490423,0.102939,0.472016,0.450631,0.114970,0.432497,0.504939,0.097867,0.418674
1.210000,0.490436,0.102964,0.472020,0.450665,0.114974,0.432515,0.504953,0.097908,0.418686
1.220000,0.490458,0.103005,0.472021,0.450662,0.115003,0.432511,0.504958,0.097943,0.418687
1.230000,0.490464,0.103042,0.472011,0.450673,0.115036,0.432507,0.504963,0.097956,0.418680
1.240000,0.490474,0.103073,0.471989,0.450662,0.115083,0.432499,0.504973,0.098002,0.418657
1.250000,0.490479,0.103093,0.471965,0.450670,0.115112,0.432472,0.504977,0.098016,0.418634
1.260000,0.490483,0.103142,0.471941,0.450685,0.115114,0.432434,0.504996,0.098084,0.418602
1.270000,0.490480,0.103174,0.471910,0.450681,0.115127,0.432418,0.504985,0.098097,0.418576
