Time,org_x,org_y,org_z,xvec_x,xvec_y,xvec_z,zvec_x,zvec_y,zvec_z
0.000000,-0.304522,0.557394,0.724788,-0.279166,0.519391,0.690650,-0.283805,0.511475,0.748990
0.010000,-0.304505,0.557374,0.724769,-0.279150,0.519387,0.690636,-0.283795,0.511465,0.748971
0.020000,-0.304495,0.557363,0.724760,-0.279154,0.519358,0.690631,-0.283787,0.511447,0.748957
0.030000,-0.304466,0.557367,0.724746,-0.279100,0.519383,0.690610,-0.283776,0.511432,0.748937
0.040000,-0.304445,0.557348,0.724727,-0.279080,0.519372,0.690594,-0.283781,0.511430,0.748913
0.050000,-0.304430,0.557348,0.724716,-0.279072,0.519354,0.690575,-0.283777,0.511415,0.748902
0.060000,-0.304407,0.557340,0.724691,-0.279040,0.519362,0.690554,-0.283758,0.511402,0.748891
0.070000,-0.304395,0.557329,0.724668,-0.279042,0.519331,0.690539,-0.283753,0.511390,0.748857
0.080000,-0.304379,0.557324,0.724643,-0.279025,0.519312,0.690513,-0.283749,0.511389,0.748838
0.090000,-0.304373,0.557318,0.724620,-0.278998,0.519326,0.690493,-0.283744,0.511371,0.748814
0.100000,-0.304356,0.557318,0.724589,-0.278984,0.519327,0.690472,-0.283726,0.511376,0.748799
0.110000,-0.304357,0.557307,0.724577,-0.278982,0.519317,0.690443,-0.283720,0.511376,0.748775
0.120000,-0.304311,0.557317,0.724552,-0.278973,0.519329,0.690437,-0.283719,0.511354,0.748754
0.130000,-0.304304,0.557305,0.724531,-0.278957,0.519315,0.690426,-0.283718,0.511358,0.748748
0.140000,-0.304314,0.557311,0.724531,-0.278944,0.519315,0.690408,-0.283710,0.511341,0.748732
0.150000,-0.304289,0.557292,0.724513,-0.278945,0.519302,0.690394,-0.283693,0.511348,0.748721
0.160000,-0.304268,0.557296,0.724513,-0.278924,0.519293,0.690385,-0.283678,0.511343,0.748721
0.170000,-0.304254,0.557291,0.724503,-0.278891,0.519307,0.690392,-0.283668,0.511344,0.748714
0.180000,-0.304236,0.557289,0.724505,-0.278882,0.519289,0.690384,-0.283640,0.511337,0.748714
0.190000,-0.304194,0.557319,0.724504,-0.278720,0.519391,0.690356,-0.283632,0.511335,0.748704
0.200000,-0.304172,0.557308,0.724513,-0.278704,0.519376,0.690351,-0.283875,0.511285,0.748499
0.210000,-0.304157,0.557302,0.724514,-0.278765,0.519333,0.690362,-0.283857,0.511271,0.748497
0.220000,-0.304138,0.557295,0.724509,-0.278664,0.519366,0.690348,-0.283559,0.511336,0.748736
0.230000,-0.304116,0.557293,0.724506,-0.278655,0.519353,0.690344,-0.283548,0.511318,0.748707
0.240000,-0.304088,0.557290,0.724497,-0.278612,0.519364,0.690341,-0.283517,0.511317,0.748711
0.250000,-0.304065,0.557290,0.724485,-0.278599,0.519353,0.690338,-0.283510,0.511308,0.748706
0.260000,-0.304036,0.557291,0.724470,-0.278575,0.519347,0.690331,-0.283463,0.511315,0.748713
0.270000,-0.304015,0.557278,0.724457,-0.278562,0.519324,0.690311,-0.283443,0.511299,0.748699
0.280000,-0.303994,0.557265,0.724441,-0.278530,0.519316,0.690301,-0.283451,0.511274,0.748681
0.290000,-0.303968,0.557253,0.724419,-0.278515,0.519304,0.690288,-0.283408,0.511288,0.748674
0.300000,-0.303945,0.557255,0.724402,-0.278510,0.519296,0.690278,-0.283386,0.511272,0.748649
0.310000,-0.303926,0.557237,0.724385,-0.278483,0.519291,0.690264,-0.283366,0.511264,0.748646
0.320000,-0.303912,0.557229,0.724378,-0.278477,0.519264,0.690254,-0.283338,0.511234,0.748610
0.330000,-0.303878,0.557228,0.724363,-0.278447,0.519274,0.690234,-0.283316,0.511221,0.748599
0.340000,-0.303859,0.557225,0.724353,-0.278426,0.519249,0.690218,-0.283297,0.511215,0.748597
0.350000,-0.303836,0.557210,0.724331,-0.278410,0.519249,0.690205,-0.283281,0.511215,0.748582
0.360000,-0.303824,0.557202,0.724320,-0.278408,0.519232,0.690198,-0.283271,0.511188,0.748563
0.370000,-0.303808,0.557196,0.724304,-0.278397,0.519220,0.690188,-0.283251,0.511181,0.748561
0.380000,-0.303795,0.557187,0.724298,-0.278400,0.519199,0.690169,-0.283257,0.511175,0.748547
0.390000,-0.303786,0.557179,0.724291,-0.278381,0.519195,0.690166,-0.283238,0.511166,0.748542
0.400000,-0.303792,0.557167,0.724265,-0.278370,0.519203,0.690166,-0.283231,0.511179,0.748526
0.410000,-0.303785,0.557175,0.724260,-0.278374,0.519190,0.690137,-0.283234,0.511173,0.748520
0.420000,-0.303773,0.557212,0.724240,-0.278367,0.519203,0.690132,-0.283245,0.511180,0.748491
0.430000,-0.303784,0.557177,0.724237,-0.278372,0.519192,0.690124,-0.283255,0.511171,0.748484
0.440000,-0.303780,0.557189,0.724218,-0.278357,0.519188,0.690124,-0.283253,0.511185,0.748481
0.450000,-0.303791,0.557174,0.724208,-0.278405,0.519166,0.690093,-0.283256,0.511174,0.748467
0.460000,-0.303782,0.557216,0.724179,-0.278370,0.519188,0.690097,-0.283287,0.511176,0.748442
0.470000,-0.303779,0.557216,0.724161,-0.278369,0.519191,0.690088,-0.283276,0.511186,0.748425
0.480000,-0.303782,0.557220,0.724137,-0.278369,0.519191,0.690066,-0.283563,0.511132,0.748207
0.490000,-0.303789,0.557224,0.724118,-0.278407,0.519163,0.690040,-0.283291,0.511192,0.748397
0.500000,-0.303794,0.557224,0.724098,-0.278397,0.519165,0.690040,-0.283293,0.511201,0.748383
0.510000,-0.303796,0.557227,0.724065,-0.278408,0.519172,0.690006,-0.283297,0.511213,0.748363
0.520000,-0.303806,0.557235,0.724042,-0.278417,0.519168,0.689983,-0.283592,0.511157,0.748129
0.530000,-0.303809,0.557245,0.724017,-0.278415,0.519174,0.689971,-0.283592,0.511210,0.748095
0.540000,-0.303816,0.557245,0.723993,-0.278437,0.519162,0.689945,-0.283588,0.511188,0.748081
0.550000,-0.303799,0.557273,0.723948,-0.278434,0.519194,0.689918,-0.283602,0.511214,0.748060
0.560000,-0.303814,0.557264,0.723915,-0.278457,0.519167,0.689891,-0.283601,0.511236,0.748042
0.570000,-0.303814,0.557273,0.723887,-0.278466,0.519162,0.689865,-0.283605,0.511237,0.748016
0.580000,-0.303831,0.557277,0.723858,-0.278402,0.519252,0.689808,-0.283599,0.511265,0.747992
0.590000,-0.303842,0.557290,0.723827,-0.278406,0.519270,0.689788,-0.283621,0.511256,0.747965
0.600000,-0.303853,0.557302,0.723807,-0.278435,0.519274,0.689765,-0.283605,0.511300,0.747949
0.610000,-0.303868,0.557313,0.723794,-0.278443,0.519274,0.689752,-0.283626,0.511296,0.747935
0.620000,-0.303879,0.557307,0.723781,-0.278532,0.519206,0.689760,-0.283622,0.511302,0.747928
0.630000,-0.303873,0.557321,0.723780,-0.278544,0.519199,0.689757,-0.283612,0.511320,0.747923
0.640000,-0.303884,0.557320,0.723784,-0.278477,0.519272,0.689733,-0.283622,0.511316,0.747923
0.650000,-0.303880,0.557330,0.723777,-0.278457,0.519291,0.689731,-0.283332,0.511390,0.748119
0.660000,-0.303879,0.557329,0.723777,-0.278467,0.519286,0.689724,-0.283611,0.511322,0.747917
0.670000,-0.303869,0.557329,0.723776,-0.278472,0.519298,0.689734,-0.283330,0.511382,0.748122
0.680000,-0.303877,0.557320,0.723780,-0.278468,0.519287,0.689739,-0.283617,0.511316,0.747915
0.690000,-0.303879,0.557322,0.723792,-0.278489,0.519276,0.689738,-0.283617,0.511312,0.747926
0.700000,-0.303878,0.557316,0.723793,-0.278556,0.519202,0.689763,-0.283620,0.511312,0.747924
0.710000,-0.303878,0.557316,0.723799,-0.278464,0.519287,0.689743,-0.283641,0.511293,0.747927
0.720000,-0.303896,0.557307,0.723796,-0.278479,0.519274,0.689739,-0.283655,0.511299,0.747921
0.730000,-0.303898,0.557308,0.723780,-0.278479,0.519277,0.689728,-0.283666,0.511285,0.747922
0.740000,-0.303910,0.557298,0.723767,-0.278486,0.519270,0.689721,-0.283675,0.511261,0.747907
0.750000,-0.303916,0.557286,0.723742,-0.278493,0.519255,0.689709,-0.283409,0.511344,0.748101
0.760000,-0.303932,0.557292,0.723721,-0.278506,0.519245,0.689690,-0.283691,0.511297,0.747876
0.770000,-0.303949,0.557296,0.723686,-0.278506,0.519259,0.689678,-0.283425,0.511358,0.748068
0.780000,-0.303961,0.557312,0.723664,-0.278523,0.519252,0.689648,-0.283746,0.511283,0.747831
0.790000,-0.303973,0.557310,0.723632,-0.278546,0.519251,0.689623,-0.283753,0.511284,0.747793
0.800000,-0.303985,0.557324,0.723598,-0.278577,0.519227,0.689569,-0.283730,0.511324,0.747760
0.810000,-0.303991,0.557320,0.723570,-0.278596,0.519235,0.689543,-0.283456,0.511397,0.747941
0.820000,-0.304004,0.557325,0.723539,-0.278623,0.519229,0.689508,-0.283452,0.511412,0.747913
0.830000,-0.304016,0.557330,0.723510,-0.278628,0.519239,0.689473,-0.283444,0.511444,0.747867
0.840000,-0.304020,0.557339,0.723471,-0.278643,0.519257,0.689448,-0.283425,0.511474,0.747839
0.850000,-0.304021,0.557355,0.723444,-0.278639,0.519261,0.689424,-0.283433,0.511466,0.747811
0.860000,-0.304031,0.557358,0.723425,-0.278651,0.519265,0.689402,-0.283422,0.511480,0.747802
0.870000,-0.304033,0.557352,0.723417,-0.278650,0.519282,0.689395,-0.283419,0.511463,0.747775
0.880000,-0.304018,0.557363,0.723416,-0.278642,0.519269,0.689384,-0.283415,0.511473,0.747768
0.890000,-0.304016,0.557354,0.723404,-0.278647,0.519271,0.689379,-0.283410,0.511455,0.747767
0.900000,-0.304011,0.557338,0.723409,-0.278614,0.519274,0.689378,-0.283399,0.511452,0.747765
0.910000,-0.304007,0.557353,0.723414,-0.278624,0.519264,0.689389,-0.283373,0.511453,0.747768
0.920000,-0.303987,0.557333,0.723419,-0.278620,0.519245,0.689388,-0.283385,0.511439,0.747775
0.930000,-0.303981,0.557324,0.723431,-0.278607,0.519224,0.689398,-0.283364,0.511438,0.747779
0.940000,-0.303956,0.557323,0.723439,-0.278581,0.519211,0.689409,-0.283366,0.511414,0.747793
0.950000,-0.303945,0.557307,0.723453,-0.278569,0.519193,0.689423,-0.283351,0.511407,0.747800
0.960000,-0.303928,0.557284,0.723469,-0.278535,0.519193,0.689445,-0.283333,0.511385,0.747819
0.970000,-0.303915,0.557265,0.723490,-0.278511,0.519193,0.689465,-0.283315,0.511380,0.747835
0.980000,-0.303890,0.557269,0.723507,-0.278493,0.519162,0.689488,-0.283340,0.511339,0.747878
0.990000,-0.303871,0.557250,0.723533,-0.278483,0.519142,0.689510,-0.283312,0.511330,0.747911
1.000000,-0.303855,0.557232,0.723559,-0.278476,0.519117,0.689535,-0.283254,0.511307,0.747919
1.010000,-0.303825,0.557226,0.723593,-0.278443,0.519116,0.689565,-0.283234,0.511289,0.747954
1.020000,-0.303805,0.557216,0.723619,-0.278426,0.519108,0.689588,-0.283216,0.511280,0.747974
1.030000,-0.303786,0.557201,0.723652,-0.278404,0.519103,0.689617,-0.283207,0.511267,0.748003
1.040000,-0.303767,0.557193,0.723685,-0.278398,0.519079,0.689630,-0.283208,0.511244,0.748020
1.050000,-0.303752,0.557185,0.723717,-0.278340,0.519120,0.689698,-0.283192,0.511226,0.748051
1.060000,-0.303742,0.557176,0.723747,-0.278345,0.519102,0.689723,-0.283182,0.511216,0.748073
1.070000,-0.303739,0.557171,0.723771,-0.278355,0.519090,0.689741,-0.283180,0.511177,0.748092
1.080000,-0.303734,0.557168,0.723800,-0.278336,0.519109,0.689764,-0.283179,0.511162,0.748122
1.090000,-0.303745,0.557164,0.723821,-0.278323,0.519127,0.689796,-0.283180,0.511187,0.748147
1.100000,-0.303750,0.557163,0.723846,-0.278335,0.519125,0.689810,-0.283249,0.511183,0.748202
1.110000,-0.303768,0.557162,0.723872,-0.278417,0.519066,0.689850,-0.283273,0.511174,0.748225
1.120000,-0.303778,0.557174,0.723901,-0.278360,0.519126,0.689851,-0.283555,0.511123,0.748028
1.130000,-0.303795,0.557175,0.723917,-0.278434,0.519079,0.689899,-0.283307,0.511177,0.748261
1.140000,-0.303830,0.557162,0.723950,-0.278438,0.519079,0.689915,-0.283322,0.511182,0.748277
1.150000,-0.303842,0.557174,0.723962,-0.278432,0.519115,0.689935,-0.283606,0.511139,0.748086
1.160000,-0.303862,0.557186,0.723977,-0.278472,0.519095,0.689946,-0.283365,0.511192,0.748306
1.170000,-0.303888,0.557180,0.723988,-0.278465,0.519128,0.689966,-0.283649,0.511143,0.748109
1.180000,-0.303905,0.557190,0.724004,-0.278493,0.519120,0.689977,-0.283670,0.511180,0.748117
1.190000,-0.303922,0.557207,0.724017,-0.278511,0.519122,0.689986,-0.283681,0.511188,0.748139
1.200000,-0.303938,0.557221,0.724026,-0.278506,0.519157,0.689999,-0.283715,0.511184,0.748141
1.210000,-0.303957,0.557215,0.724042,-0.278525,0.519164,0.690008,-0.283739,0.511187,0.748156
1.220000,-0.303986,0.557216,0.724054,-0.278538,0.519157,0.690021,-0.283757,0.511201,0.748162
1.230000,-0.304003,0.557222,0.724064,-0.278559,0.519161,0.690033,-0.283774,0.511187,0.748175
1.240000,-0.304021,0.557212,0.724081,-0.278570,0.519180,0.690046,-0.283778,0.511206,0.748196
1.250000,-0.304032,0.557219,0.724091,-0.278600,0.519166,0.690056,-0.283817,0.511182,0.748200
1.260000,-0.304055,0.557217,0.724104,-0.278594,0.519189,0.690076,-0.283807,0.511196,0.748212
1.270000,-0.304057,0.557226,0.724118,-0.278605,0.519186,0.690070,-0.283830,0.511197,0.748218
1.280000,-0.304082,0.557237,0.724124,-0.278615,0.519191,0.690093,-0.283838,0.511197,0.748224
1.290000,-0.304097,0.557239,0.724138,-0.278622,0.519205,0.690096,-0.283829,0.511225,0.748239
1.300000,-0.304107,0.557246,0.724161,-0.278628,0.519215,0.690117,-0.283859,0.511213,0.748254
1.310000,-0.304109,0.557248,0.724174,-0.278619,0.519228,0.690151,-0.283854,0.511232,0.748268
1.320000,-0.304116,0.557257,0.724194,-0.278609,0.519255,0.690168,-0.283848,0.511233,0.748289
1.330000,-0.304121,0.557254,0.724210,-0.278610,0.519247,0.690188,-0.283846,0.511254,0.748320
1.340000,-0.304125,0.557258,0.724241,-0.278619,0.519248,0.690202,-0.283869,0.511213,0.748332
1.350000,-0.304112,0.557248,0.724259,-0.278625,0.519225,0.690216,-0.283848,0.511240,0.748361
1.360000,-0.304108,0.557222,0.724289,-0.278600,0.519245,0.690244,-0.283823,0.511252,0.748372
1.370000,-0.304109,0.557213,0.724301,-0.278608,0.519219,0.690254,-0.283573,0.511274,0.748607
1.380000,-0.304085,0.557228,0.724316,-0.278596,0.519239,0.690270,-0.283572,0.511273,0.748622
1.390000,-0.304083,0.557205,0.724342,-0.278587,0.519231,0.690273,-0.283832,0.511221,0.748426
1.400000,-0.304091,0.557195,0.724352,-0.278612,0.519197,0.690282,-0.283561,0.511249,0.748660
1.410000,-0.304090,0.557188,0.724363,-0.278664,0.519112,0.690312,-0.283557,0.511235,0.748661
1.420000,-0.304087,0.557176,0.724367,-0.278656,0.519116,0.690318,-0.283584,0.511217,0.748647
1.430000,-0.304093,0.557172,0.724357,-0.278602,0.519192,0.690293,-0.283579,0.511228,0.748645
1.440000,-0.304093,0.557172,0.724345,-0.278617,0.519186,0.690281,-0.283576,0.511215,0.748646
1.450000,-0.304095,0.557179,0.724328,-0.278619,0.519185,0.690265,-0.283600,0.511214,0.748608
1.460000,-0.304102,0.557171,0.724309,-0.278700,0.519079,0.690265,-0.283855,0.511184,0.748396
1.470000,-0.304108,0.557193,0.724277,-0.278631,0.519177,0.690233,-0.283620,0.511221,0.748577
1.480000,-0.304119,0.557172,0.724264,-0.278653,0.519171,0.690217,-0.283893,0.511163,0.748344
1.490000,-0.304124,0.557205,0.724234,-0.278643,0.519167,0.690197,-0.283897,0.511155,0.748306
1.500000,-0.304117,0.557218,0.724207,-0.278651,0.519172,0.690166,-0.283888,0.511186,0.748297
1.510000,-0.304116,0.557214,0.724175,-0.278658,0.519173,0.690142,-0.283891,0.511167,0.748264
1.520000,-0.304123,0.557217,0.724143,-0.278673,0.519169,0.690103,-0.283902,0.511176,0.748238
1.530000,-0.304128,0.557213,0.724115,-0.278679,0.519169,0.690077,-0.283878,0.511198,0.748224
1.540000,-0.304128,0.557218,0.724084,-0.278690,0.519157,0.690058,-0.283883,0.511187,0.748195
1.550000,-0.304127,0.557216,0.724065,-0.278680,0.519173,0.690031,-0.283614,0.511241,0.748388
1.560000,-0.304109,0.557224,0.724044,-0.278669,0.519155,0.690013,-0.283879,0.511179,0.748165
1.570000,-0.304088,0.557226,0.724030,-0.278655,0.519167,0.689994,-0.283594,0.511238,0.748356
1.580000,-0.304078,0.557216,0.724008,-0.278658,0.519140,0.689978,-0.283836,0.511202,0.748132
1.590000,-0.304056,0.557212,0.723991,-0.278646,0.519129,0.689960,-0.283819,0.511208,0.748121
1.600000,-0.304039,0.557203,0.723978,-0.278632,0.519119,0.689946,-0.283794,0.511208,0.748106
1.610000,-0.304014,0.557203,0.723957,-0.278639,0.519097,0.689930,-0.283781,0.511195,0.748096
1.620000,-0.304006,0.557190,0.723943,-0.278597,0.519097,0.689921,-0.283775,0.511187,0.748081
1.630000,-0.303977,0.557193,0.723930,-0.278587,0.519090,0.689906,-0.283750,0.511200,0.748079
1.640000,-0.303964,0.557192,0.723919,-0.278573,0.519083,0.689905,-0.283737,0.511202,0.748068
1.650000,-0.303941,0.557180,0.723910,-0.278545,0.519088,0.689897,-0.283717,0.511196,0.748056
1.660000,-0.303930,0.557178,0.723901,-0.278540,0.519069,0.689901,-0.283699,0.511188,0.748059
1.670000,-0.303907,0.557169,0.723895,-0.278526,0.519057,0.689892,-0.283697,0.511183,0.748048
1.680000,-0.303868,0.557189,0.723884,-0.278525,0.519048,0.689894,-0.283403,0.511229,0.748264
1.690000,-0.303857,0.557180,0.723879,-0.278508,0.519052,0.689890,-0.283654,0.511174,0.748043
1.700000,-0.303855,0.557172,0.723886,-0.278486,0.519052,0.689895,-0.283637,0.511170,0.748047
