Time,org_x,org_y,org_z,xvec_x,xvec_y,xvec_z,zvec_x,zvec_y,zvec_z
0.000000,-0.289557,0.552601,0.712336,-0.264216,0.511188,0.682369,-0.272902,0.507229,0.740779
0.010000,-0.289546,0.552592,0.712366,-0.264213,0.511180,0.682404,-0.272904,0.507217,0.740808
0.020000,-0.289544,0.552585,0.712402,-0.264201,0.511166,0.682441,-0.272892,0.507214,0.740841
0.030000,-0.289540,0.552580,0.712429,-0.264187,0.511174,0.682469,-0.272893,0.507215,0.740864
0.040000,-0.289525,0.552573,0.712455,-0.264186,0.511163,0.682494,-0.272887,0.507219,0.740896
0.050000,-0.289508,0.552572,0.712485,-0.264197,0.511138,0.682540,-0.272884,0.507211,0.740916
0.060000,-0.289514,0.552569,0.712498,-0.264169,0.511159,0.682543,-0.272897,0.507198,0.740933
0.070000,-0.289511,0.552566,0.712519,-0.264195,0.511115,0.682574,-0.272896,0.507191,0.740957
0.080000,-0.289509,0.552559,0.712535,-0.264189,0.511111,0.682596,-0.272896,0.507193,0.740966
0.090000,-0.289508,0.552551,0.712546,-0.264185,0.511122,0.682601,-0.272898,0.507185,0.740981
0.100000,-0.289503,0.552551,0.712558,-0.264195,0.511101,0.682622,-0.272893,0.507189,0.740988
0.110000,-0.289514,0.552548,0.712558,-0.264201,0.511099,0.682625,-0.272889,0.507178,0.741003
0.120000,-0.289521,0.552534,0.712594,-0.264202,0.511105,0.682643,-0.272882,0.507173,0.741012
0.130000,-0.289527,0.552532,0.712612,-0.264201,0.511120,0.682663,-0.272885,0.507191,0.741036
0.140000,-0.289522,0.552537,0.712644,-0.264219,0.511095,0.682695,-0.273138,0.507155,0.740830
0.150000,-0.289505,0.552537,0.712665,-0.264195,0.511105,0.682710,-0.272890,0.507168,0.741074
0.160000,-0.289515,0.552497,0.712722,-0.264204,0.511106,0.682745,-0.272871,0.507174,0.741110
0.170000,-0.289504,0.552499,0.712754,-0.264208,0.511095,0.682774,-0.272855,0.507155,0.741151
0.180000,-0.289490,0.552504,0.712792,-0.264226,0.511077,0.682815,-0.272876,0.507107,0.741194
0.190000,-0.289490,0.552503,0.712822,-0.264216,0.511084,0.682849,-0.272882,0.507087,0.741234
0.200000,-0.289487,0.552484,0.712856,-0.264223,0.511080,0.682873,-0.272882,0.507096,0.741263
0.210000,-0.289483,0.552488,0.712888,-0.264218,0.511078,0.682901,-0.272878,0.507080,0.741293
0.220000,-0.289482,0.552484,0.712923,-0.264224,0.511071,0.682926,-0.272884,0.507071,0.741315
0.230000,-0.289506,0.552460,0.712951,-0.264232,0.511069,0.682955,-0.272906,0.507056,0.741341
0.240000,-0.289517,0.552461,0.712978,-0.264233,0.511067,0.682976,-0.272911,0.507049,0.741373
0.250000,-0.289526,0.552448,0.712995,-0.264242,0.511052,0.682998,-0.272916,0.507040,0.741389
0.260000,-0.289545,0.552432,0.713000,-0.264248,0.511049,0.683011,-0.272937,0.507043,0.741399
0.270000,-0.289552,0.552437,0.712997,-0.264269,0.511047,0.683010,-0.272957,0.507027,0.741399
0.280000,-0.289573,0.552432,0.712987,-0.264281,0.511042,0.683009,-0.272972,0.507065,0.741400
0.290000,-0.289583,0.552440,0.712976,-0.264293,0.511041,0.682998,-0.272998,0.507042,0.741367
0.300000,-0.289608,0.552445,0.712952,-0.264307,0.511057,0.682982,-0.273024,0.507056,0.741361
0.310000,-0.289642,0.552440,0.712934,-0.264325,0.511062,0.682963,-0.273038,0.507041,0.741340
0.320000,-0.289649,0.552456,0.712901,-0.264353,0.511068,0.682934,-0.273059,0.507064,0.741295
0.330000,-0.289677,0.552463,0.712874,-0.264371,0.511075,0.682902,-0.273073,0.507071,0.741273
0.340000,-0.289692,0.552492,0.712840,-0.264396,0.511080,0.682873,-0.273084,0.507089,0.741245
0.350000,-0.289709,0.552509,0.712806,-0.264412,0.511102,0.682841,-0.273092,0.507119,0.741209
0.360000,-0.289734,0.552520,0.712762,-0.264431,0.511104,0.682804,-0.273067,0.507190,0.741153
0.370000,-0.289741,0.552552,0.712723,-0.264443,0.511130,0.682766,-0.273088,0.507144,0.741145
0.380000,-0.289752,0.552562,0.712698,-0.264457,0.511133,0.682733,-0.273074,0.507201,0.741107
0.390000,-0.289752,0.552571,0.712665,-0.264465,0.511131,0.682716,-0.273081,0.507188,0.741062
0.400000,-0.289756,0.552570,0.712644,-0.264451,0.511146,0.682668,-0.273074,0.507197,0.741044
0.410000,-0.289751,0.552565,0.712622,-0.264457,0.511129,0.682643,-0.273067,0.507198,0.741012
0.420000,-0.289733,0.552557,0.712598,-0.264456,0.511113,0.682618,-0.273061,0.507186,0.740995
0.430000,-0.289728,0.552553,0.712571,-0.264441,0.511108,0.682601,-0.273057,0.507176,0.740981
0.440000,-0.289685,0.552570,0.712553,-0.264415,0.511105,0.682573,-0.273034,0.507177,0.740963
0.450000,-0.289677,0.552551,0.712536,-0.264418,0.511077,0.682568,-0.273010,0.507182,0.740957
0.460000,-0.289650,0.552544,0.712522,-0.264385,0.511079,0.682548,-0.273009,0.507163,0.740946
0.470000,-0.289633,0.552531,0.712515,-0.264382,0.511045,0.682541,-0.272994,0.507153,0.740945
0.480000,-0.289586,0.552529,0.712497,-0.264346,0.511050,0.682534,-0.272970,0.507147,0.740927
0.490000,-0.289558,0.552512,0.712494,-0.264343,0.511015,0.682544,-0.272939,0.507143,0.740928
0.500000,-0.289538,0.552497,0.712486,-0.264300,0.511018,0.682527,-0.272916,0.507125,0.740923
0.510000,-0.289502,0.552488,0.712496,-0.264275,0.510992,0.682530,-0.272885,0.507107,0.740929
0.520000,-0.289469,0.552476,0.712502,-0.264256,0.510982,0.682527,-0.272867,0.507089,0.740924
0.530000,-0.289434,0.552465,0.712494,-0.264235,0.510967,0.682531,-0.272843,0.507073,0.740928
0.540000,-0.289396,0.552449,0.712511,-0.264194,0.510950,0.682526,-0.272818,0.507053,0.740925
0.550000,-0.289366,0.552422,0.712508,-0.264174,0.510915,0.682532,-0.272801,0.507011,0.740946
0.560000,-0.289340,0.552392,0.712527,-0.264154,0.510910,0.682533,-0.272777,0.506986,0.740952
0.570000,-0.289315,0.552380,0.712532,-0.264132,0.510889,0.682531,-0.272755,0.506978,0.740953
0.580000,-0.289295,0.552364,0.712528,-0.264114,0.510874,0.682530,-0.272740,0.506956,0.740948
0.590000,-0.289264,0.552363,0.712529,-0.264099,0.510867,0.682524,-0.272708,0.506964,0.740953
0.600000,-0.289255,0.552342,0.712529,-0.264086,0.510849,0.682520,-0.272969,0.506886,0.740726
0.610000,-0.289241,0.552332,0.712519,-0.264077,0.510837,0.682520,-0.272971,0.506871,0.740723
0.620000,-0.289228,0.552330,0.712515,-0.264069,0.510824,0.682516,-0.272669,0.506936,0.740930
0.630000,-0.289209,0.552326,0.712517,-0.264054,0.510811,0.682516,-0.272667,0.506921,0.740938
0.640000,-0.289197,0.552323,0.712514,-0.264048,0.510802,0.682506,-0.272642,0.506907,0.740946
0.650000,-0.289190,0.552321,0.712513,-0.264051,0.510810,0.682509,-0.272941,0.506844,0.740718
0.660000,-0.289189,0.552316,0.712508,-0.264039,0.510807,0.682504,-0.272922,0.506862,0.740714
0.670000,-0.289184,0.552317,0.712516,-0.264039,0.510809,0.682506,-0.272932,0.506840,0.740718
0.680000,-0.289185,0.552331,0.712504,-0.264046,0.510797,0.682501,-0.272640,0.506935,0.740930
0.690000,-0.289194,0.552327,0.712507,-0.264057,0.510795,0.682507,-0.272639,0.506933,0.740936
0.700000,-0.289207,0.552339,0.712518,-0.264062,0.510821,0.682504,-0.272657,0.506937,0.740940
0.710000,-0.289213,0.552339,0.712517,-0.264073,0.510817,0.682509,-0.272951,0.506865,0.740730
0.720000,-0.289234,0.552343,0.712524,-0.264090,0.510829,0.682512,-0.272969,0.506866,0.740735
0.730000,-0.289246,0.552351,0.712535,-0.264102,0.510836,0.682522,-0.272979,0.506870,0.740737
0.740000,-0.289267,0.552350,0.712540,-0.264121,0.510843,0.682526,-0.272995,0.506872,0.740740
0.750000,-0.289284,0.552362,0.712545,-0.264140,0.510849,0.682533,-0.272994,0.506889,0.740748
0.760000,-0.289297,0.552368,0.712559,-0.264141,0.510869,0.682537,-0.272719,0.506968,0.740973
0.770000,-0.289322,0.552378,0.712569,-0.264162,0.510877,0.682551,-0.272727,0.506973,0.740975
0.780000,-0.289325,0.552390,0.712586,-0.264168,0.510899,0.682558,-0.272721,0.506990,0.741000
0.790000,-0.289336,0.552388,0.712605,-0.264169,0.510907,0.682580,-0.272734,0.506979,0.740999
0.800000,-0.289345,0.552389,0.712620,-0.264189,0.510910,0.682590,-0.272731,0.506987,0.741009
0.810000,-0.289337,0.552391,0.712639,-0.264179,0.510906,0.682607,-0.273024,0.506917,0.740810
0.820000,-0.289341,0.552377,0.712667,-0.264175,0.510912,0.682626,-0.272727,0.506980,0.741062
0.830000,-0.289313,0.552391,0.712674,-0.264177,0.510912,0.682647,-0.272731,0.506949,0.741066
0.840000,-0.289323,0.552361,0.712708,-0.264166,0.510891,0.682658,-0.273014,0.506879,0.740870
0.850000,-0.289308,0.552359,0.712730,-0.264159,0.510893,0.682671,-0.272726,0.506916,0.741120
0.860000,-0.289305,0.552339,0.712757,-0.264166,0.510883,0.682695,-0.272721,0.506911,0.741124
0.870000,-0.289294,0.552332,0.712769,-0.264172,0.510861,0.682714,-0.272718,0.506898,0.741136
0.880000,-0.289289,0.552320,0.712781,-0.264142,0.510850,0.682708,-0.272715,0.506890,0.741149
0.890000,-0.289279,0.552302,0.712796,-0.264143,0.510846,0.682717,-0.272713,0.506885,0.741155
0.900000,-0.289285,0.552291,0.712797,-0.264154,0.510819,0.682733,-0.272724,0.506858,0.741161
0.910000,-0.289287,0.552284,0.712802,-0.264168,0.510804,0.682732,-0.272736,0.506856,0.741159
0.920000,-0.289294,0.552276,0.712800,-0.264174,0.510807,0.682735,-0.272735,0.506843,0.741158
0.930000,-0.289296,0.552290,0.712798,-0.264182,0.510805,0.682740,-0.272746,0.506853,0.741162
0.940000,-0.289305,0.552284,0.712806,-0.264194,0.510813,0.682745,-0.272746,0.506861,0.741166
0.950000,-0.289316,0.552288,0.712799,-0.264195,0.510814,0.682746,-0.272767,0.506853,0.741156
0.960000,-0.289332,0.552299,0.712795,-0.264204,0.510832,0.682737,-0.272756,0.506863,0.741157
0.970000,-0.289334,0.552311,0.712782,-0.264202,0.510839,0.682733,-0.272775,0.506872,0.741155
0.980000,-0.289342,0.552320,0.712780,-0.264222,0.510850,0.682725,-0.272776,0.506884,0.741141
0.990000,-0.289355,0.552334,0.712767,-0.264228,0.510872,0.682721,-0.272771,0.506912,0.741132
1.000000,-0.289368,0.552332,0.712759,-0.264228,0.510879,0.682715,-0.272782,0.506902,0.741126
1.010000,-0.289360,0.552355,0.712756,-0.264230,0.510884,0.682706,-0.272778,0.506924,0.741134
1.020000,-0.289361,0.552349,0.712745,-0.264223,0.510891,0.682700,-0.272766,0.506923,0.741125
1.030000,-0.289351,0.552361,0.712747,-0.264200,0.510903,0.682693,-0.272764,0.506919,0.741125
1.040000,-0.289337,0.552355,0.712753,-0.264187,0.510904,0.682683,-0.272758,0.506916,0.741112
1.050000,-0.289317,0.552348,0.712741,-0.264161,0.510896,0.682673,-0.272728,0.506916,0.741112
1.060000,-0.289297,0.552341,0.712734,-0.264150,0.510878,0.682670,-0.273012,0.506823,0.740894
1.070000,-0.289265,0.552335,0.712729,-0.264131,0.510863,0.682666,-0.272691,0.506903,0.741105
1.080000,-0.289225,0.552333,0.712716,-0.264101,0.510849,0.682659,-0.272660,0.506907,0.741094
1.090000,-0.289201,0.552318,0.712714,-0.264080,0.510831,0.682657,-0.272969,0.506773,0.740884
1.100000,-0.289162,0.552310,0.712711,-0.264052,0.510825,0.682648,-0.272623,0.506859,0.741095
1.110000,-0.289133,0.552288,0.712710,-0.264025,0.510793,0.682656,-0.272596,0.506864,0.741095
1.120000,-0.289101,0.552267,0.712714,-0.264001,0.510786,0.682657,-0.272888,0.506733,0.740877
1.130000,-0.289072,0.552260,0.712717,-0.263971,0.510767,0.682657,-0.272874,0.506707,0.740895
1.140000,-0.288994,0.552275,0.712740,-0.263930,0.510765,0.682662,-0.272839,0.506703,0.740900
1.150000,-0.288965,0.552261,0.712748,-0.263902,0.510738,0.682673,-0.272474,0.506804,0.741135
1.160000,-0.288929,0.552250,0.712756,-0.263879,0.510722,0.682682,-0.272453,0.506782,0.741135
1.170000,-0.288893,0.552238,0.712772,-0.263855,0.510709,0.682680,-0.272428,0.506774,0.741143
1.180000,-0.288879,0.552219,0.712776,-0.263837,0.510693,0.682685,-0.272402,0.506757,0.741154
1.190000,-0.288852,0.552209,0.712790,-0.263820,0.510686,0.682686,-0.272375,0.506745,0.741153
1.200000,-0.288826,0.552203,0.712792,-0.263802,0.510673,0.682689,-0.272364,0.506727,0.741151
1.210000,-0.288807,0.552186,0.712801,-0.263789,0.510672,0.682694,-0.272332,0.506720,0.741166
1.220000,-0.288786,0.552188,0.712806,-0.263777,0.510657,0.682697,-0.272323,0.506717,0.741161
1.230000,-0.288779,0.552178,0.712796,-0.263760,0.510652,0.682691,-0.272299,0.506720,0.741165
1.240000,-0.288763,0.552175,0.712798,-0.263757,0.510655,0.682688,-0.272289,0.506713,0.741149
1.250000,-0.288765,0.552165,0.712788,-0.263753,0.510644,0.682677,-0.272288,0.506697,0.741149
1.260000,-0.288757,0.552175,0.712786,-0.263744,0.510646,0.682669,-0.272279,0.506713,0.741139
1.270000,-0.288749,0.552184,0.712770,-0.263742,0.510643,0.682657,-0.272286,0.506706,0.741124
1.280000,-0.288759,0.552175,0.712752,-0.263750,0.510649,0.682654,-0.272283,0.506710,0.741120
1.290000,-0.288763,0.552182,0.712735,-0.263743,0.510649,0.682637,-0.272289,0.506711,0.741102
1.300000,-0.288766,0.552188,0.712723,-0.263746,0.510659,0.682624,-0.272279,0.506732,0.741091
1.310000,-0.288756,0.552205,0.712708,-0.263752,0.510654,0.682598,-0.272292,0.506731,0.741082
1.320000,-0.288767,0.552204,0.712686,-0.263754,0.510654,0.682590,-0.272278,0.506744,0.741068
1.330000,-0.288766,0.552209,0.712678,-0.263757,0.510662,0.682584,-0.272272,0.506754,0.741057
1.340000,-0.288764,0.552210,0.712664,-0.263753,0.510664,0.682566,-0.272252,0.506779,0.741043
1.350000,-0.288764,0.552209,0.712657,-0.263750,0.510660,0.682553,-0.272280,0.506747,0.741027
1.360000,-0.288754,0.552214,0.712638,-0.263755,0.510655,0.682537,-0.272224,0.506791,0.740992
1.370000,-0.288755,0.552225,0.712627,-0.263749,0.510669,0.682530,-0.272214,0.506811,0.740980
1.380000,-0.288753,0.552216,0.712611,-0.263745,0.510676,0.682518,-0.272207,0.506807,0.740965
1.390000,-0.288749,0.552226,0.712602,-0.263718,0.510710,0.682491,-0.272200,0.506806,0.740964
1.400000,-0.288748,0.552230,0.712598,-0.263729,0.510689,0.682503,-0.272185,0.506832,0.740958
1.410000,-0.288728,0.552232,0.712599,-0.263719,0.510682,0.682504,-0.272183,0.506822,0.740956
1.420000,-0.288722,0.552227,0.712598,-0.263707,0.510682,0.682500,-0.272163,0.506817,0.740951
1.430000,-0.288692,0.552207,0.712587,-0.263694,0.510677,0.682494,-0.272143,0.506795,0.740953
1.440000,-0.288656,0.552202,0.712596,-0.263670,0.510670,0.682495,-0.272118,0.506788,0.740952
1.450000,-0.288617,0.552190,0.712595,-0.263651,0.510641,0.682499,-0.272091,0.506785,0.740951
1.460000,-0.288584,0.552169,0.712600,-0.263627,0.510629,0.682501,-0.272073,0.506758,0.740955
1.470000,-0.288534,0.552179,0.712608,-0.263607,0.510594,0.682504,-0.272061,0.506722,0.740956
1.480000,-0.288506,0.552162,0.712618,-0.263586,0.510585,0.682501,-0.272040,0.506713,0.740953
1.490000,-0.288489,0.552137,0.712615,-0.263566,0.510561,0.682504,-0.272019,0.506675,0.740954
1.500000,-0.288470,0.552131,0.712608,-0.263556,0.510555,0.682501,-0.271965,0.506658,0.740933
1.510000,-0.288448,0.552115,0.712612,-0.263546,0.510522,0.682495,-0.271955,0.506647,0.740930
1.520000,-0.288437,0.552104,0.712597,-0.263536,0.510510,0.682483,-0.271950,0.506629,0.740925
1.530000,-0.288435,0.552086,0.712582,-0.263532,0.510514,0.682480,-0.271943,0.506629,0.740916
1.540000,-0.288428,0.552087,0.712569,-0.263527,0.510504,0.682463,-0.271937,0.506627,0.740902
1.550000,-0.288413,0.552086,0.712548,-0.263529,0.510496,0.682453,-0.271938,0.506628,0.740885
1.560000,-0.288420,0.552089,0.712541,-0.263529,0.510497,0.682441,-0.271936,0.506615,0.740863
1.570000,-0.288427,0.552096,0.712534,-0.263524,0.510511,0.682434,-0.271926,0.506616,0.740858
1.580000,-0.288426,0.552102,0.712523,-0.263522,0.510510,0.682423,-0.271948,0.506617,0.740851
1.590000,-0.288428,0.552114,0.712512,-0.263527,0.510523,0.682410,-0.271928,0.506610,0.740820
1.600000,-0.288438,0.552108,0.712495,-0.263525,0.510521,0.682395,-0.271933,0.506635,0.740823
1.610000,-0.288427,0.552129,0.712477,-0.263533,0.510546,0.682386,-0.271926,0.506648,0.740806
1.620000,-0.288433,0.552130,0.712471,-0.263508,0.510577,0.682354,-0.271928,0.506651,0.740793
1.630000,-0.288439,0.552142,0.712464,-0.263505,0.510572,0.682343,-0.271921,0.506662,0.740780
1.640000,-0.288434,0.552143,0.712453,-0.263508,0.510576,0.682339,-0.271914,0.506669,0.740782
1.650000,-0.288429,0.552144,0.712455,-0.263493,0.510595,0.682331,-0.271898,0.506661,0.740763
1.660000,-0.288416,0.552133,0.712433,-0.263488,0.510601,0.682324,-0.271884,0.506660,0.740759
1.670000,-0.288407,0.552137,0.712438,-0.263474,0.510574,0.682332,-0.271874,0.506662,0.740753
