Time,org_x,org_y,org_z,xvec_x,xvec_y,xvec_z,zvec_x,zvec_y,zvec_z
0.000000,-0.308830,0.563480,0.703835,-0.284432,0.521129,0.674301,-0.290500,0.519400,0.733002
0.010000,-0.308837,0.563474,0.703861,-0.284438,0.521122,0.674319,-0.290512,0.519385,0.733012
0.020000,-0.308820,0.563480,0.703863,-0.284424,0.521130,0.674330,-0.290497,0.519392,0.733024
0.030000,-0.308824,0.563460,0.703882,-0.284412,0.521127,0.674327,-0.290526,0.519360,0.733065
0.040000,-0.308804,0.563471,0.703878,-0.284410,0.521131,0.674337,-0.290522,0.519358,0.733047
0.050000,-0.308799,0.563483,0.703880,-0.284407,0.521124,0.674340,-0.290512,0.519367,0.733072
0.060000,-0.308797,0.563483,0.703885,-0.284393,0.521143,0.674349,-0.290466,0.519415,0.733051
0.070000,-0.308794,0.563490,0.703880,-0.284387,0.521169,0.674331,-0.290471,0.519404,0.733026
0.080000,-0.308802,0.563481,0.703883,-0.284400,0.521154,0.674313,-0.290454,0.519404,0.733017
0.090000,-0.308780,0.563497,0.703848,-0.284362,0.521190,0.674282,-0.290437,0.519412,0.732983
0.100000,-0.308757,0.563493,0.703833,-0.284386,0.521154,0.674261,-0.290402,0.519416,0.732965
0.110000,-0.308726,0.563499,0.703808,-0.284345,0.521167,0.674232,-0.290364,0.519413,0.732945
0.120000,-0.308691,0.563498,0.703786,-0.284353,0.521133,0.674218,-0.290333,0.519398,0.732929
0.130000,-0.308637,0.563490,0.703773,-0.284302,0.521147,0.674185,-0.290288,0.519396,0.732895
0.140000,-0.308592,0.563477,0.703747,-0.284267,0.521116,0.674164,-0.290251,0.519363,0.732885
0.150000,-0.308532,0.563445,0.703733,-0.284221,0.521073,0.674164,-0.290204,0.519348,0.732861
0.160000,-0.308474,0.563399,0.703707,-0.284187,0.521025,0.674135,-0.290138,0.519313,0.732846
0.170000,-0.308409,0.563379,0.703693,-0.284129,0.520999,0.674126,-0.290090,0.519288,0.732834
0.180000,-0.308345,0.563329,0.703659,-0.284118,0.520905,0.674072,-0.290036,0.519249,0.732815
0.190000,-0.308275,0.563304,0.703636,-0.284065,0.520871,0.674057,-0.289976,0.519215,0.732807
0.200000,-0.308218,0.563263,0.703612,-0.284032,0.520823,0.674039,-0.289930,0.519188,0.732778
0.210000,-0.308157,0.563244,0.703590,-0.283987,0.520772,0.674031,-0.289871,0.519162,0.732752
0.220000,-0.308093,0.563220,0.703570,-0.283923,0.520734,0.674020,-0.289822,0.519144,0.732741
0.230000,-0.308038,0.563196,0.703554,-0.283845,0.520720,0.674030,-0.289784,0.519119,0.732741
0.240000,-0.307990,0.563163,0.703560,-0.283816,0.520664,0.674030,-0.289738,0.519104,0.732754
0.250000,-0.307935,0.563129,0.703571,-0.283769,0.520628,0.674046,-0.289703,0.519095,0.732757
0.260000,-0.307875,0.563116,0.703582,-0.283648,0.520657,0.674037,-0.289664,0.519054,0.732765
0.270000,-0.307822,0.563077,0.703589,-0.283596,0.520619,0.674057,-0.289574,0.519032,0.732770
0.280000,-0.307776,0.563040,0.703601,-0.283532,0.520612,0.674072,-0.289523,0.519023,0.732801
0.290000,-0.307716,0.563015,0.703607,-0.283510,0.520573,0.674090,-0.289490,0.518968,0.732809
0.300000,-0.307669,0.563000,0.703622,-0.283459,0.520553,0.674103,-0.289457,0.518954,0.732823
0.310000,-0.307624,0.562978,0.703633,-0.283499,0.520439,0.674145,-0.289430,0.518931,0.732841
0.320000,-0.307586,0.562970,0.703659,-0.283460,0.520433,0.674165,-0.289416,0.518906,0.732870
0.330000,-0.307567,0.562946,0.703674,-0.283414,0.520426,0.674194,-0.289414,0.518837,0.732909
0.340000,-0.307539,0.562930,0.703697,-0.283426,0.520379,0.674217,-0.289390,0.518862,0.732916
0.350000,-0.307506,0.562921,0.703720,-0.283373,0.520374,0.674238,-0.289380,0.518798,0.732944
0.360000,-0.307468,0.562898,0.703722,-0.283268,0.520436,0.674226,-0.289351,0.518794,0.732950
0.370000,-0.307437,0.562891,0.703722,-0.283313,0.520337,0.674244,-0.289326,0.518779,0.732951
0.380000,-0.307400,0.562870,0.703720,-0.283265,0.520338,0.674256,-0.289292,0.518764,0.732972
0.390000,-0.307319,0.562882,0.703732,-0.283245,0.520296,0.674261,-0.289272,0.518726,0.732990
0.400000,-0.307269,0.562847,0.703742,-0.283183,0.520281,0.674272,-0.289241,0.518712,0.732993
0.410000,-0.307234,0.562822,0.703739,-0.283134,0.520248,0.674288,-0.289216,0.518690,0.733008
